Scène 2.VIII.,ステージ2・8
  As-tu donc contracté la manie effroyable,恐ろしく狂ったのか
"  De te faire toujours, partout, des ennemis ?",敵を常に 敵にしようと?
CYRANO:,サイラン:
"  A force de vous voir vous faire des amis,",友達を作ってくれて
"  Et rire à ces amis dont vous avez des foules,",群衆を集めた友人に笑って
  D'une bouche empruntée au derrière des poules !,鶏の尻から借りた口!
"  J'aime raréfier sur mes pas les saluts,","私は,自分の足元で挨拶をめちゃくちゃする."
  Et m'écrie avec joie: un ennemi de plus !,そして喜びをもって叫ぶ.もう一人の敵!
LE BRET:,は
  Quelle aberration !,変な話だ
CYRANO:,サイラン:
"  Eh bien, oui, c'est mon vice.","そう,それは私の癖だ"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,逃げることは楽しみだ 嫌われてもいい
"  Mon cher, si tu savais comme l'on marche mieux",好きな人より 歩ける方法を知っていたら
  Sous la pistolétade excitante des yeux !,目の前には激しくて
"  Comme, sur les pourpoints, font d'amusantes taches",面白い点を 示すように
  Le fiel des envieux et la bave des lâches !,嫉妬深い者の悪と臆病者の悪!
"  --Vous, la molle amitié dont vous vous entourez,",優しい友だちは
"  Ressemble à ces grands cols d'Italie, ajourés",延期したイタリアの大きな首に似ている
"  Et flottants, dans lesquels votre cou s'effémine:","浮遊する海に,あなたの首が沈む."
"  On y est plus à l'aise. . .et de moins haute mine,",快適で 低身で
"  Car le front n'ayant pas de maintien ni de loi,","顔は守られず,律法も守られず,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",どこにでも傾き続ける
"  La Haine, chaque jour, me tuyaute et m'apprête",憎しみが毎日私を 誘惑し 引き裂いてくれる
  La fraise dont l'empois force à lever la tête;,"が頭を上げさせる毒は,"
  Chaque ennemi de plus est un nouveau godron,敵が増えたら 敵が増える
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","また,わたしを悩ませ,また光らせられる."
"  Car, pareille en tous points à la fraise espagnole,",どれもスペインのフライドと同じです
"  La Haine est un carcan, mais c'est une auréole !",憎しみはだ でもそれはだ
"LE BRET (après un silence, passant son bras sous le sien):","胸の下を横切って,静かに:"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","傲慢な人を高めて,苦しい者を低くしなさい."
  Dis-moi tout simplement qu'elle ne t'aime pas !,彼女はあなたを愛していないと言ってくれ!
CYRANO (vivement):,サイラン (生きてる):
  Tais-toi !,黙ってろ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(しばらくして,クリスチャンは入って,少年と混同し,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"話をしない彼は,最終的に一人で座って"
