Scène 2.VIII.,Taẓrigt 2.VIII.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Deg yiwen n usefru, amzun ad d-tessuffuḍ wiyaḍ?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Tanemmirt, d imẓiyen kan i d-yettwassen talant?"
"  Être terrorisé par de vagues gazettes,","Ad d-terrḥen yisɣuran n yisɣuran,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ad d-iniɣ yal ass: "" Ah, ma yella lliɣ"
  Dans les petits papiers du Mercure François ?. . .,Deg yisennayen n Mercure Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ur d-teḥsibeḍ ara, tanemmirt, ugaden,"
"  Aimer mieux faire une visite qu'un poème,","Ḥemmleɣ ugar ad d-ssureɣ deg usefru,"
"  Rédiger des placets, se faire présenter ?","Ad d-naru timlilin, ad d-naru iman-is?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Mačči, tanemmirt! Mačči, tanemmirt! Mačči, tanemmirt!"
"  Rêver, rire, passer, être seul, être libre,","Ad d-teggim, ad d-teḍseḍ, ad tezziḍ, ad tiliḍ weḥd-k, ad tiliḍ d ilelli,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ad tesεuḍ allen i yettwalin akken ilaq, taɣect i yettḥerrez,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ssefk, melmi i tebɣiḍ, ayen yesεan taḥect-is,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","I yiwen n ih, i yiwen n ulac, ad ttemnaɣ, - neɣ ad t-teddun!"
"  Travailler sans souci de gloire ou de fortune,","Ur tεebbiḍ ara ɣef tlelli neɣ d yir yir yir lexlaṣ,"
"  A tel voyage, auquel on pense, dans la lune !","Ar tferrit am ta, i d-tettxemmim, ɣer wayyur!"
"  N'écrire jamais rien qui de soi ne sortît,","Ur d-tarun ara maḍi ayen ur d-yetteddu ara s yiman-nwen,"
"  Et modeste d'ailleurs, se dire: mon petit,","D amehzen, ad d-tiniḍ iman-ik:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ad yeččur d afran, d lfakya, ula d tifir,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Ma yella deg tebḥirt-ik i tt-tettekkreḍ!
"  Puis, s'il advient d'un peu triompher, par hasard,","Dɣa ma yeffeɣ-d cwiṭ n lferḥ,"
"  Ne pas être obligé d'en rien rendre à César,","Ur ilaq ara ad d - fkeɣ kra i Qayṣer,"
"  Vis-à-vis de soi-même en garder le mérite,","S wudem n yiman-is ad d-tḥerrez lxir-is,"
"  Bref, dédaignant d'être le lierre parasite,","S umata, s usemmiḍ n tkerḍit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ula ma ur neqqim ara d lbaṭel neɣ d lbaṭel,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ur d-yettɣab ara mliḥ, ahat, maca d iman-is!"
LE BRET:,Aḥerḍan:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","D yiwen kan, maca mačči d akk. Amek i d-yexla lbaṭel?"
  As-tu donc contracté la manie effroyable,Tesεiḍ ihi taḥezzamt-nni n lmeεna?
"  De te faire toujours, partout, des ennemis ?","Ad d-tessxedmeḍ dima, deg yal amkan, iɛdawen?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Mi k-d-iwala tettemdukal,"
"  Et rire à ces amis dont vous avez des foules,","Tḍess-itt imeddukal-nni i tesεiḍ aṭas n medden,"
  D'une bouche empruntée au derrière des poules !,S yimi yettwaṭṭef deg uḍar n tjurutin!
"  J'aime raréfier sur mes pas les saluts,","Ḥemmleɣ ad d-sellmeɣ deg iḍarren-iw,"
  Et m'écrie avec joie: un ennemi de plus !,Yettɛeggiḍ-iyi s lfeṛḥ: d amur nniḍen!
LE BRET:,Aḥerḍan:
  Quelle aberration !,D ayen i d-yeǧǧan!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ɣas, i, d ayen i yi-d-yeǧǧan."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ḥemmleɣ ad d-rreɣ, ḥemmleɣ ad yi-kmen."
"  Mon cher, si tu savais comme l'on marche mieux","Aḥbib-iw, ma tessneḍ amek ara tḍeddmeḍ ugar"
  Sous la pistolétade excitante des yeux !,Deg usemmiḍ n tmeslayt n wallen i d-yeffɣen!
"  Comme, sur les pourpoints, font d'amusantes taches","Akken, ɣef tmeslayt, xeddmen tiɣriwin yessewhamen"
  Le fiel des envieux et la bave des lâches !,D lbaṭel n wid yesɛan taɛebt d lbaṭel n wid yesɛan taɛebt!
"  --Vous, la molle amitié dont vous vous entourez,","-Kid-k, d tameddakelt d-yettwaḥebben,"
"  Ressemble à ces grands cols d'Italie, ajourés","Yettbin-d d tiɣriwin timeqqranin n Ṭṭali, yettwaferru"
"  Et flottants, dans lesquels votre cou s'effémine:","D iferrawen, deg-sen i d-tettḥewwiḍ tqeṛṛart:"
"  On y est plus à l'aise. . .et de moins haute mine,","Neεǧeb-it deg-s. . . d lqaεa n lqaεa,"
"  Car le front n'ayant pas de maintien ni de loi,","Axaṭer uqerruy ur yesɛi ara taḥeqqit neɣ ccariɛa,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Yettεeǧǧa ad yeɛqel deg yal tama.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ttaneggu, yal ass, tettḥerceɣ-iyi, tettḥerceɣ-iyi"
  La fraise dont l'empois force à lever la tête;,Tafrayt i d-yettḥeǧǧan i usemmiḍ ad d-yekkes aqerruy-is;
  Chaque ennemi de plus est un nouveau godron,Yal amεellem i d-yettnadi d amaynut n tmeslayt
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Yennayer-iyi-d lxuf, yennayer-iyi-d lxuf."
"  Car, pareille en tous points à la fraise espagnole,","Axaṭer am tmazirt n tmeslayt taspenyult,"
"  La Haine est un carcan, mais c'est une auréole !","Taɣṛest d taḥeṭṭa, maca d taḥeṭṭa!"
"LE BRET (après un silence, passant son bras sous le sien):","L'ARRET (m'ara d-yeqqim ccetwa, yettarra afus-is ddaw n yifassen-is):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Sseḥḥer-ed lmeḥna, sser-ed, sser-ed,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ini-yi-d kan ur k-ḥemmel ara!
CYRANO (vivement):,CYRANO (teddurt):
  Tais-toi !,Ssusem-d!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Si lweqt, Christian yekcem, yeɣleb d imecṭuḥen;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ur s-d-yettmeslay ara; yeqqim kan deg yiwet n
