Scène 2.VIII.,Staða 2.VIII.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",-Hefurðu borðað krakka á hádeginu?
  Avoir un ventre usé par la marche ? une peau,Að hafa þurrkaðan maga á ferðinni?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Hver fær fljótari að verða óhrein í hnjánum?
  Exécuter des tours de souplesse dorsale ?. . .,Að gera ruglshæfingar? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nei, takk, ég vil bara taka getuna í háls með einu hendi."
"  Cependant que, de l'autre, on arrose le chou,","En ef við setjum upp kafluna á annan,"
"  Et, donneur de séné par désir de rhubarbe,",Og sver þess eið (og stendur við hann) að koma lögum yfir þá sem sekir eru.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Að hafa reykilinn alltaf í barmi?
"  Non, merci ! Se pousser de giron en giron,","Ekki takk, það er bara að stinga sig í stakk."
"  Devenir un petit grand homme dans un rond,","Að verða stórur maður í hring,"
"  Et naviguer, avec des madrigaux pour rames,","Og sigla með rammum,"
  Et dans ses voiles des soupirs de vieilles dames ?,Og í siglingum hans eru öskurnar af gömlu dömum?
"  Non, merci ! Chez le bon éditeur de Sercy","Nei, takk fyrir."
"  Faire éditer ses vers en payant ? Non, merci !",- Að láta bæta í verminum með greiðslu?
  S'aller faire nommer pape par les conciles,Að fara til að verða útnefndur páfi í ráðstefnum
  Que dans des cabarets tiennent des imbéciles ?,- Að í húsum sé fulla fjandans?
"  Non, merci ! Travailler à se construire un nom",Ég er að vinna að því að byggja mér nafn.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Á sonni í stað þess að gera fleiri?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,-Er það bara í hólfum sem fá að finna hæfileika?
"  Être terrorisé par de vagues gazettes,","Að vera hræddur við blönduð blað,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Og alltaf segja: ""Oh, ef ég væri"
  Dans les petits papiers du Mercure François ?. . .,Í smáum ritum frá Merkur Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ekki, takk!"
"  Aimer mieux faire une visite qu'un poème,",Að elska heimsókn frekar en ljóð.
"  Rédiger des placets, se faire présenter ?","Að skrifa plakat, kynna sig?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nei, takk, takk, takk, takk, ekki, takk, en..."
"  Rêver, rire, passer, être seul, être libre,","Dreymir, hlærir, gengur, er einn, er frjáls,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Að hafa augun sem sér vel, rödd sem hræðir,"
"  Mettre, quand il vous plaît, son feutre de travers,","Setja, þegar þú vilt, tilfinningu sína ofan,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Fyrir já, fyrir nei, berjast, - eða gera verma!"
"  Travailler sans souci de gloire ou de fortune,",Að vinna án þess að hafa eftirlit með frægð eða auðlinda
"  A tel voyage, auquel on pense, dans la lune !",Á svona ferð sem maður hugsar um í tunglið.
"  N'écrire jamais rien qui de soi ne sortît,",Ekki skrifa neitt sem kemur ekki út af sjálfum þér.
"  Et modeste d'ailleurs, se dire: mon petit,","Og auðmjúk, og segja sjálfum sér:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Hann er fullnægður með blómum, ávöxtum, jafnvel laufum."
  Si c'est dans ton jardin à toi que tu les cueilles !,Ef þú tekur þá í garðinum þínum!
"  Puis, s'il advient d'un peu triompher, par hasard,","Og ef hann fær smá sigra,"
"  Ne pas être obligé d'en rien rendre à César,",Og ég er ekki skylt að skila keisara.
"  Vis-à-vis de soi-même en garder le mérite,","Til að halda mériti sínu gagnvart sjálfum sér,"
"  Bref, dédaignant d'être le lierre parasite,",Ég er ekki að fara í gegnum þetta.
"  Lors même qu'on n'est pas le chêne ou le tilleul,",Þótt við séum ekki eykur eða gróður
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ekki mjög hátt, kannski, en einn."
LE BRET:,-Hann er sá sem er.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Það er bara einn, en ekki gegn öllum."
  As-tu donc contracté la manie effroyable,Hefur þú fengið hrikalega illhug
"  De te faire toujours, partout, des ennemis ?",Að gera þér alltaf óvin?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",Ég er að sjá ykkur eignast vini.
"  Et rire à ces amis dont vous avez des foules,","Og hlæja þeim vinum sem þú hefur fjöldana,"
  D'une bouche empruntée au derrière des poules !,Með munni sem er borgað í hönnunum.
"  J'aime raréfier sur mes pas les saluts,",Ég er mjög ánægð með að heilsa fólki á fótum mínum.
  Et m'écrie avec joie: un ennemi de plus !,Og hræða mér glatt: Enn einn óvinur!
LE BRET:,-Hann er sá sem er.
  Quelle aberration !,Það er svo ólíklegt.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Já, það er mér tilviljun."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ég er ánægð með að fara í burtu og ég elska að vera hatað.
"  Mon cher, si tu savais comme l'on marche mieux","Elskaðu, ef þú vissir hvernig maður gengur betur"
  Sous la pistolétade excitante des yeux !,Á undir spennandi augum.
"  Comme, sur les pourpoints, font d'amusantes taches","Eins og, á vísbendingum, gera skemmtileg blettur"
  Le fiel des envieux et la bave des lâches !,Sól af misjafnar og sól af kvíðar!
"  --Vous, la molle amitié dont vous vous entourez,","Þú, sá mildi vinur sem þú ert í kringum,"
"  Ressemble à ces grands cols d'Italie, ajourés","Líkar við þessi stórir hólf ítalíu, frestað"
"  Et flottants, dans lesquels votre cou s'effémine:","Og flóðandi, þar sem háls þín hræðir:"
"  On y est plus à l'aise. . .et de moins haute mine,",Við erum þægilegri og minni hæð.
"  Car le front n'ayant pas de maintien ni de loi,","Því að framan hefur ekki gildi og lögmál,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Hann hleypur í hvert átt.
"  La Haine, chaque jour, me tuyaute et m'apprête",Hátinn er að spilla mig og gera mig að brjótast á hverjum degi.
  La fraise dont l'empois force à lever la tête;,Strykkjurnar sem eiturinn þvinga til að lyfta höfuðið.
  Chaque ennemi de plus est un nouveau godron,Hver annar óvinur er nýrur göddur.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Hann bætir mér óþægindum og hneyksli.
"  Car, pareille en tous points à la fraise espagnole,",Því að eins og í öllum efnum þáttum er spænskur frossi
"  La Haine est un carcan, mais c'est une auréole !","Hátinn er skál, en hann er sólbraut."
"LE BRET (après un silence, passant son bras sous le sien):","BRET (eftir þögnu, að fara arm hans undir eigin):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",Vertu háður og hressur en lágur
  Dis-moi tout simplement qu'elle ne t'aime pas !,Segðu mér bara að hún elskar þig ekki!
CYRANO (vivement):,CYRANO (lífandi):
  Tais-toi !,Hlýð!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Eftir smá stund, Christian gekk inn, blandaði sér í yngri, þeir"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ekki tala við hann; hann sat loksins einn í einn
