Scène 2.VIII.,Sénégal 2.VIII.
  Que dans des cabarets tiennent des imbéciles ?,"Ndax ci biir biir kër yi, ay xarit ñoo koy sàmm?"
"  Non, merci ! Travailler à se construire un nom",Dangeen liggéey ngir am ay tur
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ci benn sonnet, ba bañ a def yeneen?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Yéen, ndax ci biir ay xëtu yi rekk la ngeen gis ay xëtu?"
"  Être terrorisé par de vagues gazettes,","Te ñu ragal xarit yi,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Te di ne sa bopp: ""Soo ma nekk,"
  Dans les petits papiers du Mercure François ?. . .,Ci téere yi ñu doon sàkku ci mercuur François . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Du, takk naa la."
"  Aimer mieux faire une visite qu'un poème,","Bëgg na gën a gis gis gis-gisu,"
"  Rédiger des placets, se faire présenter ?","Di def ay téereb, di ko koy xamal?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Du, takk naa la, du, takk naa la, waaye..."
"  Rêver, rire, passer, être seul, être libre,","Xam, xemm, jàll, nekk ci moom, nekk ci friiru,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Xët bu baax, baat bu rafet,"
"  Mettre, quand il vous plaît, son feutre de travers,","Te su ko neex, di ko fexe."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ci yiw, ci neen, di xare, walla di def ay worm!"
"  Travailler sans souci de gloire ou de fortune,","Jëfleen liggéey bu dul njariñ mbaa alal,"
"  A tel voyage, auquel on pense, dans la lune !","Ci biir biir biir weer la, ba ngay xalaat."
"  N'écrire jamais rien qui de soi ne sortît,","Buleen bind dara lu dul lu leen di topp,"
"  Et modeste d'ailleurs, se dire: mon petit,","Te itam, ci lu jëm ci sa bopp, nga ne: ""Sama doom,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Te mu lekk ay xale, ay jëmm, sax ay xëtu,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Su fekkee ne ci sa garab la nga koy jël.
"  Puis, s'il advient d'un peu triompher, par hasard,","Su ko defee su ko defee mu am lu am solo,"
"  Ne pas être obligé d'en rien rendre à César,","Te nag nag, bu leen di war a fey ci Seesaar,"
"  Vis-à-vis de soi-même en garder le mérite,","Te ci boppam, nga am na lu baax."
"  Bref, dédaignant d'être le lierre parasite,","Ci lu ëpp, di bañ a nekk lierre yi,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ba nu dul garab ak garab,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Duñu dugge, waaye moom rekk!"
LE BRET:,BÉY:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ci boppam, waaye du ci ñépp."
  As-tu donc contracté la manie effroyable,Ndax nga am na njàqare wu réy?
"  De te faire toujours, partout, des ennemis ?",Ndax di ko defal seen noon?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ndax gis ngeen di am ay xarit,"
"  Et rire à ces amis dont vous avez des foules,","Te di gàddaay ay xarit yi nga am ay mbooloo,"
  D'une bouche empruntée au derrière des poules !,Ci baat bu ñu leen di jël ci dugub gàtt yi!
"  J'aime raréfier sur mes pas les saluts,","Ma ngi bëgg a xamal ay yiw ci sama tànk,"
  Et m'écrie avec joie: un ennemi de plus !,"Mu naan: ""Soobaa ngi ci man, te mu ngi ci man, te mu ngi ci man, te mu ngi ci man, te mu ngi ci man, te mu ngi ci man, te mu ngi ci man, te mu ngi ci man, te mu ngi ci man."
LE BRET:,BÉY:
  Quelle aberration !,Lii mooy aberasion!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Waaw, yaa ngi ma defal."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ma neex na ba ñu bañ ma.
"  Mon cher, si tu savais comme l'on marche mieux","Sëriñ bi, bu nga xam ni ñu gën a dox"
  Sous la pistolétade excitante des yeux !,Ci biir gànnaaw yi neex.
"  Comme, sur les pourpoints, font d'amusantes taches",Ni ñu def ay xët yu neex ci wàllu njàqare yi
  Le fiel des envieux et la bave des lâches !,"Jëf jaay yi, te xëf jaay yi!"
"  --Vous, la molle amitié dont vous vous entourez,","- Yaw, xarit bu baax bi nga wër,"
"  Ressemble à ces grands cols d'Italie, ajourés","Mooy ni ay xeex yu mag yi ci Itali, ñu di ko dàq"
"  Et flottants, dans lesquels votre cou s'effémine:","Te ay xët yuy jàll, ci seen gànnaaw yuy tàbbal."
"  On y est plus à l'aise. . .et de moins haute mine,","Fekk ci loolu, nu gën a rafet."
"  Car le front n'ayant pas de maintien ni de loi,","Ndaxte kanam Yàlla amul yoon, te yoon amul."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Mu ngi bàyyi di tàbbi ci lépp.
"  La Haine, chaque jour, me tuyaute et m'apprête","Xiif-xeef, bés bu nekk, di ma xeex, di ma tàbbi"
  La fraise dont l'empois force à lever la tête;,"Jàmm bi, bi mu xëy, di ko dooleel, mu yéeg boppam."
  Chaque ennemi de plus est un nouveau godron,"Kenn ci kenn ci sunuy xeex, mooy ab xeex bu bees"
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Mu teg ci ma lu metti, mu teg ci ma lu metti."
"  Car, pareille en tous points à la fraise espagnole,","Ndaxte, ci lépp, mel ni ay xeex yuy Senegaal,"
"  La Haine est un carcan, mais c'est une auréole !","Xiif mooy xiif, waaye mooy xiif!"
"LE BRET (après un silence, passant son bras sous le sien):","BÉY (bu ñu ne ci seen biir, mu ne ci seen biir):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Yéen ñiy màgg, di ko yékkati, waaye yékkatileen."
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Waxal ma rekk ne, du la bëgg!"
CYRANO (vivement):,CYRANO (ñii dund):
  Tais-toi !,Bég!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Béy bu mu ko defee, Christian dugg, ànd ak ndaw ya; ñoom"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,te bañ a wax ak moom; mu daldi toog ci moom ci benn
