Scène 2.VIII.,2.VIII සිද්ධිය.
"  N'écrire jamais rien qui de soi ne sortît,","කවදාවත් තමන්ගෙම දෙයක් ලියන්නෙ නෑ,"
"  Et modeste d'ailleurs, se dire: mon petit,","ඒ වගේම නිහතමානීව, ""මගේ දරුවා,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","මල්, පලතුරු, කොළ පවා,"
  Si c'est dans ton jardin à toi que tu les cueilles !,ඔයා ඒවා ගන්නවනම් ඔයාගේ ගෙවත්තේ.
"  Puis, s'il advient d'un peu triompher, par hasard,","පසුව ඔහු (අල්ලාහ්) කුඩා ජයග් රහණයක් ලබාගන්නේ නම්,"
"  Ne pas être obligé d'en rien rendre à César,",කායිසර්ට කිසිවක් ගෙවීමට මට බැඳීමක් නැත.
"  Vis-à-vis de soi-même en garder le mérite,","තමන් ගැනම හිතලා ඒ ගැන සැලකිලිමත් වෙන්න,"
"  Bref, dédaignant d'être le lierre parasite,","කෙටියෙන් කිවහොත්, මම පරපෝෂිත ලයිරස් වීම ප් රතික්ෂේප කරමින්,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","අපි ඔක් හෝ ටිල්ල් නොවුනත්,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","සමහරවිට උසකට නැගලා යන්න බැරිවෙයි, ඒත් තනියම."
LE BRET:,- මම මේ ගැන කතා කරනවා.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","තනියම වෙන්න පුළුවන්, ඒත් හැමෝටම විරුද්ධව නෙවෙයි."
  As-tu donc contracté la manie effroyable,ඉතින් ඔයා දරුණු මනෝභාවයක් ඇතිකරගෙනද ඉන්නේ?
"  De te faire toujours, partout, des ennemis ?",හැම තැනම සතුරා හදන්න?
CYRANO:,සිරානෝ:
"  A force de vous voir vous faire des amis,","ඔයාලා යාළුවෝ වෙනකොට,"
"  Et rire à ces amis dont vous avez des foules,","ඔයාලාට ගොඩක් මිනිස්සු ඉන්න යාළුවො එක්ක හිනා වෙන්න,"
  D'une bouche empruntée au derrière des poules !,කුකුළු මස් පිටිපස්සෙන් උදුරාගත් කටක්!
"  J'aime raréfier sur mes pas les saluts,",මම මගේ පාදවල සුබ පැතුම් ටිකක් අඩු කරන්න කැමතියි.
  Et m'écrie avec joie: un ennemi de plus !,"මට සවන් දෙන්න, තවත් සතුරෙක්!"
LE BRET:,- මම මේ ගැන කතා කරනවා.
  Quelle aberration !,මොනතරම් විකාරයක්ද!
CYRANO:,සිරානෝ:
"  Eh bien, oui, c'est mon vice.","ඔව්, ඒක මගේ පුරුද්ද."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,මම කැමති මිනිස්සු මට වෛර කරනවට.
"  Mon cher, si tu savais comme l'on marche mieux","මගේ පැටියෝ, ඔයා දන්නවනම් කොහොමද අපි වඩා හොඳින් ඇවිදිනව කියලා"
  Sous la pistolétade excitante des yeux !,ඇස් දෙකේ ආකර්ෂණීය තුවක්කුව යට!
"  Comme, sur les pourpoints, font d'amusantes taches","හරියට, විනෝදජනක දේවල් කරන්න."
  Le fiel des envieux et la bave des lâches !,ඊර්ෂ් යාකාරීන්ගේ ද් රෝහීත්වය සහ බියගුල්ලන්ගේ ද් රෝහීත්වය!
"  --Vous, la molle amitié dont vous vous entourez,","ඔයා, ඔයා වටා ඉන්න මිත් රයා,"
"  Ressemble à ces grands cols d'Italie, ajourés","ඉතාලියේ ලොකු කොක්ක වගේ, කල් දැම්මා."
"  Et flottants, dans lesquels votre cou s'effémine:","තවද, ඔබලාගේ ගෙලෙහි ඇතිවන පාවෙන දෑදද,"
"  On y est plus à l'aise. . .et de moins haute mine,",අපි ඒකෙන් වඩාත් සැපපහසුයි.
"  Car le front n'ayant pas de maintien ni de loi,",මනසට නීතියක්වත් නීතියක්වත් නෑ.
"  S'abandonne à pencher dans tous les sens. Mais moi,",හැම පැත්තෙන්ම බලන එක අතහැරලා.
"  La Haine, chaque jour, me tuyaute et m'apprête","වෛරය හැමදාම මට කෙලවනවා, මාව කපා ගන්නවා"
  La fraise dont l'empois force à lever la tête;,"මල් පැටවුන්ගේ වස, ඔළුව ඔසවන්න බල කරයි."
  Chaque ennemi de plus est un nouveau godron,තව තවත් සතුරන් නව ගොනාන්
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",මට කරදරයක් ද විපත්තියක් ද එක් කරයි.
"  Car, pareille en tous points à la fraise espagnole,",මොකද හැම පැත්තෙන්ම ස්පාඤ්ඤ ප් රොස් වලට සමානයි.
"  La Haine est un carcan, mais c'est une auréole !","වෛරය කියන්නේ මඩයක්, ඒත් ඒක සුළඟක්!"
"LE BRET (après un silence, passant son bras sous le sien):","(නිශ්ශබ්දතාවයෙන් පසු, ඔහුගේ අත යටින් පැතිර):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","උඩඟු හා කටුක වන්න, නමුත් පහත් වන්න"
  Dis-moi tout simplement qu'elle ne t'aime pas !,මට කියන්න ඇය ඔයාට ආදරේ නෑ කියලා!
CYRANO (vivement):,සිරානෝ (ජීවත්):
  Tais-toi !,කට වහගන්න!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(කොහොමහරි ක් රිස්ටියන් ඇතුලට ගිහින් පොඩි ළමයි එක්ක එකතු වෙලා,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ඔහු සමඟ කතා නොකරන අතර අවසානයේ ඔහු තනිවම වාඩි වී
