Scène 2.VIII.,Likambo 2.VIII.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Nazali kosepela na kokende na mboka, mpe nasepelaka soki bato bayini ngai."
"  Mon cher, si tu savais comme l'on marche mieux","Elinga na ngai, soki oyebi ndenge ya kotambola malamu"
  Sous la pistolétade excitante des yeux !,Na nse ya miso ya kitoko ya moto oyo azali na masasi!
"  Comme, sur les pourpoints, font d'amusantes taches","Ndenge oyo, na makambo ya ntina, basalaka makambo ya kosepelisa"
  Le fiel des envieux et la bave des lâches !,Malili ya ba zúwa mpe mawa ya ba ngɔlu!
"  --Vous, la molle amitié dont vous vous entourez,","- Yo, boninga ya boboto oyo ozingi,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ezali lokola ba cols minene ya Italie, oyo eumeli"
"  Et flottants, dans lesquels votre cou s'effémine:","Mpe na mai, na kati na yango nkingo na yo ekotonda:"
"  On y est plus à l'aise. . .et de moins haute mine,","Tozali komiyoka malamu na yango. . . mpe tozali na bopusi moke,"
"  Car le front n'ayant pas de maintien ni de loi,","Mpo ete liboso ezali na mibeko te mpe mibeko te,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Azali kotikala na makanisi nyonso.
"  La Haine, chaque jour, me tuyaute et m'apprête","Mokolo na mokolo, koyinana ezali kopusa ngai mpe kokómisa ngai pene"
  La fraise dont l'empois force à lever la tête;,Mbisi ya frango oyo poison na yango etindaka moto atombola motó;
  Chaque ennemi de plus est un nouveau godron,Monguna nyonso ya sika ezali mopanga ya sika
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ye oyo atondisi ngai na pasi mpe na pasi,"
"  Car, pareille en tous points à la fraise espagnole,","Mpo, lokola na makambo nyonso, ndenge moko na fraise espagnole,"
"  La Haine est un carcan, mais c'est une auréole !","Koyina ezali eloko ya kolia, kasi ezali eloko ya kolia!"
"LE BRET (après un silence, passant son bras sous le sien):","L'ADMIER (na sima ya kotelema, na kokatisa loboko na ye na nse ya ye):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Kokaba na lolendo mpe na nkanda, kasi na komikitisa"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Yebisá ngai kaka ete alingaka yo te!
CYRANO (vivement):,CYRANO (oyo azali na bomoi):
  Tais-toi !,Fimbo na yo!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Na mwa ntango, Christian akɔtaki, akotaki na kati ya bana mike; bango"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ba yeba ye te; na suka afandi ye moko na ndako moko
