Scène 2.VIII.,ئىككىنچى ئورۇندا: سەككىزىنچى ئورۇندا
"  Devenir un petit grand homme dans un rond,",.بىر قانچە ئاياغ كۈندە بىر كىچىك بالا بولۇپ، بىر قانچە ئۇزۇن ئۆتمەي،
"  Et naviguer, avec des madrigaux pour rames,",(سۇ ئۈستىدە) يىنىك ماڭغۇچى كېمىلەر بىلەن قەسەمكى،
  Et dans ses voiles des soupirs de vieilles dames ?,ئۇنىڭ ئارقىسىدا بەدەنكەشلىك سالغان چېچەكلەر قانداق ئىكەن؟
"  Non, merci ! Chez le bon éditeur de Sercy",".ئۇنداق ئەمەس، رەھمەت، ئۇ دەل ""سېرىس"" ناملىق كىتاب نەشرىياتىنىڭ يېنىدا ئىدى"
"  Faire éditer ses vers en payant ? Non, merci !","ئۇنىڭ يازمىنى ئاخىرىدا ""مۇشرىكلار ۋە جىنسىي ئالاقە قىلىش"" دەپ يېزىلغان"
  S'aller faire nommer pape par les conciles,پاپا دېگەن نامغا ئېرىشىش ئۈچۈن كېڭەشمە يىغىنى
  Que dans des cabarets tiennent des imbéciles ?,ئۇلار ئۆيلەردە (مۇشرىكلار بىلەن) پاراڭ سېلىشىدۇ
"  Non, merci ! Travailler à se construire un nom",.بولمىسا، رەھمەت، نام تېپىپ چىقىش ئۈچۈن تىرىشايلى
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",ئۇلار باشقا ئاۋازلارنىمۇ ئوقۇماي، پەقەت ئاۋات ئاۋازلار بىلەنلا ئاۋات قىلىدۇ
  Merci ! Ne découvrir du talent qu'aux mazettes ?,.تەبۈك غەلبىسىنى پەقەتلا كۆكتاتلاردىلا ئۆگەنگىلى بولىدۇ
"  Être terrorisé par de vagues gazettes,",.بىر قىسىم خەۋەرلەردىن ھۇجۇم قىلساق،
"  Et se dire sans cesse: Oh, pourvu que je sois","ئۆزلىرىنى دېگۈچە: ""كاشكى مەن بولسامچۇ!"" دېيىشتىن باش تارتتىم"
  Dans les petits papiers du Mercure François ?. . .,. . .بىر پارچە قەغەزگە ئوخشاش، مېركۇي فىرانسىفىمۇ بىر پارچە قەغەزگە ئوخشاش
"  Non, merci ! Calculer, avoir peur, être blême,",.ئۇنداق ئەمەس، رەھمەت، ھېسابلاش، قورقۇش، زېرىككلىك
"  Aimer mieux faire une visite qu'un poème,",بىر پارچە شېئىرنى، بىر پارچە پارچە پارچە شېئىرنى ياخشى كۆرىمەن
"  Rédiger des placets, se faire présenter ?",-- نامە - ئەماللارنى يېزىش، ئارقىدىن ئىزاھاتلارنى ئېلىش
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",.بولمىسا، رەھمەت، رەھمەت، رەھمەت، رەھمەت، بەلكى ئۇ بىر ياخشى ناخشا
"  Rêver, rire, passer, être seul, être libre,",چۈش كۆرۈش، كۈلكە كۆرۈش، ئۆتۈپ كېتىش، يالغۇز بولۇش، ئەركىنلىك
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",كۆزلەر سىڭىپ تۇرىدۇ، ئاۋازلار سىلكىيدۇ،
"  Mettre, quand il vous plaît, son feutre de travers,",خالىغان ۋاقىتتا ئۇنىڭ ئەقلى كېمىيىپ كېتىشى مۇمكىن
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""ھەئە"" ياكى ""ياق"" دېگەننىمۇ ئوقۇيدىغان گەپمۇ؟"
"  Travailler sans souci de gloire ou de fortune,",شان-شەرەپ ۋە بايلىق بىلەن تەمىنلىمەي، بەلكى خىزمەتكە ئالدىراڭ
"  A tel voyage, auquel on pense, dans la lune !",شۇنداق بىر ساياھەتكە ئايلىنىپ كەتسەكمۇ بولىدۇ
"  N'écrire jamais rien qui de soi ne sortît,",سىز ئۆزىڭىزدىن خالىمىغان نەرسىلەرنى يېزىشنى تەرك ئەتمەڭ
"  Et modeste d'ailleurs, se dire: mon petit,",ئۆزىدىن ئىلگىرىكى ھالىتىگە كەلسەك،
"  Soit satisfait des fleurs, des fruits, même des feuilles,",ئۇ سىلەرگە ئاسانلا ئايلىنىپ تۇرىدىغان گۈللەرنى، باغلارنى، بۇلاقلارنى ئاتا قىلىدۇ
  Si c'est dans ton jardin à toi que tu les cueilles !,ئەگەر سەن ئۇلارنى تېرىغان بولساڭ، ئەلۋەتتە ئۇلار سېنىڭ باغىڭدا بولىدۇ
"  Puis, s'il advient d'un peu triompher, par hasard,",ئۇ (يەنى بوران) ھەر قانداق نەرسىنىڭ يېنىدىن ئۆتسە، ئۇنى چىرىگەن سۆڭەكتەك (تىتما - تالاڭ) قىلىۋېتەتتى
"  Ne pas être obligé d'en rien rendre à César,",قەيسەرگە بىر نەرسە بەرمەسلىكىم كېرەك.
"  Vis-à-vis de soi-même en garder le mérite,",بەلكى (ئۇلار ئىنكار قىلغان نەرسە) لەۋھۇلمەھپۇزدا ساقلانغان ئۇلۇغ قۇرئاندۇر
"  Bref, dédaignant d'être le lierre parasite,",ئۇ، ساپال تاشنىڭ ئىچىدە قالغان بىر تۆگىنىمۇ يوقاتتى
"  Lors même qu'on n'est pas le chêne ou le tilleul,",(بىزگە كەلگەن ئازابنى) كۈتكىن، (ئۇنى) كۈتكىن، (ئۇنى) كۈتكىن
"  Ne pas monter bien haut, peut-être, mais tout seul !",.بەلكىم يۇقىرىغا چىقمىساممۇ، لېكىن ئۆزۈم بىلەن بىللە چىقايلى
LE BRET:,.ئۇيغۇرچە قانىلى:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",.لېكىن ئۇ ھەممىگە قارشى ئەمەس
  As-tu donc contracté la manie effroyable,(ئى مۇھەممەد!) سەن ھەقىقەتەن بۈيۈك ئەخلاققا ئىگىسەن
"  De te faire toujours, partout, des ennemis ?",.ئۆزۈڭگە ھەمىشە دۈشمەن بولىدىغان ئادەم بارمۇ
CYRANO:,سىرا:
"  A force de vous voir vous faire des amis,",ئۆز ۋاقتىدا بىر قانچە دوستۇڭنىڭ بىرىمۇ يوقالماي ئۆز ئىشىڭنى قىلالىدى
"  Et rire à ces amis dont vous avez des foules,",(ئى مۇھەممەد!) سەن ئۇلارنىڭ ئارىسىدىكى نۇرغۇن كىشىلەرنىڭ دىللىرىدا قورقۇنچ پەيدا قىلىدۇ
  D'une bouche empruntée au derrière des poules !,.ئۇچۇنچە بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن، بىر ئېغىز ئاچقۇچ بىلەن
"  J'aime raréfier sur mes pas les saluts,",مەن ھەقىقەتەن سىلەرگە سادىق كىشىلەردىن، ئەمەللىرىمنى كۆرۈپ ھاڭ تاڭ بولۇپ قالىمەن
  Et m'écrie avec joie: un ennemi de plus !,يەنە بىر دۈشمەندىن ئاۋاز چىقىرىڭلار
LE BRET:,.ئۇيغۇرچە قانىلى:
  Quelle aberration !,بۇ ھەقىقەتەن غەلىتە ئىش!
CYRANO:,سىرا:
"  Eh bien, oui, c'est mon vice.",.شۇنداق، مەن ئۆزۈمنى خاتا دەپ گۇمان قىلىمەن
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,.مەن ئۆزۈمنى ئاققۇزۇپ قويۇشنى ياقتۇرىمەن
"  Mon cher, si tu savais comme l'on marche mieux",ئەگەر سەن بىلسەڭ، مېنىڭ ياخشىلىقىمنى
  Sous la pistolétade excitante des yeux !,.قېرىندىلا كۆزلەر چەكسىز ئېچىپ كېتىدۇ
"  Comme, sur les pourpoints, font d'amusantes taches",ئۇلار ئۇستا سېھىرگەرلەرنىڭ (سېھىرگەرلەرنىڭ ھۇجۇمى بىلەن) يىقىلغان تۆگىنى يىڭىلاپ يۈگۈرگەندەك
  Le fiel des envieux et la bave des lâches !,(ئى مۇھەممەد !) سەن لەشكەرلەرنىڭ - پىرئەۋن ۋە سەمۇدنىڭ قىسسىسىدىن خەۋەر تاپتىڭمۇ ؟
"  --Vous, la molle amitié dont vous vous entourez,",(ئى دوستلار جامائەسى!) سىلەرمۇ (ئۆزۈڭلار بىلەن دوست بولۇشقا) ئالدىرىسىلەر
"  Ressemble à ces grands cols d'Italie, ajourés",ئۇلار گويا تارىقىقنىڭ يېنىغا بېرىپ (ئالامەتلىرىنى) كۆرىدۇ
"  Et flottants, dans lesquels votre cou s'effémine:",(بۇ كۈندە) چوڭ سۇ ئۆزىنىڭ ئۈستىدە قايناقسۇ بىلەن سۇغۇرۇپ تۇرىدۇ
"  On y est plus à l'aise. . .et de moins haute mine,",.بىز بۇ يەردە تېخىمۇ راھەت ھېس قىلىمىز .ئۇنداقتا تېخىمۇ تۆۋەن تەبىقىمىز بار
"  Car le front n'ayant pas de maintien ni de loi,",چۈنكى ئىنسانلارنىڭ بېشىدا ھېچقانداق قايغۇ - قايغۇ ۋە پەرەز يوق
"  S'abandonne à pencher dans tous les sens. Mais moi,",ئۇ ئۆزىنى سىلەر ئۈچۈن ياراتقان بولۇپ، قوغلىنىشقا تېگىشلىك ئىشلارنى تەرك ئېتىشتىن ئاجىزلايدۇ
"  La Haine, chaque jour, me tuyaute et m'apprête",مېنىڭ قەلبىمگە ئەتىگەن - ئاخشامدا ئۆچمەنلىك پەيدا بولىدۇ
  La fraise dont l'empois force à lever la tête;,زەققۇم دەرىخىنىڭ (يېشىل دەرىخىنىڭ) يېنىدا تۇرغان يېرى يېرى يېرىپ قالغان بولىدۇ
  Chaque ennemi de plus est un nouveau godron,ھەر بىر قوشۇن يېڭى بىر قوشۇن بولىدۇ
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ئۇ مېنى تېخىمۇ جاپاغا سالدى، تېخىمۇ جاپاغا سالدى.
"  Car, pareille en tous points à la fraise espagnole,",.ھېلىقى ئىسپانىيەدىكى مارجانغا ئوخشاش
"  La Haine est un carcan, mais c'est une auréole !",.قاراڭغۇلىق بىر قاقاس، لېكىن ئۇ بىر ئېشەك
"LE BRET (après un silence, passant son bras sous le sien):",(ئۇ) سىجىلدا تۇرغان ئىككى قولىنى چىشلەپ:
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",ھاكاۋۇرلۇقنى قاتتىق قىلغىن، پەسكەشنى قاتتىق قىلغىن
  Dis-moi tout simplement qu'elle ne t'aime pas !,ماڭا پەقەت ئۇ سىزنى ياخشى كۆرمەيدىغانلىقىنى ئېيتىڭ!
CYRANO (vivement):,سىرا (ئەرزىمەس بۇتلارنى ئەسىر ئەتكەنلىكتىن):
  Tais-toi !,چىن بول!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(بۇ جەرياندا، كرىستىيان كوماندا بىلەن بىللە كىرگەن ئىدى، ئۇ كىچىك بالىلار بىلەن بىللە ئىدى، ئۇلار:
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ئۇلار ئۇنىڭغا بىر ئېغىز سۆزلىمىدى، ئاخىرى ئۇ يالغۇز بىر ۋاقىتتا ئولتۇرۇپتۇ
