Scène 2.VIII.,Scenália 2.VIII.
"  Mettre, quand il vous plaît, son feutre de travers,","Keď chcete, dať svoje pocity v zlom,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Za áno, za nie, bojovať, - alebo robiť červa!"
"  Travailler sans souci de gloire ou de fortune,","Pracovať bez úzkosti slávy alebo bohatstva,"
"  A tel voyage, auquel on pense, dans la lune !","Na takú cestu, na ktorú si myslíte, do mesiaca!"
"  N'écrire jamais rien qui de soi ne sortît,","Nikdy nepíšte nič, čo nevychádza z vás,"
"  Et modeste d'ailleurs, se dire: mon petit,","A skromný, že si povie: ""Moj malý,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Či už je spokojný s kvetmi, ovocím, dokonca listmi,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Ak si ich vyberáš vo svojom záhrade!
"  Puis, s'il advient d'un peu triompher, par hasard,","A ak sa mu podarí trošku vyhrať,"
"  Ne pas être obligé d'en rien rendre à César,",aby som sa neplnil cisárovi.
"  Vis-à-vis de soi-même en garder le mérite,",Na seba si to zaslúži.
"  Bref, dédaignant d'être le lierre parasite,","V krátkosti, odmietajúc byť parazitným lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Aj keď nie sme olympium alebo kvet,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Možno nie na vysokú úroveň, ale sám!"
LE BRET:,- A čo to znamená?
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Možno sám, ale nie proti všetkým."
  As-tu donc contracté la manie effroyable,Takže si sa dostal do strašného mania
"  De te faire toujours, partout, des ennemis ?",Že si stále všade robí nepriateľov?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Keď vás vidím ako sa priatelia stávajú,"
"  Et rire à ces amis dont vous avez des foules,","A smiech na tých priateľov, ktorých máte veľa,"
  D'une bouche empruntée au derrière des poules !,"S ústami, ktoré si požičali za kurčatá!"
"  J'aime raréfier sur mes pas les saluts,","Rád sa na nohách pozdravujem,"
  Et m'écrie avec joie: un ennemi de plus !,A vyčakajte mi radosťou: ďalší nepriateľ!
LE BRET:,- A čo to znamená?
  Quelle aberration !,To je absurdné .
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","No, áno, to je moja vice."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Je mi potešením odísť, lebo sa mi páči, keď ma niekto nenávidí."
"  Mon cher, si tu savais comme l'on marche mieux","Miláčku, keby si vedela, ako chodíme lepšie"
  Sous la pistolétade excitante des yeux !,Pod vzrušujúcim výstredom očí!
"  Comme, sur les pourpoints, font d'amusantes taches","Ako, na príhľade, robiť zábavné škvrny"
  Le fiel des envieux et la bave des lâches !,Žárlivej žárlivej a zbabelnej.
"  --Vous, la molle amitié dont vous vous entourez,","- Vy, milá priateľka, ktorú obklopujete,"
"  Ressemble à ces grands cols d'Italie, ajourés","Vyzerá to ako tie veľké talianske krúžky, odložené"
"  Et flottants, dans lesquels votre cou s'effémine:","A plaviace, v ktorých sa vaše krk vystraší:"
"  On y est plus à l'aise. . .et de moins haute mine,",Je to pohodlnejšie. ...a menej vysoké.
"  Car le front n'ayant pas de maintien ni de loi,","Pretože čelo nemá zákon a zákon,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","Odovzdáva sa k tomu, aby sa posunulo do všetkých smerov."
"  La Haine, chaque jour, me tuyaute et m'apprête",Nenávidia ma každý deň špina a chystá ma.
  La fraise dont l'empois force à lever la tête;,"Stromy, ktorých jed prinúti zvedniť hlavu;"
  Chaque ennemi de plus est un nouveau godron,Každý ďalší nepriateľ je nový král.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",A ešte viac mi dá útrapy a rozpač.
"  Car, pareille en tous points à la fraise espagnole,","Pretože, ako v každom ohľade španielska fraza,"
"  La Haine est un carcan, mais c'est une auréole !","Nenávidia je šarpenka, ale je to auréola!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (po tichu, prechádzajúc ruku pod svoj):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Vyrobte hrdého a horkého, ale poníž sa."
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Len mi povedz, že ťa nemá rád!"
CYRANO (vivement):,CYRANO (živý):
  Tais-toi !,- Drž hubu!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Po chvíli sa Christian dostal dnu, zapletil sa do mladších,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Nepovedali mu slovo, nakoniec sa posadil sám na jednu"
