Scène 2.VIII.,Nǔɖeɖe 2.VIII.
"  Et s'en fait un tuteur en lui léchant l'écorce,","É nɔ́ sɔ́ ɛ dó ɖó mɛ e nɔ kpé nukún dó wǔ tɔn lɛ́ɛ wú, bó nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ sín nǔ lɛ́ɛ mɛ."
  Grimper par ruse au lieu de s'élever par force ?,É nyí nǔ e è nɔ wa dó jǐ gbé jí é wɛ a nɔ wa dó ali jí a?
"  Non, merci. Dédier, comme tous il le font,","Éeǒ, kúkú mì. Lǒ mɛ bǐ wɛ nɔ wa nǔ gbɔn mɔ̌."
  Des vers aux financiers ? se changer en bouffon,"Ɖó gblé lɛ́ɛ jɛ akwɛ́zɔ́watɔ́ lɛ́ɛ jí, bɔ yě húzú gǎnyín"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Un ɖo nukún ɖó wɛ ɖɔ un ná mɔ nǔ jɛ wú, bɔ gbe e gbe gbe gbe gbejíhúngan ɖé ɖɔ ɔ́,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","É ná nyí alɔví gɔ́ alɔví ɖé wɛ a ka ná mɔ, bɔ é ná nyí nǔ nyanya ǎ."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","É ɖò mɔ̌ có, mi nɔ ɖu nǔ xá mɛɖěvo gbeɖegbeɖé."
  Avoir un ventre usé par la marche ? une peau,"N'í ɖo adɔgo ɔ́ mɛ̀ wɛ̀, bɔ̀ è ɖò zɔnlin ɖi wɛ̀ à?"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Mɛ̌ ka nɔ́ jɛ afɔklɛ́nnú jí tlóló hú afɔklɛ́nnú?
  Exécuter des tours de souplesse dorsale ?. . .,È sixu bló azɔ̌ lɛ dó gbɔjɛ́ kɔ jí gbɔn? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Éeǒ, kúma, alɔ ɖokpó wɛ è nɔ dó xo gbɔ̌ ɔ́ ɖó kɔ jí"
"  Cependant que, de l'autre, on arrose le chou,","Lo ɔ́, è nɔ kɔn kɔ́li dó ɖě jí,"
"  Et, donneur de séné par désir de rhubarbe,","É nɔ́ ɖo nǔ baɖabaɖa baɖabaɖa sín jlǒ wɛ, bó nɔ́ ɖo nǔ baɖabaɖa baɖabaɖa baɖabaɖa sín jlǒ wɛ."
"  Avoir son encensoir, toujours, dans quelque barbe ?",É nɔ́ ɖo nǔɖogbɛ tɔn mɛ wɛ tɛgbɛ?
"  Non, merci ! Se pousser de giron en giron,","Ée è ɖɔ mɔ̌ ɔ́, é nɔ́ ɖɔ mɔ̌."
"  Devenir un petit grand homme dans un rond,","É nyí gbɛtɔ́ ɖaxó ɖé wɛ nyí, bɔ é nɔ́ wá nyí mɛxó ɖé,"
"  Et naviguer, avec des madrigaux pour rames,","Yě nɔ́ dó tɔjíhún, bó nɔ́ dó tɔjíhún lɛ́ɛ ná."
  Et dans ses voiles des soupirs de vieilles dames ?,Ani ka nyí xóxó nyɔ̌nu lɛ́ɛ sín xóxó ɖò avɔ tɔn lɛ́ɛ mɛ?
"  Non, merci ! Chez le bon éditeur de Sercy","Ée é ɖɔ mɔ̌ ɔ́, Sercy sín wemaxɔmɛ ɔ́ sín wemaxɔmɛ ɔ́ wɛ é ɖe."
"  Faire éditer ses vers en payant ? Non, merci !",É ná nyí akwɛ́ wɛ è nɔ ná bɔ è nɔ bló xóɖiɖɔ tɔn lɛ dó?
  S'aller faire nommer pape par les conciles,Mɛ e na yi bló Pɔ́pu sín azɔ̌ ɖo toxóɖɔgbɛ́ lɛ mɛ lɛ é
  Que dans des cabarets tiennent des imbéciles ?,Ɖó mɛ xlonɔ lɛ nɔ hɛn xɔ lɛ́ɛ mɛ wɛ à?
"  Non, merci ! Travailler à se construire un nom","Éeǒ, kúkú mì, ɖó un ɖò azɔ̌ wa wɛ bo na dó ɖó nyǐkɔ"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","É nɔ́ ɖɔ xó dó gbeɖegbe ɖé jí, bɔ é nɔ́ ɖɔ xó dó gbeɖegbe ɖevo lɛ wu à?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Ðɛhǒn, è nɔ mɔ nǔ dó nǔɖokpo lɛ wu ɖò gletoxo lɛ mɛ wɛ à?"
"  Être terrorisé par de vagues gazettes,","È nɔ ɖi xɛsi nú wemaxwɛ lɛ́ɛ,"
"  Et se dire sans cesse: Oh, pourvu que je sois","É nɔ́ ɖɔ nú éɖée ɖɔ: ""Ényí un ka nyí"
  Dans les petits papiers du Mercure François ?. . .,Ðò wema kpɛví ɖé lɛ mɛ ɖò Mercury Francis ɔ mɛ . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Éeǒ, kúkú mì. Lě e è nɔ mɔ nǔ jɛ mɛ gbɔn é nɛ́, xɛsi ɖi wɛ è nɔ mɔ, bɔ è nɔ mɔ nǔ jɛ mɛ gbɔn é nɛ́."
"  Aimer mieux faire une visite qu'un poème,","É nyɔ́ nú è kpɔ́n fí e è nɔ gbɔn é hú è nɔ kpɔ́n gblégblé ɖé,"
"  Rédiger des placets, se faire présenter ?","É ná nyí ɖɔ è nǎ bló wemaɖókpɔ́ lɛ, bo na dó ɖɔ xó nú mɛ lɛ?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Éeǒ, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì, kúkú mì."
"  Rêver, rire, passer, être seul, être libre,","Nǔ ɖo ado mɛ wɛ, é nɔ́ ɖo nù ré wɛ, é nɔ́ ɖo ali jí wɛ, é nɔ́ ɖo vo, é nɔ́ ɖo éɖée sí."
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","É ɖó nukún, bó nɔ́ mɔ nǔ ganjí; é ɖó gbe, bɔ é nɔ́ húnhún."
"  Mettre, quand il vous plaît, son feutre de travers,","Nú a jló ɔ́, a nǎ nɔ́ mɔ nǔ jɛ nǔ e wa wɛ é ɖe ɔ́ wú."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ðåçóëüòàòû èíòåðåñà, èíòåðåñà, èíòåðåñà, à òàêæå ðåçóëüòàò!"
"  Travailler sans souci de gloire ou de fortune,","Mi ma nɔ wa azɔ̌ ɖó nukúnɖéjíɖuɖu, dɔkun,"
"  A tel voyage, auquel on pense, dans la lune !","Nǔ e è nɔ lin dó sunnu ɔ́ wú ɔ́, é nyí ali jí wɛ è nɔ yi mɔ gbɔn mɔ̌ ǎ."
"  N'écrire jamais rien qui de soi ne sortît,",Ma wlán nǔ e ma nɔ wá sín hwi ɖésúnɔ mɛ ǎ é gbeɖé ó;
"  Et modeste d'ailleurs, se dire: mon petit,","É ka nɔ ɖɔ nú éɖée ɖɔ: ""Vǐ ce,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","É ná ɖu afún, é ná ɖu sínsɛ́n, é ná ɖu ama, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín, é ná ɖu atín"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Ényí a nɔ́ ɖo gle towe mɛ wɛ ɔ́, a nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ́ nɔ"
"  Puis, s'il advient d'un peu triompher, par hasard,","Énɛ́ ɔ́ gúdo ɔ́, ényí é ná ɖu ɖo mǐ jí kpɛɖé ɔ́, é ná jɛ nǔ e é wa ɔ́ jí."
"  Ne pas être obligé d'en rien rendre à César,","Un ná sú axɔ́ axɔ́sú ɔ́ tɔn ɔ́, è nǎ sú mì ǎ."
"  Vis-à-vis de soi-même en garder le mérite,",É ná nyí ɖɔ è hɛn nǔ e è nɔ wa nú mɛ ɔ́ ɖó ayi mɛ nú émíɖée.
"  Bref, dédaignant d'être le lierre parasite,","É ɖò mɔ̌ có, ɖó mǐ nɔ́ gbɛ́ ɖɔ mǐ kún nyí nǔ e nɔ zɔ́n bɔ è nɔ ɖu nǔ é ó."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ényí mǐ ma nyí atín atín tɔn ǎ ɔ́, mǐ sixú nyí atín atín tɔn ǎ."
"  Ne pas monter bien haut, peut-être, mais tout seul !","É sixú nyí ɖɔ è kún sɔ́ xwe jǐ ó, lo ɔ́, é sixú nyí hwi ɖokpónɔ wɛ."
LE BRET:,Wǒ kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","É ná nyí hwi ɖokpónɔ wɛ, amɔ̌, é ka ná nyí mɛ bǐ wɛ a na nɔ́ fun xá ǎ."
  As-tu donc contracté la manie effroyable,Nǔ e a ka mɔ mɔ dó mɔ nǔ nyanya ɔ́ wɛ a ka jɛ a jí a?
"  De te faire toujours, partout, des ennemis ?",É ná nyí kɛntɔ́ wɛ a nɔ mɔ gbɔn fí bǐ?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ée mi mɔ ɖɔ mi ɖo xɔ́ntɔn kpa wɛ ɔ́,"
"  Et rire à ces amis dont vous avez des foules,","Mi nɔ́ ɖɔ xó dó xɔ́ntɔn mitɔn lɛ́ɛ wú, bó nɔ́ ɖɔ xó dó yě wú,"
  D'une bouche empruntée au derrière des poules !,É nɔ́ ɖɔ xó gbɔn nu e è nɔ yí sín kokló lɛ́ɛ gúdo é jí.
"  J'aime raréfier sur mes pas les saluts,",Un nɔ dó gbe mɛ e nɔ zɔn afɔ ce jí lɛ́ɛ nú yě.
  Et m'écrie avec joie: un ennemi de plus !,"É sú xó, bó ɖɔ: ""Yǒ kɛntɔ́ ɖěvo nú mì!"
LE BRET:,Wǒ kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn
  Quelle aberration !,Nǔ nyanya tɛ́ wɛ é nyí!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Éɖíe, ɛɛn, nǔ e un nɔ wa ɔ́ wɛ nyí nǔ e un nɔ wa é."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,É nɔ nyɔ́ nú mì ɖɔ è nǐ yí wǎn nú mì.
"  Mon cher, si tu savais comme l'on marche mieux","Mɛvívɛ́ ce, a tuùn ɖɔ mǐ nɔ zɔnlin ganji a"
  Sous la pistolétade excitante des yeux !,É ɖò nukúnmɛ tɔn lɛ mɛ bɔ é nɔ́ nyɔ́ nukún mɛ!
"  Comme, sur les pourpoints, font d'amusantes taches",Ɖó nǔwiwa ɖagbe lɛ wɛ è nɔ bló ɖò nǔwiwa lɛ mɛ
  Le fiel des envieux et la bave des lâches !,Nǔvɔ́nɔ lɛ́ɛ sín nǔ wɛ nɔ́ ɖu yě; nǔvɔ́nɔ lɛ́ɛ sín nǔ wɛ nɔ́ ɖu yě.
"  --Vous, la molle amitié dont vous vous entourez,","Mi mɛ e nɔ yí wǎn nú miɖée lɛ́ɛ ɔ́,"
"  Ressemble à ces grands cols d'Italie, ajourés","É cí toxo ɖaxó e è nɔ ylɔ́ ɖɔ Italíi lɛ é ɖɔhun, bɔ è nɔ ɖó azǎn"
"  Et flottants, dans lesquels votre cou s'effémine:","Yě nɔ́ ɖo hǔn mɛ, bɔ kɔ towe nɔ́ ɖo sísɔ́sísɔ́ wɛ."
"  On y est plus à l'aise. . .et de moins haute mine,",Mǐ nɔ́ mɔ ɖɔ mǐ nɔ́ jɛ mɛ ganjí.
"  Car le front n'ayant pas de maintien ni de loi,",Đó mɛ e ma nɔ ɖó hwɛ nú mɛ ǎ é ɖó hwɛhuhu ǎ.
"  S'abandonne à pencher dans tous les sens. Mais moi,","É nɔ́ jó nǔ dó nú mɛ lɛ́ɛ bǐ, bɔ é nɔ́ nɔ́ mɔ ali ɖěbǔ ǎ."
"  La Haine, chaque jour, me tuyaute et m'apprête","Hwenɛ́nu ɔ́, wǎn yíyí ɔ́ nɔ́ dó alɔ mì, bó nɔ́ dó alɔ mì"
  La fraise dont l'empois force à lever la tête;,"Azɔn ɖokpó e sín nǔvɛ́ nɔ zɔ́n bɔ é nɔ́ sɔ́ ta yi jǐ ɔ́,"
  Chaque ennemi de plus est un nouveau godron,"Xɛmɛtɔ́ ɖevo lɛ bǐ ɔ́, xɛ́ví yɔ̌yɔ́ wɛ é nyí"
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","É lɛ́ dó tagba nú mì, bó lɛ́ dó tagba nú mì."
"  Car, pareille en tous points à la fraise espagnole,",Đó nǔ e è nɔ wa gbɔn alɔkpa bǐ mɛ ɔ́ cí atínkpo e è nɔ ylɔ́ ɖɔ spanjɔ tɔn é ɖɔhun.
"  La Haine est un carcan, mais c'est une auréole !","Wǎn nyí nǔɖogbɛ ɖé, amɔ̌ é nyí sunví ɖé!"
"LE BRET (après un silence, passant son bras sous le sien):","WÉ (Lé e ɖo xwɛ kpo wɛ, bó ɖo alɔ tɔn dó alɔ tɔn mɛ wɛ ɔ́)"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Hwi mɛ e nɔ yí go ɔ́, hwi mɛ e nɔ yí go ɔ́, hwi mɛ e nɔ yí go ɔ́, hwi mɛ e nɔ yí go ɔ́, hwi mɛ e nɔ yí go ɔ́, hwi mɛ e nɔ yí go ɔ́, hwi mɛ e nɔ yí go ɔ́ sín gbe."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Dlɛ̌n ɖɔ n'i ɖɔ emi kún yí wǎn nú we ó.
CYRANO (vivement):,CYRANO (ɖò gbɛ̀):
  Tais-toi !,Hwi hwí hwí!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Xwe ɖé gudo ɔ, Christian byɔ́ xwé gbe, é jɛ ahwan xá mɛvíví lɛ́ɛ jí; mɛví lɛ́ɛ"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,nɔ ɖɔ xó nú ɛ ǎ; é wá nɔ ayǐ ɖokpo ɖo mɛ ɖokpo
