Scène 2.VIII.,Scena 2.VIII.
  La fraise dont l'empois force à lever la tête;,Il-friegħ li l-pożju tiegħu jġiegħel lilu jqajjem il-kop tiegħu;
  Chaque ennemi de plus est un nouveau godron,Kull għadu ieħor huwa ħabbar ġdid
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Li jżid lili l-ħsara, u jżid lili l-ġrajja."
"  Car, pareille en tous points à la fraise espagnole,","Għax, bħal kull ħaġa għall-frasi Spanjola,"
"  La Haine est un carcan, mais c'est une auréole !","L-Obit huwa karkan, imma huwa auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","L-BREET (wara s-silenzi, li jgħaddi l-arm tiegħu taħt tiegħu):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ħalli l-arroganti jkunu għolja u ħżiena, imma l-aktar baxxi"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Għidli biss li ma tħobbxekx!
CYRANO (vivement):,CYRANO (Ħajja):
  Tais-toi !,Iċħud!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(B'xi ħin, Christian daħal, ħass mal-knabniet; dawn"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ma jkellmu lilu; huwa finalment qiegħda waħdu għal waħda
