Scène 2.VIII.,المشهد الثاني الثامن
  Avoir un ventre usé par la marche ? une peau,أن يكون بطنيًا مُستنسخًا أثناء المشي؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",من أسرع أن يصبح قذر بدلاً من ركبتيه؟
  Exécuter des tours de souplesse dorsale ?. . .,هل يمكن أن تقوم بعمليات مرنة في ظهرك؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",لا شكراً لك، بل يد واحدة، إلتفاح مع العقد
"  Cependant que, de l'autre, on arrose le chou,",لكن من الآخر، نُسقّ الكبوب،
"  Et, donneur de séné par désir de rhubarbe,",ويتحركون في الرحم من أجل الشعر
"  Avoir son encensoir, toujours, dans quelque barbe ?",أن يكون معطفها في حنجره دائماً؟
"  Non, merci ! Se pousser de giron en giron,",لا، شكراً لك، إرتفع من مرة إلى أخرى
"  Devenir un petit grand homme dans un rond,",أن تصبح رجل كبير صغير في جولة
"  Et naviguer, avec des madrigaux pour rames,",ويتم السفر مع قوارب السفن
  Et dans ses voiles des soupirs de vieilles dames ?,و في قماشها نغمات السيدة العجوز ؟
"  Non, merci ! Chez le bon éditeur de Sercy",لا، شكراً، إلى الناشر الصحيح
"  Faire éditer ses vers en payant ? Non, merci !",هل تريد أن تُحريص ورماً من خلال الدفع؟
  S'aller faire nommer pape par les conciles,أن يُعَيّنَ البابا في المجلس
  Que dans des cabarets tiennent des imbéciles ?,أنّه في الحانات يحتفظ أحمق؟
"  Non, merci ! Travailler à se construire un nom",لا، شكراً لك، أعمل على بناء اسم
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",على صوت واحد بدلاً من جعل آخرين؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شكراً، هل يمكنك أن تجد الموهبة في المستنقع؟
"  Être terrorisé par de vagues gazettes,",أن تكون خائفاً من الصحف الموجية
"  Et se dire sans cesse: Oh, pourvu que je sois","ويقول دائماً: ""أوه، إذا كنت"
  Dans les petits papiers du Mercure François ?. . .,في ورق مركور فرانسيس الصغيرة؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",لا، شكراً، الحساب، الخوف، البلاغ،
"  Aimer mieux faire une visite qu'un poème,",أحب زيارتك أكثر من قصيدة
"  Rédiger des placets, se faire présenter ?",أكتب بعض الملفات، أقدم نفسي؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",لا، شكراً، لا، شكراً، لا، شكراً، ولكن...
"  Rêver, rire, passer, être seul, être libre,",الحلم، الضحك، المرور، أن تكون وحيداً، أن تكون حراً،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",أن يكون عيونك واضحة، صوتك متحرج،
"  Mettre, quand il vous plaît, son feutre de travers,",إضافة، عندما تريد، شعوره من الخاطئ،
"  Pour un oui, pour un non, se battre,--ou faire un vers !",من أجل نعم، من أجل لا، القتال، أو التدخل!
"  Travailler sans souci de gloire ou de fortune,",لا تعمل دون أن تكون متأثرة بالجلال أو الثروة
"  A tel voyage, auquel on pense, dans la lune !",رحلة إلى القمر التي تفكر بها
"  N'écrire jamais rien qui de soi ne sortît,",لا تكتب أبداً أي شيء لا يخرج من نفسك
"  Et modeste d'ailleurs, se dire: mon petit,","وبالطبع، التواضع، أن تقول لنفسك، ""صغيري،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",ويتم الإشباع بالزهور و الفواكه و حتى الأوراق
  Si c'est dans ton jardin à toi que tu les cueilles !,إذا كان في حديقتك أنت تقتله
"  Puis, s'il advient d'un peu triompher, par hasard,",ثم إذا نجح قليلاً،
"  Ne pas être obligé d'en rien rendre à César,",لا تُضطر إلى دفع أيّ شيء لقيصر،
"  Vis-à-vis de soi-même en garder le mérite,",وبالنسبة لنفسك، تحافظ على مستحقيتها
"  Bref, dédaignant d'être le lierre parasite,",في كل الأحوال، وبالإستفادة من كونها الحشرة الطفيلية،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",حتى لو لم تكن شجرة البلوط أو الشجر
"  Ne pas monter bien haut, peut-être, mais tout seul !",ربما لا يصل إلى الأعلى، ولكن لوحدك
LE BRET:,-أجل
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",لو كان بمفرده، لكن ليس ضد الجميع
  As-tu donc contracté la manie effroyable,هل أصبت بالهراء المروعة
"  De te faire toujours, partout, des ennemis ?",أن تجعل نفسك دائماً أعداء في كل مكان؟
CYRANO:,(سيرانو):
"  A force de vous voir vous faire des amis,",من خلال رؤيتكما تجمعان بعضكما البعض
"  Et rire à ces amis dont vous avez des foules,",و تضحك على هؤلاء الأصدقاء الذين لديك جماعات
  D'une bouche empruntée au derrière des poules !,من فم مستعير من خلف الدجاج!
"  J'aime raréfier sur mes pas les saluts,",أحب أن أُسلم على قدمي
  Et m'écrie avec joie: un ennemi de plus !,وصرخ لي بسعادة: عدو آخر!
LE BRET:,-أجل
  Quelle aberration !,يا له من تفاجأ
CYRANO:,(سيرانو):
"  Eh bien, oui, c'est mon vice.",حسناً، نعم، هذا هو عذري
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,أنا أحب أن يكرهها
"  Mon cher, si tu savais comme l'on marche mieux",عزيزتي، لو كنت تعرف كيف تسير أفضل
  Sous la pistolétade excitante des yeux !,تحت ظهرك المثير للنظر
"  Comme, sur les pourpoints, font d'amusantes taches",كما أنّه على النقاط، يُصبحون بقع مُضحكة
  Le fiel des envieux et la bave des lâches !,""" زينة الحسود و خنزير الخائفين """
"  --Vous, la molle amitié dont vous vous entourez,",أنت، الصداقة اللطيفة التي تحيطين بها
"  Ressemble à ces grands cols d'Italie, ajourés",يبدو مثل هذه الكلاب الكبيرة في إيطاليا،
"  Et flottants, dans lesquels votre cou s'effémine:",والغواص التي تُزيل فيها رقبتك
"  On y est plus à l'aise. . .et de moins haute mine,",نحن أكثر راحة هناك. . .وأقل من المقدمة،
"  Car le front n'ayant pas de maintien ni de loi,",لأن الجبهة لا تملك حكم أو قانون
"  S'abandonne à pencher dans tous les sens. Mais moi,",إنه يتوقف عن التفكير في كل شيء، ولكنني
"  La Haine, chaque jour, me tuyaute et m'apprête",كل يوم، الكراهية تُسخّنني وتُعدّني
  La fraise dont l'empois force à lever la tête;,وجبة الفراولة التي يضطر لها السم لرفع رأسها
  Chaque ennemi de plus est un nouveau godron,كل عدو آخر هو جبان جديد
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",و يزداد لي العار و يزداد لي ضجة
"  Car, pareille en tous points à la fraise espagnole,",لأنه في كل شيء مثل الفراولة الإسبانية
"  La Haine est un carcan, mais c'est une auréole !",الكراهية هي كوكبة، ولكنها طائر
"LE BRET (après un silence, passant son bras sous le sien):",الاندفاع (بعد الصمت ، تمرير ذراعها تحت ذراعها):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","""أرفع الكبرياء وترجعهم إلى المرح، ولكن تراجعوا"""
  Dis-moi tout simplement qu'elle ne t'aime pas !,فقط أخبرني أنها لا تحبك
CYRANO (vivement):,(سيرانو)
  Tais-toi !,-إخرس
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(منذ فترة، دخل كريستيان، وارتبط مع القاصرين،
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,لا يُحدثونَه، وأخيراً يَجْلِسُ وحدهُ في
