Scène 2.VIII.,סצענע 2.VIII.
  Et comme un lierre obscur qui circonvient un tronc,און ווי אַ פינצטער לידער וואָס סערווינד אַ טראָגן
"  Et s'en fait un tuteur en lui léchant l'écorce,","און ער מאכט זיך אַ באַהאַלטן פֿון אים, און לייגט אים די שורש,"
  Grimper par ruse au lieu de s'élever par force ?,צו קלאַפּן דורך קלוג אַנשטאָט פון זיך צו הייבן דורך קראַפט?
"  Non, merci. Dédier, comme tous il le font,","ניין, דאַנקען דיר. דעדאַקייט, ווי אַלעמען טאָן,"
  Des vers aux financiers ? se changer en bouffon,פון וואָרמס צו פינאַנציאַלס?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","אין די נאַריש האָפֿן צו זען, אין די מויל פון אַ מיניסטאַר,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","צו געבוירן אַ שמייכל, נאָך אַלע, וואָס איז נישט סינסט?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","ניין, דאַנקען דיר. לאָנטש, יעדער טאָג, פון אַ טשאַקקאָוד?"
  Avoir un ventre usé par la marche ? une peau,צו האָבן אַ בויך געװאָרן דורך גיין? אַ הויט
"  Qui plus vite, à l'endroit des genoux, devient sale ?","וואָס גיכער, אין דעם אָרט פון די ברעך, ווערט שמוץ?"
  Exécuter des tours de souplesse dorsale ?. . .,צו פֿאָרשטעלן ראַקספּלעקסיבאַל טורנס? . . .
"  Non, merci. D'une main flatter la chèvre au cou",ניט דאַנקען איר. מיט איין האַנט פלעיט די קאַץ צו די האַלדז
"  Cependant que, de l'autre, on arrose le chou,","אָבער אַז די אנדערע, איר וואָטערינג די קאַפּל,"
"  Et, donneur de séné par désir de rhubarbe,","און ער גיט די שוואַנגערשאַפט פון ראַבאַרב,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","צו האָבן זיין ינסאַדזשער, שטענדיק, אין עטלעכע באַרב?"
"  Non, merci ! Se pousser de giron en giron,","נישט, דאַנקען דיר! צו גראָוינג זיך פון קייַלעכיק צו קייַלעכיק,"
"  Devenir un petit grand homme dans un rond,","ווערן אַ קליין גרויס מענטש אין אַ ראָונד,"
"  Et naviguer, avec des madrigaux pour rames,","און אַרומפאָרן מיט מאַדריגאַנס פֿאַר ראַמעס,"
  Et dans ses voiles des soupirs de vieilles dames ?,און אין זיין וועילס פון אַלט דאַמעס ס סוירינגס?
"  Non, merci ! Chez le bon éditeur de Sercy","ניט, דאַנקען איר! ביי די רעכט סערסי רעדאַקטאָר"
"  Faire éditer ses vers en payant ? Non, merci !",צו מאַכן איר ווערמס רעדאַקט דורך פּייינג?
  S'aller faire nommer pape par les conciles,גיין ווערן פּאָפּאַל דורך קאָנסילס
  Que dans des cabarets tiennent des imbéciles ?,אַז אין קאַבאַרעטס האַלטן טויפלעך?
"  Non, merci ! Travailler à se construire un nom","נישט, דאַנקען דיר! אַרבעט צו בויען אַ נאָמען פֿאַר זיך"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","אויף אַ סאָנעט, אַנשטאָט פון מאַכן אנדערע?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,דאַנקען דיר! נאָר צו אַנטדעקן טאַלאַנט אין די מאַטעס?
"  Être terrorisé par de vagues gazettes,","צו זיין טערארייזד דורך וואַוול צייטונגען,"
"  Et se dire sans cesse: Oh, pourvu que je sois","און שטענדיק זאָגן זיך: אָ, אויב איך בין"
  Dans les petits papiers du Mercure François ?. . .,אין די קליינע פּאַפּיערס פון דער מערקיר פראַנסיס? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ניין, דאַנקען דיר! רעכענען, מורא, זיין בלום,"
"  Aimer mieux faire une visite qu'un poème,","בעסער ליב צו האָבן אַ באַזוכן ווי אַ פּאָעמיע,"
"  Rédiger des placets, se faire présenter ?","צו שרייבן קליידער, זיך באַקענען?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","ניין, דאַנקען דיר, דאַנקען דיר, דאַנקען דיר, אָבער זינגען,"
"  Rêver, rire, passer, être seul, être libre,","צו חלום, צו לאַכן, צו פאָרן, צו זיין אַליין, צו זיין פֿרייַ,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","צו האָבן אַ אויג וואָס זעט גוט, אַ קול וואָס וויבאַלז,"
"  Mettre, quand il vous plaît, son feutre de travers,","שטעלן, ווען איר ווילט, זייַן געפיל פון פאַרשפּרייטן,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","פֿאַר אַ יאָ, פֿאַר אַ ניט, קעמפן, - אָדער מאַכן אַ וואָרם!"
"  Travailler sans souci de gloire ou de fortune,","אַרבעט אָן זאָרג פֿאַר כבוד אָדער רייַך,"
"  A tel voyage, auquel on pense, dans la lune !","צו אַזאַ אַ נסיעה, וואָס מיר טראַכטן, אין די לבנה!"
"  N'écrire jamais rien qui de soi ne sortît,","קיינמאָל שרייַבן עפּעס וואָס טוט נישט קומען פון זיך,"
"  Et modeste d'ailleurs, se dire: mon petit,","און אַמאָל אַ פּשוט, זאָגן זיך:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","און צופֿרידן זיך מיט בלומען, מיט פרוכט, מיט בלעטער,"
  Si c'est dans ton jardin à toi que tu les cueilles !,אויב איר קלייַבן זיי אין דיין גאָרטן!
"  Puis, s'il advient d'un peu triompher, par hasard,","און אויב ער וועט אַ ביסל צוטריט,"
"  Ne pas être obligé d'en rien rendre à César,","און איך בין נישט געצויגן צו געבן קיין צאָל צו קיסר,"
"  Vis-à-vis de soi-même en garder le mérite,","פֿאַר זיך צו האַלטן די מעלדונג פון עס,"
"  Bref, dédaignant d'être le lierre parasite,","אין קורץ, אָפּגעזען צו זיין די לירע פּאַראַסאַט,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","אפילו ווען מיר זענען נישט די עקן אָדער די טילל,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","נישט צו הויך, טאָמער, אָבער אַליין!"
LE BRET:,די ברעט:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","אַליין, אָבער ניט קעגן אַלע! ווי די טייַוול"
  As-tu donc contracté la manie effroyable,אַזוי איר האָבן קאַנסאַנטראַד די שרעקלעך מאַניאַ
"  De te faire toujours, partout, des ennemis ?","צו מאַכן זיך שטענדיק, אומגעוואָרפן, שונאים?"
CYRANO:,סיראנו:
"  A force de vous voir vous faire des amis,","דורך געזען איר מאַכן פריינט,"
"  Et rire à ces amis dont vous avez des foules,","און צו לאַכן צו די פריינט וואס איר האָבן אַ מאַסע,"
  D'une bouche empruntée au derrière des poules !,מיט אַ מויל לאָנטשט אין די הינדלעך פון די הינדלעך!
"  J'aime raréfier sur mes pas les saluts,","איך האָב ליב צו ראַרעווען אויף מיין פֿיס,"
  Et m'écrie avec joie: un ennemi de plus !,און שרײַבט צו מיר מיט פֿרייד: נאָך אַ פייַנט!
LE BRET:,די ברעט:
  Quelle aberration !,וואָס אַבעריישאַן!
CYRANO:,סיראנו:
"  Eh bien, oui, c'est mon vice.","נו, יאָ, דאָס איז מיין וויק."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"איך האָב ליב, אַז מען האָט מיך פֿאַרשויטן."
"  Mon cher, si tu savais comme l'on marche mieux","מיין טייער, אויב איר וויסן ווי צו גיין בעסער"
  Sous la pistolétade excitante des yeux !,אונטער די יקסייטינג פּיסטאַלאַטאַד פון די אויגן!
"  Comme, sur les pourpoints, font d'amusantes taches","ווי, אויף די פוינטס, מאַכן שפּאַס ספּאַץ"
  Le fiel des envieux et la bave des lâches !,די ווייל פון די יענדזשאַז און די באַט פון די קאָוואַ!
"  --Vous, la molle amitié dont vous vous entourez,","איר, די ווייך פרייַנדשאַפט אַז איר אַרומפאָרן,"
"  Ressemble à ces grands cols d'Italie, ajourés","ענלעך צו די גרויס איטאַליעניש קאַלס, דאַונדזשד"
"  Et flottants, dans lesquels votre cou s'effémine:","און פלאָוינג, אין וואָס דיין האַלדז פייַנננדיק:"
"  On y est plus à l'aise. . .et de moins haute mine,","מיר זענען מער באַקוועם אין עס. . . און ווייניקער הויך מייַן,"
"  Car le front n'ayant pas de maintien ni de loi,","פֿאַר די פראָנט האט ניט קעראַץ און געזעץ,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",ער גיט זיך צו קניידן אין אַלע פערקינגס.
"  La Haine, chaque jour, me tuyaute et m'apprête","די שנאה, יעדער טאָג, פּיץ מיר און פּריפּעץ מיר"
  La fraise dont l'empois force à lever la tête;,"די פרייז, וועמענס פּוילן שטריקט צו הייבן די קאָפּ;"
  Chaque ennemi de plus est un nouveau godron,יעדער מער פייַנט איז אַ נייַע גראָון
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",וואָס האָט מיר צוגעגעבן אַ צאָרער און פֿאַרשפּרייט צו מיר:
"  Car, pareille en tous points à la fraise espagnole,","פֿאַר, ווי אין אַלע וועגן צו די שפּאַניש פרייז,"
"  La Haine est un carcan, mais c'est une auréole !","די שנאה איז אַ קאַרקאַן, אָבער עס איז אַ אַורעאָל!"
"LE BRET (après un silence, passant son bras sous le sien):","די ברעט (נאָך שטילקייַט, פּאַסינג זיין אָרעם אונטער זיין):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","מאַכן די הויך שטאָלץ און ביטער, אָבער, אַראָפּ"
  Dis-moi tout simplement qu'elle ne t'aime pas !,זאג מיר נאָר אַז זי האָט נישט ליב איר!
CYRANO (vivement):,CYRANO (לעבעדיק):
  Tais-toi !,שטיל!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(פֿאַר אַ בשעת, קריסטיאַן איז אריין, ער איז אַרייַנגעטריבן אין די קידזשאַנז; די"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ניט רעדן צו אים; ער איז אין די סוף זיצן אַליין צו אַ
