Scène 2.VIII.,দৃশ্য ২.৮।
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","নহয়, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ"
"  Rêver, rire, passer, être seul, être libre,","সপোন, হাঁহি, পাৰ হৈ যোৱা, একাকাৰ, মুক্ত,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","চকুৱে ভালকৈ চোৱা, কণ্ঠে ভালকৈ কণ্ঠদান কৰা,"
"  Mettre, quand il vous plaît, son feutre de travers,","তুমি ইচ্ছা কৰিলেই তোমাৰ অনুভূতিটো ভুল কৰিবা,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","'হয়' বা 'নহয়'ৰ বাবে, যুদ্ধ কৰা, বা 'পুৰ' কৰা!"
"  Travailler sans souci de gloire ou de fortune,","গৌৰৱ বা ধন-সম্পত্তিৰ বাবে চিন্তা নকৰাকৈ কাম কৰা,"
"  A tel voyage, auquel on pense, dans la lune !","এনে এটা যাত্ৰা, যিটো মনলৈ আহে, চন্দ্ৰলৈ!"
"  N'écrire jamais rien qui de soi ne sortît,","কেতিয়াও একো লিখিব নালাগে যিটো নিজে পৰা নহয়,"
"  Et modeste d'ailleurs, se dire: mon petit,","আৰু নম্ৰভাৱেও, নিজকে ক'ব, ""মোৰ ল'ৰা,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","ফুল, ফল, পাত,"
  Si c'est dans ton jardin à toi que tu les cueilles !,যদিহে আপুনি নিজৰ বাগিচাত এইবোৰ কাটিছে!
"  Puis, s'il advient d'un peu triompher, par hasard,","আৰু যদি তেওঁ অলপ বিজয়ী হয়,"
"  Ne pas être obligé d'en rien rendre à César,",আৰু কৈচৰৰ আগত একো পৰিশোধ কৰিবলৈ বাধ্য নহ'বা;
"  Vis-à-vis de soi-même en garder le mérite,","নিজৰ প্ৰতি নিজৰ সন্মান ৰাখিবলৈ,"
"  Bref, dédaignant d'être le lierre parasite,","মুঠতে, পক্ষাঘাতকাৰী লৰচৰ হোৱাৰ প্ৰতি বিদ্বেষ প্ৰকাশ কৰি,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","যদিও আমি বগা বা গছনি নহওঁ,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","হয়তো উচ্চতাত উঠিব নোৱাৰি, কিন্তু আপুনি নিজেই!"
LE BRET:,ব্ৰেটঃ
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","একা, হয়, কিন্তু সকলোৰে বিৰুদ্ধে নহয়!"
  As-tu donc contracté la manie effroyable,তুমি কি ভয়ানক ম্যানিয়া পালা?
"  De te faire toujours, partout, des ennemis ?",সকলো ঠাইতে শত্ৰু কৰি থাকিব?
CYRANO:,চিৰাণোঃ
"  A force de vous voir vous faire des amis,","যেতিয়া মই দেখিছো যে আপোনালোকে বন্ধু হৈ আছে,"
"  Et rire à ces amis dont vous avez des foules,","আৰু তোমাৰ বন্ধুসকলৰ ওপৰত হাঁহিবা, যাৰ সমষ্টিত তোমাৰ বহু লোক আছে,"
  D'une bouche empruntée au derrière des poules !,এটা মুখৰ পৰা ম'হ!
"  J'aime raréfier sur mes pas les saluts,","মই মোৰ পদূলিত নমস্কাৰৰ শব্দবোৰ কমকৈ ক'ব পাৰোঁ,"
  Et m'écrie avec joie: un ennemi de plus !,"আৰু মোক আনন্দৰে ক'ব, ""এজন আৰু শত্ৰু!"
LE BRET:,ব্ৰেটঃ
  Quelle aberration !,কি অপৰাধ!
CYRANO:,চিৰাণোঃ
"  Eh bien, oui, c'est mon vice.","হয়, মোৰ এটা বেয়া অভ্যাস আছে।"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,মই বিদায় ল'বলৈ ভাল পাওঁ। মোক ঘৃণা কৰাটো ভাল পাওঁ।
"  Mon cher, si tu savais comme l'on marche mieux","মোৰ প্ৰিয়তমা, তুমি যদি জানিলা যে আমি ভালকৈ কেনেকৈ চলিব পাৰো"
  Sous la pistolétade excitante des yeux !,চকুৰ আকৰ্ষণীয় অস্ত্ৰ-শস্ত্ৰৰ তলত!
"  Comme, sur les pourpoints, font d'amusantes taches","যেনে, পয়েন্টত মজাৰ দাগবোৰ"
  Le fiel des envieux et la bave des lâches !,হিংস্ৰৰ বিষ আৰু ভয়াতুৰ লোকৰ বিষ!
"  --Vous, la molle amitié dont vous vous entourez,","--আপুনি, আপোনাৰ মাজত থকা মৃদু বন্ধুত্ব,"
"  Ressemble à ces grands cols d'Italie, ajourés","ইটালীৰ এই বৃহৎ কলিজবোৰৰ দৰে, বিলম্বিত"
"  Et flottants, dans lesquels votre cou s'effémine:",আৰু তোমাৰ ঘাড়ৰ পানীৰে ঢাকি থকা পানী।
"  On y est plus à l'aise. . .et de moins haute mine,","আমি ইয়াত অধিক আৰামদায়ক। . . আৰু কম উচ্চতাত,"
"  Car le front n'ayant pas de maintien ni de loi,","কিয়নো মুখৰ কোনো নিয়ম নাই আৰু বিধানও নাই,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",তেওঁ সকলো দিশতে দৃষ্টিভংগীৰে আগবাঢ়ি যায়।
"  La Haine, chaque jour, me tuyaute et m'apprête",ঘৃণাই মোক প্ৰতিদিনে চুব আৰু মোক প্ৰস্তুত কৰিব
  La fraise dont l'empois force à lever la tête;,তাৰ বিষে তাৰ মূৰটো তুলি ধৰিব;
  Chaque ennemi de plus est un nouveau godron,আৰু প্ৰতিজন শত্ৰু নতুন ডেকৰ দৰে
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",তেওঁ মোক দুখ আৰু বিদ্ৰূপ যোগ কৰিলে;
"  Car, pareille en tous points à la fraise espagnole,","কাৰণ, সকলো দিশতে স্পেনিচ ফ্রাজৰ দৰে,"
"  La Haine est un carcan, mais c'est une auréole !","ঘৃণা এটা ক'লা পোক, কিন্তু ই এটা অ'ৰ'ইল!"
"LE BRET (après un silence, passant son bras sous le sien):","ব্রেট (শব্দহীনতাৰ পিছত, তেওঁৰ বাহু তেওঁৰ অধীনত পাৰ):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","অহংকাৰীসকলক উচ্চ আৰু তিক্ত কৰা, কিন্তু নম্ৰ হোৱা"
  Dis-moi tout simplement qu'elle ne t'aime pas !,মোক কোৱা যে তেওঁ তোমাক ভাল নাপায়!
CYRANO (vivement):,চিৰাণো (জীৱন্ত):
  Tais-toi !,চুপ কৰা!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(কোনো সময়ত, খ্ৰীষ্টান আহিল, কনিষ্ঠসকলৰ সৈতে জড়িত হৈ পৰিল;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"তেওঁ কোনো কথা নকয়, শেষত তেওঁ একান্ততে বহি থাকে"
