Scène 2.VIII.,2.8. eszena.
  Si c'est dans ton jardin à toi que tu les cueilles !,Zure lorategian biltzen badituzu!
"  Puis, s'il advient d'un peu triompher, par hasard,","Eta, gainera, irabazten badu,"
"  Ne pas être obligé d'en rien rendre à César,","ez duzu zertan Zesarri ordaindu,"
"  Vis-à-vis de soi-même en garder le mérite,",Bere buruaz beste egin eta bere meritua mantendu.
"  Bref, dédaignant d'être le lierre parasite,","Laburbilduz, ez dut uste liztor parasitoa naizenik."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Zuhaitz edo zuhaitz ez bagara ere,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ez igo oso altu, beharbada, baina bakarrik."
LE BRET:,-Hau da.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Bakarrik, baina ez guztiekin."
  As-tu donc contracté la manie effroyable,"Beraz, maniatiko izugarria hartu duzu?"
"  De te faire toujours, partout, des ennemis ?",Etsaiak edonon edukitzea?
CYRANO:,- Zer gertatzen da?
"  A force de vous voir vous faire des amis,",Lagunak egiten ikusi zintuztedalako.
"  Et rire à ces amis dont vous avez des foules,",Eta barre egin jende asko dituzun lagun horiei.
  D'une bouche empruntée au derrière des poules !,Ahoa oilaskoen atzetik!
"  J'aime raréfier sur mes pas les saluts,",Ez dut inoiz agurtzen.
  Et m'écrie avec joie: un ennemi de plus !,"Eta oihu egin iezadazu: ""Eta beste etsai bat!"""
LE BRET:,-Hau da.
  Quelle aberration !,Zer aberria!
CYRANO:,- Zer gertatzen da?
"  Eh bien, oui, c'est mon vice.","Bai, hori da nire arazoa."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Atsegin dut jendeak gorrotatzea.
"  Mon cher, si tu savais comme l'on marche mieux","Maitea, hobeto ibiltzen bagara,"
  Sous la pistolétade excitante des yeux !,Begien pistolaren azpian!
"  Comme, sur les pourpoints, font d'amusantes taches",Nola egiten diren puntuaketa dibertigarriak.
  Le fiel des envieux et la bave des lâches !,Inbidiazkoen mina eta koldarren mina!
"  --Vous, la molle amitié dont vous vous entourez,","- Zu, zure lagunik maitagarriena,"
"  Ressemble à ces grands cols d'Italie, ajourés","Italiako lepoko handi horiek bezalakoa, atzeratuta."
"  Et flottants, dans lesquels votre cou s'effémine:","Eta flotatzen, eta lepoa zurrupatzen dizute."
"  On y est plus à l'aise. . .et de moins haute mine,",Erosoago gaude. Eta altuera gutxiago.
"  Car le front n'ayant pas de maintien ni de loi,",Aurpegiak ez du legea eta ez du legea.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Alde guztietatik joatea uzten du.
"  La Haine, chaque jour, me tuyaute et m'apprête",Gorrotoa egunero sartzen zait buruan.
  La fraise dont l'empois force à lever la tête;,"Marrubiak, bere pozoiaz, burua altxatzen du."
  Chaque ennemi de plus est un nouveau godron,Etsai gehiago bakoitza txakur berri bat da.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Eta gainera, mina eta eragozpen gehiago."
"  Car, pareille en tous points à la fraise espagnole,",Espainiako marrubiaren antzekoa da.
"  La Haine est un carcan, mais c'est une auréole !","Gorrotoa txakurra da, baina aurreola bat da!"
"LE BRET (après un silence, passant son bras sous le sien):","BREET (Isilik ondoren, bere besoak bere azpian pasatzen):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Harroputz eta mingarria izan, baina beherakoa."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Esaidazu ez zaituela maite!
CYRANO (vivement):,CYRANO (bizitzen):
  Tais-toi !,Isildu zaitez!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Denbora batez, Christian sartu zen, gazteekin nahastu zen; hauek"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"ez zion hitz egin, eta azkenean bakarrik eseri zen"
