Scène 2.VIII.,दृश्य २.८.
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","नयँ, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद"
"  Rêver, rire, passer, être seul, être libre,","सपना देखऽ, हँसऽ, गुजरऽ, अकेले रहऽ, खाली रहऽ,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के आँख के
"  Mettre, quand il vous plaît, son feutre de travers,","जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे, जब चाहे,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","हां के लिए, नहीं के लिए, लड़ो, - या एक कीड़ा करो!"
"  Travailler sans souci de gloire ou de fortune,","काम करे के बिना महिमा चाहे धन के चिंता करे के चाही,"
"  A tel voyage, auquel on pense, dans la lune !","एक यात्रा के बारे में, जेकरा बारे हम सोचऽ हिअइ, चंद्रमा में !"
"  N'écrire jamais rien qui de soi ne sortît,","कभी भी कुछ भी लिखना जे खुद से निकलतई,"
"  Et modeste d'ailleurs, se dire: mon petit,","आउ खुद के विनम्र, अपनहीं से कहइत हल, ""माई लइका,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","चाहे फूल, चाहे फल, चाहे पत्ते से भी,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"अगर अपने के बगइचा में ई सब कुछ हइ, त अपने के ई सब कुछ चाही !"
"  Puis, s'il advient d'un peu triompher, par hasard,","आउ अगर ओकरा कुछो न कुछ मिल जाय,"
"  Ne pas être obligé d'en rien rendre à César,",आउर कैसर के कुछ देबे के नञ बाध्य होवे ।
"  Vis-à-vis de soi-même en garder le mérite,","अपनहीं के प्रति एकर श्रेय रखऽ,"
"  Bref, dédaignant d'être le lierre parasite,","संक्षेप में, परजीवी लीर होने से इनकार करते हुए,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","चाहे हम ओकरी रूख न हई चाहे ऊ बगीचा न हई,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","शायद ऊ बहुत ऊँच नयँ जा हइ, लेकिन अपने खुद !"
LE BRET:,"""ई केकरा बारे बात कर रहलथिन हँ ?"
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","अकेले, चाहे, लेकिन सब के खिलाफ नयँ !"
  As-tu donc contracté la manie effroyable,"""त की ई भयंकर मदिरा तोरा लगी नयँ हलइ ?"
"  De te faire toujours, partout, des ennemis ?","अपने के हमेशा दुश्मन बनावे के लेल, सब जगह?"
CYRANO:,साइरोनो:
"  A force de vous voir vous faire des amis,","जब हम तोरा से दोस्ती करे के कोशिश करबउ,"
"  Et rire à ces amis dont vous avez des foules,","आउ ई तरह के दोस्त के हँसी उड़ावल जाय, जेकरा में तूँ भीड़ हकइ,"
  D'une bouche empruntée au derrière des poules !,एगो मुह से उधार लेलकइ मुर्गा के पछाड़!
"  J'aime raréfier sur mes pas les saluts,","हमरा अपन गोड़ पर सलाम देवे के आदत पड़ गेलइ,"
  Et m'écrie avec joie: un ennemi de plus !,"हमरा से ऊ खुशी के मारे चिचियावे लगलन - ""एकगो दुश्मन आउ !"
LE BRET:,"""ई केकरा बारे बात कर रहलथिन हँ ?"
  Quelle aberration !,ई कइसन विभेद हइ !
CYRANO:,साइरोनो:
"  Eh bien, oui, c'est mon vice.","अच्छऽ, हाँ, ई हमर व्यसन हइ ।"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"हमरा खुशी हइ, कि हमरा छोड़ देल गेले ह, हमरा घृणा करे के चाही ।"
"  Mon cher, si tu savais comme l'on marche mieux","""माई, अगर तूँ जानऽ हलऽ कि हम कइसे बेहतर चलऽ हिअइ,"
  Sous la pistolétade excitante des yeux !,ओकर आँख के सामने एगो तेज हथियार हलइ !
"  Comme, sur les pourpoints, font d'amusantes taches","जैसे, संदर्भ पर मजेदार धब्बे करो"
  Le fiel des envieux et la bave des lâches !,ईर्ष्यालु के जलन आउ ढीठ के बेदना !
"  --Vous, la molle amitié dont vous vous entourez,","- ""तूँ, अपन दोस्ती के सहारा,"
"  Ressemble à ces grands cols d'Italie, ajourés","इटाली के बड़हन गर्दन के तरह लगऽ हइ, देरी से"
"  Et flottants, dans lesquels votre cou s'effémine:","आउ जइसे तोरा गरदन में पानी फइलऽ हइ,"
"  On y est plus à l'aise. . .et de moins haute mine,","हम हुआँ अधिक सहज हो जा हियो . . . और कम ऊंचा,"
"  Car le front n'ayant pas de maintien ni de loi,","काहेकि आमदी के कोई विधि-विधान नयँ हइ, आउ कानून नयँ हइ,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","ऊ हर तरह के झुकाव से गुजरऽ हइ, लेकिन हमरा,"
"  La Haine, chaque jour, me tuyaute et m'apprête",घृणा हमरा रोज चोखा दे हइ आउ हमरा से बहुत दूर जा हइ
  La fraise dont l'empois force à lever la tête;,एगो स्ट्रैज जेकर जहर ओकर सिर उठावे के मजबूर कर दे हइ;
  Chaque ennemi de plus est un nouveau godron,हर दुश्मन नया गद्रो है
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","हमरा लेल ई एगो दुखद काम हको, आउर हमरा लेल ई एगो त्रासद घड़ी हे ।"
"  Car, pareille en tous points à la fraise espagnole,","काहे कि, हर तरह से स्पेनिश स्ट्रैप के समान,"
"  La Haine est un carcan, mais c'est une auréole !","नफरत एगो गड्ढा हइ, लेकिन ई एगो सूरजमुखी हइ !"
"LE BRET (après un silence, passant son bras sous le sien):",""" (चुपचाप, अपन हाथ के नीचे अपन हाथ के नीचे)"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","ऊ घमण्ड करऽ हइ, ऊ घमण्ड करऽ हइ, ऊ घमण्ड करऽ हइ, ऊ घमण्ड करऽ हइ, ऊ घमण्ड करऽ हइ, ऊ घमण्ड करऽ हइ ।"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"हमरा से कहथिन, कि ऊ तोरा प्यार नयँ करऽ हको !"
CYRANO (vivement):,CYRANO (जीवित):
  Tais-toi !,चुप हो जा !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(एक पल के बाद, क्रिश्चियन अंदर अइलइ, किशोरों के साथ जुड़लइ; ई"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ओकरा से बात नयँ करते जा हथिन; आखिरकार ऊ अकेल्ले एगो
