Scène 2.VIII.,ದೃಶ್ಯ 2.VIII.
  Exécuter des tours de souplesse dorsale ?. . .,ಬೆನ್ನು ತಿರುವುಗಳನ್ನು ಚಲಾಯಿಸುವುದು? . . .
"  Non, merci. D'une main flatter la chèvre au cou",ಒಂದು ಕೈಯಿಂದ ಬೇಕೆ ಕುತ್ತಿಗೆಗೆ ತಕ್ಕಂತೆ
"  Cependant que, de l'autre, on arrose le chou,","ಆದರೆ, ಇನ್ನೊಂದಕ್ಕೆ ನಾವು ಕೆನೆ ಹಾಕಿದರೆ,"
"  Et, donneur de séné par désir de rhubarbe,",ಮತ್ತು ಹಸಿವಿನ ಹಸಿವಿನಿಂದ ಮುದ್ದನ್ನು ಕೊಡುವವನು.
"  Avoir son encensoir, toujours, dans quelque barbe ?",ಅವನ ಸುಗಂಧದ ಕೊಳವೆಯನ್ನು ಯಾವಾಗಲೂ ಒಂದು ದವಡೆಗೆ ಇಟ್ಟುಕೊಂಡಿರುತ್ತೀಯಾ?
"  Non, merci ! Se pousser de giron en giron,","ಇಲ್ಲ, ಧನ್ಯವಾದಗಳು. ಒಂದು ತಿರುವು ತಿರುವು,"
"  Devenir un petit grand homme dans un rond,","ಒಂದು ಸುತ್ತಿನಲ್ಲಿ ದೊಡ್ಡ ಮನುಷ್ಯನಾಗುವ,"
"  Et naviguer, avec des madrigaux pour rames,","ಮತ್ತು ಹಡಗುಗಳು, ರಾಮ್ಗಳ ಮಡ್ರಿಗೇಡ್ಗಳೊಂದಿಗೆ,"
  Et dans ses voiles des soupirs de vieilles dames ?,ಮತ್ತು ಅದರ ದೀಪಗಳಲ್ಲಿ ಹಳೆಯ ಮಹಿಳೆಯರ ಉಬ್ಬುಗಳು?
"  Non, merci ! Chez le bon éditeur de Sercy","ಇಲ್ಲ, ಧನ್ಯವಾದಗಳು."
"  Faire éditer ses vers en payant ? Non, merci !",ಹಣದ ಮೂಲಕ ಕವನಗಳನ್ನು ಸಂಪಾದಿಸಲು?
  S'aller faire nommer pape par les conciles,ಪೋಪ್ ಆಗಿ ನಾಮನಿರ್ದೇಶನಗೊಳ್ಳಲು ಸಮಾವೇಶಗಳು
  Que dans des cabarets tiennent des imbéciles ?,ಮೂರ್ಖರು ಕೋಣೆಗಳಲ್ಲಿ ಇರ್ತಾರೆಂದು?
"  Non, merci ! Travailler à se construire un nom",ನಾನೊಬ್ಬ ನಾಮಪತ್ರ ಮಾಡುವ ಕೆಲಸ
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","ಒಂದು ಸೋನಿಟ್ ನಲ್ಲಿ, ಬೇರೆ ಸೋನಿಟ್ ಗಳನ್ನ ಮಾಡದೆ?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"ಧನ್ಯವಾದಗಳು, ಪ್ರತಿಭೆಯನ್ನು ಕೇವಲ ಕೊಳವೆಗಳಲ್ಲಿ ಮಾತ್ರ ಕಂಡುಹಿಡಿಯುವುದು?"
"  Être terrorisé par de vagues gazettes,","ಅಲೆದಾಡುವ ಪತ್ರಿಕೆಗಳಿಂದ ಭಯಭೀತರಾಗುವುದು,"
"  Et se dire sans cesse: Oh, pourvu que je sois","ಮತ್ತು ನಿರಂತರವಾಗಿ ಹೇಳುವುದು, ""ಓಹ್, ನಾನು ಆಗಿದ್ದರೆ"
  Dans les petits papiers du Mercure François ?. . .,ಮರ್ಕ್ಯುರಿ ಫ್ರಾನ್ಸಿಸ್ನ ಸಣ್ಣ ಪತ್ರಿಕೆಗಳಲ್ಲಿ? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ಇಲ್ಲ, ಧನ್ಯವಾದಗಳು. ಲೆಕ್ಕಾಚಾರ, ಭಯ, ದುಃಖ,"
"  Aimer mieux faire une visite qu'un poème,",ಕವಿತೆಗಿಂತಲೂ ಭೇಟಿ ನೀಡಲು ಹೆಚ್ಚು ಇಷ್ಟಪಡುತ್ತೇನೆ.
"  Rédiger des placets, se faire présenter ?","ಕಿರುಚಿತ್ರಗಳನ್ನು ಬರೆಯುವುದು, ನಿಮ್ಮನ್ನು ಪರಿಚಯಿಸುವುದು?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","ಇಲ್ಲ, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು, ಧನ್ಯವಾದಗಳು"
"  Rêver, rire, passer, être seul, être libre,","ಕನಸು ಕಾಣುವುದು, ಹಾಸ್ಯ ಮಾಡುವುದು, ಹಾದುಹೋಗುವುದು, ಒಂಟಿಯಾಗಿರುವುದು, ಮುಕ್ತವಾಗಿರುವುದು,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","ಕಣ್ಣು ಚೆನ್ನಾಗಿ ನೋಡಬೇಕು, ಧ್ವನಿ ಚೆನ್ನಾಗಿ ಚಲಿಸಬೇಕು."
"  Mettre, quand il vous plaît, son feutre de travers,","ನೀವು ಬಯಸಿದಾಗ, ತನ್ನ ಭಾವನೆಯನ್ನು ತಪ್ಪು ಹಾಕಲು,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","ಹೌದು, ಇಲ್ಲ, ಹೋರಾಡಿ, ಅಥವಾ ಹುಳು ಮಾಡಿ!"
"  Travailler sans souci de gloire ou de fortune,",ಖ್ಯಾತಿ ಅಥವಾ ಸಂಪತ್ತಿನ ಬಗ್ಗೆ ಚಿಂತಿಸದೆ ಕೆಲಸ ಮಾಡಿ.
"  A tel voyage, auquel on pense, dans la lune !",ಚಂದ್ರನ ಮೇಲೆ ಒಂದು ಪ್ರಯಾಣದ ಬಗ್ಗೆ ಯೋಚಿಸುವುದು.
"  N'écrire jamais rien qui de soi ne sortît,",ನಿಮ್ಮಿಂದ ಹೊರಬರದ ಯಾವುದನ್ನೂ ಬರೆಯಬೇಡಿ.
"  Et modeste d'ailleurs, se dire: mon petit,","ಮತ್ತು ಸಾಧಾರಣವಾಗಿ, ""ನನ್ನ ಮಗು,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","ಹೂವುಗಳು, ಹಣ್ಣುಗಳು, ಎಲೆಗಳು,"
  Si c'est dans ton jardin à toi que tu les cueilles !,ನಿಮ್ಮ ತೋಟದಲ್ಲಿ ನೀವು ಅವುಗಳನ್ನು ಸಂಗ್ರಹಿಸಿದರೆ!
"  Puis, s'il advient d'un peu triompher, par hasard,","ನಂತರ ಅವನು ಸ್ವಲ್ಪ ವಿಜಯ ಸಾಧಿಸಿದರೆ,"
"  Ne pas être obligé d'en rien rendre à César,",ನೀನು ಕೈಸರನಿಗೆ ಏನೂ ಕೊಡಬೇಕಾಗಿಲ್ಲ.
"  Vis-à-vis de soi-même en garder le mérite,","ತನ್ನನ್ನು ತಾನೇ ಗೌರವಿಸುವಂತೆ,"
"  Bref, dédaignant d'être le lierre parasite,","ಸಂಕ್ಷಿಪ್ತವಾಗಿ ಹೇಳುವುದಾದರೆ, ನಾನು ಪರಾವಲಂಬಿ ಲಿರಿ ಎಂದು ಅಸಹ್ಯಪಡುತ್ತೇನೆ,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","ನಾವು ಎಲೆಗಳು ಅಥವಾ ಗಿಡಮೂಲಿಕೆಗಳಲ್ಲದಿದ್ದರೂ,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","ಬಹುಶಃ ಎತ್ತರಕ್ಕೆ ಏರಬಾರದು, ಆದರೆ ಒಬ್ಬಂಟಿಯಾಗಿ!"
LE BRET:,ಬ್ರೆಟ್:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","ಒಬ್ಬನೇ ಇರಲಿ, ಆದರೆ ಎಲ್ಲರ ವಿರುದ್ಧ ಅಲ್ಲ."
  As-tu donc contracté la manie effroyable,ಆದ್ದರಿಂದ ನೀವು ಭಯಾನಕ ಮ್ಯಾನಿಕ್ ಹೊಂದಿವೆ?
"  De te faire toujours, partout, des ennemis ?",ಎಲ್ಲೆಡೆ ಶತ್ರುಗಳನ್ನು ಹುಡುಕುವುದು?
CYRANO:,ಸಿರಾನ್:
"  A force de vous voir vous faire des amis,","ನೀವು ಸ್ನೇಹಿತರನ್ನು ಮಾಡಿಕೊಳ್ಳುವದನ್ನು ನೋಡಿದ ನಂತರ,"
"  Et rire à ces amis dont vous avez des foules,","ಮತ್ತು ನೀವು ಗುಂಪುಗಳಲ್ಲಿರುವ ಸ್ನೇಹಿತರನ್ನು ನೋಡಿ ನಗುವುದು,"
  D'une bouche empruntée au derrière des poules !,ಕೋಳಿಗಳ ಹಿಂಭಾಗದಲ್ಲಿ ಬಾಯಿಯೊಂದನ್ನು ಎರವಲು ಪಡೆದವರು!
"  J'aime raréfier sur mes pas les saluts,","ನನ್ನ ಪಾದಗಳಲ್ಲಿ ನಾನು ಕಿವಿಯೋಲೆಗಳನ್ನು ಹಚ್ಚಲು ಇಷ್ಟಪಡುತ್ತೇನೆ,"
  Et m'écrie avec joie: un ennemi de plus !,"ಮತ್ತು ನನಗೆ ಸಂತೋಷದಿಂದ ಕೂಗಿರಿ, ಮತ್ತೊಂದು ಶತ್ರು!"
LE BRET:,ಬ್ರೆಟ್:
  Quelle aberration !,ಅದು ನಿಜಕ್ಕೂ ವಿಲಕ್ಷಣವಾಗಿದೆ.
CYRANO:,ಸಿರಾನ್:
"  Eh bien, oui, c'est mon vice.","ಹೌದು, ಅದು ನನ್ನ ದುಷ್ಕೃತ್ಯ."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ನಾನು ಹಸಿದಿರುವುದು ನನಗೆ ಸಂತೋಷವಾಗಿದೆ.
"  Mon cher, si tu savais comme l'on marche mieux","ನನ್ನ ಪ್ರೀತಿಯ, ನೀವು ಹೇಗೆ ಉತ್ತಮವಾಗಿ ನಡೆಯಬೇಕೆಂದು ತಿಳಿದಿದ್ದರೆ"
  Sous la pistolétade excitante des yeux !,ಕಣ್ಣುಗಳಲ್ಲಿನ ಅತ್ಯಾಕರ್ಷಕ ಪಿಸ್ತೂಲ್ ಸ್ಟೇಟಸ್ ಅಡಿಯಲ್ಲಿ!
"  Comme, sur les pourpoints, font d'amusantes taches","ಹೇಗೆ, ಪ್ರೊಫೈಲ್ ಮೇಲೆ, ಮೋಜಿನ ಕಲೆಗಳನ್ನು ಮಾಡಲು"
  Le fiel des envieux et la bave des lâches !,ಅಸೂಯೆಗೀಡಾದವರ ಕಸ ಮತ್ತು ಹೆಣಗಾಡುವವರ ಕಸ!
"  --Vous, la molle amitié dont vous vous entourez,","-ನೀವು, ನಿಮ್ಮ ಸುತ್ತಮುತ್ತಲಿನ ಮೃದು ಸ್ನೇಹ,"
"  Ressemble à ces grands cols d'Italie, ajourés","ಇಟಲಿಯ ದೊಡ್ಡ ಕಲ್ಲುಗಳಿಗೆ ಹೋಲುತ್ತದೆ, ಮುಂದೂಡಲ್ಪಟ್ಟಿದೆ"
"  Et flottants, dans lesquels votre cou s'effémine:",ಮತ್ತು ನಿಮ್ಮ ಕುತ್ತಿಗೆಗಳು ಹಾರಿಹೋಗುವ ಹೊಳೆಗಳು.
"  On y est plus à l'aise. . .et de moins haute mine,","ನಾವು ಹೆಚ್ಚು ಆರಾಮದಾಯಕವಾಗಿದ್ದೇವೆ. . . ಮತ್ತು ಕಡಿಮೆ ಎತ್ತರದಲ್ಲಿ,"
"  Car le front n'ayant pas de maintien ni de loi,","ಏಕೆಂದರೆ ಮುಂಭಾಗದಲ್ಲಿ ಯಾವುದೇ ನಿಯಮಗಳಿಲ್ಲ, ಕಾನೂನುಗಳಿಲ್ಲ."
"  S'abandonne à pencher dans tous les sens. Mais moi,",ಎಲ್ಲ ದಿಕ್ಕುಗಳಲ್ಲಿಯೂ ಓರೆಯಾಗಲು ಪ್ರಯತ್ನಿಸುತ್ತಾನೆ.
"  La Haine, chaque jour, me tuyaute et m'apprête","ದ್ವೇಷ, ಪ್ರತಿದಿನ ನನ್ನನ್ನು ಚುಚ್ಚುತ್ತದೆ ಮತ್ತು ಸಿದ್ಧಪಡಿಸುತ್ತದೆ"
  La fraise dont l'empois force à lever la tête;,ಅದರ ಮಾಲಿನ್ಯವು ತಲೆ ಎತ್ತುವಂತೆ ಮಾಡುವ ಸ್ಟ್ರಾಟೈಸ್;
  Chaque ennemi de plus est un nouveau godron,ಪ್ರತಿ ಶತ್ರು ಹೊಸ ಬಾಲಕನಂತೆ
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","ನನ್ನ ಕಷ್ಟಗಳನ್ನು ಹೆಚ್ಚಿಸಿ, ನನ್ನ ಹೊಳೆಯನ್ನು ಹೆಚ್ಚಿಸಿ,"
"  Car, pareille en tous points à la fraise espagnole,","ಏಕೆಂದರೆ, ಸ್ಪ್ಯಾನಿಷ್ ಸ್ಟ್ರಾಸ್ಗೆ ಎಲ್ಲ ವಿಷಯಗಳಲ್ಲಿ ಹೋಲುತ್ತದೆ,"
"  La Haine est un carcan, mais c'est une auréole !","ದ್ವೇಷವು ಒಂದು ಕಚ್ಚಾ ಚಿರತೆ, ಆದರೆ ಅದು ಒಂದು ಆರೆಒಲಾ!"
"LE BRET (après un silence, passant son bras sous le sien):","ಬ್ರೆಟ್ (ನಿಶ್ಯಬ್ದತೆ ನಂತರ, ತನ್ನ ತೋಳಿನ ಕೆಳಗೆ ಹಾದು):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","ಹೆಮ್ಮೆಯಿಂದ ಮತ್ತು ಕಹಿ, ಆದರೆ ಕಡಿಮೆ,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,ಅವಳು ನಿನ್ನನ್ನು ಪ್ರೀತಿಸುವುದಿಲ್ಲ ಎಂದು ಹೇಳು!
CYRANO (vivement):,ಸಿರಾನ್ (ಜೀವಂತ):
  Tais-toi !,ಮೌನವಾಗಿರಿ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(ಒಂದು ಕ್ಷಣದಿಂದ ಕ್ರಿಸ್ಟಿಯನ್ ಒಳಗೆ ಬಂದರು, ಕಿರಿಯರೊಂದಿಗೆ ಸೇರಿಕೊಂಡರು; ಅವರು"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ಅವರು ಮಾತನಾಡಲು ಇಲ್ಲ; ಅವರು ಅಂತಿಮವಾಗಿ ಒಂದು
