Scène 2.VIII.,صحنه ۲.۸
  Dans les petits papiers du Mercure François ?. . .,در کاغذ های کوچک مرکور فرانسیس؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",نه، ممنون، حساب کردن، ترسیدن، بی حس بودن،
"  Aimer mieux faire une visite qu'un poème,",دوست داشتن یک بازدید بهتر از یک شعر
"  Rédiger des placets, se faire présenter ?",نوشته ها و معرفی شدن؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",نه، ممنون، نه، ممنون، نه، ممنون، نه، ممنون، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه،
"  Rêver, rire, passer, être seul, être libre,",خوابیدن، خنده زدن، گذراندن، تنها بودن، آزاد بودن،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",چشم های خوب و صدای تند را داشته باشید
"  Mettre, quand il vous plaît, son feutre de travers,",هر وقت میخواید احساسش را تغییر دهد
"  Pour un oui, pour un non, se battre,--ou faire un vers !",برای یک بله، برای یک نه، مبارزه، - یا یک کرم!
"  Travailler sans souci de gloire ou de fortune,",کار کردن بدون فکر کردن به ثروت و افتخار
"  A tel voyage, auquel on pense, dans la lune !",به سفر به ماه که فکرش میشد
"  N'écrire jamais rien qui de soi ne sortît,",هیچ وقت چیزی را که از خودت بیرون نمی آید ننوسی
"  Et modeste d'ailleurs, se dire: mon petit,","و در ضمن، با اعتدال، می گوید: ""مرد من،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",یا از گل ها و میوه ها و حتی برگ ها راضی باشد
  Si c'est dans ton jardin à toi que tu les cueilles !,اگه تو باغ خودت بودی که اون ها رو می گرفتی
"  Puis, s'il advient d'un peu triompher, par hasard,",و اگر او به زودی به زودی به پیروزی برسد
"  Ne pas être obligé d'en rien rendre à César,",""" هیچ چیز را به قصر بدهم ،"
"  Vis-à-vis de soi-même en garder le mérite,",در مقابل خود، ارزش خود را حفظ کنید،
"  Bref, dédaignant d'être le lierre parasite,",به طور خلاصه، به نظر نمی رسد که یک لیر پرزیت باشد،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",حتی اگر ما درخت بلوط یا درخت تایلوس نباشیم،
"  Ne pas monter bien haut, peut-être, mais tout seul !",شاید خیلی بالا نبرن، اما تنها!
LE BRET:,اونم: اونم: اونم
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",فقط به تنهایی، اما نه علیه همه
  As-tu donc contracté la manie effroyable,آیا تو از این جنون وحشتناک مبتلا شده ای؟
"  De te faire toujours, partout, des ennemis ?",همیشه در هر جا دشمنان می کنی؟
CYRANO:,سیرانو:
"  A force de vous voir vous faire des amis,",از دیدن اینکه شما ها دوست می شوید،
"  Et rire à ces amis dont vous avez des foules,",و به این دوستان که شما جمعیت دارید خندید
  D'une bouche empruntée au derrière des poules !,با یک دهان که به عقب مرغ ها قرض گرفته شده است!
"  J'aime raréfier sur mes pas les saluts,",من دوست دارم سلام های نادر در قدم هایم
  Et m'écrie avec joie: un ennemi de plus !,"و با شادی مرا فریاد بزند: ""دشمنی دیگر! """
LE BRET:,اونم: اونم: اونم
  Quelle aberration !,این یک انحراف است
CYRANO:,سیرانو:
"  Eh bien, oui, c'est mon vice.",خوب، بله، این عادت من است
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,من از رفتن لذت می برم. من دوست دارم که مردم از من متنفر باشند.
"  Mon cher, si tu savais comme l'on marche mieux",عزیزم اگه می دونستی چطور بهتر میمونیم
  Sous la pistolétade excitante des yeux !,تحت چشم های هیجان انگیز بنداز!
"  Comme, sur les pourpoints, font d'amusantes taches",مثل اینکه در مورد نقاط، لکه های سرگرم کننده انجام می دهند
  Le fiel des envieux et la bave des lâches !,خرس حسود ها و خرس بزه ها
"  --Vous, la molle amitié dont vous vous entourez,",شما، دوستای نرم که در اطراف خودتون هستید،
"  Ressemble à ces grands cols d'Italie, ajourés",شبیه اون گلو های بزرگ ایتالیا، که به تاخیر کشیده شده اند
"  Et flottants, dans lesquels votre cou s'effémine:",و شناورانی که گردن شما در آن می ترسد
"  On y est plus à l'aise. . .et de moins haute mine,",ما در این مکان راحت تر هستیم و از اندازه پایین تر،
"  Car le front n'ayant pas de maintien ni de loi,",زیرا پیشانی بدون قانون و قانون است
"  S'abandonne à pencher dans tous les sens. Mais moi,",اون به هر طرف میره، اما من
"  La Haine, chaque jour, me tuyaute et m'apprête",نفرت هر روز مرا می کشد و می سازد
  La fraise dont l'empois force à lever la tête;,فرنگی که با سمش می شود سرش را بلند کرد
  Chaque ennemi de plus est un nouveau godron,هر دشمن دیگه ای یک گودال جدید است
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",او به من درد و رنج می دهد و به من درد و رنج می بخشد.
"  Car, pareille en tous points à la fraise espagnole,",چون در همه زمینه ها مثل فرنج اسپانیایی است
"  La Haine est un carcan, mais c'est une auréole !",نفرت یک گند است، اما یک نور است!
"LE BRET (après un silence, passant son bras sous le sien):",خیره کننده (پس از سکوت، عبور از دست خود را زیر خود را):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",تکبّر و تلخ بودن را بلند کن و پایین تر
  Dis-moi tout simplement qu'elle ne t'aime pas !,فقط بهم بگو که اون ازت خوشش نمیاد
CYRANO (vivement):,سیرانو (زنده):
  Tais-toi !,- خفه شو !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(از یک لحظه بعد، کریستین وارد شد، با بچه های جوان مخلوط شد؛ این ها
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,به او صحبت نمی کنند، او در نهایت تنها در یک
