Scène 2.VIII.,2/8 장면
  Grimper par ruse au lieu de s'élever par force ?,위력을 이용해 올라갈 것이 아니라 기략으로 올라가는 거?
"  Non, merci. Dédier, comme tous il le font,","아니, 고마워요. 전하는 것은, 다른 사람들이 하는 것처럼,"
  Des vers aux financiers ? se changer en bouffon,벌레에서 금융자까지
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","그리고 비참한 희망으로, 장관의 입으로,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",그리고 그 미소를 낳는 것은 악의가 없는 것 같습니까?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",매일 을 먹으세요?
  Avoir un ventre usé par la marche ? une peau,걷기 때문에 위기가 지쳐서
"  Qui plus vite, à l'endroit des genoux, devient sale ?",무릎이 더 빨리 더러워지는 사람은 누구죠?
  Exécuter des tours de souplesse dorsale ?. . .,허리 유연을 위한 회전도 할 수 있는가? . . .
"  Non, merci. D'une main flatter la chèvre au cou","아니, 고마워요, 한 손으로 염소를 목에 걸고"
"  Cependant que, de l'autre, on arrose le chou,",하지만 다른 쪽에서 과자를 뿌려서
"  Et, donneur de séné par désir de rhubarbe,",을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 을 
"  Avoir son encensoir, toujours, dans quelque barbe ?",항상 그의 불꽃을 게 하고 있는 거요?
"  Non, merci ! Se pousser de giron en giron,","아니, 고마워요. 한 번씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩씩"
"  Devenir un petit grand homme dans un rond,",한 둥근 거리에서 작은 큰 사람이 되고
"  Et naviguer, avec des madrigaux pour rames,",배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로 가는 배로로 가는 배로로 가는 배로로로로 가는 배로로로로 가는 배로로로로 가는 배로로로로로 가는 배로로로로로 가는 배로로로로로로로 가는 배로로로로
  Et dans ses voiles des soupirs de vieilles dames ?,그리고 그 안에는 노부들의 시끄러움이 있습니다.
"  Non, merci ! Chez le bon éditeur de Sercy","네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네,"
"  Faire éditer ses vers en payant ? Non, merci !",돈을 내고 글을 편집하는 게 좋겠나?
  S'aller faire nommer pape par les conciles,교황으로 임명될 수 있는 법정
  Que dans des cabarets tiennent des imbéciles ?,이 멍청이들이 술집에 갇혀있다고?
"  Non, merci ! Travailler à se construire un nom","네, 고마워요, 이름을 만들기 위해 노력하세요"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",다른 음향을 만들지 않고?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,재능은 밭에서 발견할 수 있을까?
"  Être terrorisé par de vagues gazettes,",파란 신문에서 겁을 먹게 되는 것
"  Et se dire sans cesse: Oh, pourvu que je sois","그리고 끊임없이 ""오, 내가"
  Dans les petits papiers du Mercure François ?. . .,미루어 프란체스 소문서에서? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","계산하고, 두려워하고, 미루어"
"  Aimer mieux faire une visite qu'un poème,",시보다 방문을 더 좋아하면
"  Rédiger des placets, se faire présenter ?","- 글쓰기, 소개?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","아니, 고마워요, 고마워요, 고마워요, 고마워요, 하지만..."
"  Rêver, rire, passer, être seul, être libre,",꿈꾸고 웃고 지나가며 혼자 있고 자유로워지고
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","눈을 잘 볼 수 있고, 목소리를 잘  수 있는"
"  Mettre, quand il vous plaît, son feutre de travers,",당신이 원하는 대로 자신의 감각을 틀어 놓을 때
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""예"" 또는 ""아니오""에 대해 싸우고, 또는 ""저기""를 만들 수 있습니다."
"  Travailler sans souci de gloire ou de fortune,",명예나 부자만을 추구하지 않고 일하는 것이
"  A tel voyage, auquel on pense, dans la lune !",우리가 생각하기에 달 여행이 좋죠!
"  N'écrire jamais rien qui de soi ne sortît,",자기 자신이 아닌 것을 절대 쓰지 마세요.
"  Et modeste d'ailleurs, se dire: mon petit,","그리고 겸손한 마음, ""내 아가씨,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","꽃과 열매, 심지어 잎도"
  Si c'est dans ton jardin à toi que tu les cueilles !,만약 당신이 자신의 정원에서 그것을 다면!
"  Puis, s'il advient d'un peu triompher, par hasard,",그리고 그가 조금이라도 승리할 때
"  Ne pas être obligé d'en rien rendre à César,",황제에게 돈을 갚아야 할 의무가 없으니
"  Vis-à-vis de soi-même en garder le mérite,",자기 자신을 위해 그 가치를 유지하기 위해
"  Bref, dédaignant d'être le lierre parasite,","단, 기생충이 아니기 때문에"
"  Lors même qu'on n'est pas le chêne ou le tilleul,",우리가 오크나무나 나무가 아니더라도
"  Ne pas monter bien haut, peut-être, mais tout seul !",높게 올라가지 않을 수도 있지만 혼자!
LE BRET:,:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",혼자라면 다 못하겠지만
  As-tu donc contracté la manie effroyable,그래서 당신은 끔찍한 매니아를 앓았습니까?
"  De te faire toujours, partout, des ennemis ?",항상 적을 잡는 거?
CYRANO:,키라노:
"  A force de vous voir vous faire des amis,",친구들을 만드는 것을 보고
"  Et rire à ces amis dont vous avez des foules,",그리고 많은 사람들을 가진 친구들을 웃으며
  D'une bouche empruntée au derrière des poules !,닭 뒤에서 입을 빌려서!
"  J'aime raréfier sur mes pas les saluts,",저는 발에 걸어서 인사하는 것을 좋아합니다.
  Et m'écrie avec joie: un ennemi de plus !,또 다른 적이 있다!
LE BRET:,:
  Quelle aberration !,정말 이상하네요
CYRANO:,키라노:
"  Eh bien, oui, c'est mon vice.","네, 그게 내 악성이야"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"나서는 게 좋고, 사람들이 싫어하는 게 좋죠."
"  Mon cher, si tu savais comme l'on marche mieux","내 사랑, 네가 더 잘 걷는 방법을 알았으면"
  Sous la pistolétade excitante des yeux !,눈빛이 뜨겁게 달린 총기 아래로!
"  Comme, sur les pourpoints, font d'amusantes taches",그리고 그 점들은 재미있게
  Le fiel des envieux et la bave des lâches !,질투하는 사람들의 비염과 겁쟁이의 비염!
"  --Vous, la molle amitié dont vous vous entourez,","- 너, 너네 주변에서 온 온통 우정을 가진"
"  Ressemble à ces grands cols d'Italie, ajourés","이 이탈리아의 큰 목걸이처럼,"
"  Et flottants, dans lesquels votre cou s'effémine:","그리고 떠다니는 물체로,"
"  On y est plus à l'aise. . .et de moins haute mine,","우리는 더 편안하고, 더 낮은 을 가지고 있습니다."
"  Car le front n'ayant pas de maintien ni de loi,",왜냐하면 전두엽은 법과 규정을 가지고 있지 않기 때문입니다.
"  S'abandonne à pencher dans tous les sens. Mais moi,",모든 방향으로 기울이는 것을 포기합니다.
"  La Haine, chaque jour, me tuyaute et m'apprête",증오가 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로 날로
  La fraise dont l'empois force à lever la tête;,그 독이 머리를 펴도록 강요하는 프라이스
  Chaque ennemi de plus est un nouveau godron,더 많은 적은 새로운 갓네살이 될 것입니다.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",내 위기에 더해 주며 내 위기에 더해 주며
"  Car, pareille en tous points à la fraise espagnole,","왜냐하면, 모든 면에서 스페인 프라이즈와 비슷하기 때문에"
"  La Haine est un carcan, mais c'est une auréole !","증오는 이지만, 오레올라야!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (잠잠을 지은 후, 자신의 팔 아래로 이동):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","자부심을 높이고, 진한 마음을 높이고,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,그냥 그녀가 당신을 사랑하지 않는다고 말해줘!
CYRANO (vivement):,시라노 (생명):
  Tais-toi !,- 닥쳐!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(그동안 크리스티안은 들어가서,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,그는 결국 혼자 앉아
