Scène 2.VIII.,दृश्य 2.VIII.
  Des vers aux financiers ? se changer en bouffon,"कीड़े से वित्तीय लोगों तक, बदनाम हो जाते हैं"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","एक मंत्री के होंठों पर, एक कमजोरी की उम्मीद में,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","एक मुस्कान पैदा करना, आखिरकार, जो बुरा नहीं है?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","नहीं, धन्यवाद, हर दिन एक बटोर के साथ दोपहर का भोजन?"
  Avoir un ventre usé par la marche ? une peau,एक पेट चलने से सूख गया है?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","कौन सबसे जल्दी, घुटनों के स्थान पर, गंदा हो जाता है?"
  Exécuter des tours de souplesse dorsale ?. . .,पीठ की लचीली टूर चलाना? . . .
"  Non, merci. D'une main flatter la chèvre au cou","नहीं, धन्यवाद, एक हाथ से बकरी को गले लगाओ"
"  Cependant que, de l'autre, on arrose le chou,",मगर जब दूसरे को बागान में पानी डालते हैं
"  Et, donneur de séné par désir de rhubarbe,",और जो अपनी चाहत से मुर्दा को चूसने लगा
"  Avoir son encensoir, toujours, dans quelque barbe ?",क्या वह हमेशा अपने दाढ़ी में धूप का जश्न लगाता है?
"  Non, merci ! Se pousser de giron en giron,","नहीं, धन्यवाद, एक-दूसरे को आगे बढ़ाना।"
"  Devenir un petit grand homme dans un rond,","एक गोल में एक छोटा बड़ा आदमी बन गया,"
"  Et naviguer, avec des madrigaux pour rames,","और नौकाओं में सवार हो जाएँगे,"
  Et dans ses voiles des soupirs de vieilles dames ?,और उसके पंखों में बूढ़ी औरतों के आहों के साथ?
"  Non, merci ! Chez le bon éditeur de Sercy","नहीं, धन्यवाद, सही सर्सी के संपादक के पास।"
"  Faire éditer ses vers en payant ? Non, merci !",पैसे के साथ अपने वर्म्स को संपादित करना?
  S'aller faire nommer pape par les conciles,पप बनने के लिए परिषदों में जाने के लिए
  Que dans des cabarets tiennent des imbéciles ?,क्या वे बेवकूफों को कैबरे में रखते हैं?
"  Non, merci ! Travailler à se construire un nom","नहीं, धन्यवाद, अपना नाम बनाने के लिए काम करना"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","एक सोनपोन पर, और दूसरे नहीं?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,क्या आप केवल गली में ही प्रतिभा का पता लगाते हैं?
"  Être terrorisé par de vagues gazettes,","अखबारों से डरना,"
"  Et se dire sans cesse: Oh, pourvu que je sois","और लगातार सोचता हूँ, ""ओह, अगर मैं हूँ"
  Dans les petits papiers du Mercure François ?. . .,'मर्क्योर फ्रांसिस के छोटे-छोटे कागजातों में? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","नहीं, धन्यवाद, गणना करना, डरना, उदास होना,"
"  Aimer mieux faire une visite qu'un poème,","कविता से ज्यादा यात्रा करना पसंद करना,"
"  Rédiger des placets, se faire présenter ?",आप खुद को पेश करने के लिए एक पोस्ट लिखते हैं?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","नहीं, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद"
"  Rêver, rire, passer, être seul, être libre,","सपने देखना, हंसना, गुजरना, अकेला होना, मुक्त होना,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","आँखें अच्छी तरह से देखने, आवाज को झकझोरने,"
"  Mettre, quand il vous plaît, son feutre de travers,","जब आप चाहते हैं, अपने भावना को गलत रखें,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","एक हां के लिए, एक नहीं के लिए, लड़ना, - या एक कीड़े बनाना!"
"  Travailler sans souci de gloire ou de fortune,","काम करना न तो महिमा और न धन की तलाश में,"
"  A tel voyage, auquel on pense, dans la lune !","चाँद की यात्रा पर, जिस पर हम सोचते हैं!"
"  N'écrire jamais rien qui de soi ne sortît,","कभी भी कुछ भी न लिखें जो स्वयं से नहीं निकलता है,"
"  Et modeste d'ailleurs, se dire: mon petit,","और विनम्रता के साथ, अपने आप को, ""मेरे बच्चे,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","फूलों से, फलों से, पत्तियों से भी,"
  Si c'est dans ton jardin à toi que tu les cueilles !,अगर आप अपने बगीचे में ही उन्हें उठा रहे हैं!
"  Puis, s'il advient d'un peu triompher, par hasard,",फिर अगर वह कुछ ही ग़ालिब हो जाए
"  Ne pas être obligé d'en rien rendre à César,","और यह कि मुझे कैसर को कुछ भी देना न पड़े,"
"  Vis-à-vis de soi-même en garder le mérite,","अपने आप के प्रति इसका श्रेय रखना,"
"  Bref, dédaignant d'être le lierre parasite,","संक्षेप में, परजीवी लीर होने से इनकार करते हुए,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","जब हम एक ओक या एक तिल नहीं हैं,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","शायद बहुत ऊपर नहीं, लेकिन अकेले!"
LE BRET:,- मैं कहता हूँ .
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","अकेले हो सकता है, लेकिन सभी के खिलाफ नहीं।"
  As-tu donc contracté la manie effroyable,तो क्या तुमने भयानक मन की बीमारी की है
"  De te faire toujours, partout, des ennemis ?",हर जगह दुश्मन बनाकर रहना?
CYRANO:,साइरोन:
"  A force de vous voir vous faire des amis,","जब मैं तुम्हें दोस्त बनाकर देखता हूँ,"
"  Et rire à ces amis dont vous avez des foules,","और उन दोस्तों पर हँसते हैं जिनके साथ आप भीड़ में हैं,"
  D'une bouche empruntée au derrière des poules !,मुर्गा के पीछे से एक उधार लिया हुआ मुंह!
"  J'aime raréfier sur mes pas les saluts,","मैं अपने पैरों पर नमस्कार करना पसंद करता हूं,"
  Et m'écrie avec joie: un ennemi de plus !,"और मुझे खुशी से पुकारो, एक और दुश्मन!"
LE BRET:,- मैं कहता हूँ .
  Quelle aberration !,क्या बकवास है!
CYRANO:,साइरोन:
"  Eh bien, oui, c'est mon vice.","खैर, हाँ, यह मेरी आदत है।"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,मुझे नफरत करना पसंद है।
"  Mon cher, si tu savais comme l'on marche mieux","मेरे प्यारे, अगर आप जानते हैं कि कैसे बेहतर चलना है"
  Sous la pistolétade excitante des yeux !,आंखों के तेज पस्तूरी के नीचे!
"  Comme, sur les pourpoints, font d'amusantes taches","जैसे, संदर्भों पर मजेदार धब्बे बनाते हैं"
  Le fiel des envieux et la bave des lâches !,"जो लोग ईर्ष्या करते हैं, वे अपने आप को धोखा देते हैं।"
"  --Vous, la molle amitié dont vous vous entourez,","-आप, आप के आसपास की नरम दोस्ती,"
"  Ressemble à ces grands cols d'Italie, ajourés","इटली के इन बड़े गलाओं की तरह, जो स्थगित हैं"
"  Et flottants, dans lesquels votre cou s'effémine:","और तैरते हुए, जिसमें तुम्हारी गर्दन डूब जाती है,"
"  On y est plus à l'aise. . .et de moins haute mine,","हम वहां अधिक आरामदायक हैं. . . और कम ऊंचापन,"
"  Car le front n'ayant pas de maintien ni de loi,","क्योंकि जब तक मुह का कोई नियम नहीं है,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",वह हर तरफ झुकाव करने में लग जाता है।
"  La Haine, chaque jour, me tuyaute et m'apprête",नफरत हर दिन मुझे चोदती है और मुझे तैयार करती है
  La fraise dont l'empois force à lever la tête;,एक स्ट्रैपशॉप जिसका जहर सिर को ऊपर उठाने के लिए मजबूर करता है;
  Chaque ennemi de plus est un nouveau godron,हर और दुश्मन एक नया गद्रोन है
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","जो मुझे संकट और कष्ट देता है,"
"  Car, pareille en tous points à la fraise espagnole,","क्योंकि, हर तरह से स्पैनिश स्ट्रैप के समान,"
"  La Haine est un carcan, mais c'est une auréole !","नफरत एक शराबी है, लेकिन यह एक सूरजमुखी है!"
"LE BRET (après un silence, passant son bras sous le sien):","शोर (चुपचाप के बाद, अपने हाथ के नीचे पारित):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","घमंडियों को ऊँचा और कड़वा बनाओ, लेकिन नीचे ही रहो"
  Dis-moi tout simplement qu'elle ne t'aime pas !,बस मुझे बताओ कि वह तुमसे प्यार नहीं करती है!
CYRANO (vivement):,साइरो (जीवित):
  Tais-toi !,चुप हो जाओ !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(एक पल के बाद, क्रिश्चियन अंदर आया, किशोरों के साथ मिला; ये"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,वह एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार फिर से एक बार
