Scène 2.VIII.,Bãngr-gomd a 2 soabã.
"  Chercher un protecteur puissant, prendre un patron,","B baooda koglg sẽn tar pãnga, b baooda taoor soab,"
  Et comme un lierre obscur qui circonvient un tronc,La wa lik sẽn kẽed ne zĩm-gãong sẽn kẽed ne zĩm-gãongã
"  Et s'en fait un tuteur en lui léchant l'écorce,","La a na n yɩɩ a nin-kẽem n dɩ a gãagã,"
  Grimper par ruse au lieu de s'élever par force ?,"Y sã n maand woto, y na n yɩɩda a Zeova zoa."
"  Non, merci. Dédier, comme tous il le font,",A Zeova sakda tõnd tɩ d maan bũmb nins d sẽn segd n maane.
  Des vers aux financiers ? se changer en bouffon,B sẽn lebg gãndb la ligd yel-gɛtbã
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","La a sẽn na n yã bũmb ning ministr sẽn yetã,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","La ned sã n pa tar sũ-noogo, a na n yɩɩ sũ-sãanga."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","N-yẽes-y-yã, tɩ y na n dɩtẽ daar fãa, la y na n dɩka bõn-naandg bɩ?"
  Avoir un ventre usé par la marche ? une peau,"Ned sẽn na n wa n wa n kẽnge, a na n paama a yĩn-gãong bɩ?"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Yaa ned ning sẽn na n yɩ wa b sẽn yãgd a kolgã n lebg rẽgd n yɩɩd a taabã fãa.
  Exécuter des tours de souplesse dorsale ?. . .,"D sã n maand d sẽn tõe n sõng-d tɩ d yɩ sõma, d segd n maana bõe? . . ."
"  Non, merci. D'une main flatter la chèvre au cou","A sẽn na n maan bũmb ningã, a na n maana bũmb ning sẽn pa zems ne a sẽn datã."
"  Cependant que, de l'autre, on arrose le chou,","La sã n yaa ne taab n kõ-b koom,"
"  Et, donneur de séné par désir de rhubarbe,","La sẽn na n kõ-a sũ-sãang ne a sũ-sãangã,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",A sã n ket n tar a bugum-dãmbã a gãagẽ?
"  Non, merci ! Se pousser de giron en giron,","A sẽn na n yɩlẽ n tõog n tõog n tõog n tall a meng n kõ-a wã, a segd n maana a meng neere."
"  Devenir un petit grand homme dans un rond,",B lebga gãand sẽn yaa bilf n paasd b sẽn be zĩig pʋgẽ wã.
"  Et naviguer, avec des madrigaux pour rames,","La b kẽedda koom-koglgã ne koom-koglgã,"
  Et dans ses voiles des soupirs de vieilles dames ?,"La a yel-bũndẽ wã, pag-bi-pogsã sẽn kelemd n kelemdã?"
"  Non, merci ! Chez le bon éditeur de Sercy",A Sercy sẽn yaa seb-gʋlsdã nengẽ.
"  Faire éditer ses vers en payant ? Non, merci !","A sẽn na n maan bũmb ningã, a na n yɩɩ wãn n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n paam n"
  S'aller faire nommer pape par les conciles,B sẽn na n maan n paam n yɩ popã
  Que dans des cabarets tiennent des imbéciles ?,Yaa tɩ b gãda gãndb sẽn yaa gãndb b kambẽ wã bɩ?
"  Non, merci ! Travailler à se construire un nom",A Zeova sẽn maan bũmb ningã kɩtame tɩ d bãng d sẽn tõe n maan bũmb ninsã.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","B sẽn da wa n karemd yɩɩl a ye wã, b pa maand yɩɩl a taab ye."
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Yaa ne tãb-biis bal la b tõe n yã bõn-naandsã?
"  Être terrorisé par de vagues gazettes,","B sẽn da wa n maand bũmb nins b sẽn da maandã, b ra maanda bũmb nins b sẽn pa mi wã."
"  Et se dire sans cesse: Oh, pourvu que je sois",La b sẽn da ket n tagsdẽ tɩ yaa mam bal n na n yɩ
  Dans les petits papiers du Mercure François ?. . .,A Frans sẽn da gʋlsd a Mercurius sebrã pʋgẽ wã? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","A Zeova sẽn da na n sõng-a wã yĩnga, a ra segd n maana bõe?"
"  Aimer mieux faire une visite qu'un poème,","D sã n nong n ges-b n yɩɩd d sẽn nong n karemd yɩɩl bɩ,"
"  Rédiger des placets, se faire présenter ?","B sẽn maand kasetã, b sẽn maand kasetã?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","A Zeova sẽn kõ-a vʋʋsem sõngã zaeebã, a kɩtame tɩ b paam n paam n vɩɩmd wakat sẽn kõn sa."
"  Rêver, rire, passer, être seul, être libre,","D sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d sẽn yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã, d yãendã,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","B sã n get b nifẽ, b sã n wʋmd b koɛɛg n tãsdẽ,"
"  Mettre, quand il vous plaît, son feutre de travers,","Y sã n dat n maan bũmb n pa mi a sẽn datã, bɩ y maan bũmb n pa mi a sẽn datã ye."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne, yaa ne,"
"  Travailler sans souci de gloire ou de fortune,",B ra pa baood waoogr wall paoong ye.
"  A tel voyage, auquel on pense, dans la lune !",Yaa d sẽn na n maan sor n kẽng kiuugã pʋgẽ wã.
"  N'écrire jamais rien qui de soi ne sortît,",Da gʋls bũmb sẽn pa yit f meng nengẽ ye.
"  Et modeste d'ailleurs, se dire: mon petit,","La ned sẽn yaa sik-m-meng soab me yetame: ""M bi-riblã,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","La sã n yaa tɩrse, bɩ tɩrse, wall tɩrse, bɩ tɩrse,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Fo sã n dat n yãgsd b bẽedã, yaa f zẽedã pʋgẽ la f yãbd-b-la."
"  Puis, s'il advient d'un peu triompher, par hasard,","La sã n wa paam n tõog bilfu,"
"  Ne pas être obligé d'en rien rendre à César,",La b yeelame tɩ b ka tog n yao yao yaood a Sezaar ye.
"  Vis-à-vis de soi-même en garder le mérite,","La ned sã n tall a meng ne a meng, a na n paama a meng waoogrã."
"  Bref, dédaignant d'être le lierre parasite,","La sã n yaa woto, d pa segd n yɩ wa b sẽn boond tɩ ""rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-rɩt-r"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Baa d sã n pa tɩɩg bɩ tɩɩg sẽn tar pãng n yɩɩd pĩnda,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Tõe tɩ pa be yĩngri, la yaa f meng n na n kẽng be."
LE BRET:,A Zeezi sẽn yeelã:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","La sã n yaa ned a yembre, pa ned fãa ye."
  As-tu donc contracté la manie effroyable,Yãmb paama sũ-sãang sẽn yaa kãseng bɩ?
"  De te faire toujours, partout, des ennemis ?",La b na n maana yãmb bɛɛba wakat fãa?
CYRANO:,A CYRANO:
"  A force de vous voir vous faire des amis,","A sẽn yãend yãmb sẽn paamd zo-rãmba wã,"
"  Et rire à ces amis dont vous avez des foules,","La y na n yãaga y zo-rãmb nins yãmb sẽn tar kʋʋngã,"
  D'une bouche empruntée au derrière des poules !,A noor sẽn tar n be piis-poak poorẽ wã!
"  J'aime raréfier sur mes pas les saluts,","Mam nong n pʋʋsda nebã ne m nao wã,"
  Et m'écrie avec joie: un ennemi de plus !,"La y zẽkd y koɛɛg n yeel-m: ‹Soaba, yaa neb a taab n be!›"
LE BRET:,A Zeezi sẽn yeelã:
  Quelle aberration !,Yaa yel-wẽn-maandem bala.
CYRANO:,A CYRANO:
"  Eh bien, oui, c'est mon vice.",Yaa woto la m segd n maane.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,M nongame tɩ nebã kis-m.
"  Mon cher, si tu savais comme l'on marche mieux","M zo-nongre, sã n da mi n bãngame tɩ d kẽndame n yɩɩd pĩnda"
  Sous la pistolétade excitante des yeux !,"A sẽn yãnd a ninã to-to wã yĩnga, a sẽn yãnd a ninã to-to wã yĩnga."
"  Comme, sur les pourpoints, font d'amusantes taches","B sẽn maand bũmb nins sẽn yaa wẽnemdã, b maanda bõn-kãens n kõt sũ-noogo."
  Le fiel des envieux et la bave des lâches !,Yaa sũ-kiir sẽn tar sũ-kiirã la sũ-kiir sẽn tar yãbdo.
"  --Vous, la molle amitié dont vous vous entourez,","Yãmb sẽn yaa zo-rãmba, yãmb sẽn be ne taabã,"
"  Ressemble à ces grands cols d'Italie, ajourés","A wõnda Itali wã sẽn yaa gãndã, n pa le tar b sẽn na n maan bũmb ningã ye."
"  Et flottants, dans lesquels votre cou s'effémine:","La b leb n lebda koomẽ, tɩ y gãe n na n gãe y y yẽn-sɩd ne b sẽn na n yãend-y to-to wã."
"  On y est plus à l'aise. . .et de moins haute mine,","Tõnd sã n wa be be, d sũur noomame."
"  Car le front n'ayant pas de maintien ni de loi,","Bala, b ka tar sor n na n zãag b mens ne b taabã ye."
"  S'abandonne à pencher dans tous les sens. Mais moi,",A sakda n getẽ tɩ b sẽn maandã yaa sõma.
"  La Haine, chaque jour, me tuyaute et m'apprête","Zu-loeesã sẽn be m zug daar fãa wã, b maanda-m-la wa b sẽn datã"
  La fraise dont l'empois force à lever la tête;,"B sẽn tar bugum tɩ b zẽk b zutã,"
  Chaque ennemi de plus est un nouveau godron,"Bala, b sã n wa lebg n lebg bɛɛbã, b yaa sãnem-paal a ye."
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Bãmb sẽn paasd mam sũ-sãangã, la b paasd mam sũ-sãangã,"
"  Car, pareille en tous points à la fraise espagnole,","Bala, bũmb fãa pʋgẽ, b sẽn boond tɩ Spaansã, yaa wa b sẽn boond tɩ"
"  La Haine est un carcan, mais c'est une auréole !","Kɩɩb-n-taag yaa wa b sẽn boond tɩ ""Kãan-n-taag"", la yaa wa b sẽn boond tɩ ""Aureole""."
"LE BRET (après un silence, passant son bras sous le sien):","A ZELEM (sẽn na n zĩnd bãan pʋgẽ, n dɩk a nug n kẽng a nugẽ wã):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Bɩ y tall wuk-m-mengã n yɩ kãn-kãe, la y tall sũ-sãangã, la y tall sũ-sãangã n yɩ wa y sẽn na n paamã."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Bãng-y-yã-yã-a-la t'a pa nong-y ye.
CYRANO (vivement):,CYRANO (tẽnga sẽn vɩ):
  Tais-toi !,Bãng-y tɩ y sĩndame!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Tõnd sẽn wa n kolg wakat n tãag woto, a Christian kẽnga be, a kẽnga a kambã sʋka, b sẽn da yaa kom-bɩɩsã."
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"b ka gomd ne-a ye, a wa n zĩi a yembre n be ne a"
