Scène 2.VIII.,Paset 2.VIII.
  Et comme un lierre obscur qui circonvient un tronc,Kas iti napuskol a lalat a manglikmut iti maysa a trunks
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ket isu agbalin a mangaywan kenkuana babaen ti pananglilawna iti rabaw ti bukodna a rabaw,"
  Grimper par ruse au lieu de s'élever par force ?,Ti panagpangato babaen ti panangallilaw imbes a babaen ti panangpabileg iti bagina?
"  Non, merci. Dédier, comme tous il le font,","Saan, agyamanak."
  Des vers aux financiers ? se changer en bouffon,Manipud kadagiti mannakisapulan agingga kadagiti pinansial a tattao
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Iti naalas a namnama a makakita, iti ngiwat ti ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","No saan a dakes ti panagkitam, ania ti aramidem?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, wen, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,"
  Avoir un ventre usé par la marche ? une peau,Ti panagsagaba iti barukong ken ti panagsagaba iti kudil
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Siasino ti nasapsapa a makadadael iti lugar ti saka?
  Exécuter des tours de souplesse dorsale ?. . .,Agtignayka a kas maysa a mannakikappia iti likudam? . . .
"  Non, merci. D'une main flatter la chèvre au cou","No adda ti maysa nga ima, pagpalaloenna ti kalding iti tengnged"
"  Cependant que, de l'autre, on arrose le chou,","Ngem no ti sabali a tao ket agtubo iti kaoli,"
"  Et, donneur de séné par désir de rhubarbe,","Ken mangted iti umel a subbot gapu iti tarigagayna a mangpigerger,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Adda kadi latta iti tengnged ti apuyna?
"  Non, merci ! Se pousser de giron en giron,","Saan, agyamanak."
"  Devenir un petit grand homme dans un rond,","Agbalinka a maysa a bassit a tao iti maysa a sirok,"
"  Et naviguer, avec des madrigaux pour rames,","Ket aglayagda kadagiti mangidur-od a balango,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Ket kadagiti payakna, dagiti panagngaretnget dagiti lallakay ken babbaket?"
"  Non, merci ! Chez le bon éditeur de Sercy","Saan, agyamanak."
"  Faire éditer ses vers en payant ? Non, merci !","No agbayadka, saanka a maawat?"
  S'aller faire nommer pape par les conciles,Panagbalin a Papa iti Konseho
  Que dans des cabarets tiennent des imbéciles ?,No adda dagiti agpampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampampamp
"  Non, merci ! Travailler à se construire un nom",No agtrabahoak a mangpataud iti naganko
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Iti maysa a sonnet imbes nga iti sabali?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"No adda ti talento, agbirok laeng iti dayta kadagiti paglugan."
"  Être terrorisé par de vagues gazettes,","Ti panagbuteng kadagiti nalamiis a pagiwarnak,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ket kanayon a kunaem, 'Oh, no siak ti"
  Dans les petits papiers du Mercure François ?. . .,Kadagiti babassit a papeles ni Francis Mercury? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","No agpanunotka, agbutengka, agpigergerka,"
"  Aimer mieux faire une visite qu'un poème,",Nasaysayaat ti agpasiar ngem ti agdaniw.
"  Rédiger des placets, se faire présenter ?","Agaramidka iti plato, agparangka?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Saan, agyamanak, agyamanak, ngem... agkanta,"
"  Rêver, rire, passer, être seul, être libre,","Panaginip, panagkatawa, panaglabas, agmaymaysa, nawaya,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ti mata a makakita a silalawag, ti timek a mangaguyugoy,"
"  Mettre, quand il vous plaît, son feutre de travers,","No kayatmo, ipalubosmo a maparmek ti riknam."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","No wen, no saan, makilaban wenno agaramid iti maysa a kirot!"
"  Travailler sans souci de gloire ou de fortune,",Saan a kasapulan ti kinatan-ok wenno kinabaknang
"  A tel voyage, auquel on pense, dans la lune !",Ti panagdaliasat a mabalin a panunotentayo iti bulan!
"  N'écrire jamais rien qui de soi ne sortît,",Saanmo a pulos isurat ti saan a personal a banag.
"  Et modeste d'ailleurs, se dire: mon petit,","Ket iti sabali a bangir, kunam iti bagim, 'Anakko,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ti bunga, ti bunga, uray dagiti bulong,"
  Si c'est dans ton jardin à toi que tu les cueilles !,No adda iti minuyonganmo a pagurnonganmo dagita!
"  Puis, s'il advient d'un peu triompher, par hasard,","Ket no agballigi iti bassit,"
"  Ne pas être obligé d'en rien rendre à César,",Awan ti rumbeng nga itedmo ken Cesar.
"  Vis-à-vis de soi-même en garder le mérite,","No maipapan iti bagim, agtalinaedka a nadayaw."
"  Bref, dédaignant d'être le lierre parasite,","Iti ababa a pannao, no di ket isu ti parasito a lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Uray no saan a kayo ti kayo a roble wenno ti kayo a palla,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Saan a naindaklan a panagpangato, ngem agmaymaysa!"
LE BRET:,Ti KARAN:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","No agmaymaysa, ngem saan a maibusor iti amin."
  As-tu donc contracté la manie effroyable,Isu a nagsakitka iti nakaro a kinadakes.
"  De te faire toujours, partout, des ennemis ?",No kasano ti panangaramidmo iti amin a kita ti kabusor?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Gapu ta makitkitayo a makigayyemkayo,"
"  Et rire à ces amis dont vous avez des foules,",Ket pagkatawanyo dagiti gagayyemyo a nakaad-adu ti tattao.
  D'une bouche empruntée au derrière des poules !,Ti maysa a bibig a naala iti likudan ti manok!
"  J'aime raréfier sur mes pas les saluts,","No agpakadaak iti dalan, kayatko a sawen ti kablaaw."
  Et m'écrie avec joie: un ennemi de plus !,"Ket agpukkawka a sirarag-o kaniak: ""Adda pay maysa nga kabusor!"""
LE BRET:,Ti KARAN:
  Quelle aberration !,Anian a kinakillo!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Wen, wen, dayta ti kinaawan panagraemko."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ti panagaramid iti dayta ket pagragsakanko.
"  Mon cher, si tu savais comme l'on marche mieux","""Ay, no ammom no kasano ti agtaray iti nasaysayaat a pamay-an,"
  Sous la pistolétade excitante des yeux !,Iti sirok ti nakaragragsak a panagkitana!
"  Comme, sur les pourpoints, font d'amusantes taches",Kas iti agaramid iti nalulok a panagpintas kadagiti punto
  Le fiel des envieux et la bave des lâches !,Ti kinadakes dagiti managayat iti bagbagida ken ti kinadakes dagiti nakillo!
"  --Vous, la molle amitié dont vous vous entourez,","- Sika, ti naalumamay a gayyem a kailiam,"
"  Ressemble à ces grands cols d'Italie, ajourés","Kasla dagitoy a dadakkel nga ulo ti Italia, naituding"
"  Et flottants, dans lesquels votre cou s'effémine:",Ken dagiti aglaylayus a mangpukaw iti tengngedmo.
"  On y est plus à l'aise. . .et de moins haute mine,",Nalaklaka ti agtrabaho.
"  Car le front n'ayant pas de maintien ni de loi,","Ta awan ti panangidalan ken linteg iti sangoanan,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","Ngem siak,"
"  La Haine, chaque jour, me tuyaute et m'apprête",Inaldaw a pagbutngannak ti gura
  La fraise dont l'empois force à lever la tête;,Ti maysa a strawberry a ti kinarugitna parparigatenna nga agpangato;
  Chaque ennemi de plus est un nouveau godron,Tunggal sabali pay a kabusor ket baro a barbas
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Ket isu ti mangpadpadakkel kaniak iti pannakariribuk ken panagrang-ay.
"  Car, pareille en tous points à la fraise espagnole,","Kas iti Spanish strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","Ti Kagura ket maysa a karkan, ngem maysa a aurora!"
"LE BRET (après un silence, passant son bras sous le sien):","Ti BIRET (ngem kalpasan ti panagdiwengdiweng, nga aglabas ti takkiagna iti baba ti bukodna):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","""Ipakitayo ti kinatangsit ken kinatangsit, ngem iti kasta, agbabawikayo""."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ibagam laeng a saanka a kayat!
CYRANO (vivement):,CYRANO (Naragsak):
  Tais-toi !,- Agtalgedka!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Bayat ti apagbiit, simrek ni Christian, nakikadua kadagiti ubbing; dagitoy"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"saanda a makisarita kenkuana; iti kamaudiananna, nagtugaw laeng iti maysa a"
