Scène 2.VIII.,Adegan 2.VIII.
  Des vers aux financiers ? se changer en bouffon,Ti cacing ka finansial? jadi buff
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Dina harepan hina ningali, dina biwir hiji menteri,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Jadi, bisa jadi nu leuwih alusna, lamun urang boga sorana nu leuwih alus."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Teu, hatur nuhun."
  Avoir un ventre usé par la marche ? une peau,Naha anjeun gaduh beuteung anu rusak ku jalan?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Saha nu jadi najis leuwih gancang ti batan tuur?
  Exécuter des tours de souplesse dorsale ?. . .,Ngajalankeun tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur tur
"  Non, merci. D'une main flatter la chèvre au cou","Henteu, hatur nuhun."
"  Cependant que, de l'autre, on arrose le chou,","Tapi lamun urang nyiramkeun kaleleu,"
"  Et, donneur de séné par désir de rhubarbe,","Jeung anu ngarahkeun beuteung pikeun kahayang beuteung,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Naha anjeun masih boga seuneu-seuneu di beuteung?
"  Non, merci ! Se pousser de giron en giron,","Henteu, hatur nuhun."
"  Devenir un petit grand homme dans un rond,","Jadi hiji guy leutik gede dina hiji round,"
"  Et naviguer, avec des madrigaux pour rames,","Jeung ngalayar, jeung madrigals pikeun rem,"
  Et dans ses voiles des soupirs de vieilles dames ?,Jeung dina layarna nu ngajerit tina awewe heubeul?
"  Non, merci ! Chez le bon éditeur de Sercy","Henteu, hatur nuhun, ka pangarang sercy anu leres."
"  Faire éditer ses vers en payant ? Non, merci !",Naha anjeun kedah ngédit kecap-kecapna ku mayar?
  S'aller faire nommer pape par les conciles,Jadi Paus ku Konsili
  Que dans des cabarets tiennent des imbéciles ?,Naon anu di cabaret?
"  Non, merci ! Travailler à se construire un nom","Henteu, hatur nuhun, damel pikeun ngawangun nami"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Dina hiji sonét, tinimbang nyieun leuwih?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Hatur nuhun, tapi teu aya bakat pikeun manggihan di keris?"
"  Être terrorisé par de vagues gazettes,","Jadi, jadian ku koran nu ngageleger,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Jeung sok ngomong, ""Oh, lamun kuring"
  Dans les petits papiers du Mercure François ?. . .,Dina kertas leutik tina Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Teu, hatur nuhun! Ngitung, sieun, jadi blunt,"
"  Aimer mieux faire une visite qu'un poème,","Leuwih resep nganjang ti puitis,"
"  Rédiger des placets, se faire présenter ?","Nyieun poster, ngawanohkeun diri?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Henteu, hatur nuhun, hatur nuhun, hatur nuhun, tapi ... nyanyi,"
"  Rêver, rire, passer, être seul, être libre,","Ngimpi, seuri, ngaliwat, jadi sorangan, jadi bébas,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Pikeun boga panon nu bisa ningali, sora nu bisa ngageter,"
"  Mettre, quand il vous plaît, son feutre de travers,","Nempatkeun, iraha anjeun hoyong, sensasi na salah,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Pikeun enya, pikeun henteu, tarung, - atawa nyieun worm!"
"  Travailler sans souci de gloire ou de fortune,","Ngawula tanpa hayang kasohor atawa kabeungharan,"
"  A tel voyage, auquel on pense, dans la lune !","Dina perjalanan nu sarua, nu bisa dipikirkeun, ka bulan!"
"  N'écrire jamais rien qui de soi ne sortît,","Ulah nulis naon-naon nu teu datang ti diri sorangan,"
"  Et modeste d'ailleurs, se dire: mon petit,","Jeung modestly, nyebutkeun diri:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Bisa jadi bunga, buah, daun,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Lamun anjeun nyokot eta di kebon anjeun!
"  Puis, s'il advient d'un peu triompher, par hasard,","Tapi lamun manehna meunang saeutik,"
"  Ne pas être obligé d'en rien rendre à César,","Ku sabab kitu, ulah wajib mayar ka Prabu."
"  Vis-à-vis de soi-même en garder le mérite,","Pikeun ngajaga méré diri,"
"  Bref, dédaignant d'être le lierre parasite,","Singkatna, teu malire keur lierre parasit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Sanajan urang lain tangkal oak atawa tangkal lilin,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Bisa jadi teu nepi ka luhur, tapi sorangan!"
LE BRET:,Nu jadi:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Bisa jadi, tapi teu bisa ngalawan urang."
  As-tu donc contracté la manie effroyable,Jadi anjeun geus meunang manic dahsyat
"  De te faire toujours, partout, des ennemis ?",Naha anjeun bakal salawasna nyieun musuh di mana waé?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ku lantaran ningali aranjeun nyieun babaturan,"
"  Et rire à ces amis dont vous avez des foules,","Jeung seuri ka babaturan nu anjeun boga multitudes,"
  D'une bouche empruntée au derrière des poules !,Jeung hiji sungut boros di tukangeun hayam!
"  J'aime raréfier sur mes pas les saluts,","Kuring resep ngabagéakeun salam dina suku kuring,"
  Et m'écrie avec joie: un ennemi de plus !,"Jeung ngagorowok ka Kami, ""Anu jadi musuh urang teh!"
LE BRET:,Nu jadi:
  Quelle aberration !,Ieu téh hal anu aneh.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Nah, enya, éta téh kabiasaan kuring."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Kuring resep keur dibenci.
"  Mon cher, si tu savais comme l'on marche mieux","Sayang, lamun anjeun terang kumaha urang leumpang hadé"
  Sous la pistolétade excitante des yeux !,Dina kaayaan gunstage metot panon!
"  Comme, sur les pourpoints, font d'amusantes taches","Salaku, dina titik, nyieun noda lucu"
  Le fiel des envieux et la bave des lâches !,"""Karajaan anu kacida panasaranana, jeung kaom anu kacida bangsatna""."
"  --Vous, la molle amitié dont vous vous entourez,","--Anjeun, silaturahim anu lembut anu anjeun lingkungkeun,"
"  Ressemble à ces grands cols d'Italie, ajourés","Sigana cols badag Italia, ditunda"
"  Et flottants, dans lesquels votre cou s'effémine:","Jeung ngapung, nu beuheung anjeun scars:"
"  On y est plus à l'aise. . .et de moins haute mine,","Urang leuwih nyaman di dinya. . . Jeung mining handap,"
"  Car le front n'ayant pas de maintien ni de loi,","Sabab, urang mah teu boga aturan, teu boga hukum."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Anjeunna nyerah ka arah mana waé.
"  La Haine, chaque jour, me tuyaute et m'apprête","Unggal poé, Hate ngagoda jeung nyiapkeun kuring"
  La fraise dont l'empois force à lever la tête;,Strawberry anu racunna maksa sirah na naek;
  Chaque ennemi de plus est un nouveau godron,Unggal musuh nu leuwih anyar mangrupa godron anyar
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Mantenna teh, nya eta anu nambahan kasusah jeung kasusah ka abdi."
"  Car, pareille en tous points à la fraise espagnole,","Sabab, dina sagala hal kawas strawberry Spanyol,"
"  La Haine est un carcan, mais c'est une auréole !","Hate téh hiji carcan, tapi éta hiji auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","THE breat (saatos sepi, ngalirkeun leungeun-Na dina dirina):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Sing luhur jeung ambek, tapi sing handap"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ngan ngabejaan kuring yén manéhna teu cinta anjeun!
CYRANO (vivement):,CYRANO (di hirup):
  Tais-toi !,Ceuk nu aya di dieu.
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Ti hiji waktu, Christian asup, mingpin kalawan cadets;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,teu nyarita jeung manéhna; manéhna tungtungna diuk sorangan di hiji
