Scène 2.VIII.,2.8వ దశ.
"  Ressemble à ces grands cols d'Italie, ajourés","ఇటలీలో పెద్ద ఎత్తున ఉన్న ఈ గడ్డిలా కనిపిస్తుంది,"
"  Et flottants, dans lesquels votre cou s'effémine:","మరియు మీ మెడలో తేలిపోయే తేలుతూ,"
"  On y est plus à l'aise. . .et de moins haute mine,","మేము మరింత సౌకర్యవంతంగా ఉంటాయి. . . మరియు తక్కువ ఎత్తులో,"
"  Car le front n'ayant pas de maintien ni de loi,","ఎందుకంటే, ముఖం మీద ఎలాంటి నియమాలు లేవు."
"  S'abandonne à pencher dans tous les sens. Mais moi,",అతను అన్ని దిశల్లోనూ వంగి ఉంటాడు.
"  La Haine, chaque jour, me tuyaute et m'apprête",ప్రతిరోజూ ద్వేషం నన్ను పీల్చుకుంటుంది మరియు నన్ను సిద్ధం చేస్తుంది
  La fraise dont l'empois force à lever la tête;,"ఒక స్ట్రాస్, దాని విషం తన తల అప్ ఎత్తండి బలవంతం;"
  Chaque ennemi de plus est un nouveau godron,ప్రతి శత్రువు కొత్త గాడిద
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","నా బాధను, నా బాధను ఆయన పెంచుతాడు."
"  Car, pareille en tous points à la fraise espagnole,","స్పానిష్ స్ట్రాస్ వంటి అన్ని విధాలుగా,"
"  La Haine est un carcan, mais c'est une auréole !","ద్వేషం ఒక మృగం, కానీ అది ఒక ఆరేయోలా!"
"LE BRET (après un silence, passant son bras sous le sien):","బ్రీట్ (ఒక నిశ్శబ్దం తర్వాత, తన చేతి కింద తన చేతి వెళుతున్న):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","గర్వంగా మరియు కరుణతో ఉన్నతమైనది చేయండి, కానీ తక్కువ"
  Dis-moi tout simplement qu'elle ne t'aime pas !,ఆమె నిన్ను ప్రేమించదని చెప్పు!
CYRANO (vivement):,సిరానో (జీవనంలో):
  Tais-toi !,నోరు మూసుకో!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(కొంతకాలం క్రిస్టియన్ ప్రవేశించి, యువకులతో కలసి,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"అతను ఒక వ్యక్తి తో మాట్లాడటానికి లేదు, అతను చివరికి ఒంటరిగా కూర్చుని"
