Scène 2.VIII.,Scena 2.VIII.
"  Devenir un petit grand homme dans un rond,","Să devină un om mic în rând,"
"  Et naviguer, avec des madrigaux pour rames,","Şi să navigăm cu măriţe de rem,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Şi în velele sale, strigăturile bătrânilor?"
"  Non, merci ! Chez le bon éditeur de Sercy","Nu, mulţumesc, la editoriul Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Să-i fac să-şi redacteze versurile pe plăte?
  S'aller faire nommer pape par les conciles,Să se numească papă de către consiliile
  Que dans des cabarets tiennent des imbéciles ?,Că în cabane sunt nişte idioţi ?
"  Non, merci ! Travailler à se construire un nom","Nu, mulţumesc, să-mi construiesc un nume."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Pe un sonnet, în loc să mai faci altele?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Nu poţi descoperi talent decât în bucătărie?
"  Être terrorisé par de vagues gazettes,","Să fii terorat de ziarele învechite,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Şi spun mereu: ""Oh, dacă aş fi"
  Dans les petits papiers du Mercure François ?. . .,În lucrările mici ale lui Francis Mercury? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Calcul, frica, blândeţea."
"  Aimer mieux faire une visite qu'un poème,",Mai degrabă să-ţi placă o vizită decât o poezie.
"  Rédiger des placets, se faire présenter ?","Să scriu nişte articole, să mă prezint?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nu, mulţumesc, mulţumesc, dar... cântă,"
"  Rêver, rire, passer, être seul, être libre,","Să visezi, să râzi, să treci, să fii singur, să fii liber,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Să ai ochi care văd bine, o voce care tremurează,"
"  Mettre, quand il vous plaît, son feutre de travers,","Să-şi pună, când vrei, sentimentele în neregulă,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Pentru un ""da"", pentru un ""nu"", lupta, - sau face un vierme!"
"  Travailler sans souci de gloire ou de fortune,","Să munceşti fără a te gândi la glorie sau bogăţie,"
"  A tel voyage, auquel on pense, dans la lune !","La o călătorie de genul ăsta, la care ne gândim, la lună!"
"  N'écrire jamais rien qui de soi ne sortît,","Să nu scrii niciodată nimic care nu vine din tine,"
"  Et modeste d'ailleurs, se dire: mon petit,","Şi modest, de altfel, să se spună: ""Băiatul meu,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Fie ca să fie mulţumit de flori, fructe, chiar şi de frunze,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Dacă ai să-i iei în grădina ta!
"  Puis, s'il advient d'un peu triompher, par hasard,","Apoi, dacă el se întâmplă să triumfă puţin,"
"  Ne pas être obligé d'en rien rendre à César,","Să nu fiu obligat să dau ceva împăratului,"
"  Vis-à-vis de soi-même en garder le mérite,","Pentru a-şi păstra meritul,"
"  Bref, dédaignant d'être le lierre parasite,","În scurt, dezgustând că sunt lierre parasita,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Chiar dacă nu suntem stejar sau ţigară,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Poate nu prea sus, dar singur!"
LE BRET:,- Ce ?
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Poate singur, dar nu împotriva tuturor."
  As-tu donc contracté la manie effroyable,"Deci, ai contractat mania îngrozitor"
"  De te faire toujours, partout, des ennemis ?",Să te faci mereu inamic peste tot?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Din cauza că vă vedeţi făcând prieteni,"
"  Et rire à ces amis dont vous avez des foules,","Şi râdeţi de prietenii ăştia de care aveţi mulţime,"
  D'une bouche empruntée au derrière des poules !,Cu o gură împrumutată din spatele găinilor!
"  J'aime raréfier sur mes pas les saluts,","Îmi place să-mi spun ""doamnă""."
  Et m'écrie avec joie: un ennemi de plus !,"Şi strigă cu bucurie: ""Mai este un duşman!"""
LE BRET:,- Ce ?
  Quelle aberration !,Ce aberraţie !
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ei bine, da, e vicul meu."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Îmi place să plec, îmi place să fiu urât."
"  Mon cher, si tu savais comme l'on marche mieux","Dragă, dacă ai şti cum să mergi mai bine"
  Sous la pistolétade excitante des yeux !,Sub starea de pistol de-a lungul ochiului !
"  Comme, sur les pourpoints, font d'amusantes taches","Cum, pe puncte de vedere, face pete amuzante"
  Le fiel des envieux et la bave des lâches !,Vânântaţia celor invidiosi şi răul laşilor !
"  --Vous, la molle amitié dont vous vous entourez,","- Tu, prietena blândă care te înconjoară,"
"  Ressemble à ces grands cols d'Italie, ajourés","Seamănă cu aceste mari cochi din Italia, amânate"
"  Et flottants, dans lesquels votre cou s'effémine:","Şi plutitoare, în care gâtul tău se spargă:"
"  On y est plus à l'aise. . .et de moins haute mine,","Suntem mai confortabili. ...şi mai puţin înalţi,"
"  Car le front n'ayant pas de maintien ni de loi,","Pentru că fruntea nu are nici o ţară, nici o lege,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Se dă în toate direcţiile.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ură, în fiecare zi, mă loveşte şi mă pregăteşte."
  La fraise dont l'empois force à lever la tête;,Fraza cu veninul care o forţează să ridice capul;
  Chaque ennemi de plus est un nouveau godron,Fiecare duşman mai mult este un nou păsăric.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",El mă face să fiu în stare de ruşine şi de rătăcire.
"  Car, pareille en tous points à la fraise espagnole,","Pentru că, la fel ca în toate privinţele cu fraza spaniolă,"
"  La Haine est un carcan, mais c'est une auréole !","Ură este un carcan, dar este o auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","BREAT (după un tăcere, trecând brațul sub el):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Să-l înălţăm pe mândru şi să-l amarezi, dar să-l înălţăm pe cel mai mic"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Spune-mi că nu te iubeşte!
CYRANO (vivement):,CYRANO (în viaţă):
  Tais-toi !,- Taci din gură !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(De la un moment dat, Christian a intrat, s-a amestecat cu tinerii; aceştia"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"nu vorbea cu el, el a ajuns să stea singur la o"
