Scène 2.VIII.,Sary 2.VIII.
  Que dans des cabarets tiennent des imbéciles ?,Fa misy olona tsy mahay manao zavatra any amin'ny trano fandraisam-bahiny?
"  Non, merci ! Travailler à se construire un nom",Miasa amin'ny fananganana anarana
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Amin'ny feo iray, fa tsy manao hafa?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Tsy mahita talenty afa-tsy amin'ny tany misy ny tany?
"  Être terrorisé par de vagues gazettes,","Ny ho taitra amin'ny gazety miolakolaka,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ary tsy mitsahatra miteny hoe: ""Oh, raha izaho no"
  Dans les petits papiers du Mercure François ?. . .,Ao amin'ny taratasy kely avy amin'i François Mercure? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Tsy, misaotra, mihevitra, matahotra, maivana,"
"  Aimer mieux faire une visite qu'un poème,","Tiako kokoa ny mitsidika noho ny tononkalo,"
"  Rédiger des placets, se faire présenter ?","Manoratra taratasy fanamarinana, manao fampisehoana?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Tsia, misaotra, misaotra, fa... mihira,"
"  Rêver, rire, passer, être seul, être libre,","Manonofy, mihomehy, mandalo, irery, malalaka,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ny maso mijery tsara, ny feo mihorohoro,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ampifanaraho amin'ny hafa ny fihetseham-pony,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ho an'ny eny, ho an'ny tsia, hiady, - na hanao tsimparifary!"
"  Travailler sans souci de gloire ou de fortune,","Tsy mila voninahitra na harena,"
"  A tel voyage, auquel on pense, dans la lune !","Ho any amin'ny fitsangatsanganana iray izay tsy ho vitantsika intsony, amin'ny volana!"
"  N'écrire jamais rien qui de soi ne sortît,","Aza manoratra zavatra tsy avy amin'ny tenanao mihitsy,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ary ny tena manetry tena, milaza amin'ny tenany hoe: ""Tovolahy kely,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Na dia ravina, na voankazo, na ravina aza,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Raha ao an-jaridainao no handraisana azy ireo!
"  Puis, s'il advient d'un peu triompher, par hasard,","Ary raha toa ka handresy kely izy,"
"  Ne pas être obligé d'en rien rendre à César,","Ary tsy voatery mandoa vola amin'i Kaisara aho,"
"  Vis-à-vis de soi-même en garder le mérite,","Ho an'ny tenanao manokana, mitazona ny tombotsoany,"
"  Bref, dédaignant d'être le lierre parasite,","Raha fintinina, tsy miraharaha ny maha-mpanana-tsimparifary azy,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Na dia tsy hazo hazo hazo na hazo hazo hazo fihinanam-bilona aza isika,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Tsy avo be angamba, fa irery!"
LE BRET:,Ny RATSY:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Na dia irery aza, fa tsy amin'ny rehetra."
  As-tu donc contracté la manie effroyable,Dia lasa mania be ve ianao?
"  De te faire toujours, partout, des ennemis ?",Ny manao fahavalo foana amin'ny toerana rehetra?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Rehefa nahita anao nanao namana,"
"  Et rire à ces amis dont vous avez des foules,","Ary mihomehy ireo namana izay manana vahoaka,"
  D'une bouche empruntée au derrière des poules !,Ny vavany dia miborosy ao ambadiky ny akoho!
"  J'aime raréfier sur mes pas les saluts,","Tiako ny manao teny soa tsy fahita firy amin'ny tongotro,"
  Et m'écrie avec joie: un ennemi de plus !,Ary miantsoantso ahy amin'ny fifaliana: fahavalo iray hafa!
LE BRET:,Ny RATSY:
  Quelle aberration !,Tena tsy mety loatra izany.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Eny, izany no fahafinaretako."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Faly aho rehefa mivoaka, tiako ny olona mankahala ahy."
"  Mon cher, si tu savais comme l'on marche mieux","Ry malala, raha fantatrao ny fomba handehanana tsara kokoa"
  Sous la pistolétade excitante des yeux !,Eo ambanin'ny fijerin'ny masony mampientanentana!
"  Comme, sur les pourpoints, font d'amusantes taches",Toy ny manao zavatra mampihomehy amin'ny teboka
  Le fiel des envieux et la bave des lâches !,Ny fialon'ny saro-piaro sy ny fialon'ny matahotra!
"  --Vous, la molle amitié dont vous vous entourez,","--Ianao, ilay namana malefaka manodidina anao,"
"  Ressemble à ces grands cols d'Italie, ajourés","Toa ireo kisoa lehibe any Italia, nahemotra"
"  Et flottants, dans lesquels votre cou s'effémine:","Ary mitsambikina, izay ahorakoraka ny vozonao:"
"  On y est plus à l'aise. . .et de moins haute mine,",Mahatsiaro ho mahazo aina kokoa isika.
"  Car le front n'ayant pas de maintien ni de loi,","Satria tsy misy fitsipika na lalàna ny lohalika,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Tsy miovaova amin'ny lafiny rehetra izy.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ny fankahalana, isan'andro, dia manary ahy sy maniry ahy"
  La fraise dont l'empois force à lever la tête;,Ny frantsay izay manery ny lohany hiakatra ny poizina;
  Chaque ennemi de plus est un nouveau godron,Ny fahavalo rehetra dia ny valala vaovao
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Izay mampitombo ny fahoriako sy ny fahoriako;
"  Car, pareille en tous points à la fraise espagnole,","Satria tahaka ny fromazy espaniola amin'ny lafiny rehetra,"
"  La Haine est un carcan, mais c'est une auréole !","Ny Fankahalana dia toy ny harato, fa ny harato dia toy ny auréole!"
"LE BRET (après un silence, passant son bras sous le sien):",Ny TONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONT
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ataovy avo ny mpirehareha sy ny mangidy, fa ambany"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Lazao fotsiny aho fa tsy tia anao izy!
CYRANO (vivement):,CYRANO (Miaina):
  Tais-toi !,- Mitoera!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Tamin'ny fotoana fohy, Christian niditra, nifangaro tamin'ny tanora; ireo"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,tsy niteny taminy; dia nipetraka irery izy
