Scène 2.VIII.,দৃশ্য ২.৮।
"  Et modeste d'ailleurs, se dire: mon petit,","আর নিজেকে বলতে, ""আমার ছোট্ট ছেলে,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","ফুল, ফল, এমনকি পাতাও নিয়ে সন্তুষ্ট"
  Si c'est dans ton jardin à toi que tu les cueilles !,যদি তুমি তোমার বাগানে তাদের সংগ্রহ কর!
"  Puis, s'il advient d'un peu triompher, par hasard,","তারপর যদি সে কিছুতেই বিজয়ী হয়,"
"  Ne pas être obligé d'en rien rendre à César,","""তুমি কৈসরের কাছে টাকা দিতে বাধ্য হবে না ।"
"  Vis-à-vis de soi-même en garder le mérite,","নিজের প্রতি তার মর্যাদা বজায় রাখার জন্য,"
"  Bref, dédaignant d'être le lierre parasite,","সংক্ষেপে, প্যারাসাইট লিরি হতে অস্বীকার করে,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","এমনকি যখন আমরা বনের বা তৃণমূলের গাছ না,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","হয়তো খুব বেশি উপরে উঠবে না, কিন্তু একা!"
LE BRET:,বিড়াল:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","একা, কিন্তু সবার বিরুদ্ধে নয়।"
  As-tu donc contracté la manie effroyable,তাহলে কি তুমি ভয়াবহ ম্যানিয়াতে আক্রান্ত হয়েছ?
"  De te faire toujours, partout, des ennemis ?",সব জায়গায় শত্রুতা করা?
CYRANO:,সাইরানো:
"  A force de vous voir vous faire des amis,","আমি তোমাকে বন্ধু বানাতে দেখলাম,"
"  Et rire à ces amis dont vous avez des foules,","এবং এই বন্ধুদের নিয়ে হাসি, যাদের ভিড় আছে,"
  D'une bouche empruntée au derrière des poules !,একটা মুখের সাথে মুরগির পিঠে ছুড়ে!
"  J'aime raréfier sur mes pas les saluts,","আমি আমার পায়ের উপর সালাম দিতে পছন্দ করি,"
  Et m'écrie avec joie: un ennemi de plus !,"আর আমার কাছে আনন্দের সাথে চিৎকার কর, আর একজন শত্রু!"
LE BRET:,বিড়াল:
  Quelle aberration !,কি অদ্ভুত!
CYRANO:,সাইরানো:
"  Eh bien, oui, c'est mon vice.","- হ্যাঁ, এটা আমার অভ্যাস।"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"আমি অপ্রত্যাশিত, আমি ঘৃণা পছন্দ করি।"
"  Mon cher, si tu savais comme l'on marche mieux","প্রিয়তমা, তুমি যদি জান যে আমরা কিভাবে ভাল হাঁটছি"
  Sous la pistolétade excitante des yeux !,চোখের উজ্জ্বল তীরের নিচে!
"  Comme, sur les pourpoints, font d'amusantes taches","যেমন, পয়েন্ট উপর মজার দাগ করা"
  Le fiel des envieux et la bave des lâches !,হিংস্রদের মৃদুতা আর ভীরুদের মৃদুতা!
"  --Vous, la molle amitié dont vous vous entourez,","--আপনি, আপনার চারপাশের মৃদু বন্ধুত্ব,"
"  Ressemble à ces grands cols d'Italie, ajourés","ইতালির এই বিশাল কুলের মতো, বিলম্বিত"
"  Et flottants, dans lesquels votre cou s'effémine:","আর উড়ন্ত, যার মধ্যে তোমার ঘাড়ের ভয় থাকে,"
"  On y est plus à l'aise. . .et de moins haute mine,","আমরা এখানে আরামদায়ক এবং কম উচ্চতা,"
"  Car le front n'ayant pas de maintien ni de loi,","কারণ, মুখের কোন নিয়ম নেই, আর আইন নেই,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",সে সব দিকের দিকে তাকিয়ে থাকে।
"  La Haine, chaque jour, me tuyaute et m'apprête",ঘৃণা আমাকে প্রতিদিন চুদছে এবং আমাকে প্রস্তুত করছে
  La fraise dont l'empois force à lever la tête;,তার মৃদুতা তার মাথাকে উঁচুতে তুলতে বাধ্য করে;
  Chaque ennemi de plus est un nouveau godron,আর প্রতিটি শত্রু নতুন ডেকো
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",তিনি আমাকে কষ্টের যোগ দেন এবং আমার উপর বিপর্যয় বাড়ান ।
"  Car, pareille en tous points à la fraise espagnole,","কারণ, স্প্যানিশ ফ্রাজের মতো,"
"  La Haine est un carcan, mais c'est une auréole !","ঘৃণা একটা মৃদু প্রাণী, কিন্তু এটা একটা অ্যারোয়েল!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (শব্দ পরে, তার হাত তার অধীনে পাস):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","অহংকারীকে উচ্চতর করে দাও, আর তাকে তিক্ত করে দাও, কিন্তু নীচে থাকো।"
  Dis-moi tout simplement qu'elle ne t'aime pas !,শুধু বলো সে তোমাকে পছন্দ করে না!
CYRANO (vivement):,সিআরএনও (জীবিত):
  Tais-toi !,চুপ করো!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(একটু পর, খ্রিস্টান প্রবেশ, এবং কনিষ্ঠদের সঙ্গে মিশে; তারা"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"তার সাথে কথা বলতে না, তিনি শেষ পর্যন্ত একাকী একসঙ্গে বসতে"
