Scène 2.VIII.,المشهد 2.VIII.
  Chaque ennemi de plus est un nouveau godron,كل عدو جديد هو جبان جديد
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",يَزِيدُ عَلَيَّ عَيْبًا وَيَزِيدُ عَيْبًا.
"  Car, pareille en tous points à la fraise espagnole,",لانه، على كل وجه، مثل الفراولة الاسبانية،
"  La Haine est un carcan, mais c'est une auréole !",الكراهية كرهة، لكن هي طائر!
"LE BRET (après un silence, passant son bras sous le sien):",(بعد صمت، يمر ذراعها تحت ذراعها):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",ارفع الكبري واكر، و لكن انخفض
  Dis-moi tout simplement qu'elle ne t'aime pas !,قولي لي بس انها ما تحبك!
CYRANO (vivement):,سيرانو (حيا):
  Tais-toi !,اخرس!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(منذ وقت، دخل كريستيان، وخلط مع القاصين،
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,لا يكلمان له، فقال في النهاية جلس وحده مع واحد
