Scène 2.VIII.,Çalakiya 2.VIII.
"  Cependant que, de l'autre, on arrose le chou,","Lê belê, ji aliyê din ve, em ji kalebê vexwarin,"
"  Et, donneur de séné par désir de rhubarbe,",Û ji ber ku bi hêvîya xwe bi rûbbarb re rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd û rûd
"  Avoir son encensoir, toujours, dans quelque barbe ?",Gelo her tim bi çewtê xwe bi qirêjî bi cih dibe?
"  Non, merci ! Se pousser de giron en giron,","Ne, spas! Ji her tiştî ve bi her tiştî ve biherike,"
"  Devenir un petit grand homme dans un rond,","Bi serekî mezin bibe li dorekî,"
"  Et naviguer, avec des madrigaux pour rames,","Û bi qereqolên qereqolê biçe,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Li nav velayên wê jî, bi serî li jinên kevin têne girtin?"
"  Non, merci ! Chez le bon éditeur de Sercy","Ne, ez spas dikim, ez bi ser weşanxaneya Sercy re."
"  Faire éditer ses vers en payant ? Non, merci !",Ji bo ku mirov bi pereya xwe xwe xwe xwe bi kurdî bibîne?
  S'aller faire nommer pape par les conciles,Ji bo ku li Civata Papî bêne namzed kirin
  Que dans des cabarets tiennent des imbéciles ?,Di kabaran de bêrên bişopînin?
"  Non, merci ! Travailler à se construire un nom","Ne, ez spas dikim. Karî li ser xwe çêkirina nav"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Li ser sonnetekê, li şûna ku dinên din çêkin?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Gelo tenê di nav qereqolê de talentê tê dîtin?
"  Être terrorisé par de vagues gazettes,","Ji ber ku ji rojnameyên dengbêj re tirsê heye,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Û her tim ji xwe re digot: ""Eger ez"
  Dans les petits papiers du Mercure François ?. . .,Di rojnameya Mercur Francis de? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ne, spasî! Hesabkirin, tirs, bêdengî,"
"  Aimer mieux faire une visite qu'un poème,","Ji helbestekê bêtir serdana xwe hez bike,"
"  Rédiger des placets, se faire présenter ?","Dibe ku hûn xwe bişopînin, xwe pêşkêş bikin?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ne, spas! Ne, spas! Ne, spas! Lê... stran,"
"  Rêver, rire, passer, être seul, être libre,","Xewn, qesr, derbasbûn, tenêbûn, azadbûn,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Bi çavekî baş dibînin, dengê xwe bi rêz bikin,"
"  Mettre, quand il vous plaît, son feutre de travers,","Dema ku tu dixwazî, hestên xwe yên bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayekî bi awayî bişînin,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ji bo yek e, ji bo yek na, şer, - an jî bişkoka!"
"  Travailler sans souci de gloire ou de fortune,","Karê xwe bêyî ku bi serbilindî û serfiraziyê bixwazin,"
"  A tel voyage, auquel on pense, dans la lune !","Di rêwîtiya me ya ku em bifikirin de, bi me re, bi me re, bi me re, bi me re, bi me re re, bi me re re, bi me re re re, bi me re re re, bi me re re re, bi me re re re, bi me re re, bi me re re, bi me re re, bi me re re, bi me re re re, bi me re re re, bi me re re, bi me re re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi me re, bi re, bi me re, bi re, bi re, bi re, bi"
"  N'écrire jamais rien qui de soi ne sortît,","Tu carî tiştekî ku ji xwe re dernekeve, binivîse."
"  Et modeste d'ailleurs, se dire: mon petit,","Û bi hêsanî jî, bibêje xwe, ""Kêça min,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Di çiçek û mey û her çiçekê de,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Eger tu wan li baxçeyê xwe bigihîje!
"  Puis, s'il advient d'un peu triompher, par hasard,","Û eger ew bi awayekî kêm bi serkeftinê,"
"  Ne pas être obligé d'en rien rendre à César,","Ji bo ku ez ji Sezar re çi bixwînim,"
"  Vis-à-vis de soi-même en garder le mérite,","Ji bo ku mirov bi xwe re biparêze,"
"  Bref, dédaignant d'être le lierre parasite,","Bi kurtî, nexwest ku li ser lire parasit be,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Gava ku em ne birçî ne û ne jî ne çîrok,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Belkî ne bi bilindî, lê bi serê xwe!"
LE BRET:,- Xwepêşandan:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Bi tenê, lê li dijî hemûyan ne."
  As-tu donc contracté la manie effroyable,Ma te bi xweþiyê bi xweþiyê ketîye?
"  De te faire toujours, partout, des ennemis ?",Ji bo ku her tim li her derê dijmin bikin?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ji ber ku hûn hevalên xwe çêdikin,"
"  Et rire à ces amis dont vous avez des foules,","Û li ser van hevalên ku tu bi girseyan, qesr,"
  D'une bouche empruntée au derrière des poules !,Ji devekî ku ji pişta pitikên xwe re hatiye xwestin!
"  J'aime raréfier sur mes pas les saluts,",Ez hez dikim ku li ser piyanên xwe silavên kêm bin.
  Et m'écrie avec joie: un ennemi de plus !,"Bi kêfxweşiyê ji min re dengê xwe bilind bike: ""Divê dijminek din jî bê!"
LE BRET:,- Xwepêşandan:
  Quelle aberration !,Çi bêhempahiyê ye!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","- Belê, e, ev xeta min e."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ez kêfxweş im ku mirov ji min re nefret bike.
"  Mon cher, si tu savais comme l'on marche mieux",Ger tu baştir dizanî ku mirov çawa biçe
  Sous la pistolétade excitante des yeux !,Di bin çavên gunehkar de!
"  Comme, sur les pourpoints, font d'amusantes taches","Ji bo ku li ser referansên, bikin spot funny"
  Le fiel des envieux et la bave des lâches !,Xêrê şêrvan û xêrê giran!
"  --Vous, la molle amitié dont vous vous entourez,","-Tu, dostaniya xwe ya bi xwe re,"
"  Ressemble à ces grands cols d'Italie, ajourés","Li beramberî wan bigihên mezin yên Îtalya,"
"  Et flottants, dans lesquels votre cou s'effémine:",Û bi avê diçin û li ser serê xwe bişopînin.
"  On y est plus à l'aise. . .et de moins haute mine,","Em li vir xweştir in. . . û ji bo min kêmtir,"
"  Car le front n'ayant pas de maintien ni de loi,","Ji ber ku pêşiya wan bi rêxistinî û bi qanûnî tune ye,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ew ji her awayî re dikeve.
"  La Haine, chaque jour, me tuyaute et m'apprête",Her roj nefret li min dixwîne û li min dixe
  La fraise dont l'empois force à lever la tête;,"Çermê ku bi zûtirîn zûtirînê serê xwe bilind dike,"
  Chaque ennemi de plus est un nouveau godron,"Her dijminekî din, xetmekî nû ye."
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Ewê ku li ser ez xemgînî zêde bike û li ser ez jî xemgînî zêde bike.
"  Car, pareille en tous points à la fraise espagnole,","Ji ber ku, di her tiştî de wek frosya Spanyayê,"
"  La Haine est un carcan, mais c'est une auréole !","Nefiroşî qirêj e, lê ew qirêj e!"
"LE BRET (après un silence, passant son bras sous le sien):","BREET (piştre bêdengiyê, derbas destê xwe di bin destê xwe de):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Bi serbilindî û bi kûrî, lê bi kêmî ve,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Bi tenê ji min re bibêje ku ew te hez nake!
CYRANO (vivement):,CYRANO (bi zindî):
  Tais-toi !,- Bêdeng bimînin!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Ji demekê ve, Christian ket, tevlî zarokên; van"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,bi wî re peyv nedin; ew bi dawî bû ku bi tenê rûniştina li yek
