Scène 2.VIII.,Kpɔɖeŋu 2.VIII.
"  Et se dire sans cesse: Oh, pourvu que je sois","Eye wòagblɔna na eɖokui be, 'Oo, ne ɖe mele"
  Dans les petits papiers du Mercure François ?. . .,Le Mercury Francis ƒe agbalẽ suewo me . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o, mele nu xlẽm o,"
"  Aimer mieux faire une visite qu'un poème,","Ne èlɔ̃a dzrewɔwɔ wu dzeɖoɖo,"
"  Rédiger des placets, se faire présenter ?","Ðe nàŋlɔ agbalẽwo, nàɖe ɖokuiwò fiaa?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ao, meda akpe, o, meda akpe, gake . . ."
"  Rêver, rire, passer, être seul, être libre,","Drɔ̃e, dɔ alɔ̃, zi, be yeanɔ ye ɖokui si, be yeanɔ ablɔɖe me,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ŋku nanɔ ame ŋu nyuie, eye wò gbe nanɔ ɖiɖim,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ne èdi be yeawɔ nu si dze ye ŋu la,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ne ègblɔ be, 'Ẽ' alo 'O' la, mègawɔe o."
"  Travailler sans souci de gloire ou de fortune,","Ne míedi be míanye ame ŋkutawo alo kesinɔtɔwo o la,"
"  A tel voyage, auquel on pense, dans la lune !","Mɔzɔzɔ si ŋu míebuna le dzinu me la,"
"  N'écrire jamais rien qui de soi ne sortît,",Mègaŋlɔ nu si mefia be èle nu ƒom o la gbeɖe o.
"  Et modeste d'ailleurs, se dire: mon petit,","Ke hã, ele bɔbɔe be nàgblɔ na ɖokuiwò be, 'Nye vidzĩ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ne woɖu seƒoƒowo, atikutsetsewo kple aŋgbawo gɔ̃ hã la,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Ne èle wo nyam le wò abɔ me la, ekema èle wo nyam le afi ma."
"  Puis, s'il advient d'un peu triompher, par hasard,","Ne eva dzɔ be wòakpɔ dziɖuɖu vie la,"
"  Ne pas être obligé d'en rien rendre à César,","Ne menye nenema o la, ekema mele be nàxe fe na Kaisaro o."
"  Vis-à-vis de soi-même en garder le mérite,","Ne èbu wò ŋutɔ ɖokuiwò ŋu la,"
"  Bref, dédaignant d'être le lierre parasite,","Le nyateƒe me la, menye ame si wɔa nu abe lã si nɔa anyi le anyigba dzi ene o."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ne menye ati alo atie míenye o hã la,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ðewohĩ menye le dziƒonutowo dzi o, gake le wò ŋutɔ ɖokuiwò si!"
LE BRET:,NYA SI WÒÐE:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",Gake menye ame sia ame ŋue wòado dzi ɖo o.
  As-tu donc contracté la manie effroyable,Ðe nèva zu ame si ƒe susu me nu sẽna ŋutɔ oa?
"  De te faire toujours, partout, des ennemis ?",Ðe wòhiã be nàdze agbagba awɔ futɔwo ɣesiaɣi?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Esi mekpɔ ale si miewɔa xɔlɔ̃woe ta la,"
"  Et rire à ces amis dont vous avez des foules,","Eye nàkpɔe be xɔlɔ̃ siwo le amehawo dome la,"
  D'une bouche empruntée au derrière des poules !,Etsɔ nu si wòdo ɖe koklowo ƒe megbe la na!
"  J'aime raréfier sur mes pas les saluts,","Ne ame aɖe do gbe nam la, medoa gbe ɖa nɛ zi geɖe."
  Et m'écrie avec joie: un ennemi de plus !,Eye nàdo ɣli sesĩe be: 'Fia bubu li!'
LE BRET:,NYA SI WÒÐE:
  Quelle aberration !,Nu si dzɔ la nye nu gbegblẽ.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Eya ta, enye nye nu vɔ̃."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Edzɔa dzi nam be maɖe asi le amewo ŋu, eye medina be woalɔ̃m."
"  Mon cher, si tu savais comme l'on marche mieux",Ne ɖe nènya ale si nàzɔ nyuie wu
  Sous la pistolétade excitante des yeux !,Le ŋku gã aɖe si le wo si la te!
"  Comme, sur les pourpoints, font d'amusantes taches",Ale si wowɔa nu siwo doa dzidzɔ na ame la le nu siwo le edzi yim la ŋu
  Le fiel des envieux et la bave des lâches !,Ŋukeklẽtɔwo ƒe dzodzoe kple vɔvɔ̃tɔwo ƒe dzodzoe!
"  --Vous, la molle amitié dont vous vous entourez,","Mi ame siwo dome miele la,"
"  Ressemble à ces grands cols d'Italie, ajourés","Eɖi Italy ƒe kɔƒonu gã mawo, siwo ŋu wotsi tre ɖo"
"  Et flottants, dans lesquels votre cou s'effémine:",Eye wò kɔwo le tsiɖim ɖe dzi.
"  On y est plus à l'aise. . .et de moins haute mine,",Míedoa dzi le eme. . . . Eye míedoa dzi le eme ʋĩi.
"  Car le front n'ayant pas de maintien ni de loi,","Elabena ŋkuagbãtɔ si me se aɖeke mele o la,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Egblẽa eƒe susu ɖe mɔwo katã dzi.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ŋutasẽ léa fuam gbe sia gbe, eye wòna mekpɔa dzidzɔ."
  La fraise dont l'empois force à lever la tête;,"Aʋatsotsoe si ƒe dzodzoe na eƒe ta tsi tre ɖe dzi,"
  Chaque ennemi de plus est un nouveau godron,Futɔ bubu ɖe sia ɖe nye ameflula yeye
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Etsɔ vevesese geɖe kpe ɖe ŋunye, eye wòna nye nuxaxa nu sẽna."
"  Car, pareille en tous points à la fraise espagnole,","Elabena le mɔ sia mɔ nu la, abe ale si Spain-gbe ƒe gbotsetsea le ene la,"
"  La Haine est un carcan, mais c'est une auréole !","Ŋutasẽ nye nu si me nu gblẽna le, gake enye nu si me nu gblẽna le!"
"LE BRET (après un silence, passant son bras sous le sien):","Eƒoe ɖe anyi kpoo, eye wòɖe eƒe asi ɖa le eƒe asi te."
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Wɔ dadalawo kple ame siwo léa fu wo la ƒe dɔmenyowɔwɔ, ke boŋ nàɖe wo ɖe anyi"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Gblɔe nam ko be yemelɔ̃ wò o!
CYRANO (vivement):,CYRANO (si le agbe):
  Tais-toi !,Zi ɖoɖoe!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Le ɣeyiɣi aɖe megbe la, Christian va nɔ nu ƒom kple ɖevi siwo nɔ anyi ɣemaɣi."
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"womegblɔ nya aɖeke nɛ o, eya ta eya ɖeka va nɔ anyi ɖe"
