Scène 2.VIII.,Adegan 2.VIII.
LE BRET (triomphant):,PANGKA nyang meunang:
  Ah !,"Ah, nyan!"
CYRANO:,CYRANO: nyang awaknyoe pike nyan?
"  Mais pour le principe, et pour l'exemple aussi,","Teuma keu nyang phon dan keu nyang phon,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ulôn pike nyan gét that meunyoe tapeugah haba nyang that-that.
LE BRET:,PANGKA:
"  Si tu laissais un peu ton âme mousquetaire,","Meunyoe gata tatinggai bacut jiwa gata nyang hana meubudoe,"
  La fortune et la gloire. . .,Keukayaan dan keumuliaan. . . .
CYRANO:,CYRANO: nyang awaknyoe pike nyan?
  Et que faudrait-il faire ?,Dan peue nyang harôh tapeubuet?
"  Chercher un protecteur puissant, prendre un patron,","Meuharab sidroe nyang meukuasa, meukuasa,"
  Et comme un lierre obscur qui circonvient un tronc,Lagée siôn-siôn ija nyang seupôt jikeulileng bak saboh bak kayée.
"  Et s'en fait un tuteur en lui léchant l'écorce,",Dan laju jipeujeuet keu tukang jaga dan jipeugleh laju ôn-ôn kayée nyan.
  Grimper par ruse au lieu de s'élever par force ?,Peu kheueh hase gata useuha gata ngon cara seungab-seungab mangat gata hase gata beudôh?
"  Non, merci. Dédier, comme tous il le font,","Hana, teurimong gaséh."
  Des vers aux financiers ? se changer en bouffon,Dari seumeutot keu peuransit? meu ubah jeut keu buff
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Deungon harapan nyang hina, ulôn hase lôn ngieng, dan ulôn hase lôn deungoe haba nyang geupeugah lé sidroe ureuëng nyang malem."
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Peugah laju ubak ulôn, ""Peurab kheueh laju deungon cara gata peugah haba""."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Hana, teurimong gaséh. Meuharab pajoh bu tieb-tieb uroe?"
  Avoir un ventre usé par la marche ? une peau,Na pruet nyang ka jeuet keu putôh asa bak watée jak-jak?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Soe kheueh nyang leubeh bagaih nibak ureuëng laén sampoe jeuet keu kuto?
  Exécuter des tours de souplesse dorsale ?. . .,Peumeu'én keu geunap lom? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Hana, teurimong gaséh. Deungon jaroe sidroe, tapeumangat kaméng bak takue"
"  Cependant que, de l'autre, on arrose le chou,","Teuma meunyoe nyang laén jipeuhase ié,"
"  Et, donneur de séné par désir de rhubarbe,",Dan nyang peujamé-jamé deungon cara jipeupuih nafeusu.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Peu kheueh sabe na teumpat tot dupa nyang na lam janggot jih?
"  Non, merci ! Se pousser de giron en giron,","Hana, teurimong gaséh. Meusiab-siab-siab,"
"  Devenir un petit grand homme dans un rond,","Meusiab-siab jeuet keu ureuëng rayeuk lam saboh kawan,"
"  Et naviguer, avec des madrigaux pour rames,",Awaknyan jimeulayeue deungon kapai-kapai nyang meulayeue.
  Et dans ses voiles des soupirs de vieilles dames ?,Dan lam ija-ija nyan na teuma nyang seudeh lagée inong tuha?
"  Non, merci ! Chez le bon éditeur de Sercy","Hana, teurimong gaséh."
"  Faire éditer ses vers en payant ? Non, merci !",Peu kheueh hase ulôn peugot catetan-catetan nyan deungon cara lôn peumeuén péng?
  S'aller faire nommer pape par les conciles,Jak meutugaih sibagoe Paus
  Que dans des cabarets tiennent des imbéciles ?,Peu kheueh na ureuëng-ureuëng nyang hana patot tinggai lam rumoh-rumoh ureuëng bangai?
"  Non, merci ! Travailler à se construire un nom","Hana, teurimong gaséh! Meubuet keu teupeudong nan droe"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Peu kheueh gata tapeumeuén saboh sonnet, dan hana tapeumeuén saboh sonnet?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Meukeureuja, kah pike keubah bakat bak saboh teumpat nyang ubit?"
"  Être terrorisé par de vagues gazettes,","Teukeujot lé beurita-beurita nyang hana meuteuntée,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Dan sabe na nyang peugah, ""Oh, meunyoe ulôn nyoe sidroe ureuëng kaya,"
  Dans les petits papiers du Mercure François ?. . .,Lam peunerapan ubit Merkurius Francis ?. . .
"  Non, merci ! Calculer, avoir peur, être blême,","Hana, teurimong gaséh! Neupeuteuntée, neuhakot, neuhakém,"
"  Aimer mieux faire une visite qu'un poème,",Leubeh galak jak u rumoh nibak lôn kalon saboh puisi.
"  Rédiger des placets, se faire présenter ?","Peuget surat-surat, peubimbéng droe?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, thanks, no, thank you, no, thank you, but..."
"  Rêver, rire, passer, être seul, être libre,","Meulumpo, teukém, jak, sidroe, beubaih,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Deungon mata nyang tajam deuh takalon, dan su nyang meugeulumbang,"
"  Mettre, quand il vous plaît, son feutre de travers,","Meunyoe gata tatem, gata peugét kheueh laju nyang sisuai deungon keuheundak gata."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Meunyo hana, meunyoe hana, ta meujuang, atawa ta peugot ca-e!"
"  Travailler sans souci de gloire ou de fortune,",Bék kheueh gata peubangga droe keu gata peubangga droe atawa keu kaya.
"  A tel voyage, auquel on pense, dans la lune !","Keu saboh peumbagian nyang paleng hebat, nyang ka lheueh teuingat, u buleuen!"
"  N'écrire jamais rien qui de soi ne sortît,",Bék kheueh gata tuléh sapeue-sapeue nyang hana hase gata peubuet keudroe gata keudroe.
"  Et modeste d'ailleurs, se dire: mon petit,","Dan deungon até nyang miyueb, gata tapeugah, ""Aneuëk ulôn,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Bah kheueh jihnyan galak ngon bungöng, boh-boh kayée, dan ôn-ôn kayée."
  Si c'est dans ton jardin à toi que tu les cueilles !,Meunyoe gata tapeusapat atra nyan lam taman gata keudroe!
"  Puis, s'il advient d'un peu triompher, par hasard,","Teuma meunyoe jihnyan meuteumé meunang nyang paleng ubit,"
"  Ne pas être obligé d'en rien rendre à César,",Bék kheueh gata peubeukara peue mantong ubak Kaisar.
"  Vis-à-vis de soi-même en garder le mérite,","Teuma meunyoe gata tapeutimang droe teuh keudroe,"
"  Bref, dédaignant d'être le lierre parasite,","Nyang sikeubiet jih, ulôn hana lôn pakoe bahwa ulôn nyoe saboh beulatang juah nyang hana meubeukai sapeue."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Bahpi geutanyoe kon bak kayée atawa naleueng lakoe,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Mungken hana treble, teuma jeuet mantong sidroe-droe."
LE BRET:,PANGKA:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Mungken sidroe, teuma kon bansigom donya."
  As-tu donc contracté la manie effroyable,Peu kheueh gata ka jeuet keu ureuëng nyang lumpah teumakot?
"  De te faire toujours, partout, des ennemis ?",Peu kheueh gata keuneuk tamuprang sabe?
CYRANO:,CYRANO: nyang awaknyoe pike nyan?
"  A force de vous voir vous faire des amis,","Sabab gata ka jeuet keu rakan-rakan,"
"  Et rire à ces amis dont vous avez des foules,",Dan gata tawa kheueh rakan-rakan gata nyang ramé nyan.
  D'une bouche empruntée au derrière des poules !,Deungon babah nyang teuboh bak pucok-pucok manok!
"  J'aime raréfier sur mes pas les saluts,",Ulôn galak lôn peusampoe saleuem ubak ureuëng laén meunyoe ulôn jak.
  Et m'écrie avec joie: un ennemi de plus !,"Meuba-e kheueh deungon geumbira, 'Soe mantong musoh ulôn!'"
LE BRET:,PANGKA:
  Quelle aberration !,Apa nyang ka hana meuguna!
CYRANO:,CYRANO: nyang awaknyoe pike nyan?
"  Eh bien, oui, c'est mon vice.","Nah, nyan keuh salah lôn."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ulôn galak that meunyoe ulôn jibanci lé gob.
"  Mon cher, si tu savais comme l'on marche mieux","Sayang, meunyoe gata tateupeue cara jak jak leubeh get"
  Sous la pistolétade excitante des yeux !,Dipeutamong mata nyang meugeumbira!
"  Comme, sur les pourpoints, font d'amusantes taches","Lagee, bak poin, peuget buet-buet nyang lucu"
  Le fiel des envieux et la bave des lâches !,Hai nyan kheueh nyang jeuet keusabab ureuëng-ureuëng bingiek até jipeukaru droe jih keudroe.
"  --Vous, la molle amitié dont vous vous entourez,","Gata, rakan-rakan nyang leumoh leumbot,"
"  Ressemble à ces grands cols d'Italie, ajourés","Lagée aneuk kaleng rayek di Italia, nyang ka jipiôh"
"  Et flottants, dans lesquels votre cou s'effémine:",Dan gata teuma teu-ubah lam laôt raya.
"  On y est plus à l'aise. . .et de moins haute mine,",Kamoe leubeh mangat nibak awaknyan.
"  Car le front n'ayant pas de maintien ni de loi,","Sabab, hana nyang peupeunoh syarat-syarat nyang teupeuteuntée keu ureuëng nyang hana jituri keu Po teu Allah."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Gobnyan hana piôh geubantah-bandah.
"  La Haine, chaque jour, me tuyaute et m'apprête",Bansi uroe hate jipeukaru dan jipeukaru
  La fraise dont l'empois force à lever la tête;,"Bak naleueng nyang jipeuteuka jeunéh nyang teupeujeuet ulée jih teubeuôt,"
  Chaque ennemi de plus est un nouveau godron,Tieb-tieb musoh nyang leubeh nyan saboh kawan putroe
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Gobnyan nyang peusabab ulôn meudeurita, dan nyang peusabab ulôn meudeurita."
"  Car, pareille en tous points à la fraise espagnole,","Sabab, lagée bak meubagoe cara bak meubagoe rupa bak kayée geulima Spanyol,"
"  La Haine est un carcan, mais c'est une auréole !","Banci nyan saboh rampak, teuma nyan saboh bintang nyang meucahya!"
"LE BRET (après un silence, passant son bras sous le sien):","(Óh lheueh nyan laju geupeugah lom lé Nabi Musa, ""Gata hana tatem peugah haba le.)"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Peujeuet kheueh ureuëng sombong dan sombong, teuma gata peumiyueb droe."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Peugah mantong bahwa jihnyan hana geucinta gata!
CYRANO (vivement):,CYRANO (manusia):
  Tais-toi !,Ciek kheueh!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Sabab nyan, Christian laju geutamong lam rumoh nyan, dan geumeurakan deungon aneuëk-aneuëk muda nyan."
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"hana peugah haba le, akhé jih gobnyan geuduek sidroe di rumoh sidroe"
