Scène 2.VIII.,സ്കെയിൻ 2.VIII.
  Des vers aux financiers ? se changer en bouffon,വേമിൽ നിന്നും ധനകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യകാര്യ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","ഒരു മന്ത്രിയുടെ വായിൽ നിന്ന് കാണാനുള്ള നിഷ്കളങ്കമായ പ്രതീക്ഷയിൽ,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","ഒരു ചിരി ഉണ്ടാവുക, അത് ദുരന്തം അല്ല?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",എല്ലാ ദിവസവും ഒരു പല്ലി കഴിക്കണോ?
  Avoir un ventre usé par la marche ? une peau,നടക്കുമ്പോൾ വയറു പൊഴിയുന്നത്?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",ആരുടെ മുട്ടാണ് ഏറ്റവും വേഗത്തിൽ വൃത്തികെട്ടത്?
  Exécuter des tours de souplesse dorsale ?. . .,പുറകിലെ പതിയെ നടക്കുമോ? . . .
"  Non, merci. D'une main flatter la chèvre au cou",ഒരു കൈ കൊണ്ട് ആട്ടിനെ കഴുത്തിൽ ചീത്തയാക്കുക
"  Cependant que, de l'autre, on arrose le chou,","പക്ഷെ, മറ്റൊരാൾക്ക് കാബേജ് വെള്ളം കൊടുക്കുവാൻ കഴിയുമ്പോഴെല്ലാം"
"  Et, donneur de séné par désir de rhubarbe,","മുലയൂട്ടുന്നവനും, മുലയൂട്ടുന്നവനും,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",അവളുടെ പുളിച്ചപൊടി എപ്പോഴും ഒരു താടിയുടെ ഉള്ളിൽ ഉണ്ടോ?
"  Non, merci ! Se pousser de giron en giron,","അല്ല, നന്ദി. ഒരു കുതിച്ചുചാട്ടം കൂടി."
"  Devenir un petit grand homme dans un rond,","ഒരു റൌണ്ടിൽ ഒരു ചെറിയ വലിയ മനുഷ്യനായി മാറുക,"
"  Et naviguer, avec des madrigaux pour rames,","കപ്പല് സഞ്ചരിക്കുകയും, കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് കപ്പല് ക"
  Et dans ses voiles des soupirs de vieilles dames ?,അവളുടെ കവചങ്ങളിൽ പഴയ സ്ത്രീകളുടെ ഉച്ചത്തിൽ?
"  Non, merci ! Chez le bon éditeur de Sercy","അല്ല, നന്ദി, സെർസിയുടെ പ്രസാധകന്റെ അടുത്തേക്ക്."
"  Faire éditer ses vers en payant ? Non, merci !",പണമടച്ചുകൊണ്ട് വേമുകൾ എഡിറ്റുചെയ്യാൻ?
  S'aller faire nommer pape par les conciles,പപ്പായി നിയമിക്കപ്പെടാൻ പോകുന്നത്
  Que dans des cabarets tiennent des imbéciles ?,ഒരു ബാറിൽ മണ്ടന്മാർ ഉണ്ടോ?
"  Non, merci ! Travailler à se construire un nom",ഒരു പേര് ഉണ്ടാക്കുക എന്നതിനായി പ്രവർത്തിക്കുക.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","ഒരു ഗാനം, മറ്റൊന്ന് ഉണ്ടാക്കുന്നതിനു പകരം?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"നന്ദി, ഒരു താലന്ത് കടുവകളിൽ മാത്രം കണ്ടെത്താൻ കഴിയുമോ?"
"  Être terrorisé par de vagues gazettes,","പത്രങ്ങളുടെ തിരക്കിൽ ഭയപ്പെടുക,"
"  Et se dire sans cesse: Oh, pourvu que je sois","എന്നും പറയാറുണ്ട്, ""ഓ, ഞാനൊരു"
  Dans les petits papiers du Mercure François ?. . .,വെര്ക്യുര് ഫ്രാൻസിസ് എന്ന പുസ്തകത്തിലെ ചെറിയ പേപ്പറുകളിൽ . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ഇല്ല, നന്ദി, കണക്കാക്കുക, ഭയപ്പെടുക, നിസ്സാരമായിരിക്കുക,"
"  Aimer mieux faire une visite qu'un poème,",ഒരു കവിതയെക്കാൾ സന്ദർശനം ഇഷ്ടമാണ്.
"  Rédiger des placets, se faire présenter ?","ഒരു പോസ്റ്റ് എഴുതുക, സ്വയം പരിചയപ്പെടുത്തുക?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി, നന്ദി,"
"  Rêver, rire, passer, être seul, être libre,","സ്വപ്നം കാണുക, ചിരിക്കുക, കടന്നുപോകുക, ഒറ്റയ്ക്കായിരിക്കുക, സ്വതന്ത്രരാകുക,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",കണ്ണു നന്നായി കാണുകയും ശബ്ദം നന്നായി കേൾക്കുകയും ചെയ്യുക.
"  Mettre, quand il vous plaît, son feutre de travers,","നിങ്ങൾ ആഗ്രഹിക്കുന്ന സമയത്ത്, നിങ്ങളുടെ വികാരങ്ങൾ തെറ്റായി,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","അതെ, ഇല്ല, പോരാടുക, അല്ലെങ്കിൽ ഒരു വേമയാകുക!"
"  Travailler sans souci de gloire ou de fortune,",പ്രശസ്തിയോ സമ്പത്തോ തേടാതെ ജോലി ചെയ്യുക.
"  A tel voyage, auquel on pense, dans la lune !",ചന്ദ്രനിൽ ഒരു യാത്രയെക്കുറിച്ച് ചിന്തിക്കുമ്പോൾ.
"  N'écrire jamais rien qui de soi ne sortît,",സ്വയം വരാത്ത ഒന്നും എഴുതരുത്.
"  Et modeste d'ailleurs, se dire: mon petit,","പിന്നെ, ഒരു ചെറിയ മനുഷ്യന്, ""എന്റെ കുഞ്ഞാ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",പൂക്കളും പഴങ്ങളും ഇലകളും കൊണ്ട് തൃപ്തിപ്പെടുക.
  Si c'est dans ton jardin à toi que tu les cueilles !,നിന്റെ തോട്ടത്തിൽ നിന്നാണ് നീ അവയെ കൂട്ടുന്നത്.
"  Puis, s'il advient d'un peu triompher, par hasard,","പിന്നെ, വല്ലപ്പോഴുമുണ്ടായാൽ, വല്ലപ്പോഴുമുണ്ടായാൽ,"
"  Ne pas être obligé d'en rien rendre à César,",കൈസറിന് കൊടുക്കേണ്ട ഒരു കാര്യവുമില്ല.
"  Vis-à-vis de soi-même en garder le mérite,","സ്വയം പര്യാപ്തത പുലർത്തുന്നതിനുവേണ്ടി,"
"  Bref, dédaignant d'être le lierre parasite,","ചുരുക്കത്തിൽ, പരോക്ഷമായ ലിറാ എന്ന നിലയിൽ,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","നമ്മൾ ഒക്ക് അല്ലെങ്കിലും, തൈര് അല്ലെങ്കിലും,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","ഉയരത്തിൽ കയറാൻ പറ്റില്ല, പക്ഷേ ഒറ്റയ്ക്ക്!"
LE BRET:,- ഒരു കറുത്തവൾ.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","ഒറ്റയ്ക്ക്, പക്ഷേ എല്ലാവരോടും അല്ല."
  As-tu donc contracté la manie effroyable,"""അതുകൊണ്ട് നിനക്ക് ഭയങ്കരമായ മാന്യത വന്നോ?"
"  De te faire toujours, partout, des ennemis ?",എല്ലായിടത്തും ശത്രുക്കളെ ഉണ്ടാക്കുക?
CYRANO:,സിറാനോ:
"  A force de vous voir vous faire des amis,","നിങ്ങളെ കണ്ടിട്ട്, നിങ്ങൾ സുഹൃത്തുക്കളായിത്തീർന്നത് കൊണ്ട്,"
"  Et rire à ces amis dont vous avez des foules,",കൂട്ടുകാരെ നോക്കി ചിരിക്കുക.
  D'une bouche empruntée au derrière des poules !,ഒരു വായ് കോഴിയുടെ പുറകിൽ നിന്ന് കടം വാങ്ങിയതു കൊണ്ടാണ്.
"  J'aime raréfier sur mes pas les saluts,",എന്റെ കാലുകൾക്ക് നേരെ വന്ദനം വിളിക്കാന് ഞാന് ഇഷ്ടപ്പെടുന്നു.
  Et m'écrie avec joie: un ennemi de plus !,"""എനിക്കു സന്തോഷം! മറ്റൊരു ശത്രു!"
LE BRET:,- ഒരു കറുത്തവൾ.
  Quelle aberration !,എന്തൊരു ഭ്രാന്ത്!
CYRANO:,സിറാനോ:
"  Eh bien, oui, c'est mon vice.","അതെ, അതെ, അത് എന്റെ പോരായ്മയാണ്."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,വെറുപ്പിക്കപ്പെടാൻ എനിക്ക് ഇഷ്ടമാണ്.
"  Mon cher, si tu savais comme l'on marche mieux","പ്രിയേ, നീ എങ്ങനെ നടക്കുന്നുവെന്ന് അറിയാമായിരുന്നുവെങ്കിൽ"
  Sous la pistolétade excitante des yeux !,കണ്ണ് കത്തിക്കുന്ന കത്തിക്കണ്ടിനു കീഴിൽ!
"  Comme, sur les pourpoints, font d'amusantes taches","ഒരു കാര്യം പറയട്ടെ, ആ സൂചനകളിൽ രസകരമായ ചില കാര്യങ്ങൾ ചെയ്യുമ്പോൾ"
  Le fiel des envieux et la bave des lâches !,അസൂയയുടെ മയക്കവും പേടകത്തിന്റെ മയക്കവും!
"  --Vous, la molle amitié dont vous vous entourez,",-നിങ്ങൾ ചുറ്റും ഉള്ള സൌഹൃദമെന്ന നിലയിൽ
"  Ressemble à ces grands cols d'Italie, ajourés","ഇറ്റലിയിലെ വലിയ കഴുത്തിൽ നിന്ന് ഒരുപോലെ, നീട്ടി"
"  Et flottants, dans lesquels votre cou s'effémine:",നിങ്ങളുടെ കഴുത്ത് തളരുന്ന വെള്ളം.
"  On y est plus à l'aise. . .et de moins haute mine,","അത് കൂടുതൽ സുഖകരവും, ഉയരവും കുറവുമുള്ളതാണ്."
"  Car le front n'ayant pas de maintien ni de loi,","കാരണം, മുഖത്തിന് നിയമവും നിയമവും ഇല്ല."
"  S'abandonne à pencher dans tous les sens. Mais moi,",എല്ലാ വഴികളിലും ചാടി നടക്കുന്നവനാണ്.
"  La Haine, chaque jour, me tuyaute et m'apprête",എല്ലാ ദിവസവും വെറുപ്പ് എന്നെ കുതിപ്പിക്കുകയും വഞ്ചിക്കുകയും ചെയ്യുന്നു
  La fraise dont l'empois force à lever la tête;,തല ഉയർത്താൻ നിർബന്ധിക്കുന്ന ഒരു ഫ്രോയിസ്;
  Chaque ennemi de plus est un nouveau godron,ഓരോ ശത്രുവും പുതിയൊരു പുഴുമാണ്.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",എനിക്കു ദുഃഖവും ദുഃഖവും കൂട്ടിച്ചേർക്കുന്നവൻ തന്നേ.
"  Car, pareille en tous points à la fraise espagnole,",സ്പാനിഷ് ഫ്രൈസിലെ എല്ലാ കാര്യങ്ങളിലും സമാനമായ ഒരു കാര്യം.
"  La Haine est un carcan, mais c'est une auréole !","വെറുപ്പ് ഒരു ചെന്നായയാണ്, പക്ഷേ അത് ഒരു സൂര്യകാന്തി!"
"LE BRET (après un silence, passant son bras sous le sien):","ബ്രെറ്റ് (മൌനം ശേഷം, തന്റെ കൈ കീഴിൽ കടന്നു):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",അഹങ്കാരിയും അഗാധനും ആയിരുന്നിട്ടും താഴ്മയുള്ളവനാകുക.
  Dis-moi tout simplement qu'elle ne t'aime pas !,അവൾക്ക് നിന്നെ ഇഷ്ടമല്ലെന്ന് പറ.
CYRANO (vivement):,സിറാനോ (ജീവിക്കുന്നു):
  Tais-toi !,മിണ്ടാതെ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(ഒരു നിമിഷം മുതലേ, ക്രിസ്റ്റ്യൻ അകത്തു വന്നു, ചെറുപ്പക്കാരെ ഇടപെട്ടു; അവർ"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,അവനെ സംസാരിക്കാൻ ഇല്ല; ഒടുവിൽ അവൻ ഒരു ഒറ്റയ്ക്ക് ഇരുന്നു
