Scène 2.VIII.,Esena 2.VIII.
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Sa dili-maayong paglaom nga makakita, sa mga baba sa usa ka ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ang pag-anak og usa ka pahiyom, bisan pa, kinsa dili sinusulta?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Dili, salamat."
  Avoir un ventre usé par la marche ? une peau,Ang pag-agi sa tiyan nga nahubo sa paglakaw?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kinsa ang labing dali nga mahimong mahugaw sa lugar sa mga tuhod?
  Exécuter des tours de souplesse dorsale ?. . .,Pag-andar sa mga tour sa likod nga may pagkabalhin? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Sa usa ka kamot, pag-abli sa kanding sa liog"
"  Cependant que, de l'autre, on arrose le chou,","Apan, sa laing bahin, gipakaon namo ang kawa."
"  Et, donneur de séné par désir de rhubarbe,","Ug ang mga mag-aabog sa mga baylo tungod sa tinguha sa mga bungol,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ang pag-adto sa iyang insenso sa usa ka barb?
"  Non, merci ! Se pousser de giron en giron,","Dili, salamat. Pag-uswag sa usa ka bahin sa usa."
"  Devenir un petit grand homme dans un rond,","Pag-usab sa usa ka gamay nga dako nga tawo sa usa ka round,"
"  Et naviguer, avec des madrigaux pour rames,","Ug sa pagsakay sa dagat, uban sa mga madrigal alang sa mga balangay,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ug sa iyang mga velo ang mga pagnginggit sa mga tigulang nga babaye?
"  Non, merci ! Chez le bon éditeur de Sercy",Sa maayong editor sa Sercy.
"  Faire éditer ses vers en payant ? Non, merci !",Ang pag-edit sa iyang mga verses pinaagi sa pagbayad?
  S'aller faire nommer pape par les conciles,Pagpangulo sa Papa sa mga Konseho
  Que dans des cabarets tiennent des imbéciles ?,Nga ang mga kabartong adunay mga buangbuang?
"  Non, merci ! Travailler à se construire un nom",Nagtrabaho sa paghimo og ngalan
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Sa usa ka sonnet, dili sa paghimo sa uban?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ang mga talento sa mga dalagita lang ba?
"  Être terrorisé par de vagues gazettes,","Pag-awas sa mga pahayagan,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ug kanunay nga nag-ingon, 'Oh, kon ako mao"
  Dans les petits papiers du Mercure François ?. . .,Sa mga papel sa Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Dili, salamat! Pagkalkula, kahadlok, pagka-blis,"
"  Aimer mieux faire une visite qu'un poème,","Mas gusto sa pagduaw kay sa usa ka balak,"
"  Rédiger des placets, se faire présenter ?","Mag-post og mga plato, magpakita?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Dili, salamat, dili, salamat, dili, salamat, apan..."
"  Rêver, rire, passer, être seul, être libre,","Ang pagdamgo, pagkatawa, paglabay, pag-inusara, pag-gawas,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ang mata nga makakita sa maayo, ang tingog nga nag-aghat,"
"  Mettre, quand il vous plaît, son feutre de travers,","Pagbutang, kon gusto nimo, sa iyang pagbati sa dili,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Alang sa usa ka oo, alang sa usa ka dili, makig-away, - o maghimo usa ka mga lata!"
"  Travailler sans souci de gloire ou de fortune,","Dili magtinguha sa pag-angkon ug kadungganan o bahandi,"
"  A tel voyage, auquel on pense, dans la lune !","Sa usa ka pagbiyahe nga imong hunahunaon, sa bulan!"
"  N'écrire jamais rien qui de soi ne sortît,","Ayaw gayod isulat ang bisan unsa nga dili moabot gikan sa imong kaugalingon,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ug sa laing bahin, mapainubsanon, moingon sa iyang kaugalingon, 'Anak ko,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ang bunga, ang bunga, bisan ang dahon,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Kon sa imong tanaman imong kuhaon kini!
"  Puis, s'il advient d'un peu triompher, par hasard,","Unya kon siya makab-ot sa usa ka gamay nga kalampusan,"
"  Ne pas être obligé d'en rien rendre à César,","""Ayaw pagbayad sa Emperador."
"  Vis-à-vis de soi-même en garder le mérite,","Sa pag-atiman sa kaugalingon,"
"  Bref, dédaignant d'être le lierre parasite,","Sa ato pa, dili ako magpakabana nga parasito nga lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Bisan kon dili kita kahoy nga kahoy o kahoy nga kahoy nga pinas,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Dili tingali mag-ayo, apan mag-inusara!"
LE BRET:,Ang Tinuod nga Pag-alagad:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ang usa ka tawo, dili batok sa tanan."
  As-tu donc contracté la manie effroyable,Busa ikaw nakabaton sa makalilisang nga mania
"  De te faire toujours, partout, des ennemis ?",Sa kanunay nga paghimog mga kaaway?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Sa dihang nakita ko kamo nga nagpakig-uban,"
"  Et rire à ces amis dont vous avez des foules,","Ug magkatawa sa imong mga higala nga adunay daghang mga panon,"
  D'une bouche empruntée au derrière des poules !,Sa usa ka baba nga gipautang sa likod sa mga manok!
"  J'aime raréfier sur mes pas les saluts,","Ganahan ko sa pag-abli sa akong mga tiil sa mga pangumusta,"
  Et m'écrie avec joie: un ennemi de plus !,Ug sa kalipay siya magainggit kanako: Usa pa ka kaaway!
LE BRET:,Ang Tinuod nga Pag-alagad:
  Quelle aberration !,Unsa ka abnormal!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Oo, mao kana ang akong kinaiya."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ganahan ko nga mag-away, ganahan ko nga magdumot ako."
"  Mon cher, si tu savais comme l'on marche mieux","""Higugma ko, kon ikaw nahibalo kon unsaon paglakaw"
  Sous la pistolétade excitante des yeux !,Sa mata nga nag-awhag nga mga tawo!
"  Comme, sur les pourpoints, font d'amusantes taches","Sa mga punto, ang mga butang nga makapaikag nga mga bahin"
  Le fiel des envieux et la bave des lâches !,Ang mga magbinuot nga mga tawo nag-aantos ug ang mga tawong maluya nag-aantos.
"  --Vous, la molle amitié dont vous vous entourez,","Ikaw, ang dili-masulbad nga panaghigalaay nga imong gilibotan,"
"  Ressemble à ces grands cols d'Italie, ajourés","Daw ang mga dagkong mga kuko sa Italya, gipahinulat"
"  Et flottants, dans lesquels votre cou s'effémine:",Ug ang mga naglulupad nga imong liog nag-awas:
"  On y est plus à l'aise. . .et de moins haute mine,","Mas komportable kita didto. . . ug mas mubu ang gibug-aton,"
"  Car le front n'ayant pas de maintien ni de loi,","Kay ang nawong walay pagbantay ug walay balaod,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Siya naghinulsol sa pag-atubang sa tanang mga direksyon.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ang Kagum, matag adlaw, nag-aagom ug nag-andam kanako"
  La fraise dont l'empois force à lever la tête;,Ang fray nga ang iyang baga nagpatindog sa iyang ulo;
  Chaque ennemi de plus est un nouveau godron,Ang matag laing kaaway usa ka bag-ong baboy
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ug siya nagpadugang sa akong kalisdanan, ug nagpadugang sa akong kaguol."
"  Car, pareille en tous points à la fraise espagnole,","Kay, sama sa tanang butang sa Spanish strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","Ang Kagubot usa ka karkan, apan kini usa ka auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","Ang BREET ( human sa hilom, paglabay sa iyang bukton sa ilalum sa iyang):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Pagpakasuko sa mapait ug mapait, apan pagpakasuko sa ubos"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Sultihi lang ako nga dili siya nahigugma kanimo!
CYRANO (vivement):,CYRANO (nabuhi):
  Tais-toi !,Himoa nga dili ka mag-ingon.
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Sulod sa usa ka panahon, si Christian misulod, milibog sa mga batan-on; kini"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,wala sila makig-istorya kaniya; siya sa katapusan nga naglingkod nga nag-inusara sa usa ka
