Scène 2.VIII.,2.VIII uñtasïwi.
"  Chercher un protecteur puissant, prendre un patron,","Wali ch'aman ch'aman ch'amanir thaqhapxam, mä ch'amanir thaqhapxam,"
  Et comme un lierre obscur qui circonvient un tronc,"Mä ch'amak laphir uñtataw mä laphir uñtata,"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Uka ch'akhanakan janchipsti q'al tukjasin,"
  Grimper par ruse au lieu de s'élever par force ?,¿Akat sartañak munaskakiñati?
"  Non, merci. Dédier, comme tous il le font,","Diosar katuyasiñaw sapa maynix munki,"
  Des vers aux financiers ? se changer en bouffon,"Jan wali lurañanak apanukuñkamax, jan wali lurañanak apanukuñkamax, jan wali lurañanak apanukuñkamax"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",Mä ministro jaqin arunakap ist'añatakis jan kun kamskay chuymampiw
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",¿Khitis jan k'ari chuymanïkaspa ukhamak uñstapjjañasa?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",¿Mä qachu manq'a manq'añatakiti?
  Avoir un ventre usé par la marche ? une peau,"Janchix sarnaqasax q'ala usuntatawa,"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","¿Khitirak jank'ak q'añuchasini, k'achachasiñat sipansa?"
  Exécuter des tours de souplesse dorsale ?. . .,¿Kamachiñ jan walt'añanakampik wakicht'asisati?
"  Non, merci. D'une main flatter la chèvre au cou","Janis kunäkisa, mä amparampi cabritor q'ipinakampi"
"  Cependant que, de l'autre, on arrose le chou,","Ukampis maynitix yapuchat cabrito umampi warxatanixa,"
"  Et, donneur de séné par désir de rhubarbe,","jan ukax, janchinakap q'al tukjasaw janchinakap q'al tukjäna,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","¿Uka incienso q'aphichañasti, kunapachas mä sunkhapar mantaskakïnsa?"
"  Non, merci ! Se pousser de giron en giron,","Janis ukäkchi ukasa, janis ukäkchi ukasa,"
"  Devenir un petit grand homme dans un rond,","Mä jisk'a jach'a jaqiw tukusiwayxi,"
"  Et naviguer, avec des madrigaux pour rames,","Qullunakampi, jach'a quta lawanakampi,"
  Et dans ses voiles des soupirs de vieilles dames ?,"¿Kunatarak velonakapansa, chuyman warminakan jachatanakap ist'añatakisti?"
"  Non, merci ! Chez le bon éditeur de Sercy","Janis ukäkchi ukasa, janiw ukäkxiti."
"  Faire éditer ses vers en payant ? Non, merci !",¿Janis payllañ laykukiti?
  S'aller faire nommer pape par les conciles,Papa utt'ayañatak tantachasïwinaka
  Que dans des cabarets tiennent des imbéciles ?,¿Kunatarak cabaretanakansti jan amuyt'asir jaqinakax ukankapxi?
"  Non, merci ! Travailler à se construire un nom","Janis ukhamäkaspa ukham amuyasisax, wali sum uñt'ayasiñatakiw ch'amachasiñasa."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Mä phust'añan, yaqha phust'añanakar jan walt'añanakar jan walt'añataki?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,¿Kunapacharak ch'amanïkasmas uksti q'uchunak taypin yatiskta?
"  Être terrorisé par de vagues gazettes,","Waranqa periodiconakampi axsarayasisasti,"
"  Et se dire sans cesse: Oh, pourvu que je sois","sapxasma: ""Nayatix"
  Dans les petits papiers du Mercure François ?. . .,¿Kunatarak jumanakasti uka qillqat ullart'apxista?
"  Non, merci ! Calculer, avoir peur, être blême,","Janis ukhamäkaspa, janis ukhamäkaspa, janis ukhamäkaspa ukhama."
"  Aimer mieux faire une visite qu'un poème,","Mä jach'a q'uchur uñt'añat sipansa,"
"  Rédiger des placets, se faire présenter ?","¿Pablotanak qillqañasa, uñt'ayasisa?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw, janiw,"
"  Rêver, rire, passer, être seul, être libre,","Ikisiña, larusiña, sarnaqaña, sapakiña, libreña,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Uñjañ munir nayrani, wali ch'aman aru,"
"  Mettre, quand il vous plaît, son feutre de travers,","Kunapachatï munki ukkhaw chuymap mayjt'ayi,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Mä ""jïsa, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax, jan ukax,"
"  Travailler sans souci de gloire ou de fortune,","Jan jach'a kankañampi, qamir kankañampi irnaqapxamti,"
"  A tel voyage, auquel on pense, dans la lune !","¡Kunjamäkaspas uk lup'isa, phaxsir sarañkama!"
"  N'écrire jamais rien qui de soi ne sortît,",Janirakiw kunapachas kunanaktix jan sum amuyt'kañäki ukanak qillqañäkiti.
"  Et modeste d'ailleurs, se dire: mon petit,","Jan yäqat jaqisa, chuymapan lup'isax siwa:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","¡Jach'a panqararus kusisipxpan, achunakamp phuqt'atäpasa, laphinakapamppach phuqt'atäpasa!"
  Si c'est dans ton jardin à toi que tu les cueilles !,Jumax pachpa quqanakamaruw uka q'añu animalanak apthaptaxa.
"  Puis, s'il advient d'un peu triompher, par hasard,","Ukatsti mä juk'a ch'amampi atipjaspa ukaxa,"
"  Ne pas être obligé d'en rien rendre à César,","Janirakiw Cesarar qullqi churañ munkäti,"
"  Vis-à-vis de soi-même en garder le mérite,","Jupanak pachpatakisti,"
"  Bref, dédaignant d'être le lierre parasite,",Janirakiw nayax uka laq'unakar uñt'ir jaqïkti.
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Janis quqäktanti, janis quqäktanti,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Janiwa wali jach'a pataru makhatkitaspati, jan ukasti sapakiw sarnaqaspa."
LE BRET:,¡Jach'a T'ant'a!
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",Janiw taqinin uñisiripäkasmati.
  As-tu donc contracté la manie effroyable,¿Jumasti wali jach'a manía usuchjatäyätaxa?
"  De te faire toujours, partout, des ennemis ?",¿Kunapacharak uñisirinak tukjasmasti?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Jumanakatix mä suma amigonak lurasipkätaxa,"
"  Et rire à ces amis dont vous avez des foules,","Jumax walja jaqinakamp chikaw uka masinakamampix larusisktaxa,"
  D'une bouche empruntée au derrière des poules !,¡Jach'a manq'at manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'añanakamp manq'antata!
"  J'aime raréfier sur mes pas les saluts,","Nayax sapa kutiw aruntirista,"
  Et m'écrie avec joie: un ennemi de plus !,"¡Jupax kusisiñat arnaqasitu: ""¡Jisk'a uñisiri!"
LE BRET:,¡Jach'a T'ant'a!
  Quelle aberration !,¡Kunja jan wali luräwi!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.",Ukasti nayan jan wali lurataxaxa.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Walpun kusistwa, janis khitis nayar uñiskitaspa ukata."
"  Mon cher, si tu savais comme l'on marche mieux","Munat jilata, jumax sum yatismawa kunjam sarnaqañsa"
  Sous la pistolétade excitante des yeux !,¡Kunja jach'a ch'amanïkasas ukham uñch'ukisipkta!
"  Comme, sur les pourpoints, font d'amusantes taches",Kunjamtï q'añu arunakampi q'añucht'atäpki
  Le fiel des envieux et la bave des lâches !,"¡Jilïrinakan k'allk'u chuymapampi, ch'amamp q'apisiñapampi!"
"  --Vous, la molle amitié dont vous vous entourez,","- Jumasti, suma amigomasti,"
"  Ressemble à ces grands cols d'Italie, ajourés","Uka jach'a q'ipinakjam uñt'ayasi,"
"  Et flottants, dans lesquels votre cou s'effémine:",Qutanjam jalasir umanakax q'ala tukjatawa.
"  On y est plus à l'aise. . .et de moins haute mine,","Ukat juk'amp sum jikxatasisax, juk'amp jan yäqatas jikxatasisax,"
"  Car le front n'ayant pas de maintien ni de loi,","Nayraqatapansti janiw kuna kamachisa, kamachisa utjkiti."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Janirakiw kunäkipansa uñch'ukiskiti.
"  La Haine, chaque jour, me tuyaute et m'apprête","Uñisirinakax sapüruw q'apisipxitu,"
  La fraise dont l'empois force à lever la tête;,"""Mä ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña ch'uxña"
  Chaque ennemi de plus est un nouveau godron,"Maynïr uñisirixa, mä machaq q'añu jaqiwa."
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","¡Jupaw nayarux jan walt'añanakamp ch'axwayi, jan walt'añanakampikiw ch'axwayi!"
"  Car, pareille en tous points à la fraise espagnole,","Kunjämatix mä fresax taqi kunansa mä fresax ukjamäski ukhama,"
"  La Haine est un carcan, mais c'est une auréole !","Uñisiñasti mä jan wali laq'ur uñtatawa, ukampis mä q'ala tukjata q'alaw tukusi."
"LE BRET (après un silence, passant son bras sous le sien):","LARPA (jan arskayatsti, amparapampi amparapampi ch'iyanuqasaw):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Jach'a jach'a tukur jaqirux jach'ar aptam, jan yäqat jaqirusti jisk'ar aptam."
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Sapxita, janiw jupax munkxiti."
CYRANO (vivement):,CYRANO (jacha jakasiri):
  Tais-toi !,¡Amukt'am!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Mä juk'a pachatsti, Christian jilatax waynanakaruw mantäna, jupanakampiw chikachasïna;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"jan jupampi parlirjamäpkänti, ukat jupax mä sapa"
