Scène 2.VIII.,Scenne 2.VIII.
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","I den vanlege vonen til å sjå, på ein av dei leiararnas munn,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Og å få eit smil, som ikkje er grusomt?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Nei, takk. Eg veit ikkje, eg veit ikkje."
  Avoir un ventre usé par la marche ? une peau,"Å ha eit slitne mage på vegen, eit slag av hud."
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kven blir skitenaste i staden for knøene?
  Exécuter des tours de souplesse dorsale ?. . .,Kjøp røyrsle med ryggflexibeltur? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nei, takk, med éin hand smekja boken i nakken"
"  Cependant que, de l'autre, on arrose le chou,","Men når du kastar kaoli på den andre,"
"  Et, donneur de séné par désir de rhubarbe,","og som gir sine barn bryst av lyst til å ha barber,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Og å ha brenselskåpet i eit skjegg?
"  Non, merci ! Se pousser de giron en giron,","Nei, takk! Eg heldt på å gå rundt og sjå."
"  Devenir un petit grand homme dans un rond,",Eg vil ikkje bli ein liten stor mann i ein runde.
"  Et naviguer, avec des madrigaux pour rames,","og med båtar som fører til ramm,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Og i seglene hans, som er som gammal damer?"
"  Non, merci ! Chez le bon éditeur de Sercy","Nei, takk, eg er på rettvis foredrage i Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Og du må gjere deg noko med å gjere deg noko?
  S'aller faire nommer pape par les conciles,For å bli vald til pave
  Que dans des cabarets tiennent des imbéciles ?,At dei held idioter i cabaretter?
"  Non, merci ! Travailler à se construire un nom","Nei, takk! Eg jobbar med å laga eit namn."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","På ein sonnet, i staden for å gjere dei andre?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Takk, men du kan ikkje finne talent utan å sjå dei."
"  Être terrorisé par de vagues gazettes,","å bli skræmt av bølgjeleg aviser,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Og heldt fram med å seia: ""Å, eg er berre"
  Dans les petits papiers du Mercure François ?. . .,I dei små papira frå Merkur Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Nei, takk! Eg vil ikkje snakke om det. Eg vil ikkje snakke om det."
"  Aimer mieux faire une visite qu'un poème,",Eg elskar å gjera eit besøk meir enn eit dikt.
"  Rédiger des placets, se faire présenter ?","Skriv dei inn, presenterer dei seg?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nei, takk! Nei, takk! Nei, takk! Men..."
"  Rêver, rire, passer, être seul, être libre,","Drømmer, ler, går forbi, er einsam, er fri,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Dei har eit auge som ser godt, ein røyst som vibrerer."
"  Mettre, quand il vous plaît, son feutre de travers,","Og når du vil, så gjer han noko av det."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","For å seie ja, for å seie nei, å slåss, eller å gjere eit orme!"
"  Travailler sans souci de gloire ou de fortune,",Jobba utan å tenke på ære eller rikdom
"  A tel voyage, auquel on pense, dans la lune !",Så ein reise til månen som du kan tenke på!
"  N'écrire jamais rien qui de soi ne sortît,","Ikkje skriv noko som ikkje kjem av deg sjølv,"
"  Et modeste d'ailleurs, se dire: mon petit,","Og sjølv om dei er så små, seier dei:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Dei vil vera nøyde med blomster, frukt, til og med blader."
  Si c'est dans ton jardin à toi que tu les cueilles !,Om du tek dei i gardet ditt!
"  Puis, s'il advient d'un peu triompher, par hasard,","Men om han kan få ei lita seier,"
"  Ne pas être obligé d'en rien rendre à César,",Du må ikkje gje keisaren noko.
"  Vis-à-vis de soi-même en garder le mérite,","For å ta vare på seg sjølv,"
"  Bref, dédaignant d'être le lierre parasite,",Eg er berre så glad for å vere den vaksne.
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Sjølv om du ikkje er ei ekke eller ein tilleul,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ikkje for høgt, kanskje, men sjølv!"
LE BRET:,LENK:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Eg kan vera ein, men ikkje alle."
  As-tu donc contracté la manie effroyable,Er det ikkje slik du har funne ein vonde mannskap?
"  De te faire toujours, partout, des ennemis ?",Vil du alltid ha fiender overalt?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",Og eg ser at de blir venner.
"  Et rire à ces amis dont vous avez des foules,","Og lat dei få sjå dei venene dine som er i ferd med deg,"
  D'une bouche empruntée au derrière des poules !,Han hadde eit munn som tok seg ut på bakken av høna!
"  J'aime raréfier sur mes pas les saluts,",Eg vil gjerne sjå dei som går på vegen min.
  Et m'écrie avec joie: un ennemi de plus !,"Og ropar med glede: ""Ein fiende til!"""
LE BRET:,LENK:
  Quelle aberration !,Kva er det med ein?
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Vel, ja, det er eit vanvit."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Eg gleder meg til å gå bort. Eg elskar at folk hatar meg.
"  Mon cher, si tu savais comme l'on marche mieux","Kjære, om du visste korleis ein kan gå betre"
  Sous la pistolétade excitante des yeux !,Under den spennende pistolstataden i augene!
"  Comme, sur les pourpoints, font d'amusantes taches","Som, på rettvisar, gjer moro ting"
  Le fiel des envieux et la bave des lâches !,Sval av øvrigheiter og sval av kuvar!
"  --Vous, la molle amitié dont vous vous entourez,","Du, den milde vennskapet du har rundt deg,"
"  Ressemble à ces grands cols d'Italie, ajourés","Det ser ut som dei store italienske halsen, som er utsette for å halda fram."
"  Et flottants, dans lesquels votre cou s'effémine:","og fløyter som halsen din kryssar av,"
"  On y est plus à l'aise. . .et de moins haute mine,","Me er meir komfortable med det. Og me er mindre høge,"
"  Car le front n'ayant pas de maintien ni de loi,","For det er ikkje noko som skal føra seg fram, ikkje noko som skal føra seg fram."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Han held seg til å bøygja seg inn i alle retninger.
"  La Haine, chaque jour, me tuyaute et m'apprête",Hasset pissa meg og pissa meg kvar dag
  La fraise dont l'empois force à lever la tête;,Frøystene som eit eit eit slag av eit eit eit stoff har fått hovudet til å lyfta.
  Chaque ennemi de plus est un nouveau godron,kvar enn ein fiende er ein ny godron
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Han legg til forfall og gjer meg til eit stråle.
"  Car, pareille en tous points à la fraise espagnole,","For slik som den spanske frøen på alle måtar,"
"  La Haine est un carcan, mais c'est une auréole !","Hat er eit karkan, men det er ein auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","LENK (etter ein tystnad, og med armen under han):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ver høy og bitter, men låg"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Sei berre at ho ikkje elskar deg!
CYRANO (vivement):,CYRANO (levande):
  Tais-toi !,Hald kjeft!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Ein stund etter kom Christian inn, han drog seg inn i dei yngste, dei"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Dei snakka ikkje med han, og han sat seg einaste i ein"
