Scène 2.VIII.,Scéna 2.VIII.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Možná sám, ale ne proti všem."
  As-tu donc contracté la manie effroyable,Takže jsi se dostala k strašné manie
"  De te faire toujours, partout, des ennemis ?",Že si pořád děláte nepřátele?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Když se díváte na kamarády,"
"  Et rire à ces amis dont vous avez des foules,","A smát se těm přátelům, které máte ve spoustu lidí,"
  D'une bouche empruntée au derrière des poules !,"S ústami, které si půjčil za kuřecí zadek!"
"  J'aime raréfier sur mes pas les saluts,","Rád si na svých stopách přivítám pozdravy,"
  Et m'écrie avec joie: un ennemi de plus !,A křič mi s radostí: další nepřítel!
LE BRET:,- Věci.
  Quelle aberration !,To je ale blbost.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","No, ano, to je moje vice."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Já si rád vyrazuji, rád se nenávidím."
"  Mon cher, si tu savais comme l'on marche mieux","Miláčku, kdybys věděla, jak chodit lépe"
  Sous la pistolétade excitante des yeux !,Pod vzrušujícími očima!
"  Comme, sur les pourpoints, font d'amusantes taches",Jak na nápisech dělají zábavné skvrny
  Le fiel des envieux et la bave des lâches !,Žárlivá žárlivost a zbabělý žárlivost!
"  --Vous, la molle amitié dont vous vous entourez,","Vy, milá přátelství, které jste obklopili,"
"  Ressemble à ces grands cols d'Italie, ajourés","Vypadá to jako ta velká italská kočka, odložena"
"  Et flottants, dans lesquels votre cou s'effémine:","A plovoucí, ve kterých se vaše krky vystraší:"
"  On y est plus à l'aise. . .et de moins haute mine,","Je to pohodlnější. ...a méně vysoké míně,"
"  Car le front n'ayant pas de maintien ni de loi,","Protože čelo nemá ústavu a zákon,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Odmítá se posunovat do všech směrů.
"  La Haine, chaque jour, me tuyaute et m'apprête",Nenávidění mě denně nakopává a přepíná
  La fraise dont l'empois force à lever la tête;,"Škrob, jehož škrobí se tvůrcem zvedne hlavu."
  Chaque ennemi de plus est un nouveau godron,Každý další nepřítel je nový král.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",A přidává mi úzkost a rozpač.
"  Car, pareille en tous points à la fraise espagnole,","Protože, jako ve všech ohledech španělská fraška,"
"  La Haine est un carcan, mais c'est une auréole !","Nenávidění je jako černá, ale je to auréola!"
"LE BRET (après un silence, passant son bras sous le sien):","PŘÍVĚD (po mlčení, procházející svou ruku pod svou):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Připravte si pyšné a hořké, ale nízké"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Jen mi řekni, že tě nemiluje!"
CYRANO (vivement):,CYRANO (živý):
  Tais-toi !,- Drž hubu!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Po chvíli se Christian dostal dovnitř, zapletil se do mladších,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Neříkají mu slovo, nakonec sedl sám na jednu"
