Scène 2.VIII.,Ocinjonde 2: 8.
"  Si tu laissais un peu ton âme mousquetaire,","Nda wa ecelela okuti utima wove u tekela lika koku linga eci cĩvi,"
  La fortune et la gloire. . .,Ukuasi Lulamba . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Nye tu sukila oku linga?
"  Chercher un protecteur puissant, prendre un patron,","Oku sandiliya omunu umue o tu teyuila, oku nõla omunu umue o tu songuila,"
  Et comme un lierre obscur qui circonvient un tronc,Ovio vi kasi ndolombungululu vi kasi ocipepi lociwe
"  Et s'en fait un tuteur en lui léchant l'écorce,","Kuenje, o linga ukuakupindisa, loku lia epungu liaco."
  Grimper par ruse au lieu de s'élever par force ?,Oku londa locimãho coku linga ovina ka via sungulukile?
"  Non, merci. Dédier, comme tous il le font,","Oku litumbika, ndeci omanu vosi va siata oku linga,"
  Des vers aux financiers ? se changer en bouffon,Oku Pongolola Olombongo Oco vi Tungiwe
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Pole, nda nda kuata elavoko lioku mola ovina vi keya kovaso yoloneke, nda kuata esanju lialua."
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Oku kuata esanju, ci lomboloka nye?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Anga hẽ, eteke leteke tu lia ondalelo yimue?"
  Avoir un ventre usé par la marche ? une peau,"Oku kuata onjala vimo poku enda, kuenda oku kuata epuka liositu"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Helie o livela oku vĩhĩsa olongolo?
  Exécuter des tours de souplesse dorsale ?. . .,Oku linga ovongende a kuatisa etimba oku pama? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Pole, nda wa ci linga, oka kuata peka limosi loku sipula omeme."
"  Cependant que, de l'autre, on arrose le chou,","Pole, nda omunu o kapa ovava ponumbutue yikuavo,"
"  Et, donneur de séné par désir de rhubarbe,",Ovio vi livela oku lipekela.
"  Avoir son encensoir, toujours, dans quelque barbe ?","Anga hẽ, o kuete uwalo u kuete uwalo wa fina?"
"  Non, merci ! Se pousser de giron en giron,","Pole, nda va ci linga, va kuata esanju lialua."
"  Devenir un petit grand homme dans un rond,","Oku linga ulume umue wa velapo, ci nena esanju lialua."
"  Et naviguer, avec des madrigaux pour rames,",Kuenda va enda oku endela vokalela.
  Et dans ses voiles des soupirs de vieilles dames ?,"Anga hẽ, vovipala viaye mua kalavo olondaka viukãi umue wa kuka?"
"  Non, merci ! Chez le bon éditeur de Sercy","Sio, nda siata oku ci linga, momo nda siata oku tambula ekuatiso li tunda ku manji Sercy."
"  Faire éditer ses vers en payant ? Non, merci !","Anga hẽ, o sukila oku feta oco a sandeke ovinimbu viaye?"
  S'aller faire nommer pape par les conciles,Oku Likutilila Oco va Nõliwe Oku Kala Ocitunda Cetavo
  Que dans des cabarets tiennent des imbéciles ?,Momo lie omanu vamue ka va kuetele olondunge?
"  Non, merci ! Travailler à se construire un nom",Nda siata oku likolisilako oku kuata onduko yiwa
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ocileñi cimue ci kasi oku imbiwa okuti, ka ci lingi vali ocisikilo cikuavo?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Anga hẽ, oku sanga uloño ci lomboloka lika oku u sanga volonjanela?"
"  Être terrorisé par de vagues gazettes,","Oku kuata usumba lolopapelo,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Kuenje, o popia hati: 'Nda nda kala"
  Dans les petits papiers du Mercure François ?. . .,Ovikanda Vioku Soneha Ovikanda Vioku Soneha Ovikanda Vioku Soneha Ovikanda Vioku Soneha Ovikanda Vioku Soneha Ovikanda Vioku Soneha Ovikanda Vioku Soneha Ovikanda Vioku Soneha Ovikanda Vioku Soneha Ovikanda
"  Non, merci ! Calculer, avoir peur, être blême,","Oku sokolola, oku kuata usumba, oku kuata ovisimĩlo ka via sungulukile,"
"  Aimer mieux faire une visite qu'un poème,","Oku sola oku nyula omanu, ci kuete esilivilo lia velapo okuti oku sola oku tanga ovisungo ci sule."
"  Rédiger des placets, se faire présenter ?",Oku soneha ovikanda vioku lilekisa?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Sio, nda pandula, pole, ndi imba ovisungo."
"  Rêver, rire, passer, être seul, être libre,","Oku kuata olonjoi, oku yola, oku pita, oku kala likaliove, oku kala upulule,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Oku kuata iso li tala ciwa, loku kuata ondaka ya posoka,"
"  Mettre, quand il vous plaît, son feutre de travers,","Nda wa ci linga, o kuata esanju lialua."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Nda wa popia hati oco, ale sio, o sukila oku yaka ale oku linga ocimbungu!"
"  Travailler sans souci de gloire ou de fortune,","Oku talavaya okuti ka tu sakalala loku sanda ekemãlo ale ovokuasi,"
"  A tel voyage, auquel on pense, dans la lune !","Ocimãho caco, oku enda kilu."
"  N'écrire jamais rien qui de soi ne sortît,",Ku ka sonehe cimue okuti ka ci tunda kokuove muẽle.
"  Et modeste d'ailleurs, se dire: mon petit,","Pole, omunu o lekisa umbombe poku popia hati: 'Omõlange,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","O pondola oku sanjukila olonelẽho, apako, kuenda olonelẽho."
  Si c'est dans ton jardin à toi que tu les cueilles !,Nda ove o kasi vocumbo cove oco o pondola oku nõla ovikulia viaco!
"  Puis, s'il advient d'un peu triompher, par hasard,","Nda wa yula,"
"  Ne pas être obligé d'en rien rendre à César,","Nda wa ci linga, o kuata esunga lioku yuvula oku feta elisimu ku Kaisare."
"  Vis-à-vis de soi-même en garder le mérite,","Pole, nda wa ci linga, oka kuata esanju lialua."
"  Bref, dédaignant d'être le lierre parasite,","Omo okuti ka tua lipuile, tu sukila oku yuvula oku kala vakualuali."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ndaño okuti ka tu kasi nduti umue u kuete ulembo,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Citava okuti ka tu londa kilu, pole tu londa lika lietu!"
LE BRET:,OVINA VIA LOMBOLUIWA:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ndaño okuti tu kasi likalietu, pole, ka tu kasi oku liyaka lomanu vosi."
  As-tu donc contracté la manie effroyable,Anga hẽ wa kuatavo ocituwa caco?
"  De te faire toujours, partout, des ennemis ?",Oku linga ovanyali olonjanja viosi?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Omo lioku kũlĩha ndomo wa linga ukamba lavo,"
"  Et rire à ces amis dont vous avez des foules,",Kuenda o yola epembe akamba vove vana o kuete owiñi walua.
  D'une bouche empruntée au derrière des poules !,Ocipala caco ca leñela calua!
"  J'aime raréfier sur mes pas les saluts,",Nda siata oku kuata esanju poku mola ndomo omanu va ndi lama.
  Et m'écrie avec joie: un ennemi de plus !,"""Ndi vilikiya lesanju, siti: 'Onyeli yikuavo!'"
LE BRET:,OVINA VIA LOMBOLUIWA:
  Quelle aberration !,"Eci ci lekisa okuti, ka ca sungulukile oku ci linga."
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ocili okuti, ndi kuete ocituwa caco."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ndi sole oku kala ocipãla lomanu, momo ndi sole oku suvukiwa."
"  Mon cher, si tu savais comme l'on marche mieux",Nda wa kũlĩhile ndomo tu pondola oku enda ciwa
  Sous la pistolétade excitante des yeux !,Ocinjonde caco ci komõhisa ci kasi oku pita kovaso yomanu!
"  Comme, sur les pourpoints, font d'amusantes taches","Momo, poku ci linga, ci nena esanju"
  Le fiel des envieux et la bave des lâches !,Ohali yomanu vakuonya kuenda owesi wovingumba!
"  --Vous, la molle amitié dont vous vous entourez,",Ove o kuete ukamba wocili lomanu vosi
"  Ressemble à ces grands cols d'Italie, ajourés",Ovio vi sokisiwa lolomãhi viofeka yo Italia.
"  Et flottants, dans lesquels votre cou s'effémine:",Ovava aco a pondola oku ku kuatisa oku kuata uhayele.
"  On y est plus à l'aise. . .et de moins haute mine,","Omo liaco, tu sukila oku yuvula oku kuata ovisimĩlo viokuti, ka tu kuete esilivilo."
"  Car le front n'ayant pas de maintien ni de loi,",Momo ka kuli ocihandeleko cimue ci teyuila omunu.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Eye wa siata oku lekisa onjongole yoku linga ovina viosi a yongola.
"  La Haine, chaque jour, me tuyaute et m'apprête","Oloneke viosi, esuvu lia siata oku ndi vetiya oku kuata ovisimĩlo ka via sungulukile"
  La fraise dont l'empois force à lever la tête;,Ociña cimue ci kuete owuya walua ci votola utue.
  Chaque ennemi de plus est un nouveau godron,"Unyãli wosi o kuatiwa, o linga ombiali yokaliye"
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Wa ndi vokiya ohali, loku ndi vokiya ohali."
"  Car, pareille en tous points à la fraise espagnole,","Momo, ovina viosi vi sokisiwa lociña co Espanyole, vi kuete esilivilo."
"  La Haine est un carcan, mais c'est une auréole !","Ndaño okuti Utima u kasi ndosongo, pole, u kasi ndolui!"
"LE BRET (après un silence, passant son bras sous le sien):","OSAPI YO KOÑOÑO (Eci a kala oku ũha, wa kapa peka liaye):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Lungula vakuepela loku va sumuisa, pole, va liketisa"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Pole, ndi sapuila okuti eye ka ku sole!"
CYRANO (vivement):,CYRANO (Ocili):
  Tais-toi !,Ku ka vangule!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Eci papita otembo yimue, manji Christian wa iñila vonjo yaco, kuenje wa likongela lakamba vaye."
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Ka va kuatele vali onjongole yoku vangula laye, kuenje wa tumala lika liaye konjo yimue"
