Scène 2.VIII.,दृश्य २.८.
  Et comme un lierre obscur qui circonvient un tronc,अऊ एक ठन डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के डहर के
"  Et s'en fait un tuteur en lui léchant l'écorce,","अऊ ओह ओकर खाल ल लच्छ के संग ओकर देखभाल करथे,"
  Grimper par ruse au lieu de s'élever par force ?,बल के बजाय छल के चढ़ना?
"  Non, merci. Dédier, comme tous il le font,","नी, धन्यवाद. समर्पित करना, जम्मो मनखे के तरह,"
  Des vers aux financiers ? se changer en bouffon,कीड़ा ले वित्त मा बदल के बेवकूफ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","एक सेवक के मुहूं ले देखके,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","आखिरकार, एक मुस्कान पैदा करना, जो ह एक खौफनाक मनखे नी हवय?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",हर दिन एक बटोर के साथ भोजन करना?
  Avoir un ventre usé par la marche ? une peau,एक पेट ल चलना से खराब होना? एक त्वचा
"  Qui plus vite, à l'endroit des genoux, devient sale ?",कोन ह अपन घुटन के जगह म सबले जल्दी गंदा हो जाथे?
  Exécuter des tours de souplesse dorsale ?. . .,पीठ ल लचीला करे के टूर करे ? . . .
"  Non, merci. D'une main flatter la chèvre au cou","नी, धन्यवाद. एक हाथ ले बकरी ल गले ले"
"  Cependant que, de l'autre, on arrose le chou,","पर जब दूसर मनखे के अंगूर के रस ह पानी म लगथे,"
"  Et, donneur de séné par désir de rhubarbe,","अऊ ओ मनखे ह अपन पेट म सुगंध के रसता ला भरथे,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",का ओकर धूपदान हर एक बार अपन दाढ़ी म रहिथे?
"  Non, merci ! Se pousser de giron en giron,","नी, धन्यवाद! एक-दूसर ले बढ़त,"
"  Devenir un petit grand homme dans un rond,","एक गोल म एक छोटे बड़े मनखे बन,"
"  Et naviguer, avec des madrigaux pour rames,","अऊ पानी जहाज म चघाय बर पानी के सोतामन ला चघाय बर,"
  Et dans ses voiles des soupirs de vieilles dames ?,अउ ओकर साखा म बूढ़ी मादामन के सोक?
"  Non, merci ! Chez le bon éditeur de Sercy","नी, धन्यवाद! सही सर्सी के संपादक म"
"  Faire éditer ses vers en payant ? Non, merci !",अपन लस ल भुगतान करके संपादित करे बर?
  S'aller faire nommer pape par les conciles,पप के नाम लेय बर परिषदों ले जाना
  Que dans des cabarets tiennent des imbéciles ?,कि कक्ष म बेवकूफ मन रखे जाथे?
"  Non, merci ! Travailler à se construire un nom","नी, धन्यवाद! अपन खुद के एक नाम बनाय के काम करना"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",एक ठन सोन के बजाए दूसर ठन?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,धन्यवाद! का केवल दही म प्रतिभा के खोज करे जा सकत हवय?
"  Être terrorisé par de vagues gazettes,","घबराए के खबर ल देखके,"
"  Et se dire sans cesse: Oh, pourvu que je sois","अऊ अपन मन ल कहिथे, ""ओह, कहूं मेंह ए"
  Dans les petits papiers du Mercure François ?. . .,मर्क्यूर फ्रांसिस के छोटे कागजात म? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","नी, धन्यवाद! गणना करना, डरना, नीरस होना,"
"  Aimer mieux faire une visite qu'un poème,","कविता ले जादा यात्रा करना पसंद करे,"
"  Rédiger des placets, se faire présenter ?",अपन-आप ल पेश करे बर?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","नी, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद"
"  Rêver, rire, passer, être seul, être libre,","सपना देखना, हँसना, गुजरना, अकेला होना, मुक्त होना,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","अऊ अपन आंखीमन ला साफ देखंय, अपन मुहूंमन ला मजबूत रखंय,"
"  Mettre, quand il vous plaît, son feutre de travers,","जब चाहस त अपन भावना ल गलत बनाय,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","हां बर हां बर ना, लड़ना, - या एक कीड़ा करना!"
"  Travailler sans souci de gloire ou de fortune,","काम करे के जरूरत नइ हे, न तो महिमा, न धन के,"
"  A tel voyage, auquel on pense, dans la lune !","एक यात्रा, जेकर बारे म हमन सोचथन, चंदा म!"
"  N'écrire jamais rien qui de soi ne sortît,","अपन से निकलत नी कुछु लिखना,"
"  Et modeste d'ailleurs, se dire: mon petit,","अउ खुद ल बताय बर, ""मोर लइका,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","फूल, फल, अऊ पत्ती ले घलो संतुष्ट हो जावय,"
  Si c'est dans ton jardin à toi que tu les cueilles !,यदि तेंह अपन बगइचा म ओमन ला उठाबे!
"  Puis, s'il advient d'un peu triompher, par hasard,","तब कहूं ओह कुछू फायदा उठावत हवय,"
"  Ne pas être obligé d'en rien rendre à César,",अऊ मेंह नइं चाहंव कि मेंह कैसर के करा कुछू देंव ।
"  Vis-à-vis de soi-même en garder le mérite,","अपन-आप के प्रति एकर श्रेय रखे बर,"
"  Bref, dédaignant d'être le lierre parasite,","संक्षेप म, परजीवी लीर होने के तिरस्कार करत हंव,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","जब हमन ओखरी या गिलहरी नी हन,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","शायद ऊंच म नइं, पर अपन-आप ल!"
LE BRET:,ओ बीटी:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","एको झन के संग, पर जम्मो झन के बिरोध म नइं।"
  As-tu donc contracté la manie effroyable,त का तेंह ए भयंकर मनसा ल धारण करे हवस?
"  De te faire toujours, partout, des ennemis ?",हर जगह दुश्मन बनाकर?
CYRANO:,साइरोन:
"  A force de vous voir vous faire des amis,","जब तुमन अपन संगवारी बनायव,"
"  Et rire à ces amis dont vous avez des foules,","अउ एमन के संगवारीमन ल हँसाव, जेकर संग तुमन भीड़ म रहिथव,"
  D'une bouche empruntée au derrière des poules !,एक मुंहा के उधार ले मुर्गा के पाछू!
"  J'aime raréfier sur mes pas les saluts,","मोर गोड़ म सलाम ल कमच कम करना पसंद होथे,"
  Et m'écrie avec joie: un ennemi de plus !,"अऊ मोर ले खुस होके चिचियावत हवय, ""एक अऊ बईरी!"
LE BRET:,ओ बीटी:
  Quelle aberration !,का बकवास हवय!
CYRANO:,साइरोन:
"  Eh bien, oui, c'est mon vice.","ठीक हे, हां, ए मोर विसवास हवय।"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,मोला घिन करे के मजा आय।
"  Mon cher, si tu savais comme l'on marche mieux","मोर प्यारा, यदि तेंह जानथस कि हमन कइसे बेहतर चलथन"
  Sous la pistolétade excitante des yeux !,आंखों के रोमांचक पस्तूरी स्थिति के तहत!
"  Comme, sur les pourpoints, font d'amusantes taches","जैसे, संदर्भों म मजेदार धब्बे करत हंवय"
  Le fiel des envieux et la bave des lâches !,जलन के जलन अऊ घिनौना के बेदना!
"  --Vous, la molle amitié dont vous vous entourez,","- तुमन, जऊन मन अपन-आप ल मया करथव,"
"  Ressemble à ces grands cols d'Italie, ajourés","इटली के ओ बड़े गलामन के तरह दिखत हवय, जो देरी ले"
"  Et flottants, dans lesquels votre cou s'effémine:","अऊ पानी म तैरत पानी, जेकर ले तोर गरदन ह डर्राथे।"
"  On y est plus à l'aise. . .et de moins haute mine,","हमन ल जादा सहज महसूस होथे। . . अउ कम ऊंचापन के,"
"  Car le front n'ayant pas de maintien ni de loi,",काबरकि मुड़ी के कोनो नियम अऊ कानून नइं ए।
"  S'abandonne à pencher dans tous les sens. Mais moi,",हर तरफ झुकाव करना छोड़ देता है।
"  La Haine, chaque jour, me tuyaute et m'apprête","नफरत हर दिन मुझे चोदती है, और मुझे तैयार करती है"
  La fraise dont l'empois force à lever la tête;,ओ स्ट्रैग जऊन के जहर ह ओकर मुड़ी ल उठाथे;
  Chaque ennemi de plus est un nouveau godron,हर दुश्मन एक नया गद्रोन है
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","ओह मोर ऊपर तकलीफ अऊ तकलीफ ला बढ़ाथे,"
"  Car, pareille en tous points à la fraise espagnole,","काबरकि, हर तरह ले स्पेन के स्ट्रैज के समान,"
"  La Haine est un carcan, mais c'est une auréole !","नफरत एक चक्कर हवय, लेकिन ए एक सूरजमुखी हवय!"
"LE BRET (après un silence, passant son bras sous le sien):","एहर ओहर हवय, जऊन ह अपन हाथ ल अपन गोड़ के नीचे ले लेवत हवय।"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","घमंड के ऊपर अऊ कड़वापन के ऊपर, पर कमई के ऊपर,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,मोला कह कि ओहर तोला नइं मया करथे!
CYRANO (vivement):,CYRANO (जीवित):
  Tais-toi !,चुप रहि जा !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(एक पल के बाद, क्रिश्चियन अंदर आईस, किडनीमन के साथ मंगाई; ओमन"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"ओमन ओला कोनो बात नइं कहिन, आखिर म ओह एक झन संग अकेले बइठ गीस।"
