Scène 2.VIII.,المشهد الثاني ثمانية.
  Exécuter des tours de souplesse dorsale ?. . .,أَيَجْرِي مَرَاكِبَ مُنْعَزِلَةً ؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",لا شكراً، بيد واحدة، أُشَيِّقُ العُنُقَةَ
"  Cependant que, de l'autre, on arrose le chou,",وَأَمَّا الْبَعْضُ فَيَسْقُونَ الْكَبْرَةَ
"  Et, donneur de séné par désir de rhubarbe,",وَيَجْعَلُهُمْ يَنْشُونَ مِنْ شَهْوَةِ الْحَيْرَةِ ،
"  Avoir son encensoir, toujours, dans quelque barbe ?",ويكونُ عِنْدَكَ الْمَبْخَرَةُ دُومَ فِي حِجَارَتِكَ؟
"  Non, merci ! Se pousser de giron en giron,",لا شكراً لك.
"  Devenir un petit grand homme dans un rond,",وَأَنْ يَكُونَ رَجُلا كَبِيرًا صَغِيرًا فِي حَوْلٍ،
"  Et naviguer, avec des madrigaux pour rames,",وَيَسِيرُونَ بِالْمَرَاجِينِ لِلْمَرَاجِينِ ،
  Et dans ses voiles des soupirs de vieilles dames ?,و في سفائره نغمات السنّات؟
"  Non, merci ! Chez le bon éditeur de Sercy",لا، شكراً، عند ناشر سيرسي المناسب
"  Faire éditer ses vers en payant ? Non, merci !",أَيُحَرِّرُونَ قُرآنَهُ بِالدَّفْعَةِ؟ لا، شكراً!
  S'aller faire nommer pape par les conciles,أَنْ يُعَيَّنَ بَابًا بِالْمَجَالِسِ
  Que dans des cabarets tiennent des imbéciles ?,ايش في الكابيرات يحتفظ بها احمق؟
"  Non, merci ! Travailler à se construire un nom",لا شكراً، أعمل على بناء اسم
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",بِصُنْتَةٍ وَاحِدَةٍ بدلاً من تَصْنَعُ بِصُنْتَةٍ أُخْرَى؟ لا،
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شكراً، هل الاكتشاف من الموهبة في المرافق؟
"  Être terrorisé par de vagues gazettes,",أَنْ أُرْعِبَ مِنْ جُرُوشِ الْجُرُوعِ
"  Et se dire sans cesse: Oh, pourvu que je sois","وَأَنْتَ تَقُولُ مُدَّةً: "" يَا مَنْ أَكُونُ"
  Dans les petits papiers du Mercure François ?. . .,في أوراق ميركور فرانسيس ؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",لا شكراً، أَحْسِبُ، أَخافُ، أَنْ أَكُونَ مُتَحَيّرًا،
"  Aimer mieux faire une visite qu'un poème,",أَحِبُّ زُرْفَةً أَكْثَرَ مِنْ شِعْرٍ
"  Rédiger des placets, se faire présenter ?",أَنْ أَصْنَعَ أَنْصَابًا، أَنْ أُعَرِّفَكَ؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",لا، شكراً، لا، شكراً، لا، شكراً، لكن...
"  Rêver, rire, passer, être seul, être libre,",حُلْمُ، ضَحِكُ، مَرْضُ، كُنْ وَحْدَكَ، كُنْ حُرًّا،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",لِيَكُنْ عَيْنُكَ تَرَى بِالْحَقِّ ، وَصَوْتُكَ يَتَرَنَّعُ ،
"  Mettre, quand il vous plaît, son feutre de travers,",وَيَجْعَلُونَ مَا يَحِبُّونَ مِنْ شَرِيكِهِ
"  Pour un oui, pour un non, se battre,--ou faire un vers !",لأجل نعم أو لا، القتال، أو التنفيذ!
"  Travailler sans souci de gloire ou de fortune,",لا تَعْمَلُوا بِالْكَرَامَةِ وَلا بِالْغِنَى
"  A tel voyage, auquel on pense, dans la lune !",لِسَفَرٍ كَذَلِكَ، يَفْكُرُونَ بِهِ، لِلْقَمَرِ!
"  N'écrire jamais rien qui de soi ne sortît,",لا تُكْتِبْ أَبَدًا شَيْئًا لا يَخْرُجُ مِنْكَ
"  Et modeste d'ailleurs, se dire: mon petit,",وَمُتَوَاضِعٌ أَيْضًا ، يَقُولُ لِنَفْسِهِ:
"  Soit satisfait des fleurs, des fruits, même des feuilles,",وَيَرْضَى عَنِ الْأَزْهَارِ وَالْفَاكِهَةِ وَأَيْضًا الْوَرَقِ
  Si c'est dans ton jardin à toi que tu les cueilles !,إِنْ كُنْتَ تَجْمَعُهُمْ فِي حَقْلِكَ!
"  Puis, s'il advient d'un peu triompher, par hasard,",ثُمَّ إِنْ كَانَ يَنْجَحُ قَلِيلًا ،
"  Ne pas être obligé d'en rien rendre à César,",وَلا تَكُنْ مُلْزَمَةً أَنْ تُعْطِيَ قَيْصَرَ شَيْئًا .
"  Vis-à-vis de soi-même en garder le mérite,",وَعَلَى نَفْسِهِ تَحْفَظُ الْمَرْثَى
"  Bref, dédaignant d'être le lierre parasite,",بختصار، وَأَنْكَرُ أَنْ أَكُونَ الْمُتَعَلِّقَةَ،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",وَإِنْ كُنْتُمْ لا نَحْنُ الْبُطْمَةُ وَلا الْبُطْمَةُ
"  Ne pas monter bien haut, peut-être, mais tout seul !",لا تَصْعَدُ بِالْعُلُوّةِ، لَكِنْ بِالْحَرْبِ وَحْدَكَ!
LE BRET:,الـ (بريت)
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",ولو كان بمفرده، لكن ليس ضد الجميع.
  As-tu donc contracté la manie effroyable,فَهَلْ تَمْتَلِكُ الْمَنَاكِبَ الْمُخِيفَةَ
"  De te faire toujours, partout, des ennemis ?",أَنْ تَجْعَلَ عَدُوّاً كُلّ مَكَانٍ؟
CYRANO:,سيرانو:
"  A force de vous voir vous faire des amis,",لأَنَّكَ تَصِيرُ صَدِيقًا
"  Et rire à ces amis dont vous avez des foules,",وَتَتَبَاحَسُ مِنْ أَصْحَابِكَ الَّذِينَ عِنْدَكُمْ جُمْهُورٌ
  D'une bouche empruntée au derrière des poules !,بِفَمٍ مَعْرُوضٍ عَنْ ظُهُورِ الدُّجَّالِ!
"  J'aime raréfier sur mes pas les saluts,",أَحْبِبُ أَنْ أُسَلِّمَ عَلَى أَرْجُلِي ،
  Et m'écrie avec joie: un ennemi de plus !,"وَهُوَ يَصْرُخُ إِلَيَّ بِالْفَرَحِ: "" عَدُوٌّ أَيْضًا ! """
LE BRET:,الـ (بريت)
  Quelle aberration !,اي غرابة!
CYRANO:,سيرانو:
"  Eh bien, oui, c'est mon vice.",بَلْ، بَلْ هُوَ عَوْرَتِي.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,أَحْبَبُ أَنْ يَكْرَهُونِي.
"  Mon cher, si tu savais comme l'on marche mieux","ياحبيبي, لو كنت تعرف كيف نمشي بشكل افضل"
  Sous la pistolétade excitante des yeux !,تحت عيونك المثيرة!
"  Comme, sur les pourpoints, font d'amusantes taches",كَمَا يَعْمَلُونَ مُحْتَمَلَاتٍ مُتَمَرِّدَةً
  Le fiel des envieux et la bave des lâches !,وَالْمَرَضُ مِنَ الْمُحْتَسِرِينَ وَالْمَرَضُ مِنَ الْخَائِفِينَ !
"  --Vous, la molle amitié dont vous vous entourez,",أَنْتَ ، الصداقةُ الرَّقِيقَةُ الَّتِي تَحْتَكَ ،
"  Ressemble à ces grands cols d'Italie, ajourés",شكله كـ هذه الـقضبان الـكبيرة في إيطاليا، ومتأخرة
"  Et flottants, dans lesquels votre cou s'effémine:",وَالأَعْمَاقُ الْمَغْرُورَةُ الَّتِي تَتَرَدَّدُ فِيهَا عُنُقُكُمْ
"  On y est plus à l'aise. . .et de moins haute mine,",و نَحْنُ أَكْثَرُ مُتَعَوِّقِينَ.
"  Car le front n'ayant pas de maintien ni de loi,",لأَنَّ الْجَبْهَةَ لا تَحْفَظُ حِرَاسَةً وَلا تَنْصُرُ.
"  S'abandonne à pencher dans tous les sens. Mais moi,",وَيَتْرُكُ الْمَشَاقَةَ كُلّهَا.
"  La Haine, chaque jour, me tuyaute et m'apprête",كُلّ يومٍ تُغْشِي وَتُقَرِّبُني الكراهية
  La fraise dont l'empois force à lever la tête;,الْفَرَاشُ الَّذِي يَجْعَلُ السِّمَامَ يَرْفَعُ رَأْسَهُ
  Chaque ennemi de plus est un nouveau godron,كل عدو جديد هو جُدْرَان جديد
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",وَيَزِيدُ عَلَيَّ ضِيقًا وَيَزِيدُ عَلَيَّ ضَرْبًا.
"  Car, pareille en tous points à la fraise espagnole,",لأَنَّهُ كَمَا يَفْعَلُ الْفَرَسُ الإسْبَانِيُّ فِي كُلِّ شَيْءٍ،
"  La Haine est un carcan, mais c'est une auréole !",الكراهية هي كَرْكَةٌ، وَلكِنَّهَا شَمْسٌ!
"LE BRET (après un silence, passant son bras sous le sien):",الْمُنْذِرِ (بَعْدَ سُكُوتٍ ، يَمُرُّ ذِرَاعَهُ تَحْتَ ذِرَاعِهِ):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",اِكْبِرْ الْمُتَكَبِّرَ وَأَرْمِرْهُ ، وَأَنْزِلْهُ
  Dis-moi tout simplement qu'elle ne t'aime pas !,قُلْ لِي بَسْطًا إنّهَا لا تُحِبُّكَ!
CYRANO (vivement):,سيرانو (عاشياً):
  Tais-toi !,اخرس!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(فِي بَعْدِ وَقْتٍ ، دَخَلَ كريستيان ، وَتَدَخَّلَ مَعَ الْأَصْغَارِ ، هُمْ
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,لا يَتكلّمُونَ بِهِ. فَأَخِيرًا جَلَسَ وَحْدَهُ
