Scène 2.VIII.,दृश्य २.८.
"  Et s'en fait un tuteur en lui léchant l'écorce,",आणि त्यास एक संरक्षक बनवतो आणि त्याच्या खांद्यावर लसावतो.
  Grimper par ruse au lieu de s'élever par force ?,बलाने चढण्याऐवजी चालताना चढणे?
"  Non, merci. Dédier, comme tous il le font,","नाही, धन्यवाद. समर्पण, जसे की सर्वजण करतात,"
  Des vers aux financiers ? se changer en bouffon,'फायनान्शियल'पासून 'फॉरम'पर्यंत
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","मला आशा आहे की, एक मंत्री माझ्याशी बोलू शकेल."
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","आणि मग हास्य जन्माला येणे, जो वाईट नसतो?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","दररोज डिनर, एक बटण?"
  Avoir un ventre usé par la marche ? une peau,पोटात चालून थकल्यासारखे पडणे?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",कोण लवकर घाणेरडे होते?
  Exécuter des tours de souplesse dorsale ?. . .,मागील टूरमध्ये लवचिकता आणणे? . . .
"  Non, merci. D'une main flatter la chèvre au cou","नाही, धन्यवाद. एका हाताने बकरीला गळ्यात फलाट"
"  Cependant que, de l'autre, on arrose le chou,","पण, दुसऱ्या बाजूला, आपण कापूस पाणी,"
"  Et, donneur de séné par désir de rhubarbe,",आणि जो आपल्या इच्छेने रवाबीचा पोट भरतो.
"  Avoir son encensoir, toujours, dans quelque barbe ?",नेहमी त्याच्या दाढीत धूप ठेवणे?
"  Non, merci ! Se pousser de giron en giron,","नाही, धन्यवाद. एक-एक करून वाढणे."
"  Devenir un petit grand homme dans un rond,","एक गोल मध्ये एक मोठा माणूस होण्यासाठी,"
"  Et naviguer, avec des madrigaux pour rames,","आणि नौकायन, रॅमसाठीच्या माद्रिगांसह,"
  Et dans ses voiles des soupirs de vieilles dames ?,आणि त्याच्या सांध्यामध्ये जुन्या स्त्रियांच्या ओरडल्या आहेत?
"  Non, merci ! Chez le bon éditeur de Sercy","नाही, धन्यवाद, सरसीच्या संपादकाकडे."
"  Faire éditer ses vers en payant ? Non, merci !",- पैसे देऊन त्यांची कविता संपादित करा?
  S'aller faire nommer pape par les conciles,पोप म्हणून निवड होण्यासाठी परिषद
  Que dans des cabarets tiennent des imbéciles ?,काबर्ट्समध्ये मुर्ख लोक असतात?
"  Non, merci ! Travailler à se construire un nom","नाही, धन्यवाद. स्वतःसाठी नाव बनवण्याचा प्रयत्न करा."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",एक सोनट ऐवजी इतर?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"धन्यवाद, पण फक्त दारूच्या कपाळावरच प्रतिभा शोधता येते का?"
"  Être terrorisé par de vagues gazettes,","ज्युरिटीच्या छापांनी घाबरून जाणे,"
"  Et se dire sans cesse: Oh, pourvu que je sois","आणि सतत विचार करत असतो, ""अरे, मी तर"
  Dans les petits papiers du Mercure François ?. . .,'फ्राँसिस'च्या मेर्क्वेरच्या छोट्या कागदांमध्ये? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","नाही, धन्यवाद, गणना, भीती, निंद्य,"
"  Aimer mieux faire une visite qu'un poème,",एखाद्या कवितापेक्षा भेट देणे अधिक आवडते.
"  Rédiger des placets, se faire présenter ?","पत्रके लिहिणे, स्वतःची ओळख करून देणे?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","नाही, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद"
"  Rêver, rire, passer, être seul, être libre,","स्वप्न पाहणे, हसताना, जाताना, एकटे राहणे, मुक्त होणे,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","डोळे चांगले पहावे, आवाज चांगला व्हावा,"
"  Mettre, quand il vous plaît, son feutre de travers,","जेव्हा तुम्हाला आवडेल तेव्हा त्याच्या भावनांना उलटून टाका,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""होय"" किंवा ""नाही"" साठी, लढणे, किंवा एक वर्म करणे!"
"  Travailler sans souci de gloire ou de fortune,","काम करताना, तुम्ही स्वतःला मोठे किंवा श्रीमंत बनवू नका."
"  A tel voyage, auquel on pense, dans la lune !","चंद्रावर असा प्रवास, ज्याचा विचार आपण करतो."
"  N'écrire jamais rien qui de soi ne sortît,",कधीही लिहू नका जे स्वतःहून बाहेर येत नाही.
"  Et modeste d'ailleurs, se dire: mon petit,","आणि अगदी विनम्रपणे, स्वतःशी विचारलं, ""माझं बाळ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","फुले, फळे, पाने,"
  Si c'est dans ton jardin à toi que tu les cueilles !,जर तुम्ही तुमच्या बागेत ते गोळा करत असाल तर!
"  Puis, s'il advient d'un peu triompher, par hasard,","मग जर तो थोडेसे विजय मिळवू शकेल,"
"  Ne pas être obligé d'en rien rendre à César,","""तुला कैसराला पैसे देण्याची गरज नाही."
"  Vis-à-vis de soi-même en garder le mérite,","आपल्याबद्दल स्वतःबद्दल आदर राखण्यासाठी,"
"  Bref, dédaignant d'être le lierre parasite,","थोडक्यात, मी परजीवी लिरे आहे हे नाकारून,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","आपण ओक किंवा टिलिल नसलो तरी,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","कदाचित उंच नाही, पण एकटे!"
LE BRET:,"""ब्रीट"""
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","एकट्याच तर असू शकते, पण सगळ्यांच्या विरोधात नाही."
  As-tu donc contracté la manie effroyable,मग काय तू भयंकर वेदनाग्रस्त झालास?
"  De te faire toujours, partout, des ennemis ?",नेहमी शत्रू बनवण्याचा?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","तुम्ही मित्र बनता हे पाहून,"
"  Et rire à ces amis dont vous avez des foules,","आणि त्या मित्रांना हसून, ज्यांच्याकडे जमाव आहे,"
  D'une bouche empruntée au derrière des poules !,मुर्गांच्या पाठीवर उचललेल्या तोंडाने!
"  J'aime raréfier sur mes pas les saluts,",मला माझ्या पायांवर नमस्कार करणे फार आवडते.
  Et m'écrie avec joie: un ennemi de plus !,"आणि मला आनंदाने ओरड, आणखी एक शत्रू!"
LE BRET:,"""ब्रीट"""
  Quelle aberration !,काय अपवाद आहे!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","पण, हो, ते माझे व्यसन आहे."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,मला आवडतं की लोक मला द्वेष करतात.
"  Mon cher, si tu savais comme l'on marche mieux","माझ्या प्रिय, जर तुला माहित असेल की आपण कसे चालतो ते अधिक चांगले आहे"
  Sous la pistolétade excitante des yeux !,डोळ्यांच्या आकर्षक पिस्तूलच्या स्थितीत!
"  Comme, sur les pourpoints, font d'amusantes taches","जसे की, संदर्भात, मजेदार गुण"
  Le fiel des envieux et la bave des lâches !,जळजळ आणि शूरपणाचा राग!
"  --Vous, la molle amitié dont vous vous entourez,","- तुम्ही, तुमच्या मैत्रिणी,"
"  Ressemble à ces grands cols d'Italie, ajourés","इटलीतील मोठ्या गळ्यासारखा, उशीर झाला"
"  Et flottants, dans lesquels votre cou s'effémine:","आणि तारे, ज्यात तुमचे गळतीचे डोके घसरतात."
"  On y est plus à l'aise. . .et de moins haute mine,","आपण तिथे अधिक आरामदायक आहोत. . . आणि कमी उंच मीन,"
"  Car le front n'ayant pas de maintien ni de loi,","कारण, समोरच्या व्यक्तीला कायदा आणि नियमशास्त्राची आवश्यकता नाही."
"  S'abandonne à pencher dans tous les sens. Mais moi,",तो प्रत्येक दिशेने पाहतो.
"  La Haine, chaque jour, me tuyaute et m'apprête","द्वेष, मला रोज चोखते आणि मला जवळ आणते"
  La fraise dont l'empois force à lever la tête;,फ्राईज ज्याच्या विषाने डोकं उचलण्याची ताकद आहे;
  Chaque ennemi de plus est un nouveau godron,प्रत्येक शत्रू हा नवा गडद आहे
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",माझ्यासाठी दुःख आणि त्रास वाढवितो.
"  Car, pareille en tous points à la fraise espagnole,","कारण, सर्व बाबतीत स्पॅनिश स्ट्रॉईज सारखेच,"
"  La Haine est un carcan, mais c'est une auréole !","द्वेष हा एक गोंधळ आहे, पण तो एक सूर्यप्रकाश आहे!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (एक शांतता नंतर, त्याच्या हात खाली जात):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","अभिमानाने आणि कडूपणाने उंच करा, पण कमी करा."
  Dis-moi tout simplement qu'elle ne t'aime pas !,फक्त मला सांग की ती तुझ्यावर प्रेम करत नाही!
CYRANO (vivement):,CYRANO (जिवंत):
  Tais-toi !,गप्प राहा!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(एक क्षणानंतर, ख्रिश्चन आत गेला, तरुण लोकांमध्ये गुंतला;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"त्याला बोलू नका, तो एकटे बसला एक"
