Scène 2.VIII.,Skenë 2.VIII.
  Et comme un lierre obscur qui circonvient un tronc,Si një shterë e errët që mbulon një trondë
"  Et s'en fait un tuteur en lui léchant l'écorce,","Dhe e bën atë për kujdestar, duke i shiur lëkurën e saj,"
  Grimper par ruse au lieu de s'élever par force ?,Të ngjitësh me tradhë në vend të ngjitësh me forcë?
"  Non, merci. Dédier, comme tous il le font,","Jo, faleminderit."
  Des vers aux financiers ? se changer en bouffon,Nga gjakderrat në financuesit?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Në shpresën e turpshme të të shohë, në gojën e një ministri,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Të lindësh një buzëqeshje, që nuk është e keqe?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Të ngrosh çdo ditë një thes?
  Avoir un ventre usé par la marche ? une peau,Të kesh një barrë të lodhur nga ecja?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Kush më shpejt, në vend të gjunjëve, bëhet i shëmtuar?"
  Exécuter des tours de souplesse dorsale ?. . .,Të bësh rrotullat e shpinës? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Jo, faleminderit, me një dorë të shtrënguar në qafë"
"  Cependant que, de l'autre, on arrose le chou,","Por, kur të tjerët u mbjellën me ujë,"
"  Et, donneur de séné par désir de rhubarbe,","Dhe që i jep gjakderdhje për dëshirë të barbit,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Të kesh qymyrin e tij gjithmonë në barbët e tij?
"  Non, merci ! Se pousser de giron en giron,","Të rritesh nga një vend në tjetrin,"
"  Devenir un petit grand homme dans un rond,","Të bëhesh një njeri i vogël i madh në një rrethanë,"
"  Et naviguer, avec des madrigaux pour rames,","Dhe të lundrojnë me mashtrues të rremës,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Dhe në vjellat e tij, qepjet e grave të vjetra?"
"  Non, merci ! Chez le bon éditeur de Sercy","Jo, faleminderit, në librarin e duhur të Sercis."
"  Faire éditer ses vers en payant ? Non, merci !",Të bësh që të redaktohet vermen e tij duke paguar?
  S'aller faire nommer pape par les conciles,Të bëhet Papa në Konsilet
  Que dans des cabarets tiennent des imbéciles ?,Se në kabinete mbanin budalla?
"  Non, merci ! Travailler à se construire un nom",Të punosh për të ndërtuar një emër.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Në një sonetë, në vend që të bësh të tjera?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Të zbulosh talent vetëm në shkop?
"  Être terrorisé par de vagues gazettes,","Të frikësohesh nga gazetat e valë,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Dhe gjithmonë të thotë: ""Oh, nëse unë jam"
  Dans les petits papiers du Mercure François ?. . .,Në letër e vogël të Merkurit Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Të kalkulosh, të kesh frikë, të jesh i ndjeshëm,"
"  Aimer mieux faire une visite qu'un poème,","Të pëlqej më shumë një vizitë se një poezi,"
"  Rédiger des placets, se faire présenter ?","Të shkruaj fletore, të paraqes veten?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Jo, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit, faleminderit"
"  Rêver, rire, passer, être seul, être libre,","Të ëndërrosh, të qeshësh, të kalojë, të jesh vetëm, të jesh i lirë,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Të kesh sy të qartë, zë të tronditur,"
"  Mettre, quand il vous plaît, son feutre de travers,","Të vendosësh, kur të pëlqen, ndjenjën e saj të gabuar,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Për një po, për një jo, për të luftuar, për të bërë një vermë!"
"  Travailler sans souci de gloire ou de fortune,","Të punosh pa u shqetësuar për lavdi apo pasuri,"
"  A tel voyage, auquel on pense, dans la lune !","Një udhëtim i tillë, që mund të mendojmë, në hënë!"
"  N'écrire jamais rien qui de soi ne sortît,","Mos shkruani kurrë asgjë që nuk vjen nga vetja,"
"  Et modeste d'ailleurs, se dire: mon petit,","Dhe përkundrazi, i modest, duke thënë vetes:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Të kënaqesh me lule, fruta, madje edhe me gjethet,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Nëse do të mund të bësh në kopshtin tënd!
"  Puis, s'il advient d'un peu triompher, par hasard,","Dhe nëse ai arrin të fitojë pak,"
"  Ne pas être obligé d'en rien rendre à César,","""Nuk duhet të paguajë Çesarin,"
"  Vis-à-vis de soi-même en garder le mérite,","Për të mbajtur meriton e vet,"
"  Bref, dédaignant d'être le lierre parasite,","Në të njëjtën kohë, duke mos e konsideruar veten si një lierre parasite,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Edhe kur nuk jemi harxha apo pishkër,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ndoshta nuk do të ngjitem shumë lart, por vetëm!"
LE BRET:,PËRËRË:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Vetëm, por jo kundër të gjithëve!"
  As-tu donc contracté la manie effroyable,A ke marrë maninë e tmerrshme?
"  De te faire toujours, partout, des ennemis ?",Të bësh gjithmonë armiq të tjerë?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Duke parë ju duke bërë miq,"
"  Et rire à ces amis dont vous avez des foules,","Dhe qeshni me miqtë që keni shumë,"
  D'une bouche empruntée au derrière des poules !,Me një gojë të huazuar në kokë!
"  J'aime raréfier sur mes pas les saluts,","Më pëlqen të përshëndes në këmbë,"
  Et m'écrie avec joie: un ennemi de plus !,Dhe me gëzim bërtas: Një armik tjetër!
LE BRET:,PËRËRË:
  Quelle aberration !,Çfarë aberrationi!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Epo, po, kjo është vija ime."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Më pëlqen të shkoj, më pëlqen të më urren."
"  Mon cher, si tu savais comme l'on marche mieux","E dashur, nëse ti dinte se si të ecim më mirë"
  Sous la pistolétade excitante des yeux !,Në një pamje të mrekullueshme të pistollit!
"  Comme, sur les pourpoints, font d'amusantes taches","Si, në punët e shtytjeve, bëjnë të qeshura të qeshura"
  Le fiel des envieux et la bave des lâches !,Gëzimi i zemrës së zemrës dhe të shëmtuarit!
"  --Vous, la molle amitié dont vous vous entourez,","Ju, miqësia e butë që i përkoheni,"
"  Ressemble à ces grands cols d'Italie, ajourés","Duket si këto qafë të mëdha të Italisë, të shtyrë"
"  Et flottants, dans lesquels votre cou s'effémine:","Dhe të fluturojnë, në të cilat qafat tuaja të përzier:"
"  On y est plus à l'aise. . .et de moins haute mine,","Ne jemi më të rehatshëm. ...dhe më pak të lartë,"
"  Car le front n'ayant pas de maintien ni de loi,","Sepse frumi nuk ka vendime dhe ligji,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","Ai nuk ka asnjë pikë të drejtë, por unë..."
"  La Haine, chaque jour, me tuyaute et m'apprête",Ndonjëherë urrejtja më shpiqet dhe më ngushëlon.
  La fraise dont l'empois force à lever la tête;,Fromaza që pozoi i detyron të ngrejë kokën;
  Chaque ennemi de plus est un nouveau godron,Çdo armik tjetër është një bardhër i ri
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Ai më shton turp dhe më shton një dritë.
"  Car, pareille en tous points à la fraise espagnole,","Sepse, në të gjitha mënyrat, si fresa spanjolle,"
"  La Haine est un carcan, mais c'est une auréole !","Urrejtja është një shkop, por është një aurelë!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (pas heshtjes, duke kaluar dorën e tij nën të tij):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Bëj të lartë të gurshëm dhe të hidhur, por të ulët"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Thuaj vetëm që ajo nuk të do!
CYRANO (vivement):,CYRANO (në jetë):
  Tais-toi !,- Shkuaj!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Duke kaluar një kohë, Christian hyri, u përfshi me të rinjtë; ata"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,nuk i flasin atij; ai përfundoi të ulet vetëm me një
