Scène 2.VIII.,Szczyns 2.VIII.
"  Travailler sans souci de gloire ou de fortune,","Pracuj bez dōmaniŏ sie o godność ani bogactwo,"
"  A tel voyage, auquel on pense, dans la lune !","Na takõ wycieczkę, co myśla, na Księżyc!"
"  N'écrire jamais rien qui de soi ne sortît,","Niy pisz niczego, co niy wychodzi z siebie,"
"  Et modeste d'ailleurs, se dire: mon petit,","I skromny, że sie myśli: ""Moj mały,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Z kwiatami, owocami, nawet liściami,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Jak sie je w doma weźmie?
"  Puis, s'il advient d'un peu triompher, par hasard,","I jak sie wziyni w to, co sie dzieje,"
"  Ne pas être obligé d'en rien rendre à César,","Niy bydziesz mioł nic do cyprza ôdpłacić,"
"  Vis-à-vis de soi-même en garder le mérite,","W stosunku do siebie zachować zasłōg,"
"  Bref, dédaignant d'être le lierre parasite,","W kōńcu, ôdrōżniej sie być parasytōm lyre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Chocioż niy jesmy ôkym ani szczyrym,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Niy szło na wysokość, ale sam!"
LE BRET:,- Wōm sie zdo:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Sam sōm, ale niy przeciw wszyjskim."
  As-tu donc contracté la manie effroyable,Czyżby ci sie wziyła ta straszliwa mania?
"  De te faire toujours, partout, des ennemis ?",Zarobić sie wszysko?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Z tego, że widzieliście, jak sie zaprzyjaźniyliście,"
"  Et rire à ces amis dont vous avez des foules,","I śmieje sie z tych kamratōw, kerych masz w tłumie,"
  D'une bouche empruntée au derrière des poules !,Z wypożyczōnym z tyłu kurek gŏdōm!
"  J'aime raréfier sur mes pas les saluts,","Jo rada rzadko pozdrawia na mojich stopach,"
  Et m'écrie avec joie: un ennemi de plus !,I woła mi z radości: kolejnego wroga!
LE BRET:,- Wōm sie zdo:
  Quelle aberration !,Co za aberyjo!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","No, tak, to je moj winy."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Uwielbiam sie, jak sie nienawidzą."
"  Mon cher, si tu savais comme l'on marche mieux","Skory, jak byś wiedziała, jak idzie lepszy"
  Sous la pistolétade excitante des yeux !,Pod tym ekscytujōncym ôczami!
"  Comme, sur les pourpoints, font d'amusantes taches",Jak na punktach robiōm zabawne szpiny
  Le fiel des envieux et la bave des lâches !,Zło zazdrosnych i zło tchórzōw!
"  --Vous, la molle amitié dont vous vous entourez,","- Ty, miły przyjaźń, co sie ôbejrzŏsz,"
"  Ressemble à ces grands cols d'Italie, ajourés","Podobnie jak te wielge włoskie szynki, ôdpowiydź"
"  Et flottants, dans lesquels votre cou s'effémine:","I pływajace, w kerych sie szyja trzasknie:"
"  On y est plus à l'aise. . .et de moins haute mine,",My sōm bardzij wygodni.
"  Car le front n'ayant pas de maintien ni de loi,","Bo czoła niy ma prawa ani prawa,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Wszyjske strōny je ôbrōńdziŏ.
"  La Haine, chaque jour, me tuyaute et m'apprête","Nienawiść, co dziyń, mi sie wpiyknie i mi sie szykuje"
  La fraise dont l'empois force à lever la tête;,"Frajza, kerŏ mŏ zło, co zmusza do podnoszōnce głowy;"
  Chaque ennemi de plus est un nouveau godron,Kożdy inkszy wrog to je nowy godron
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Któż przidoł mi gorszy, i przidoł mi gorszy światło."
"  Car, pareille en tous points à la fraise espagnole,","Bo, tak jak we wszyjskich aspektach, jak we hiszpańskij fryzji,"
"  La Haine est un carcan, mais c'est une auréole !","Nienawiść to je szczur, ale to je aurol!"
"LE BRET (après un silence, passant son bras sous le sien):","SI: (po cichu, przesuwając ramiyń pod swojim):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Wyrzuć pychny i gorzkie, ale niżyj"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Po prostu mi powiydz, iże niy ci sie podoba!"
CYRANO (vivement):,CYRANO (żywo):
  Tais-toi !,- Ty sie zamknij!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Po jakimś czasie Christian weszōł, wtrōnżył sie do mŏsłych; te"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Niy gŏdali z nim, bo ôstał sam na jednym"
