Scène 2.VIII.,ڤينڠ 2.VIII.
  Et que faudrait-il faire ?,دان چيكارا ڤرلو دأداكن؟
"  Chercher un protecteur puissant, prendre un patron,",ممڤوڽاءي ڤڠوربان يڠ باءيق، ممڤوڽاءي ڤڠوربان يڠ باءيق،
  Et comme un lierre obscur qui circonvient un tronc,دان سباڬاي ڤڠڬيلن يڠ برڤڠڬيلن دڠن ڤڠڬيلن يڠ برڤڠڬيلن
"  Et s'en fait un tuteur en lui léchant l'écorce,",دان منجادي ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤ
  Grimper par ruse au lieu de s'élever par force ?,ممڤوپا ?? ي ڤرڬي اونتوق ممڤوپا ?? ي ڤرڬي اونتوق ممڤوپا ?? ي ڤرڬي؟
"  Non, merci. Dédier, comme tous il le font,",لا، شكرا. ڤادڠ، سباڬايڽ،
  Des vers aux financiers ? se changer en bouffon,من ڤاسوقن كڤد ڤنوليسن؟
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",دڠن ڤرنياڬا ?? ن يڠ برتيندق، دڠن كڤد ڤڠاجرن ڤڠاجرن،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",ممڤوپا ?? ي لبيه لبيه، اڤابيلا ايت تيدق بربنديڠ؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",نه، ممنون، هر روز ناهار ميخوري؟
  Avoir un ventre usé par la marche ? une peau,باچين مانتڠ دالم ڤرنياڬا ?? ن؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",اڤابيلا كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران كران
  Exécuter des tours de souplesse dorsale ?. . .,ڤرلو ممڤوپا ?? ي ڤرودوقن ڤڠاجين دالم ڤرودوقن؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",لالالالالالالالالالالالالالالالالالالالالا شكرا
"  Cependant que, de l'autre, on arrose le chou,",تتاڤي، سسواتو يڠ برتيندق دڠن كاوڤول،
"  Et, donneur de séné par désir de rhubarbe,",دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان دان
"  Avoir son encensoir, toujours, dans quelque barbe ?",با اينكه ساي هميشه اين كاميرا رو در يه چنگال داريم؟
"  Non, merci ! Se pousser de giron en giron,",لالالالالالالالالالالالالالالالالالالالا شكرا
"  Devenir un petit grand homme dans un rond,",اكن منجادي سأورڠ اورڠ يڠ باءيق دالم ساتو ڤڠاجرن،
"  Et naviguer, avec des madrigaux pour rames,",دان برمولا دڠن مڠڬوناكن سمڤنا يڠ برتوجوان،
  Et dans ses voiles des soupirs de vieilles dames ?,دان دالم ڤيالاڽ، سهاج-ساڠج سهاج يڠ برتاهن؟
"  Non, merci ! Chez le bon éditeur de Sercy",لالالالالالالالالالالالالالالالالالالالالا شكرا
"  Faire éditer ses vers en payant ? Non, merci !",ممبري ڤرودوکڽ دڠن مڠمبيل؟
  S'aller faire nommer pape par les conciles,ممڤوپا ?? يكن ڤاپو دڠن ڤڠاجرن
  Que dans des cabarets tiennent des imbéciles ?,اڤابيلا دالم كاباريت اد ڤرڠ ڤرڠ؟
"  Non, merci ! Travailler à se construire un nom",لا، شكرا، كريستيكا
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",دري سونوڠ، تيدق ممڤوپا ?? ي سونوڠ يڠ لا ?? ين؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شكرا، منيشو باڤاڽ؟
"  Être terrorisé par de vagues gazettes,",اكن دتڠڬوڠكن اوليه اخبار يڠ ليم،
"  Et se dire sans cesse: Oh, pourvu que je sois","دان بركات، ""اوڤون ساي"
  Dans les petits papiers du Mercure François ?. . .,دالم ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤ
"  Non, merci ! Calculer, avoir peur, être blême,",لالالالالالالالالالالالالالالالالا شكرا
"  Aimer mieux faire une visite qu'un poème,",ممڤرچايا ?? ي ڤرساتوان ترڤيڠت ڤرودوق
"  Rédiger des placets, se faire présenter ?",منچاري ڤرودوک، منچاري ڤرودوک؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",لالالالالالالالالالالالالالالالالالالالا شكرا لك
"  Rêver, rire, passer, être seul, être libre,",حلم، ضحك، عبور، تنها بودن، آزاد بودن،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",اکيون يڠ برسام، اَصوات يڠ برسام،
"  Mettre, quand il vous plaît, son feutre de travers,",سوده ممڤوپا ?? ي، سوده ممڤوپا ?? ي،
"  Pour un oui, pour un non, se battre,--ou faire un vers !",باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باءيق، باء
"  Travailler sans souci de gloire ou de fortune,",تيدق ممڤرچايا ?? ي ڤڠاجرن اتاو ڤڠاجرن
"  A tel voyage, auquel on pense, dans la lune !",ڤرنياڬا ?? ن يڠ سوده دڤرچايا ?? ي، دالم بولن!
"  N'écrire jamais rien qui de soi ne sortît,",تيدق ممڤوپا ?? ي سياڤا يڠ تيدق ممڤوپا ?? يكن دالم ڤرنياڬا ?? ن.
"  Et modeste d'ailleurs, se dire: mon petit,","دان باءيقڽ، بركات، ""بلاكو،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",يا دڠن بوات، يا دڠن ميوه، يا دڠن بوات،
  Si c'est dans ton jardin à toi que tu les cueilles !,اڤابيلا دالم بوات اكو ممباچڽ!
"  Puis, s'il advient d'un peu triompher, par hasard,","""سوده، اڤابيلا سوده منجاديكن ڤڠاجين يڠ برتوجو،"
"  Ne pas être obligé d'en rien rendre à César,","""تيدق داڤت ممبري ڤرليندوڠن كڤد قيصر."
"  Vis-à-vis de soi-même en garder le mérite,",اونتوق ممڤوپا ?? ي ڤڠاجرنڽ.
"  Bref, dédaignant d'être le lierre parasite,",باڬايماناڤون، مڠيكوتكن كران ساي اداله ڤارا ڤارا ڤارا،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",باڤق تيدق اد ڤرنه دان ڤرنه،
"  Ne pas monter bien haut, peut-être, mais tout seul !",اڤابيلا تيدق برتاهن، تتاڤي تيدق برتاهن.
LE BRET:,ڤڠاجرن:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",تيدق اد ڤرلو برسام-سام.
  As-tu donc contracté la manie effroyable,"""تاهون اين، تو داري ديوانه ترسناک رو داري"
"  De te faire toujours, partout, des ennemis ?",تا هميشه در هر جا دشمني پيدا کني؟
CYRANO:,سايرانو:
"  A force de vous voir vous faire des amis,",باڤاڽ، ساي برڤرچايا ?? ي ڤڠاجرن.
"  Et rire à ces amis dont vous avez des foules,",دان مڠڬوناكن اورڠ-اورڠ يڠ برسام-سام،
  D'une bouche empruntée au derrière des poules !,با كاكه يڠ دتاهن دالم كاوسن كاوسن!
"  J'aime raréfier sur mes pas les saluts,","""ساي مڠمبيل سلاما دالم ڤرنياڬان ساي."
  Et m'écrie avec joie: un ennemi de plus !,"""تاهون! "" دان ""تاهون! "" تاهون!"
LE BRET:,ڤڠاجرن:
  Quelle aberration !,اين اداله ڤرچاي.
CYRANO:,سايرانو:
"  Eh bien, oui, c'est mon vice.",باحال، اڤابيلا ايت، اڤابيلا ساي برتاهن.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,من ممڤرچايا ?? ي ڤرلو. ساي مڽقسيکن ڤرلو مڠمبيل.
"  Mon cher, si tu savais comme l'on marche mieux",عزيزم، اگه ميدونستي چطور بهتر راه ميرويم
  Sous la pistolétade excitante des yeux !,دالم ڤرماءينن يڠ ممڤوپا ?? ي ڤرماءينن.
"  Comme, sur les pourpoints, font d'amusantes taches",كڤد ڤرودوک، ممبنتو ڤرودوک ڤرودوک
  Le fiel des envieux et la bave des lâches !,اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤابيلا اڤ
"  --Vous, la molle amitié dont vous vous entourez,",--تاي، دوستي يڠ دلاليقكن،
"  Ressemble à ces grands cols d'Italie, ajourés",شبيه اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون اون
"  Et flottants, dans lesquels votre cou s'effémine:",دان تيمبلن يڠ برتيندقكن دڠن كاوسن
"  On y est plus à l'aise. . .et de moins haute mine,",كيت لبيه رايڠ دالم اين. . . دان بيلا-بيلا،
"  Car le front n'ayant pas de maintien ni de loi,",دان دانيتو تيدق ممڤوڽاءي ڤرنه دان ڤرنه.
"  S'abandonne à pencher dans tous les sens. Mais moi,",تيدق ممڤوپا ?? ي كڤد كلنتن.
"  La Haine, chaque jour, me tuyaute et m'apprête",كراهي، هاري هاري، منيڠكت دان ممڤوپا ?? ي
  La fraise dont l'empois force à lever la tête;,سڤرتي يڠ دڤرچايا ?? ي اوليه سمڤأي ڤڠاجرنڽ.
  Chaque ennemi de plus est un nouveau godron,هر دوشمند ديگر يك كدرو جديد است
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","""تاهون يڠ برتيندق، دان يڠ برتيندق،"
"  Car, pareille en tous points à la fraise espagnole,",باڬي، سڤرتي ڤرليس اسڤينيا،
"  La Haine est un carcan, mais c'est une auréole !",كراهي اداله كركان، نامون اداله اريولا!
"LE BRET (après un silence, passant son bras sous le sien):",ڤڠوربان (ساي تيدق، مڠمبيل ڤڠوربانڽ دالم ڤڠوربانڽ):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","""تاهونن يڠ بربغي دان بربنديڠ، تتاڤي تيدق برتاهونن."
  Dis-moi tout simplement qu'elle ne t'aime pas !,بسيهڽ مڽقسيكن ساي بهاوا ساي تيدق مڽقسيكن ساي!
CYRANO (vivement):,CYRANO (مڠهادڤي):
  Tais-toi !,اكن اكن مڠهادڤي!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(موبايه كيني، كريستيان مڠهادڤي، مڠهادڤي ڤڠاجرن،
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,تيدق ممڤوڽاءي كاتاڽ، تتاڤي تيدق ممڤوڽاءي كاتاڽ
