Scène 2.VIII.,2.VIII skena.
"  Non, merci. D'une main flatter la chèvre au cou","Ne, paldies, ar vienu roku mīļot kaķi kaklā"
"  Cependant que, de l'autre, on arrose le chou,","Taču, ja no otras puses mēs izlietām kaulu,"
"  Et, donneur de séné par désir de rhubarbe,","Un, ja vēlaties, lai es būtu par labu,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","Vai tur tur ir savu dzeltenīšu, kas vienmēr ir kaut kādā barbā?"
"  Non, merci ! Se pousser de giron en giron,","Ne, paldies!"
"  Devenir un petit grand homme dans un rond,","Lai kļūtu par nelielu lielumu,"
"  Et naviguer, avec des madrigaux pour rames,","Un kuģošana ar kuģu madrigām,"
  Et dans ses voiles des soupirs de vieilles dames ?,Un viņa velosipēdes laikā ir vecas vecās dāmas?
"  Non, merci ! Chez le bon éditeur de Sercy","Ne, paldies, es esmu Sercis redaktorā."
"  Faire éditer ses vers en payant ? Non, merci !","Vai maksāt, lai viņa verzus redigētu?"
  S'aller faire nommer pape par les conciles,"Lai padotu sevi papam, lai padomi"
  Que dans des cabarets tiennent des imbéciles ?,Vai kaķiem ir neļūbi?
"  Non, merci ! Travailler à se construire un nom","Ne, paldies, strādāju, lai iegūtu nosaukumu."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","- Uz vienu sonēdi, nevis uz citiem?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Vai es varu atrast talentu tikai krēsliem?
"  Être terrorisé par de vagues gazettes,","Atbausties no laikrakstu,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Un vienmēr domā: ""O, ja es būtu"
  Dans les petits papiers du Mercure François ?. . .,"""Mērkuris Francisks"" papīri?"
"  Non, merci ! Calculer, avoir peur, être blême,","Ne, paldies! Aplēst, baidīties, būt blēniem,"
"  Aimer mieux faire une visite qu'un poème,","Labāk mīl apmeklēt, nekā dzejoļu,"
"  Rédiger des placets, se faire présenter ?","Vai es varu rakstīt plakātus, iepazīt sevi?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ne, paldies, paldies, paldies, paldies, bet..."
"  Rêver, rire, passer, être seul, être libre,","Smieties, smaidīt, pārsteigt, būt viens, būt brīvs,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Lai redzētu ar acīm, lai dzirdētu ar balvu,"
"  Mettre, quand il vous plaît, son feutre de travers,","Lai ievietotu, kad jūs vēlaties, savu sajūtu pretēji,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Lai būtu jā, lai būtu nē, cīnīties, vai darīt vermi!"
"  Travailler sans souci de gloire ou de fortune,","Darbājiet bez uzlaimes vai bagātības,"
"  A tel voyage, auquel on pense, dans la lune !","Uz kādu ceļojumu uz mēnesi, par kuru mēs domājam!"
"  N'écrire jamais rien qui de soi ne sortît,","Neatskati neko, kas nav no sevis,"
"  Et modeste d'ailleurs, se dire: mon petit,","Un, protams, skumji, domā: ""Mans,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Vai tev ir jāapmierina ar gulēm, augļiem, pat ar lapām,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Ja tu to uzņemsi savā dārzā!
"  Puis, s'il advient d'un peu triompher, par hasard,","Tad, ja viņš kaut ko paver,"
"  Ne pas être obligé d'en rien rendre à César,","Lai man nebūtu jāiesniedz kaut kas keisaram,"
"  Vis-à-vis de soi-même en garder le mérite,","Lai saglabātu to pašu labumu,"
"  Bref, dédaignant d'être le lierre parasite,","Labāk, neņemot vērā, ka esmu parasitājs lieris,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Pat ja mēs neesam ols vai dzeltenis,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Varbūt ne pārāk augšā, bet tikai pats!"
LE BRET:,KNAB:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Lai vienalga, bet ne pret visiem."
  As-tu donc contracté la manie effroyable,Vai tu esi saslimts ar šaubas maniju
"  De te faire toujours, partout, des ennemis ?",Lai visu laiku turētos pretinieki?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Esmu pārliecināts, ka jūs esat kļuvuši par draugiem."
"  Et rire à ces amis dont vous avez des foules,","Un smejas par šiem draugiem, kuriem tu esi daudz cilvēku,"
  D'une bouche empruntée au derrière des poules !,"Ar melnu, kas aizņemts no kokļu aizmugurā!"
"  J'aime raréfier sur mes pas les saluts,","Es mīlu, kad es pie pieķērtu sveicības,"
  Et m'écrie avec joie: un ennemi de plus !,Un mani ar laimi šauc: vēl viens nelaimīgs!
LE BRET:,KNAB:
  Quelle aberration !,Cik apbrīnojami!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Jā, tā ir mana viela."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Man patīk, kad mani ienīst."
"  Mon cher, si tu savais comme l'on marche mieux","Kūdri, ja tu zinātu, kā labāk iet"
  Sous la pistolétade excitante des yeux !,"Ja jūs esat uzstājies uz šo brīnišķīgu visu,"
"  Comme, sur les pourpoints, font d'amusantes taches","Kā, uz uzzīmēm, darīt smieklīgas vietas"
  Le fiel des envieux et la bave des lâches !,Nejauši žēlīgi un nejauši.
"  --Vous, la molle amitié dont vous vous entourez,","- Tu, mīļākā draudzība, ko tu aplies,"
"  Ressemble à ces grands cols d'Italie, ajourés","Tas izskatās kā tie lielākie Itālijas kols, aizturēti"
"  Et flottants, dans lesquels votre cou s'effémine:","Un plūduši, kur jūsu kakls ir aizmirsts:"
"  On y est plus à l'aise. . .et de moins haute mine,",Mēs esam ērti.
"  Car le front n'ayant pas de maintien ni de loi,","Jo priekšmets nav pieļaujams un nav likuma,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","Viņš ir ļoti aizmirsis, ka viņš ir uz priekšu."
"  La Haine, chaque jour, me tuyaute et m'apprête",Nepriekšlikums katru dienu mani uzspēlē un aizmirst
  La fraise dont l'empois force à lever la tête;,"Šāfrāzes, kuru vīrs pieļauj uz augšu galvu,"
  Chaque ennemi de plus est un nouveau godron,Katrs vēl viens nelaimīgs ir jauns dzērvs.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Kas man uzstāj nepatīkamu, un uzstāj mani uztrauc."
"  Car, pareille en tous points à la fraise espagnole,","Jo, kā visaptveroši, kā arī spāņu frāze,"
"  La Haine est un carcan, mais c'est une auréole !","Nepriekšlikums ir kā karkas, bet tā ir kā aurēls!"
"LE BRET (après un silence, passant son bras sous le sien):","LATVAS ( pēc klusuma, pārvedot savu roku zem savu):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Lai uz augšu un kavētu, bet zemāk"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Tikai pasaki man, ka viņa tevi mīl!"
CYRANO (vivement):,CYRANO (dzīvo):
  Tais-toi !,- Tu esi kluss!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Pēc brīža, Kristīnis ieradās, pielietos ar jaunākajiem, tie"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Viņš bija tikai viens, kas bija uzstājies pie"
