Scène 2.VIII.,صحنه ۲-۸.
"  Qui plus vite, à l'endroit des genoux, devient sale ?",کئم دئزلر عوضئنه داها تز نجئس اولور؟
  Exécuter des tours de souplesse dorsale ?. . .,دَرئسده چئوریلنمه یه چاليشماق . . .
"  Non, merci. D'une main flatter la chèvre au cou",نه، ممنون، بئر اَلله قوچونو بوينونا آلماق
"  Cependant que, de l'autre, on arrose le chou,",آمّا او بئري طرفدن کول سوپورورسونوز.
"  Et, donneur de séné par désir de rhubarbe,",و دئشي بالالاريني قيرخماق اوچون،
"  Avoir son encensoir, toujours, dans quelque barbe ?",بوخوردانيني هله ده بئر ساقّالدا ساخلاماق؟
"  Non, merci ! Se pousser de giron en giron,",يوخ، ممنون، گئجه-گئجه دؤنمک،
"  Devenir un petit grand homme dans un rond,",بئر دوردا کئچئک بئر آدام اولماق،
"  Et naviguer, avec des madrigaux pour rames,",قاييق قاييقلاري ائله،
  Et dans ses voiles des soupirs de vieilles dames ?,و اونون پرده لرینده قوجا آروادلارين سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَسله سَله سَسله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَله سَ
"  Non, merci ! Chez le bon éditeur de Sercy",نه، ممنون، سرسي نين ياخشي يوردونا.
"  Faire éditer ses vers en payant ? Non, merci !",ورمونو اؤدَرک چاپ ائتمه یه مجبور اولماق؟
  S'aller faire nommer pape par les conciles,پاپا آدلانماق اوچون کونسللرده
  Que dans des cabarets tiennent des imbéciles ?,کی، کوچه لرده آخماقلار ساخلاييرلار؟
"  Non, merci ! Travailler à se construire un nom",يوخ، ممنون، اؤزونو تانيماق اوچون چاليشيرام.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",باشقا سوناغلار عوضئنه، بئر سونون اوستونه؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,مگر فقط قاشقالاردا موهبت تاپماق اولار؟
"  Être terrorisé par de vagues gazettes,",صحیفه لردن دهشتلي اولماق،
"  Et se dire sans cesse: Oh, pourvu que je sois","و دائم دئير: "" اگر من اولسام،"
  Dans les petits papiers du Mercure François ?. . .,مرکور فرانسیس مقاله لرینده؟
"  Non, merci ! Calculer, avoir peur, être blême,",حسابلاشماق، قورخماق، آغيلسيزليق،
"  Aimer mieux faire une visite qu'un poème,",بئر شعردن داها چوخ، بئر گَزَکدن داها چوخ،
"  Rédiger des placets, se faire présenter ?",نه اوچون؟ نه اوچون؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",نه، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون
"  Rêver, rire, passer, être seul, être libre,",يوخولاياق، گولوروک، گدئرئک، تک قالاق، آزاد قالاق،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",گؤزون ياخشي گؤرونمهسي، سَسي دهشتلي اولماسي،
"  Mettre, quand il vous plaît, son feutre de travers,",هر زامان کي، ائستهيئرسن، اؤز حئسّئني دَيئشدئره،
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""بلي"" اوچون، ""نه"" اوچون، ""قووش"" اوچون، ""و يا دا ""دئرئر"" اوچون!"
"  Travailler sans souci de gloire ou de fortune,",شؤهرت و ثروت اوچون نئگاران اولماييب،
"  A tel voyage, auquel on pense, dans la lune !",آيدا اولان بله بئر سفره!
"  N'écrire jamais rien qui de soi ne sortît,",اؤزوندن گلن هچ بئر شيي يازما،
"  Et modeste d'ailleurs, se dire: mon petit,","و باشي آشاغي اولان آدام دا اؤزونه بله ديئر: ""او، منئم اوشاقيم،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",گللر، ميوه لر، حتّا يارپاقلار،
  Si c'est dans ton jardin à toi que tu les cueilles !,اگر باغيندا اونلاري ييغيرسان!
"  Puis, s'il advient d'un peu triompher, par hasard,",و اگر او، قيسا بئر مودّت عرضئنده اوغور قازانسا،
"  Ne pas être obligé d'en rien rendre à César,",قيصرئن حوضوروندا هچ بئر شي ورمهلي اولما.
"  Vis-à-vis de soi-même en garder le mérite,",اؤزون اوچون اؤزونون حاقّيني ساخلا،
"  Bref, dédaignant d'être le lierre parasite,",بو، اؤنجه ده جانلي قاريشليق اولماسيندان نئفرت ادئر.
"  Lors même qu'on n'est pas le chêne ou le tilleul,",سن نه آغاجسان، نه ده آغاجدان،
"  Ne pas monter bien haut, peut-être, mais tout seul !",بلکه چوخ اوجا يِره چيخماز، آمّا تکجه!
LE BRET:,""" اوشاغين """
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",تک-تنها، آمّا هامييا ضئدّ ديئل.
  As-tu donc contracté la manie effroyable,مگر سن ده اله ائولَنئبسن کي،
"  De te faire toujours, partout, des ennemis ?",هر يرده دوشمنلرئم اولماق اوچون؟
CYRANO:,سیرانو:
"  A force de vous voir vous faire des amis,",دوستلوق اِدَرکَن،
"  Et rire à ces amis dont vous avez des foules,",و جاماعاتين ائچئنده اولان دوستلارين قاباغيندا گولورسن.
  D'une bouche empruntée au derrière des poules !,دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي دئشي
"  J'aime raréfier sur mes pas les saluts,",سلاملاريم آياقلاريمدا چوخ آز اِشئدئلئر.
  Et m'écrie avec joie: un ennemi de plus !,"منه شادليقلا باغير: "" بئر داها دوشمن! """
LE BRET:,""" اوشاغين """
  Quelle aberration !,نه ده آزربایجانلی!
CYRANO:,سیرانو:
"  Eh bien, oui, c'est mon vice.",بلي، بلي، منئم عيّاشامدير.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,گئدن واخت چوخ خوشلانارام.
"  Mon cher, si tu savais comme l'on marche mieux",اگر سن بئلسايدين کي، نجه گِدَک داها ياخشي اولار
  Sous la pistolétade excitante des yeux !,گؤزلرین سئورلو قولوندا!
"  Comme, sur les pourpoints, font d'amusantes taches",نجه کي، اوسته لئکده، گولوملو لکه لر ياراديرلار
  Le fiel des envieux et la bave des lâches !,حسود آداملارين قوخوسو و قورباغالارين قوخوسو!
"  --Vous, la molle amitié dont vous vous entourez,",سن، اطرافيندا اولان يولو دوستلوق،
"  Ressemble à ces grands cols d'Italie, ajourés",بو ایتالیا بؤیوک قوسونا بنزر،
"  Et flottants, dans lesquels votre cou s'effémine:",و دولانان گولر، بويونلارين ائچئندن قورخانلار،
"  On y est plus à l'aise. . .et de moins haute mine,",داها راحاتليق و داها آز اوجا مئني،
"  Car le front n'ayant pas de maintien ni de loi,",چونکي اوزو قانونو و قانونونو ساخلاماييب،
"  S'abandonne à pencher dans tous les sens. Mais moi,",هر طرفه دؤنوب گئدر، آمّا من،
"  La Haine, chaque jour, me tuyaute et m'apprête",هر گون منه نئفرت ادنلر مني توستولوبلار
  La fraise dont l'empois force à lever la tête;,زَهَرلي چمنچئن زَهَرلي باشيني قالديراجاق.
  Chaque ennemi de plus est un nouveau godron,هر قوش دوشمن، تزه بئر قوچدور
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",او، منه زحمت و عذاب آرتيرار،
"  Car, pareille en tous points à la fraise espagnole,",چونکي هر شيده اسپانجا فراز کئمي،
"  La Haine est un carcan, mais c'est une auréole !",نئفرت بئر قارتال، آمّا او، بئر قارتال!
"LE BRET (après un silence, passant son bras sous le sien):",سِوسَن سونرا، قولونو اؤزونون آلتينا کچئرتدي:
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",تکبّورلو و آجي اول،لاکئن باشي آشاغي اول.
  Dis-moi tout simplement qu'elle ne t'aime pas !,فقط منه دِه کي، او سني سِومه يئر!
CYRANO (vivement):,سیرانو (یاشاییش):
  Tais-toi !,ساکئت اول!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(کئچكدن سونرا، کرستیان گئردي، اوشاقلارلا قاريشدي.
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,اونا سؤز آچمادان، آخيردا تک باشينا اوتوروب
