Scène 2.VIII.,2.VIII səhnə.
"  Et, donneur de séné par désir de rhubarbe,","Və rübbarb istəyi ilə südün,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Həmişə onun bucaqını bir dəbdə saxlamaq?
"  Non, merci ! Se pousser de giron en giron,","- Yox, təşəkkür edirəm."
"  Devenir un petit grand homme dans un rond,","Bir dövrədə kiçik böyük bir adam olmaq,"
"  Et naviguer, avec des madrigaux pour rames,","Dəmir dənizləri ilə gəzmək,"
  Et dans ses voiles des soupirs de vieilles dames ?,Onun paltarlarında yaşlı qadınların ağlamaları var?
"  Non, merci ! Chez le bon éditeur de Sercy","- Yox, sağ olun, Sercy-nin mütəxəssisindən."
"  Faire éditer ses vers en payant ? Non, merci !",- Pulla yazılan yazıları düzəltmək?
  S'aller faire nommer pape par les conciles,Papa seçilməsi üçün məclislərə gedin
  Que dans des cabarets tiennent des imbéciles ?,"- Bu, bir neçə dəfədir."
"  Non, merci ! Travailler à se construire un nom",Özünü yaxşı tanımaq üçün çalışmaq.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",- Başqalarını yaratmaq əvəzinə bir sonnetdə?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Təcrübə yalnız qovşaqlarda tapılır?
"  Être terrorisé par de vagues gazettes,","Qəzetlərin dalğalı təhriklərindən qorxmaq,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Və həmişə özümü düşünürəm: ""Oh, əgər mən"
  Dans les petits papiers du Mercure François ?. . .,"""Merkur Fransası""nın kiçik kağızlarında?"
"  Non, merci ! Calculer, avoir peur, être blême,","Hesablama, qorxma, ağılsızlıq,"
"  Aimer mieux faire une visite qu'un poème,",Şairdən daha çox ziyarət etmək xoşdur.
"  Rédiger des placets, se faire présenter ?","- Yazı yazmaq, tanıtmaq?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Yox, təşəkkür edirəm, yox, təşəkkür edirəm, yox, təşəkkür edirəm, amma..."
"  Rêver, rire, passer, être seul, être libre,","Xəyal etmək, gülmək, keçmək, tək olmaq, azad olmaq,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Gözün yaxşı görməsi, səsin titrəməsi,"
"  Mettre, quand il vous plaît, son feutre de travers,","İstənilən vaxt hissini səhv salmaq,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !",Bəli və ya yox üçün mübarizə aparmaq və ya bir qurd etmək!
"  Travailler sans souci de gloire ou de fortune,",Məşhurluq və sərvətdən asılı olmayaraq çalışın.
"  A tel voyage, auquel on pense, dans la lune !",Ayda belə bir səyahət etmək olar.
"  N'écrire jamais rien qui de soi ne sortît,","Heç vaxt özündən çıxmayan bir şey yazma,"
"  Et modeste d'ailleurs, se dire: mon petit,","Və öz-özünə belə deyir: ""Mənim balaca,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Çiçəklərlə, meyvələrlə, hətta yarpaqlarla qane olsun."
  Si c'est dans ton jardin à toi que tu les cueilles !,Əgər öz bağçasında onları yığırsansa!
"  Puis, s'il advient d'un peu triompher, par hasard,","Əgər bir az qələbə qazanırsa,"
"  Ne pas être obligé d'en rien rendre à César,",Qaysarın ödənilməsinə məcbur olmayın.
"  Vis-à-vis de soi-même en garder le mérite,","Özünə qarşı, onun layiqliyini qorumaq üçün,"
"  Bref, dédaignant d'être le lierre parasite,","Bir sözlə, parasit lierre olmaqdan imtina edərək,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Biz ocaq və ya çimərlik olmasaq da,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Bəlkə də yüksəkliyə qalxmayıb, amma tək!"
LE BRET:,- Qəbir:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Yalnız ola bilər, amma hamıya qarşı deyil."
  As-tu donc contracté la manie effroyable,Sən də qorxulu bir manaya düşdünmi?
"  De te faire toujours, partout, des ennemis ?",Hər yerdə düşmən etmək?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Dostlaşdığınız üçün sizi görən,"
"  Et rire à ces amis dont vous avez des foules,","Və bir çox dostlarınızla gülmək,"
  D'une bouche empruntée au derrière des poules !,Döşlərin arxasında bir ağızdan!
"  J'aime raréfier sur mes pas les saluts,","Ayağımdan xoşum gəlir ki, salamlar olsun."
  Et m'écrie avec joie: un ennemi de plus !,"Məni sevinclə qışqır: ""Bir düşmən daha!"""
LE BRET:,- Qəbir:
  Quelle aberration !,"Bu, nə qəribədir!"
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Bəli, bu mənim günahımdır."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Mən də nifrət edilməyimi sevirəm.
"  Mon cher, si tu savais comme l'on marche mieux","Canım, əgər sən daha yaxşı gəzməyi bilsəydin"
  Sous la pistolétade excitante des yeux !,Gözlərin həyəcanlı silahlı vəziyyətində!
"  Comme, sur les pourpoints, font d'amusantes taches","Necə ki, mənzərələrdə əyləncəli ləkələr var."
  Le fiel des envieux et la bave des lâches !,Qısqancların şirəsi və qorxucuların şirəsi!
"  --Vous, la molle amitié dont vous vous entourez,","- Sən, ətrafındakı yumşaq dostluq,"
"  Ressemble à ces grands cols d'Italie, ajourés","İtaliyanın böyük qolu kimi, təxirə salınmış"
"  Et flottants, dans lesquels votre cou s'effémine:","Və üzən, boynunuzun içərisindəki,"
"  On y est plus à l'aise. . .et de moins haute mine,","Burada daha rahat və daha az yüksək mənada,"
"  Car le front n'ayant pas de maintien ni de loi,",Çünki üzün heç bir qayda və qanun yoxdur.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Hər istiqamətdə hərəkət etməyə davam edir.
"  La Haine, chaque jour, me tuyaute et m'apprête",Nifrət hər gün məni pisləyir və hazırlayır.
  La fraise dont l'empois force à lever la tête;,Zəhərli çəmənli başını qaldırmağa məcbur edir.
  Chaque ennemi de plus est un nouveau godron,Hər yeni düşmən yeni bir qurddur.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Mənə darlıq, darlıq əlavə edən,"
"  Car, pareille en tous points à la fraise espagnole,","Çünki hər şeydən İspaniya çayı kimi,"
"  La Haine est un carcan, mais c'est une auréole !","Nifrət bir qrupdur, amma bu bir şöhrətdir!"
"LE BRET (après un silence, passant son bras sous le sien):","SÜZLƏN (səssizlik sonra, onun öz altında qol keçərək):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Böyük və kədərli olan təkəbbürlüləri, lakin aşağı olanları"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Sadəcə mənə söylə ki, o səni sevmir!"
CYRANO (vivement):,CYRANO (yaşayır):
  Tais-toi !,Səs ver!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Bir an sonra Christian daxil oldu, gənclərlə qarışdı; onlar"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"ona söz danışmırdılar, axırda tək oturub bir"
