Scène 2.VIII.,Scenie 2.VIII.
  Sous la pistolétade excitante des yeux !,Ouch in de opwindende pistool-tocht van de ogen!
"  Comme, sur les pourpoints, font d'amusantes taches",Want op de punten maak ze grappige vlekken
  Le fiel des envieux et la bave des lâches !,De giet van de jaloers en de baaf van de laf!
"  --Vous, la molle amitié dont vous vous entourez,","-U, de zachte vriendje die u umringt,"
"  Ressemble à ces grands cols d'Italie, ajourés","Liek op die grote Italiaanse nekjes, verlengd"
"  Et flottants, dans lesquels votre cou s'effémine:",En d'r sjtaon d'r sjrif in de nek.
"  On y est plus à l'aise. . .et de moins haute mine,",Weej höbbe 't mie gemak.
"  Car le front n'ayant pas de maintien ni de loi,","Want de broek hat geen vastelaovend en geen wet,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ze sjteit in alle richtingen.
"  La Haine, chaque jour, me tuyaute et m'apprête","De haat, daagliks, sjpuut mich en sjpuut mich"
  La fraise dont l'empois force à lever la tête;,"De fraai die 't gif d'r kop op z'n kop zörgt,"
  Chaque ennemi de plus est un nouveau godron,Elk veer vijand is 'n nuuj knuffel
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Die mich nog meer belaeëd en mich nog meer verdrieëg.
"  Car, pareille en tous points à la fraise espagnole,","Want, in alle opzichten, is de Spaanse fraise,"
"  La Haine est un carcan, mais c'est une auréole !","De Haat is 'n sjneuk, mer 't is 'n auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","De BREET (na 'n stilte, doorgesjlaag zien arm onder zien):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Doe de hoogmoedige hoog en bitter, maar de nederige"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Zeg me gewoon dat ze dich neet van hou!
CYRANO (vivement):,CYRANO (leven):
  Tais-toi !,Hou dich neet aan!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Nieëd Christian inging, meegeklomme mèt de jongere; die"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"ze zitte neet aon 'm, en einmaol zitte ze allein aon 'n"
