Scène 2.VIII.,Σκηνή 2.VIII.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Να έχει πάντα το καυσίπολό του σε κάποιο μπουφάν;
"  Non, merci ! Se pousser de giron en giron,","Όχι, ευχαριστώ."
"  Devenir un petit grand homme dans un rond,","Να γίνεις ένας μικρός μεγάλος άνθρωπος σε ένα κύκλο,"
"  Et naviguer, avec des madrigaux pour rames,","Και να ταξιδεύουν με τα πλοία για ναρκωτικά,"
  Et dans ses voiles des soupirs de vieilles dames ?,Και μέσα στα βέλτα του οι αναστεναγμοί των παλιοί κυριών;
"  Non, merci ! Chez le bon éditeur de Sercy","Όχι, σε ευχαριστώ, στον σωστό εκδότη του Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Να κάνω την εκπόνηση των σμήνων του με πληρωμή;
  S'aller faire nommer pape par les conciles,Να βρεθεί για να διοριστεί Πάπας από τα Συμβούλια
  Que dans des cabarets tiennent des imbéciles ?,Ότι σε καμπέρτες κρατούν ηλίθιοι;
"  Non, merci ! Travailler à se construire un nom","Όχι, ευχαριστώ, δουλεύω για να κάνω όνομα."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Σε ένα σόνατ, αντί να κάνεις άλλα;"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- Να ανακαλύψεις ταλέντο μόνο στα παλάκια;
"  Être terrorisé par de vagues gazettes,","Να τρομοκρατηθείς από τις κυματικές εφημερίδες,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Και συνεχώς να σκέφτεσαι: ""Ω, αν ήμουν"
  Dans les petits papiers du Mercure François ?. . .,Στα μικρά έγγραφα του Φρανσουά του Μεξικού. . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Όχι, ευχαριστώ, υπολογίζω, φοβάμαι, είμαι λυπημένος."
"  Aimer mieux faire une visite qu'un poème,","Να αγαπάς καλύτερα μια επίσκεψη από ένα ποίημα,"
"  Rédiger des placets, se faire présenter ?","Να γράφω σημειώσεις, να κάνω μια παρουσίαση;"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Όχι, ευχαριστώ, όχι, ευχαριστώ, όχι, ευχαριστώ, αλλά... τραγουδήστε,"
"  Rêver, rire, passer, être seul, être libre,","Να ονειρεύεσαι, να γελάς, να περνάς, να είσαι μόνος, να είσαι ελεύθερος,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Να έχεις ένα μάτι που βλέπει καλά, μια φωνή που δονάει,"
"  Mettre, quand il vous plaît, son feutre de travers,","Να βάλεις, όποτε θέλεις, το αίσθημα του στραβά,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Για ένα ναι, για ένα όχι, να πολεμήσεις, ή να κάνεις ένα σκουλήκι!"
"  Travailler sans souci de gloire ou de fortune,","Να δουλεύεις χωρίς να νοιάζεσαι για δόξα ή πλούτο,"
"  A tel voyage, auquel on pense, dans la lune !","Σε ένα ταξίδι που δεν ξεχνάμε, στο φεγγάρι!"
"  N'écrire jamais rien qui de soi ne sortît,",Ποτέ μην γράψεις κάτι που δεν έρχεται από το μυαλό σου.
"  Et modeste d'ailleurs, se dire: mon petit,","Και μετριοπαθής, λέει: ""Μαμά μου,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Να ικανοποιεί με λουλούδια, φρούτα, ακόμη και φύλλα,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Αν τα μαζεύεις στο κήπο σου!
"  Puis, s'il advient d'un peu triompher, par hasard,","Και αν επιτύχει να επιτύχει λίγο, κατά τύχη,"
"  Ne pas être obligé d'en rien rendre à César,","να μη χρειαστούν να δώσουν τίποτα στον Καίσαρα,"
"  Vis-à-vis de soi-même en garder le mérite,","Για να κρατήσεις το αξίωμα του,"
"  Bref, dédaignant d'être le lierre parasite,","Με λίγα λόγια, αγνοώντας ότι είμαι η παράσιτη λυρίνα,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ακόμα κι αν δεν είμαστε χοιρινό ή χοιρινό,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ίσως να μην ανεβείτε ψηλά, αλλά μόνοι σας!"
LE BRET:,Ο Βρετανός:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Μόνος σου, αλλά όχι εναντίον όλων."
  As-tu donc contracté la manie effroyable,Έχετε διαπράξει την τρομερή μανία;
"  De te faire toujours, partout, des ennemis ?",Να κάνεις πάντα εχθρούς παντού;
CYRANO:,ΚΥΡΑΝΟ:
"  A force de vous voir vous faire des amis,","Με το να σας βλέπω να κάνετε φίλους,"
"  Et rire à ces amis dont vous avez des foules,","Και γελάσεις με αυτούς τους φίλους που έχεις πλήθος,"
  D'une bouche empruntée au derrière des poules !,Με ένα στόμα που έχει δανειστεί από πίσω από τις κοτόπουλες!
"  J'aime raréfier sur mes pas les saluts,","Μου αρέσει να χαιρετίζω τα πόδια μου,"
  Et m'écrie avec joie: un ennemi de plus !,Και φωνάζεις με χαρά: Ένας άλλος εχθρός!
LE BRET:,Ο Βρετανός:
  Quelle aberration !,Τι απάτη!
CYRANO:,ΚΥΡΑΝΟ:
"  Eh bien, oui, c'est mon vice.","Ναι, είναι το ελαττωματικό μου."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Μου αρέσει να φεύγω, και μου αρέσει να με μισούν."
"  Mon cher, si tu savais comme l'on marche mieux","Αγάπη μου, αν ήξερες πώς περπατάμε καλύτερα"
  Sous la pistolétade excitante des yeux !,Με τα μάτια του που είναι τόσο συναρπαστικά!
"  Comme, sur les pourpoints, font d'amusantes taches","Όπως, στα σημεία, κάνουν αστεία στίγματα"
  Le fiel des envieux et la bave des lâches !,Η ζήλια των ζηλιάρων και η βλάβη των δειλών!
"  --Vous, la molle amitié dont vous vous entourez,","-Εσύ, η απαλή φιλία που περιβάλλεις,"
"  Ressemble à ces grands cols d'Italie, ajourés","Μοιάζει με αυτά τα μεγάλα κολάκια της Ιταλίας, που αναβάλλονται"
"  Et flottants, dans lesquels votre cou s'effémine:","Και τα κολυμπίδια, στα οποία το λαιμό σας θα φλυαρεί:"
"  On y est plus à l'aise. . .et de moins haute mine,","Είναι πιο άνετο. ...και λιγότερο ψηλό,"
"  Car le front n'ayant pas de maintien ni de loi,","Γιατί το μέτωπο δεν έχει νόμο και δεν έχει νόμο,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Αρνούνται να κοιτάζουν προς τα πάντα.
"  La Haine, chaque jour, me tuyaute et m'apprête",Το μίσος με πιάνει κάθε μέρα.
  La fraise dont l'empois force à lever la tête;,Η φράτα με το δηλητήριο της που αναγκάζει το κεφάλι της να σηκωθεί.
  Chaque ennemi de plus est un nouveau godron,Κάθε άλλος εχθρός είναι ένα νέο χεράκι.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Αυτός που με επιτρέπει να νιώθω αναστάτωση και να νιώθω αναστάτωση.
"  Car, pareille en tous points à la fraise espagnole,","Γιατί, όπως και τα ισπανικά φράζια,"
"  La Haine est un carcan, mais c'est une auréole !","Το μίσος είναι ένα σπάσιμο, αλλά είναι μια αυρα!"
"LE BRET (après un silence, passant son bras sous le sien):","Ο ΒΡΕΤ (μετά από μια σιωπή, περνώντας το χέρι του κάτω από το δικό του):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Κάνε τον υπερήφανο ψηλά και πικρό, αλλά χαμηλά"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Απλά πες μου ότι δεν σε αγαπάει!
CYRANO (vivement):,CYRANO (ζωντανός):
  Tais-toi !,- Σκάσε!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Μετά από λίγο, ο Κρίστιαν μπήκε μέσα, ανακατεύτηκε με τους νεότερους."
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Δεν του μιλάνε, τελικά καθόταν μόνος σε μια"
