  Et comme un lierre obscur qui circonvient un tronc,Жаңбырдың айналасына қараңғы жаңбырдай
"  Et s'en fait un tuteur en lui léchant l'écorce,","Сонда ол оның қайырын жалмап, оған қамқоршы болады."
  Grimper par ruse au lieu de s'élever par force ?,"Көсімен көтерілудің орнына, айла-аяқпен көтерілу?"
"  Non, merci. Dédier, comme tous il le font,","Жоқ, рахмет. Барлық адамдар сияқты,"
  Des vers aux financiers ? se changer en bouffon,Қамырдан қаржыгерге айналды
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Мен бір министрдің аузынан көріп,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Өкінішке орай, күлкілі емес пе?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","- Жоқ, рахмет, күн сайын бауыржанмен түскі тамақ жейсің бе?"
  Avoir un ventre usé par la marche ? une peau,Асқазанның жүріп-тұруымен ескірегені?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Кім тезрек, тізелерімен бірге, шатасады?"
  Exécuter des tours de souplesse dorsale ?. . .,Арқаға икемділік түрлерін орындау? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Жоқ, рахмет, бір қолымен ешкіге ұялылықпен мақтанамын"
"  Cependant que, de l'autre, on arrose le chou,","Бірақ, басқа жақтан көкөніс суға құйылады."
"  Et, donneur de séné par désir de rhubarbe,","Ал құмарлықпен сусаған,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Оның шайырлы шайы әрдайым қандай да бір шұңқырда болуы керек пе?
"  Non, merci ! Se pousser de giron en giron,","Жоқ, рахмет, бір-бірінен ұшып,"
"  Devenir un petit grand homme dans un rond,","Бір топта үлкен кішкентай адамға айналу,"
"  Et naviguer, avec des madrigaux pour rames,","Кемелердің қайырмаларымен кемеге жүретіндер,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ал оның кебінінде қарт әйелдердің жырлаулары бар ма?
"  Non, merci ! Chez le bon éditeur de Sercy","Жоқ, рахмет, Серсидің редакторымен."
"  Faire éditer ses vers en payant ? Non, merci !",- Ақылы түрде оның құмырсқаларын редакциялауға?
  S'aller faire nommer pape par les conciles,Пап болып тағайындалуға бару
  Que dans des cabarets tiennent des imbéciles ?,- Ақымақтардың қораларында ақымақ ұстап жүр деп ойлайсың ба?
"  Non, merci ! Travailler à se construire un nom","Жоқ, рахмет, өз есіміңді қалыптастыруға тырыс."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Басқаларын жасаудың орнына, бір соңы?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Талантты тек кестенің ішінде ғана табасың ба?
"  Être terrorisé par de vagues gazettes,","Газеталардың толқынынан қорқып,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Өзіне: ""О, егер мен"
  Dans les petits papiers du Mercure François ?. . .,Меркурий Францисктің кішкентай қағаздарында?..
"  Non, merci ! Calculer, avoir peur, être blême,","- Жоқ, рахмет, есептеп, қорқып, ақылсыз болып,"
"  Aimer mieux faire une visite qu'un poème,",Өлеңнен гөрі сапарды жақсы көру.
"  Rédiger des placets, se faire présenter ?","Жазушы, таныстырушы?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Жоқ, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет"
"  Rêver, rire, passer, être seul, être libre,","Мақтанып, күліп, өтуге, жалғыз, еркін,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Көздің жақсы көргені, дауысының шайқалғаны,"
"  Mettre, quand il vous plaît, son feutre de travers,","Қалай болса да, оның сезіміне ауытқып,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""Иә"" үшін, ""Жоқ"" үшін, күресу үшін, немесе құрт жасау үшін!"
"  Travailler sans souci de gloire ou de fortune,",Даңқ пен байлыққа ұмтылмау үшін жұмыс істеуге тырысыңыз.
"  A tel voyage, auquel on pense, dans la lune !",Айға барған сапарға!
"  N'écrire jamais rien qui de soi ne sortît,","Өзінен шыққан ештеңе жазба,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ал кішіпейілділікпен: ""Менің балам,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Гүлдермен, жемістермен, тіпті жапырақтарымен де қанағаттансын."
  Si c'est dans ton jardin à toi que tu les cueilles !,Егер сіз оларды өз бақшаңызда жинасаңыз!
"  Puis, s'il advient d'un peu triompher, par hasard,","Кейін, егер ол аздап жеңіске жетіп,"
"  Ne pas être obligé d'en rien rendre à César,",Қайсарға ештеңе қайтармауға міндетті емеспін.
"  Vis-à-vis de soi-même en garder le mérite,","Өз-өзіне қатысты, оның қадірін сақтап,"
"  Bref, dédaignant d'être le lierre parasite,","Қысқасы, паразит лире болатынымызды елемегенмен,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Тіпті біз егінді ағаштар немесе қарағайлар болмаса да,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Мүмкін, биікке шықпаған шығар, бірақ жалғыз!"
LE BRET:,Жігіт:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Жалғыз болса да, бәріне қарсы емес."
  As-tu donc contracté la manie effroyable,Сендер қорқынышты манияға ұшырадыңдар ма?
"  De te faire toujours, partout, des ennemis ?",Әр жерде жаулар жасау?
CYRANO:,СИРАН:
"  A force de vous voir vous faire des amis,","Достар тапқандарыңа қарап,"
"  Et rire à ces amis dont vous avez des foules,",Сендер көпшілікке келген достарыңа күлкі келтір.
  D'une bouche empruntée au derrière des poules !,Құс аузынан!
"  J'aime raréfier sur mes pas les saluts,",Мен сәлемдесуді аяғымнан жиі ұнатамын.
  Et m'écrie avec joie: un ennemi de plus !,"Менен қуанып: ""Бір жау енді!"" - деп айқайла!"
LE BRET:,Жігіт:
  Quelle aberration !,Бұл қандай алаяқтық!
CYRANO:,СИРАН:
"  Eh bien, oui, c'est mon vice.","- Иә, бұл менің арамдықтарым."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Мен ұнаймын, мен жек көруді ұнатамын."
"  Mon cher, si tu savais comme l'on marche mieux","Жақсы, егер сен қалай жүріп жатқанын білсең"
  Sous la pistolétade excitante des yeux !,Көзіне қызық көздің астында!
"  Comme, sur les pourpoints, font d'amusantes taches",Жақсылықтарды қалай көрсету керек
  Le fiel des envieux et la bave des lâches !,"Қасарыстының қызғанышы, қорқыныштының қасірі!"
"  --Vous, la molle amitié dont vous vous entourez,","- Сен, өзіңнің араласқан жұмсақ досың,"
"  Ressemble à ces grands cols d'Italie, ajourés","Италиядағы ұлы бүйректер сияқты, кейінге қалдырылды"
"  Et flottants, dans lesquels votre cou s'effémine:","Жағаныңды ұшып,"
"  On y est plus à l'aise. . .et de moins haute mine,","Біз осында ыңғайлырақ. ... және төменгі биіктікте,"
"  Car le front n'ayant pas de maintien ni de loi,","Себебі, маңдайдың қасиеті мен заңдары жоқ."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ол әртүрлі бағыттағы қарапайымдылықпен айналысады.
"  La Haine, chaque jour, me tuyaute et m'apprête","Мен жек көрумен күн сайын мазалап, жақындап келемін"
  La fraise dont l'empois force à lever la tête;,"Башын көтеретін жаңбырдың ағыны,"
  Chaque ennemi de plus est un nouveau godron,Әрқайсың жаудың жаңасы - жаңа қалыңдық
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ол мені қайғыға батырып, азапқа батырып,"
"  Car, pareille en tous points à la fraise espagnole,","Өйткені, барлық жағынан да Испанияның бақшасына ұқсас,"
"  La Haine est un carcan, mais c'est une auréole !","Нефрәт - құрт, бірақ ол - аруэол!"
"LE BRET (après un silence, passant son bras sous le sien):","КЕҢЕШ (ауызсыздықтан кейін, оның қолын өзінің астында өткеріп):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Мақтаншақ пен өшпелі бол, Ал төмен бол!"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Тек маған ол сені сүймейді деп айт!
CYRANO (vivement):,CYRANO (тұрмыстық):
  Tais-toi !,Тым шық!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Бір сәттен кейін Кристиан кірді, кішкентай балалармен араласты; олар"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"оған сөз сөйлемеу, ол бір-ақ"
Scène 2.VIII.,2.VIII көрініс.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Сирано, Ле Брет, оң және сол жақта отырған кіші балалар"
et auxquels on sert à boire et à manger.,"Олар тамақ ішіп, құлшылық етеді."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,СИРАН (өзін сәлемдеуге батылысы келмегендерді шапалақпен сәлемдейтін):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Және, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар,"
"LE BRET (désolé, redescendant, les bras au ciel):","КӨНІР (жаным, төмендеп, аспанға қолдары):"
  Ah ! dans quels jolis draps.,"Ә, қандай әдемі киімдер."
CYRANO:,СИРАН:
  Oh ! toi ! tu vas grogner !,"О, сен, сен қаңырағың келеді!"
LE BRET:,Жігіт:
"  Enfin, tu conviendras","Ақырында, сен дұрыс боласың"
"  Qu'assassiner toujours la chance passagère,","Өткен кездері бақытты адам өлтіріп,"
  Devient exagéré.,Өте жоғары.
CYRANO:,СИРАН:
"  Hé bien oui, j'exagère !","- Иә, мен тым көп айтамын!"
LE BRET (triomphant):,БЕРТ (жүлдегер):
  Ah !,"А, ә!"
CYRANO:,СИРАН:
"  Mais pour le principe, et pour l'exemple aussi,","Бірақ принцип үшін, мысал үшін де,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Менің ойымша, мұндай шамадан тыс ойлану жақсы."
LE BRET:,Жігіт:
"  Si tu laissais un peu ton âme mousquetaire,","Егер сен бір аз ғана өз жан-дүнегіңді қалдырсаң,"
  La fortune et la gloire. . .,Байлық пен атақ. . .
CYRANO:,СИРАН:
  Et que faudrait-il faire ?,Ал не істеу керек?
"  Chercher un protecteur puissant, prendre un patron,","Көне қорғаушы іздеу, басшыны алу,"
  Et comme un lierre obscur qui circonvient un tronc,Жаңбырдың айналасына қараңғы жаңбырдай
"  Et s'en fait un tuteur en lui léchant l'écorce,","Сонда ол оның қайырын жалмап, оған қамқоршы болады."
  Grimper par ruse au lieu de s'élever par force ?,"Көсімен көтерілудің орнына, айла-аяқпен көтерілу?"
"  Non, merci. Dédier, comme tous il le font,","Жоқ, рахмет. Барлық адамдар сияқты,"
  Des vers aux financiers ? se changer en bouffon,Қамырдан қаржыгерге айналды
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Мен бір министрдің аузынан көріп,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Өкінішке орай, күлкілі емес пе?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","- Жоқ, рахмет, күн сайын бауыржанмен түскі тамақ жейсің бе?"
  Avoir un ventre usé par la marche ? une peau,Асқазанның жүріп-тұруымен ескірегені?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Кім тезрек, тізелерімен бірге, шатасады?"
  Exécuter des tours de souplesse dorsale ?. . .,Арқаға икемділік түрлерін орындау? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Жоқ, рахмет, бір қолымен ешкіге ұялылықпен мақтанамын"
"  Cependant que, de l'autre, on arrose le chou,","Бірақ, басқа жақтан көкөніс суға құйылады."
"  Et, donneur de séné par désir de rhubarbe,","Ал құмарлықпен сусаған,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Оның шайырлы шайы әрдайым қандай да бір шұңқырда болуы керек пе?
"  Non, merci ! Se pousser de giron en giron,","Жоқ, рахмет, бір-бірінен ұшып,"
"  Devenir un petit grand homme dans un rond,","Бір топта үлкен кішкентай адамға айналу,"
"  Et naviguer, avec des madrigaux pour rames,","Кемелердің қайырмаларымен кемеге жүретіндер,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ал оның кебінінде қарт әйелдердің жырлаулары бар ма?
"  Non, merci ! Chez le bon éditeur de Sercy","Жоқ, рахмет, Серсидің редакторымен."
"  Faire éditer ses vers en payant ? Non, merci !",- Ақылы түрде оның құмырсқаларын редакциялауға?
  S'aller faire nommer pape par les conciles,Пап болып тағайындалуға бару
  Que dans des cabarets tiennent des imbéciles ?,- Ақымақтардың қораларында ақымақ ұстап жүр деп ойлайсың ба?
"  Non, merci ! Travailler à se construire un nom","Жоқ, рахмет, өз есіміңді қалыптастыруға тырыс."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Басқаларын жасаудың орнына, бір соңы?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Талантты тек кестенің ішінде ғана табасың ба?
"  Être terrorisé par de vagues gazettes,","Газеталардың толқынынан қорқып,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Өзіне: ""О, егер мен"
  Dans les petits papiers du Mercure François ?. . .,Меркурий Францисктің кішкентай қағаздарында?..
"  Non, merci ! Calculer, avoir peur, être blême,","- Жоқ, рахмет, есептеп, қорқып, ақылсыз болып,"
"  Aimer mieux faire une visite qu'un poème,",Өлеңнен гөрі сапарды жақсы көру.
"  Rédiger des placets, se faire présenter ?","Жазушы, таныстырушы?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Жоқ, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет, рахмет"
"  Rêver, rire, passer, être seul, être libre,","Мақтанып, күліп, өтуге, жалғыз, еркін,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Көздің жақсы көргені, дауысының шайқалғаны,"
"  Mettre, quand il vous plaît, son feutre de travers,","Қалай болса да, оның сезіміне ауытқып,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""Иә"" үшін, ""Жоқ"" үшін, күресу үшін, немесе құрт жасау үшін!"
"  Travailler sans souci de gloire ou de fortune,",Даңқ пен байлыққа ұмтылмау үшін жұмыс істеуге тырысыңыз.
"  A tel voyage, auquel on pense, dans la lune !",Айға барған сапарға!
"  N'écrire jamais rien qui de soi ne sortît,","Өзінен шыққан ештеңе жазба,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ал кішіпейілділікпен: ""Менің балам,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Гүлдермен, жемістермен, тіпті жапырақтарымен де қанағаттансын."
  Si c'est dans ton jardin à toi que tu les cueilles !,Егер сіз оларды өз бақшаңызда жинасаңыз!
"  Puis, s'il advient d'un peu triompher, par hasard,","Кейін, егер ол аздап жеңіске жетіп,"
"  Ne pas être obligé d'en rien rendre à César,",Қайсарға ештеңе қайтармауға міндетті емеспін.
"  Vis-à-vis de soi-même en garder le mérite,","Өз-өзіне қатысты, оның қадірін сақтап,"
"  Bref, dédaignant d'être le lierre parasite,","Қысқасы, паразит лире болатынымызды елемегенмен,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Тіпті біз егінді ағаштар немесе қарағайлар болмаса да,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Мүмкін, биікке шықпаған шығар, бірақ жалғыз!"
LE BRET:,Жігіт:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Жалғыз болса да, бәріне қарсы емес."
  As-tu donc contracté la manie effroyable,Сендер қорқынышты манияға ұшырадыңдар ма?
"  De te faire toujours, partout, des ennemis ?",Әр жерде жаулар жасау?
CYRANO:,СИРАН:
"  A force de vous voir vous faire des amis,","Достар тапқандарыңа қарап,"
"  Et rire à ces amis dont vous avez des foules,",Сендер көпшілікке келген достарыңа күлкі келтір.
  D'une bouche empruntée au derrière des poules !,Құс аузынан!
"  J'aime raréfier sur mes pas les saluts,",Мен сәлемдесуді аяғымнан жиі ұнатамын.
  Et m'écrie avec joie: un ennemi de plus !,"Менен қуанып: ""Бір жау енді!"" - деп айқайла!"
LE BRET:,Жігіт:
  Quelle aberration !,Бұл қандай алаяқтық!
CYRANO:,СИРАН:
"  Eh bien, oui, c'est mon vice.","- Иә, бұл менің арамдықтарым."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Мен ұнаймын, мен жек көруді ұнатамын."
"  Mon cher, si tu savais comme l'on marche mieux","Жақсы, егер сен қалай жүріп жатқанын білсең"
  Sous la pistolétade excitante des yeux !,Көзіне қызық көздің астында!
"  Comme, sur les pourpoints, font d'amusantes taches",Жақсылықтарды қалай көрсету керек
  Le fiel des envieux et la bave des lâches !,"Қасарыстының қызғанышы, қорқыныштының қасірі!"
"  --Vous, la molle amitié dont vous vous entourez,","- Сен, өзіңнің араласқан жұмсақ досың,"
"  Ressemble à ces grands cols d'Italie, ajourés","Италиядағы ұлы бүйректер сияқты, кейінге қалдырылды"
"  Et flottants, dans lesquels votre cou s'effémine:","Жағаныңды ұшып,"
"  On y est plus à l'aise. . .et de moins haute mine,","Біз осында ыңғайлырақ. ... және төменгі биіктікте,"
"  Car le front n'ayant pas de maintien ni de loi,","Себебі, маңдайдың қасиеті мен заңдары жоқ."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ол әртүрлі бағыттағы қарапайымдылықпен айналысады.
"  La Haine, chaque jour, me tuyaute et m'apprête","Мен жек көрумен күн сайын мазалап, жақындап келемін"
  La fraise dont l'empois force à lever la tête;,"Башын көтеретін жаңбырдың ағыны,"
  Chaque ennemi de plus est un nouveau godron,Әрқайсың жаудың жаңасы - жаңа қалыңдық
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ол мені қайғыға батырып, азапқа батырып,"
"  Car, pareille en tous points à la fraise espagnole,","Өйткені, барлық жағынан да Испанияның бақшасына ұқсас,"
"  La Haine est un carcan, mais c'est une auréole !","Нефрәт - құрт, бірақ ол - аруэол!"
"LE BRET (après un silence, passant son bras sous le sien):","КЕҢЕШ (ауызсыздықтан кейін, оның қолын өзінің астында өткеріп):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Мақтаншақ пен өшпелі бол, Ал төмен бол!"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Тек маған ол сені сүймейді деп айт!
CYRANO (vivement):,CYRANO (тұрмыстық):
  Tais-toi !,Тым шық!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Бір сәттен кейін Кристиан кірді, кішкентай балалармен араласты; олар"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"оған сөз сөйлемеу, ол бір-ақ"
