Scène 2.VIII.,दृश्य २.८.
  S'aller faire nommer pape par les conciles,पब के नाम पर चुनाव खातिर
  Que dans des cabarets tiennent des imbéciles ?,कि कबीरन में बेवकूफ लोग रहेला?
"  Non, merci ! Travailler à se construire un nom","ना, धन्यवाद, आपन नाम बनावे पर काम करे के"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",एगो सोनम के बजाए दोसरका?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"धन्यवाद, लेकिन ई त खाली दारू के चीज से ही मिल सकेला?"
"  Être terrorisé par de vagues gazettes,","अखबारन से डरल होखे के,"
"  Et se dire sans cesse: Oh, pourvu que je sois","अउर आपन मन मँ सोचत रहेउँ, 'मइँ भी सोचत रहेउँ नासरी ईसू क नाउँ क खिलाफत करइ क लिए जउन भी बन पड़इ उ बहोत कछू करुँ।"
  Dans les petits papiers du Mercure François ?. . .,बुध फ्रांसिस के छोट-छोट कागजात में? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ना, धन्यवाद, गणना कइल, डरल, उदास,"
"  Aimer mieux faire une visite qu'un poème,","एगो कविता से बेसी यात्रा के पसंद कइल,"
"  Rédiger des placets, se faire présenter ?",आपन परिचय देबे के?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","ना, धन्यवाद, ना, धन्यवाद, ना, धन्यवाद, ना, धन्यवाद, ना, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद"
"  Rêver, rire, passer, être seul, être libre,","सपना देखब, हँसब, गुजरब, अकेला रहब, आजाद रहब,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","आपन आँखिन क प्रकास क साथ, आपन आवाज क साथे,"
"  Mettre, quand il vous plaît, son feutre de travers,",आपन मन क तब तलक लगावा जब तलक तू आपन मन क बात क नाहीं समुझब्या।
"  Pour un oui, pour un non, se battre,--ou faire un vers !","हाँ के खातिर, ना के खातिर, लड़ना, - या एगो कीड़ा बनावे!"
"  Travailler sans souci de gloire ou de fortune,","काम करे के कवनो महत्व या धन के चिन्ता ना होखे,"
"  A tel voyage, auquel on pense, dans la lune !","चन्द्रमा पर अइसन सफ़र, जेकर बारे में हमनी के सोचल जा सकेला!"
"  N'écrire jamais rien qui de soi ne sortît,","कभी भी कुछ भी लिखें जो खुद से ना निकले,"
"  Et modeste d'ailleurs, se dire: mon petit,","अउर फिन उ खुदइ क बिसेस महत्व देत ह, ""मइँ जउन कउनो पे उ दया करइ क सोचत हउँ, उ अपने बरे बड़ा फल पावा करत ह।"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","चाहे फूलन, फल, चाहे पत्ती से भी,"
  Si c'est dans ton jardin à toi que tu les cueilles !,अगर तू आपन बगीचा मँ ही उ सबइ क गोहरावत ह!
"  Puis, s'il advient d'un peu triompher, par hasard,",फिर चाहे कुछ भी हो जाये तुम कुछ भी हो जाये
"  Ne pas être obligé d'en rien rendre à César,",तउ फिन कउनो क इ भावना नाहीं बा कि उ सम्राट कैसर क चुंगी चुकावइ ।
"  Vis-à-vis de soi-même en garder le mérite,","खुद के प्रति एकर श्रेय रखे खातिर,"
"  Bref, dédaignant d'être le lierre parasite,","संक्षेप में, हम एगो परजीवी लिरर के रूप में घिन करत बानी,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,",चाहे हम ओक के पेड़ न होखे चाहे हम नीलम के पेड़ न होखे
"  Ne pas monter bien haut, peut-être, mais tout seul !","शायद ऊँच जगह पर ना चढ़ल जाव, लेकिन अकेले!"
LE BRET:,एगो बकरी
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","खुद के खातिर, लेकिन सब के खिलाफ नहीं!"
  As-tu donc contracté la manie effroyable,"""का एहसे तू भयानक बेइज्जती हासिल कइ लिहले बाड़ऽ?"
"  De te faire toujours, partout, des ennemis ?",आपन दुस्मनन क हर जगह बनावइ क?
CYRANO:,साइरोन:
"  A force de vous voir vous faire des amis,","जब हम तोहसे मिलत रहीं,"
"  Et rire à ces amis dont vous avez des foules,","अउर इ तरह उ पचे आपन संगियन क मजाक उड़ावत हीं,"
  D'une bouche empruntée au derrière des poules !,एगो मुँह से उधार लिहल गइल मुर्गा के पछाड़!
"  J'aime raréfier sur mes pas les saluts,","""मइँ आपन गोड़न क बल स सलाम करइ क जतन करत हउँ,"
  Et m'écrie avec joie: un ennemi de plus !,"""मोका खुस होइके पुकार ल्या, 'एक अउर दुस्मन!"
LE BRET:,एगो बकरी
  Quelle aberration !,ई कइसन बेवकूफी बा!
CYRANO:,साइरोन:
"  Eh bien, oui, c'est mon vice.","खैर, हाँ, ई हमरा एगो आदत ह."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,हमरा से नफरत करे के बात हमरा पसंद बा.
"  Mon cher, si tu savais comme l'on marche mieux","""हे माई, अगर तूँ ई जानल चाहत बाड़ऽ कि हम कइसे चलब"
  Sous la pistolétade excitante des yeux !,आँख के उछाह भरे बन्दूक के नीचे !
"  Comme, sur les pourpoints, font d'amusantes taches","जइसे, बिन्दु पर मजेदार बिन्दु बनावे"
  Le fiel des envieux et la bave des lâches !,उ पचे आपन क बहोत बुरे लोगन क तरह देखॉइ देइहीं।
"  --Vous, la molle amitié dont vous vous entourez,","--तोहका, आपन मीत-भाई के साथे,"
"  Ressemble à ces grands cols d'Italie, ajourés","इटाली के बड़हन गला के तरह, देर से"
"  Et flottants, dans lesquels votre cou s'effémine:",उ पचे आपन मुँहना क ढाँपि लेइहीं अउर उ पचे आपन मुँहना क ढाँपि लेइहीं।
"  On y est plus à l'aise. . .et de moins haute mine,","हमनी के इहाँ आराम से रहे के चाहीं. . . अउरी कम ऊँच खूंटा,"
"  Car le front n'ayant pas de maintien ni de loi,",काहेकि एहमाँ कउनो व्यवस्था अउर व्यवस्था नाहीं बा।
"  S'abandonne à pencher dans tous les sens. Mais moi,",ऊ हर तरह के चीज के ध्यान देवेला.
"  La Haine, chaque jour, me tuyaute et m'apprête",नफरत हर दिन हमरा के चोखा करेला आ हमरा के चोखा करेला
  La fraise dont l'empois force à lever la tête;,उ उड़ाइ जाइवाला झुरान चिमनी क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन क धुन
  Chaque ennemi de plus est un nouveau godron,हर अउरी दुश्मन एगो नया गदहन ह
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",उ मोका बिपत्ति अउर कस्ट क अलावा कछू नाहीं दिहस ह ।
"  Car, pareille en tous points à la fraise espagnole,","काहेकि हर तरह से स्पैनिश स्ट्रैप के तरह,"
"  La Haine est un carcan, mais c'est une auréole !","नफरत एगो गड्ढा ह, लेकिन ई एगो सूरजमुखी ह!"
"LE BRET (après un silence, passant son bras sous le sien):",""" (एकदम चुपचाप चुपचाप) आपन हाथ के नीचे ले जा के बोलल:"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","आपन बड़ाई क अउर आपन क कड़वाहट क, मुला आपन क तनिकउ न बढ़ावा"
  Dis-moi tout simplement qu'elle ne t'aime pas !,बस हमरा से कह कि ऊ तोहरा से प्यार ना करेले!
CYRANO (vivement):,CYRANO (जीवित):
  Tais-toi !,चुप रहे !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(एक पल बाद, क्रिश्चियन अंदर आ गइलन, किशोरन के साथे जुड़ल रहलें; ई लोग"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"उ पचे ओकरे संग कउनो बात नाहीं किहेन, उ एक ठु संग अकेला बइठा"
