Scène 2.VIII.,Scena 2.VIII.
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, grazie, grazie, grazie, grazie, grazie, ma... cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cantà, cant"
"  Rêver, rire, passer, être seul, être libre,","Sognu, ridi, passanu, sò soli, sò liberi,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Aviri l'occhi chi vidinu drittu, la voce chi vibranti,"
"  Mettre, quand il vous plaît, son feutre de travers,","Pone, quandu vo vulete, u so sensu di u sbagghiu,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Per un sì, per un no, luttà, - o fà un vermu!"
"  Travailler sans souci de gloire ou de fortune,","travaglià senza preoccupazioni di gloria o ricchezza,"
"  A tel voyage, auquel on pense, dans la lune !","A un viaghju chì ci hè pensatu, à a luna!"
"  N'écrire jamais rien qui de soi ne sortît,","Nun scriviri mai nenti ca nun veni di tia,"
"  Et modeste d'ailleurs, se dire: mon petit,","E puru modestu, dici: ""Micu,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Si si cuntentu di fiori, frutti, ancu foglie,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Se li raccoglie in u vostru giardinu!
"  Puis, s'il advient d'un peu triompher, par hasard,","E si si succedi un pocu, casualmente,"
"  Ne pas être obligé d'en rien rendre à César,","ca nun ti devi fari nenti a Cesaru,"
"  Vis-à-vis de soi-même en garder le mérite,","A vista di sè stessu, tene u merito,"
"  Bref, dédaignant d'être le lierre parasite,","Insomma, disprezzendu di esse u lierre parasite,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ancu s'è ùn simu micca u robbu o u tilu,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Non si pò salire assai, ma da soli!"
LE BRET:,U BROTT:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Sulu, ma non tutti!"
  As-tu donc contracté la manie effroyable,"Allora, tu hai pigliatu a mania terribile"
"  De te faire toujours, partout, des ennemis ?","Di fà sempre, in ogni locu, nemichi?"
CYRANO:,CIRANO:
"  A force de vous voir vous faire des amis,","A vista chì vi facete amichi,"
"  Et rire à ces amis dont vous avez des foules,","E ridiri di sti amici ca haiu a folla,"
  D'une bouche empruntée au derrière des poules !,Cu na bocca prunta a l'assi di li polli!
"  J'aime raréfier sur mes pas les saluts,","Mi piace à scurdà à i mo passi i saluti,"
  Et m'écrie avec joie: un ennemi de plus !,E mi gridate di gioia: un altru nemicu!
LE BRET:,U BROTT:
  Quelle aberration !,Che aberrazione !
CYRANO:,CIRANO:
"  Eh bien, oui, c'est mon vice.","Ebbè, sì, hè u mo viziu."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Mi piace à sparte, mi piace à esse odiatu."
"  Mon cher, si tu savais comme l'on marche mieux","Cari, si sapissi comu si cammina megghiu"
  Sous la pistolétade excitante des yeux !,Sutta l'attrazziunanti occhi di pistola!
"  Comme, sur les pourpoints, font d'amusantes taches","Comu, supra li punti, fari macchi divertenti"
  Le fiel des envieux et la bave des lâches !,U fieru di l'invidiabili è u mal di i coddi !
"  --Vous, la molle amitié dont vous vous entourez,","-Tu, l'amicizia dolce chì ti circundate,"
"  Ressemble à ces grands cols d'Italie, ajourés","Assomiglia à sti colli di l'Italia, rinviatu"
"  Et flottants, dans lesquels votre cou s'effémine:","E galleggianti, in cui u vostru collu si spaventa:"
"  On y est plus à l'aise. . .et de moins haute mine,","Ci hè più cunfortu. . . . è di minatura più bassa,"
"  Car le front n'ayant pas de maintien ni de loi,","Perchè u fronte ùn hà micca una regula o una legge,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Si nni va a fari a tutti li cosi.
"  La Haine, chaque jour, me tuyaute et m'apprête","U odiu, ogni ghjornu, mi fa u piccatu è mi prepara"
  La fraise dont l'empois force à lever la tête;,A frasi chì u velenu li forza à alzà a testa;
  Chaque ennemi de plus est un nouveau godron,Ogni nemicu di più hè un novu matellu
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Chì mi aghjunta u mo disgrazia è mi aghjunta u mio raghju:
"  Car, pareille en tous points à la fraise espagnole,","Pirchì, comu a la frasi spagnola,"
"  La Haine est un carcan, mais c'est une auréole !","U Odiu hè un carcan, ma hè un auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","U BRET (dopu un silenziu, passendu u so brazzu sottu a so):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Fate l'arrogante in alto è amaru, ma bassu"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Dimmi sulu ca nun ti piaci!
CYRANO (vivement):,CYRANO (vivu):
  Tais-toi !,- Stia zittu !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Da un mumentu, Christian hè entrata, si hè inghjucatu cù i minori; questi"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,nun li parrari; finìu a stari sulu a na
