Scène 2.VIII.,Scenari 2.VIII.
"  Non, merci. Dédier, comme tous il le font,","Nei, takk. At geva, sum øll gera,"
  Des vers aux financiers ? se changer en bouffon,Frá vermi til fíggjarfólk?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Í vanlíti vón um at síggja, á munni av einum ráðgevi,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","At fáa eitt bros, sum ikki er grymt?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Nei, takk."
  Avoir un ventre usé par la marche ? une peau,At hava eitt búð slitnað av gongdini?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Hvør verður skjótari, enn knæini, at verða skíggj?"
  Exécuter des tours de souplesse dorsale ?. . .,At gera rásprøv? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nei, takk, men við einum hondum smakka tú goti í hálsin."
"  Cependant que, de l'autre, on arrose le chou,","Men tá ið vit røkka kaolin av hinum,"
"  Et, donneur de séné par désir de rhubarbe,","og sum hevur latið seg fáa av lívi,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",At hava brændabrændið í einum barbi?
"  Non, merci ! Se pousser de giron en giron,","Nei, takk! At røkka sær frá einum til øðrum,"
"  Devenir un petit grand homme dans un rond,","At gerast ein stórur maður í einum rúti,"
"  Et naviguer, avec des madrigaux pour rames,","og at sigla við rammum,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Og í veðunum hjá honum, sum vakrar gentur stinga?"
"  Non, merci ! Chez le bon éditeur de Sercy","Nei, takk! Til tann rætta forritaran hjá Sercy"
"  Faire éditer ses vers en payant ? Non, merci !",At fáa sínar verur at verða redigeraðar fyri gjald?
  S'aller faire nommer pape par les conciles,At fara at verða pape fyri samkomur
  Que dans des cabarets tiennent des imbéciles ?,At í kassanum hava fáar fáar?
"  Non, merci ! Travailler à se construire un nom","Nei, takk! Arbeitt við at gera sær eitt navn"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Á einum sonni, heldur enn at gera onnur?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Tær, sum hava talent, kunnu bara finna seg í hýsingunum?"
"  Être terrorisé par de vagues gazettes,","At vera bangin fyri at hoyra um seg í bløðunum,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Og tað er altíð at siga: ""Oh, um eg so eri"
  Dans les petits papiers du Mercure François ?. . .,Í smáum pappírinum hjá Merkur Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Nei, takk! At rokna, at vera bangin, at vera bløndur,"
"  Aimer mieux faire une visite qu'un poème,","At elska eitt vitjan enn eitt yrkingarorð,"
"  Rédiger des placets, se faire présenter ?","At skriva bøkur, at vera við?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nei, takk! Nei, takk! Nei, takk! Nei, takk! Men..."
"  Rêver, rire, passer, être seul, être libre,","at droyma, at grínast, at ganga, at vera einsamallur, at vera frælsur,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","at hava eitt eyguni, sum sær væl, ein rødd, sum ræðist,"
"  Mettre, quand il vous plaît, son feutre de travers,","at seta, tá ið tú vilt, sína kenslu av órættum,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Fyri eitt ja, fyri eitt nei, at stríðast, - ella gera eitt ormar!"
"  Travailler sans souci de gloire ou de fortune,","At arbeiða uttan at hugsa um heiður ella ríkidømi,"
"  A tel voyage, auquel on pense, dans la lune !","Til eina ferð, sum vit hugsa um, til mána!"
"  N'écrire jamais rien qui de soi ne sortît,","Tað er ikki altíð at skriva nakað, sum ikki kemur av sær sjálvum,"
"  Et modeste d'ailleurs, se dire: mon petit,","Og tað er eisini ein eyðmjúkur maður, sum sigur við seg sjálvan:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ella tað er lítil at fáa blóma, ávøkst ella eisini blað,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Um tú tekur tær í tínum egna garði!
"  Puis, s'il advient d'un peu triompher, par hasard,","Men tá ið hann skuldi vunnið eitt sindur av triumf,"
"  Ne pas être obligé d'en rien rendre à César,","og ikki verða noydd at lata keisaran nakað aftur,"
"  Vis-à-vis de soi-même en garder le mérite,","fyri at halda sær sjálvum virðini,"
"  Bref, dédaignant d'être le lierre parasite,","Kortini, við at vera vanvirdur av at vera parasitiskur lyra,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Hóast vit ikki eru eyktræ ella tilleul,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ikki heilt heilt, men sjálvur!"
LE BRET:,"Heldur tú, at tað er so?"
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Tað er ikki alt, sum er óneyðugt."
  As-tu donc contracté la manie effroyable,Hevur tú tá fingið ta ógvusliga illa hugna?
"  De te faire toujours, partout, des ennemis ?",At gera teg altíð fíggindar?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Tí eg havi sæð tykkum gera vinir,"
"  Et rire à ces amis dont vous avez des foules,","Og at grínast av teimum vinum, sum tit hava í fjøldum,"
  D'une bouche empruntée au derrière des poules !,"Við einum munni, sum er lænt aftaná hønsins!"
"  J'aime raréfier sur mes pas les saluts,","Eg elski at heilsa við føturnar,"
  Et m'écrie avec joie: un ennemi de plus !,"Og róp mær við gleði: ""Enn ein fíggindi!"""
LE BRET:,"Heldur tú, at tað er so?"
  Quelle aberration !,Hvat er tað?
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ja, tað er mín vandi."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Eg havi tað gott at fara avstað, og eg elski at vera hataður."
"  Mon cher, si tu savais comme l'on marche mieux","Elska mín, um tú visti, hvussu vit ganga betri"
  Sous la pistolétade excitante des yeux !,Undir spennandi eyka-pistolskuni!
"  Comme, sur les pourpoints, font d'amusantes taches",Hvussu vit gera stuttligar ting um fortalur
  Le fiel des envieux et la bave des lâches !,Sál av øvundum og sál av fegnum!
"  --Vous, la molle amitié dont vous vous entourez,","-Tú, sum ert ein góður vinur, sum ert umkring,"
"  Ressemble à ces grands cols d'Italie, ajourés","Líkar sum hesar stóru ítaljiskar, sum eru útsettar"
"  Et flottants, dans lesquels votre cou s'effémine:","og flótandi, har hálsin tín rennur í,"
"  On y est plus à l'aise. . .et de moins haute mine,",Tað er lættari at vera í.
"  Car le front n'ayant pas de maintien ni de loi,","Tí at tað er ikki nakað, sum er til staðar fyri andlit, og ikki er nakað, sum er lógt,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Hann leggur seg afturat at hyggja í allar áttir.
"  La Haine, chaque jour, me tuyaute et m'apprête",Hatið hvønn dag plagar at fáa meg at líða
  La fraise dont l'empois force à lever la tête;,"Stroyggin, sum eitur hansara hevur noyddist at lyfta høvdið,"
  Chaque ennemi de plus est un nouveau godron,Hvør annar fíggindi er ein nýggjur gudur.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Hann leggur mær órógv í hond og gevur mær ein ljós,"
"  Car, pareille en tous points à la fraise espagnole,","Tí, sum í øllum førum er spanska frøini,"
"  La Haine est un carcan, mais c'est une auréole !","Hati er ein krak, men tað er ein auréola!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (eftir at hava verið stút, og at flyta armuna undir sínum):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Set tú háværan høga og bitran, men lágan"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Sig mær bara, at hon ikki elskar teg!"
CYRANO (vivement):,CYRANO (lívandi):
  Tais-toi !,Halt tú still!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Eftir eitt løt, kom Christian inn, bleiv við í yngru flokkunum; hesir"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ikki tosa við hann; hann sat einans við ein
