Scène 2.VIII.,Muuqaal 2.VIII.
  Et dans ses voiles des soupirs de vieilles dames ?,Oo daahyadaas waxaa ku jira qaylo-dheer oo dumarka ah?
"  Non, merci ! Chez le bon éditeur de Sercy","Mahadsanid, waxaan ku soo booqday daabacaha saxda ah ee Sercy"
"  Faire éditer ses vers en payant ? Non, merci !",Ma waxaad u baahan tahay lacag si aad u soo saarto qoraalkeeda?
  S'aller faire nommer pape par les conciles,In la magacaabo Pope-ka Golaha
  Que dans des cabarets tiennent des imbéciles ?,Maxaan u malaynayaa in gabdho aan caqli lahayn ay ku jiraan qolal?
"  Non, merci ! Travailler à se construire un nom","Mahadsanid, waxaan ka shaqeynayaa inaan magac sameyno"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Ma waxaad ku qortaa hal buun halkii aad ka dhigi lahayd kuwa kale?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ma waxaad ka heli kartaa hal-abuurka hal-abuurka ah oo kaliya?
"  Être terrorisé par de vagues gazettes,","in la arko cabsi ka timid wargeysyada,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Oo had iyo jeer is-idhi, ""Haddii aan ahaado"
  Dans les petits papiers du Mercure François ?. . .,Warqadaha yaryar ee Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Mahadsanid, xisaabinta, cabsida, dareenka,"
"  Aimer mieux faire une visite qu'un poème,","In la jeclaado booqashada ka badan gabay,"
"  Rédiger des placets, se faire présenter ?","Ma qortaa qoraalo, ma soo bandhigeysaa?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Mahadsanid, mahadsanid, mahadsanid, mahadsanid, laakiin..."
"  Rêver, rire, passer, être seul, être libre,","Riyo, qosol, mar kale, kali ahaanshaha, xor ahaanshaha,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Indhaha si fiican u fiirinaya, codka gariira,"
"  Mettre, quand il vous plaît, son feutre de travers,",Markaad rabto waxaad ku yeelataa dareenkeeda.
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Haa, maya, maya, dagaal ama dhaawac!"
"  Travailler sans souci de gloire ou de fortune,","Ha u shaqaynina si aan loo baahnayn sharaf ama maal,"
"  A tel voyage, auquel on pense, dans la lune !",Safar aad u fiican oo aad ku fekereyso Dayaxa.
"  N'écrire jamais rien qui de soi ne sortît,","Marnaba wax qoraa oo aan ka soo bixin naftaada,"
"  Et modeste d'ailleurs, se dire: mon petit,","Iyo mid is-hoosaysiiya oo is-idhi, ""Wiilkaygiiyow,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",ama ubaxyo iyo midho iyo caleemoba.
  Si c'est dans ton jardin à toi que tu les cueilles !,Haddii aad beertaada ka soo qaadato.
"  Puis, s'il advient d'un peu triompher, par hasard,",Hadduu ku adkaado wax yar (oo la abaal mariyo).
"  Ne pas être obligé d'en rien rendre à César,","Oo ha ahaato inaad Kaysar wax ka bixiso,"
"  Vis-à-vis de soi-même en garder le mérite,",Si aad naftaada ugu xajiso.
"  Bref, dédaignant d'être le lierre parasite,","Marka la soo koobo, waxaan diidi lahaa inaan ahay xayawaanka xayawaanka ah ee xayawaanka ah,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,",Xitaa marka aanay ahayn geed ama geed laamood.
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ma ahan mid aad u sareysa, laakiin waa mid aad u sareeya."
LE BRET:,Waa la soo sheegay.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Kaliya, laakiin ma aha dadka oo dhan."
  As-tu donc contracté la manie effroyable,Ma waxaad qabatay dabeecad cabsi badan.
"  De te faire toujours, partout, des ennemis ?",Ma waxaad ku samaysaa cadaawayaal meel kasta oo aad joogtid?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",Markaad aragto Saaxiibtinimo.
"  Et rire à ces amis dont vous avez des foules,",iyo inaad ku qoslasho saaxiibo aad dad badan leedahay.
  D'une bouche empruntée au derrière des poules !,Afka laga qaato digaagga gadaasha!
"  J'aime raréfier sur mes pas les saluts,",Waxaan jeclahay inaan ku dhawaaqo salaanta lugtayda.
  Et m'écrie avec joie: un ennemi de plus !,"Oo farxad igu qayli, cadaawayaal kale."
LE BRET:,Waa la soo sheegay.
  Quelle aberration !,Waa wax aan caadi ahayn.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Haa, waa caadooyinkayga."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Waxaan ku faraxsanahay inaan iska tago, waxaan jeclahay in la i neceb yahay."
"  Mon cher, si tu savais comme l'on marche mieux","Gacaliye, haddii aad ogaato sida loo socdo si ka fiican"
  Sous la pistolétade excitante des yeux !,Indhaha ku jira gunta xiisaha leh.
"  Comme, sur les pourpoints, font d'amusantes taches",Sida ay u sameeyaan dhibco xiiso leh
  Le fiel des envieux et la bave des lâches !,Waa dulli kuwa hinaasada leh iyo dulli kuwa gaalooba.
"  --Vous, la molle amitié dont vous vous entourez,","Adiga iyo Saaxiibadaada jilicsan ee ku wareegsan,"
"  Ressemble à ces grands cols d'Italie, ajourés","Waxay u egtahay kuwa waaweyn ee Talyaaniga, oo dib loo dhigay"
"  Et flottants, dans lesquels votre cou s'effémine:",Iyo kuwa dusha sare ku socda ee qoortaagu ku dillaacdo.
"  On y est plus à l'aise. . .et de moins haute mine,",Waxaan dareemayaa inaan ka raaxaysan karno.
"  Car le front n'ayant pas de maintien ni de loi,","Waayo, wajiga ma laha xukunkani iyo sharciguba."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Waxay u sii jeeddaa inay u jeedo dhinac kasta.
"  La Haine, chaque jour, me tuyaute et m'apprête",Maalin kasta Nacaybku wuu i soo jiitaa oo i dhiibiyaa
  La fraise dont l'empois force à lever la tête;,(Waxaa la yidhi) Cudurka (Cudurka) ee sunta ku jirta waxay ku qasbaysaa inuu madaxiisa kor u qaado.
  Chaque ennemi de plus est un nouveau godron,Cadaw kasta oo kale waa cadaw cusub
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Oo wuxuu igu daray dhib, Oo wuxuu igu daray xanaaq."
"  Car, pareille en tous points à la fraise espagnole,","Waayo, sida dhammaan arrimaha ay u egtahay xashiishadda Isbaanishka,"
"  La Haine est un carcan, mais c'est une auréole !","Nacaybku waa wax la dhaco, laakiin waa wax la dhaco."
"LE BRET (après un silence, passant son bras sous le sien):","DHAGEYSO (ka dib markii aamusnaan, gudbinaya gacanta hoos uu):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ku sarreeya kibirka iyo qadhaadhka, laakiin hoos u dhig"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Kaliya ii sheeg inaanay ku jeclayn.
CYRANO (vivement):,CYRANO (waxaa nool):
  Tais-toi !,Iska aamuso!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Waqti ka dib, Christian ayaa galay, wuxuu ku dhex galay dhalinyarada;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"hadalka isaga ma, wuxuu ugu dambeyntii fadhiistay kaligiis"
