Scène 2.VIII.,Ikibanza ca 2.VIII.
"  Rédiger des placets, se faire présenter ?","Kwandika ibinyamakuru, kwimenyekanisha?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Oya, urakoze, urakoze, urakoze, urakoze, ariko..."
"  Rêver, rire, passer, être seul, être libre,","Kurota, gutwenga, kurengana, kuba wenyene, kuba uwidegemvya,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Kugira ijisho ribona neza, ijwi ririko riratigita,"
"  Mettre, quand il vous plaît, son feutre de travers,","Gushira, igihe cose ushaka, inyiyumvo ziwe z'ikinyoma,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ku yego, ku oya, kurwana, - canke gukora igitsure!"
"  Travailler sans souci de gloire ou de fortune,","Gukora udatwarwa n'ubuninahazwa canke ubutunzi,"
"  A tel voyage, auquel on pense, dans la lune !","Urugendo nk'urwo twiyumvira, mu kwezi!"
"  N'écrire jamais rien qui de soi ne sortît,","Ntiwigere wandika ikintu kitaturuka kuri wewe ubwawe,"
"  Et modeste d'ailleurs, se dire: mon petit,","Kandi wicisha bugufi, ukibwira uti: ""Mwananje,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Canke na ho, yarashobora kwishimira amashurwe, ivyamwa, mbere n'ibisatsi."
  Si c'est dans ton jardin à toi que tu les cueilles !,Nimba ari mu murima wawe ni ho uvyura!
"  Puis, s'il advient d'un peu triompher, par hasard,","Kandi ni yaramuka ashoboye gutsinda gatoyi,"
"  Ne pas être obligé d'en rien rendre à César,","Ariko ntihagire ico umwishura Kayisari, kuko ari we azoshirwa mu minwe y'abantu bose."
"  Vis-à-vis de soi-même en garder le mérite,","Ku bijanye no kwibeshaho,"
"  Bref, dédaignant d'être le lierre parasite,","Muri make, mu kwanka kuba umugera w'ibinyugunyugu,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Naho tutari igiti c'umushamba canke igiti c'umuceri,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ntushobora kuduga hejuru cane, ariko uri wenyene!"
LE BRET:,Umutoni:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Niwe wenyene, ariko si bose!"
  As-tu donc contracté la manie effroyable,"None se, wararwaye ikibi c'ubushirasoni?"
"  De te faire toujours, partout, des ennemis ?",Kwama ukora abansi ahantu hose?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Kubera ko babonye muriko murakundana,"
"  Et rire à ces amis dont vous avez des foules,","Kandi uraseka abo bagenzi ufise mu bantu,"
  D'une bouche empruntée au derrière des poules !,Afise akanwa kakodeshejwe inyuma y'inkoko!
"  J'aime raréfier sur mes pas les saluts,","Nkunda kuririmba indamutso ku birenge vyanje,"
  Et m'écrie avec joie: un ennemi de plus !,Kandi unkize n'akanyamuneza: uwundi mwansi!
LE BRET:,Umutoni:
  Quelle aberration !,Mbega ukwibisha!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.",Ni co gituma ari co gituma ari vyiza.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ndahimbarwa no gutembera.
"  Mon cher, si tu savais comme l'on marche mieux","Ncuti yanje, iyo uba uzi ingene umuntu agenda neza"
  Sous la pistolétade excitante des yeux !,Mu maso y'abanyarugomo!
"  Comme, sur les pourpoints, font d'amusantes taches","Nk'uko, ku ntumbero, bakora ibintu bishimishije"
  Le fiel des envieux et la bave des lâches !,Ibara ry'abanebwe n'umunyamwagazi w'intumva!
"  --Vous, la molle amitié dont vous vous entourez,","-Wewe, umugenzi mwiza ukikuje,"
"  Ressemble à ces grands cols d'Italie, ajourés","Bisa n'izo nkoni nini zo mu Butaliyano, zisigaye zisigaye"
"  Et flottants, dans lesquels votre cou s'effémine:","Kandi n'amababa, aho intoke zawe zitemba,"
"  On y est plus à l'aise. . .et de moins haute mine,","Turumva twisanzuye. . . . kandi turi hasi cane,"
"  Car le front n'ayant pas de maintien ni de loi,","Kuko imbere ata tegeko rihari, kandi nta tegeko rihari,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Arareka ngo agume yiyumvira ibintu vyose.
"  La Haine, chaque jour, me tuyaute et m'apprête","Urwanko, buri musi, rurandya kandi rurandya"
  La fraise dont l'empois force à lever la tête;,"Umunyamuceri, iyo ubumara bwiwe bugutera hejuru umutwe;"
  Chaque ennemi de plus est un nouveau godron,Umwansi wese arenga umwe ni umwambuzi mushasha
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Kandi arongerako umubabaro, yongerako n'umuyaga."
"  Car, pareille en tous points à la fraise espagnole,","Kuko, nk'uko nyene ivyamwa vyo mu bwoko bw'ibitungwa vyo muri Espanye biri,"
"  La Haine est un carcan, mais c'est une auréole !","Urwanko ni igikoko, ariko ni ikinyugunyugu!"
"LE BRET (après un silence, passant son bras sous le sien):","UMUHANUZI (nyuma y'uguhumeka, agashira ukuboko kwiwe munsi y'ukuboko kwiwe):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Niwibone, ukore ibiteye isoni, ariko wicishe bugufi"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Mbwira gusa ko atakurikunda!
CYRANO (vivement):,CYRANO (ari muzima):
  Tais-toi !,Humura!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Igihe kimwe, Christian yarinjiye, araja mu bigeme; abo"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ntibamuganiriza; amaherezo yicara wenyene ku
