Scène 2.VIII.,Сцена 2.VIII.
  Exécuter des tours de souplesse dorsale ?. . .,Использовать спинные гибкие кружки? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Нет, спасибо, но с одной рукой поцеловать козла в шею"
"  Cependant que, de l'autre, on arrose le chou,","Но если мы поймаем капусту,"
"  Et, donneur de séné par désir de rhubarbe,","и по желанию рогаты,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Всегда держать его фимиатор в какой-то бороде?
"  Non, merci ! Se pousser de giron en giron,","Нет, спасибо, но это не так уж и важно."
"  Devenir un petit grand homme dans un rond,","Стать маленьким, большим человеком в кругу,"
"  Et naviguer, avec des madrigaux pour rames,","И плывут они по морям, с лодками для ремён,"
  Et dans ses voiles des soupirs de vieilles dames ?,А в его велах - вздохи старых дам?
"  Non, merci ! Chez le bon éditeur de Sercy","Нет, спасибо, у хорошего издателя Серси."
"  Faire éditer ses vers en payant ? Non, merci !","- Заплатить за то, чтобы его слова были редактированы?"
  S'aller faire nommer pape par les conciles,Чтобы быть назначен папой на совещаниях
  Que dans des cabarets tiennent des imbéciles ?,Что в каютах держат дураков?
"  Non, merci ! Travailler à se construire un nom","Нет, спасибо, работаю над созданием имени."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","На одном звонке, вместо того, чтобы делать другие?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- Иметь талант можно только в масках?
"  Être terrorisé par de vagues gazettes,","Быть напуганным в волнах газет,"
"  Et se dire sans cesse: Oh, pourvu que je sois","И постоянно думать: ""О, если бы я был"
  Dans les petits papiers du Mercure François ?. . .,В мелких бумагах Меркурия Франциска? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Нет, спасибо, вычислить, бояться, быть блестящим,"
"  Aimer mieux faire une visite qu'un poème,","Любить посещение лучше, чем стихотворение,"
"  Rédiger des placets, se faire présenter ?","Написать плакаты, представиться?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Нет, спасибо, спасибо, спасибо, спасибо, но..."
"  Rêver, rire, passer, être seul, être libre,","Мечтать, смеяться, проходить, быть одному, быть свободным,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","У тебя есть глаз, который хорошо видит, голос, который трепещет,"
"  Mettre, quand il vous plaît, son feutre de travers,","Поставить, когда вы хотите, его чувство не так,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","За ""да"", за ""нет"", сражаться, - или делать червя!"
"  Travailler sans souci de gloire ou de fortune,","Работать без заботы о славе или богатстве,"
"  A tel voyage, auquel on pense, dans la lune !","На такое путешествие, о котором мы думаем, в луну!"
"  N'écrire jamais rien qui de soi ne sortît,","Никогда не пиши ничего, что не выходит из себя,"
"  Et modeste d'ailleurs, se dire: mon petit,","И скромный, говоря: ""Мой маленький,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","И цветы, и плоды, и листья, и все, что есть,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Если ты собираешь их в своем саду!
"  Puis, s'il advient d'un peu triompher, par hasard,","И если он удастся немного победить,"
"  Ne pas être obligé d'en rien rendre à César,",чтобы не быть обязанным отдавать им взыскание.
"  Vis-à-vis de soi-même en garder le mérite,","В отношении себя, чтобы сохранить его достоинство,"
"  Bref, dédaignant d'être le lierre parasite,","В общем, не считая себя паразитной лири,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Даже если мы не дубовые деревья и не смолы,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Может, не очень высоко, но сам!"
LE BRET:,- Я не знаю.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Может быть, он один, но не против всех."
  As-tu donc contracté la manie effroyable,Так ты ли приобрел ужасную манию
"  De te faire toujours, partout, des ennemis ?",Всегда делать себе врагов?
CYRANO:,Сирано:
"  A force de vous voir vous faire des amis,","И я вижу, как вы дружите с ними."
"  Et rire à ces amis dont vous avez des foules,","И смеяться над теми друзьями, у кого есть толпа,"
  D'une bouche empruntée au derrière des poules !,У него застрял задница курицы!
"  J'aime raréfier sur mes pas les saluts,","Я люблю приветствовать на своих шагах,"
  Et m'écrie avec joie: un ennemi de plus !,"И кричит мне радостно: ""Еще враг!"""
LE BRET:,- Я не знаю.
  Quelle aberration !,Какая аберрация!
CYRANO:,Сирано:
"  Eh bien, oui, c'est mon vice.","Ну, да, это мой вин."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Я люблю, когда меня ненавидят."
"  Mon cher, si tu savais comme l'on marche mieux","Дорогой, если бы ты знал, как лучше ходить"
  Sous la pistolétade excitante des yeux !,Под возбудительным видом пистолета!
"  Comme, sur les pourpoints, font d'amusantes taches","Как, на посылках, делают забавные пятна"
  Le fiel des envieux et la bave des lâches !,Желтость завистливых и жалость трусов!
"  --Vous, la molle amitié dont vous vous entourez,","- Вы, мягкая дружба, которую окружаете,"
"  Ressemble à ces grands cols d'Italie, ajourés","Похоже на эти большие итальянские ошейники, отложенные"
"  Et flottants, dans lesquels votre cou s'effémine:","И плавут, в которых твой шея иссякает:"
"  On y est plus à l'aise. . .et de moins haute mine,",Мы чувствуем себя более комфортно.
"  Car le front n'ayant pas de maintien ni de loi,","Потому что лоб не имеет соблюдения и закона,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Он отказывается от всех направлений.
"  La Haine, chaque jour, me tuyaute et m'apprête",Каждый день ненависть меня заигрывает и заигрывает
  La fraise dont l'empois force à lever la tête;,"Стрельба, отравляющая головой,"
  Chaque ennemi de plus est un nouveau godron,Каждый враг - новый бог.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Он прибавляет мне смуту и радует меня.
"  Car, pareille en tous points à la fraise espagnole,","Ведь, как и в любом случае, испанская ягода,"
"  La Haine est un carcan, mais c'est une auréole !","Ненависть - это рыбка, но это ареол!"
"LE BRET (après un silence, passant son bras sous le sien):","БРЕТ (после молчания, проходя ее руку под своей):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Сделай высокомерным и горьким, но низким."
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Просто скажи мне, что она тебя не любит!"
CYRANO (vivement):,CYRANO (живой):
  Tais-toi !,- Заткнись!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(После некоторого времени Кристиан вошел, вошел в мелкие группы, они"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"не разговаривать с ним, он в конце концов сидел один на одной"
