Scène 2.VIII.,סצנה 2.VIII.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","לא, תודה, ארוחת צהריים, כל יום, עם פפרח?"
  Avoir un ventre usé par la marche ? une peau,להיות עם בטן ממושכת על ידי הליכה?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","מי מהר יותר, במקום הברכיים, מתרוקן?"
  Exécuter des tours de souplesse dorsale ?. . .,האם יש להפעיל סיבובים של גבנו? . . .
"  Non, merci. D'une main flatter la chèvre au cou","לא, תודה, עם יד אחת, ללטף את העז בצוואר"
"  Cependant que, de l'autre, on arrose le chou,","אבל אם אתה משקה את הקפה,"
"  Et, donneur de séné par désir de rhubarbe,","ומספקת שן על ידי תשוקה לריבב,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",תמיד יש לו את המוצא שלו בגרון?
"  Non, merci ! Se pousser de giron en giron,","לא, תודה, אני רוצה להצטרף אליה."
"  Devenir un petit grand homme dans un rond,","להיות איש קטן וגדול בסביבה,"
"  Et naviguer, avec des madrigaux pour rames,","ולספינות עם ספינות רמי,"
  Et dans ses voiles des soupirs de vieilles dames ?,ומה עם התנוחות של נשים זקנות?
"  Non, merci ! Chez le bon éditeur de Sercy","לא, תודה, לאורור של סרסי."
"  Faire éditer ses vers en payant ? Non, merci !",-לצפות את התכתבות שלו על פי תשלום?
  S'aller faire nommer pape par les conciles,לעלות על רשות האפיפיפיור על ידי מועצות
  Que dans des cabarets tiennent des imbéciles ?,כי במקומות קבועים יש אידיוטים?
"  Non, merci ! Travailler à se construire un nom","לא, תודה, אני עובד על שם."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",על סונפונה אחת במקום לעשות עוד?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"תודה, אתה יכול למצוא כישרון רק במגדלים?"
"  Être terrorisé par de vagues gazettes,","להיות מפחיד בעיתונים גלולים,"
"  Et se dire sans cesse: Oh, pourvu que je sois","ומרגישים כל הזמן: ""אוי, אם אני"
  Dans les petits papiers du Mercure François ?. . .,"""במאמרים הקטנים של פרנסיס מרקוס""? . . ."
"  Non, merci ! Calculer, avoir peur, être blême,","לא, תודה, חישוב, פחד, חוסר כבוד."
"  Aimer mieux faire une visite qu'un poème,","אוהב יותר לבקר מאשר לשיר,"
"  Rédiger des placets, se faire présenter ?","להכין פוסטים, להציג את עצמך?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","לא, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה, תודה,"
"  Rêver, rire, passer, être seul, être libre,","לחלום, לצחוק, לעבור, להיות לבד, להיות חופשי,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","יש לך עין שראית היטב, קול שדודד,"
"  Mettre, quand il vous plaît, son feutre de travers,","להניח, מתי שתרצה, את תחושתו של חוסר,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","בשביל כן, בשביל לא, להילחם, או לעשות תולעת!"
"  Travailler sans souci de gloire ou de fortune,","לא לעבוד בלי לדאוג לכבוד או לכסף,"
"  A tel voyage, auquel on pense, dans la lune !","לטיול כזה, שנדמה לנו, לירח!"
"  N'écrire jamais rien qui de soi ne sortît,","לעולם אל תכתבי דבר שלא יבוא ממך,"
"  Et modeste d'ailleurs, se dire: mon petit,","ובאופן צנוע, אתה אומר לעצמך, ""ילד שלי,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","או שתרגיש מרוצה מהפרחים, הפירות, אפילו את העלים,"
  Si c'est dans ton jardin à toi que tu les cueilles !,אם זה בגינה שלך שאתה קונה אותם!
"  Puis, s'il advient d'un peu triompher, par hasard,","ואז, אם הוא מצליח קצת, במקרה,"
"  Ne pas être obligé d'en rien rendre à César,","""אל תתחייב לשלם לאמפריה,"
"  Vis-à-vis de soi-même en garder le mérite,","על עצמך לשמור על ההכרה שלו,"
"  Bref, dédaignant d'être le lierre parasite,","בכל אופן, אני מתכחש להיות הגולגולת,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","אפילו אם לא אנחנו עץ עץ או גשם,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","אולי לא גבוה מדי, אבל לבד!"
LE BRET:,-השריר:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","אולי לבד, אבל לא נגד כולם."
  As-tu donc contracté la manie effroyable,אז האם התקבלת את המניאה הנוראה
"  De te faire toujours, partout, des ennemis ?",תמיד לעשות לך אויבים בכל מקום?
CYRANO:,סירנו:
"  A force de vous voir vous faire des amis,","בגלל שראיתי אתך עושה חברים,"
"  Et rire à ces amis dont vous avez des foules,","ולצחוק על החבר'ה האלה שיש לך קהל,"
  D'une bouche empruntée au derrière des poules !,עם מפה שנשאלה מאחורי עופות!
"  J'aime raréfier sur mes pas les saluts,","אני אוהב להרים ברכות על רגלי,"
  Et m'écrie avec joie: un ennemi de plus !,וצרח לי בשמחה: עוד אויב!
LE BRET:,-השריר:
  Quelle aberration !,איזה חוסר אמון!
CYRANO:,סירנו:
"  Eh bien, oui, c'est mon vice.","ובכן, כן, זה הרגל שלי."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,אני אוהב להיות מאוכזב.
"  Mon cher, si tu savais comme l'on marche mieux","מותק, אם היית יודע איך ללכת טוב יותר"
  Sous la pistolétade excitante des yeux !,תחת מראה מלהיב של העיניים!
"  Comme, sur les pourpoints, font d'amusantes taches","כמו, על הנקודות, לעשות כתמים מצחיקים"
  Le fiel des envieux et la bave des lâches !,"חוסר רצון של קנאי, חוסר רצון של פחדן."
"  --Vous, la molle amitié dont vous vous entourez,","אתה, החבר המתוק שאתה סובב,"
"  Ressemble à ces grands cols d'Italie, ajourés","זה נראה כמו הקול הגדולים האלה באיטליה, נדחפו"
"  Et flottants, dans lesquels votre cou s'effémine:","וטופלים, בהם הצוואר שלך מתפחד:"
"  On y est plus à l'aise. . .et de moins haute mine,","אנחנו יותר נוחים שם. . . ומוניות נמוכות פחות,"
"  Car le front n'ayant pas de maintien ni de loi,","כי לפנים אין חוקים או חוק,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",הוא מתאפשר להסתכל בכל צורה.
"  La Haine, chaque jour, me tuyaute et m'apprête","השנאה, כל יום, נושאת אותי ומכבידה אותי."
  La fraise dont l'empois force à lever la tête;,פרוזים שמרעם מכריח את ראשו להרים;
  Chaque ennemi de plus est un nouveau godron,כל אויב נוסף הוא סוס חדש.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","אשר מוסיף לי צער, ומוסיף לי שחרור."
"  Car, pareille en tous points à la fraise espagnole,","כי, כמו בכל מיני דברים, פרוזות ספרדית,"
"  La Haine est un carcan, mais c'est une auréole !","השנאה היא סוס, אבל היא אורוולה!"
"LE BRET (après un silence, passant son bras sous le sien):","השקט (אחרי שקט, עובר את זרועו מתחת לאדמו):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","תעשה את הגאווה גבוה ומר, אבל, כל כך נמוך"
  Dis-moi tout simplement qu'elle ne t'aime pas !,פשוט תגיד לי שהיא לא אוהבת אותך!
CYRANO (vivement):,סירנו (חיה):
  Tais-toi !,-תשתוק!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(במהלך זמן מה, כריסטיאן נכנס, התערב עם הצעירים;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"לא דיברו איתו, הוא בסופו של דבר ישב לבד עם"
