Scène 2.VIII.,สถานที่ 2 - 8
  Merci ! Ne découvrir du talent qu'aux mazettes ?,ขอบคุณ คุณสามารถพบความสามารถได้แค่ในหมึก
"  Être terrorisé par de vagues gazettes,",การกลัวจากหนังสือพิมพ์ที่ลื่น
"  Et se dire sans cesse: Oh, pourvu que je sois",และพูดต่อเนื่องว่า โอ้ ฉันเป็น
  Dans les petits papiers du Mercure François ?. . .,ในกระดาษเล็กๆ ของนิวเตอร์เมอร์กูร์ ฟรานซิส . . .
"  Non, merci ! Calculer, avoir peur, être blême,",ไม่ ขอบคุณ การคํานวณ การกลัว การเป็นตัวตึงดูด
"  Aimer mieux faire une visite qu'un poème,",ชอบการท่องเที่ยวมากกว่าบทกวี
"  Rédiger des placets, se faire présenter ?",ทําเล่มประกาศ หรือแนะนําตัวเอง
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",ไม่ ขอบคุณ ไม่ ขอบคุณ ไม่ ขอบคุณ แต่..ร้องเพลง
"  Rêver, rire, passer, être seul, être libre,",ฝันฝัน สนุกไปเดินผ่าน อยู่คนเดียว มีอิสระ
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",มีตาที่มองเห็นได้ชัด เสียงที่สั่น
"  Mettre, quand il vous plaît, son feutre de travers,",การใส่เวลาที่คุณต้องการ ความรู้สึกของเขาผิด
"  Pour un oui, pour un non, se battre,--ou faire un vers !",เพื่อให้คําตอบว่าใช่ หรือไม่ เพื่อให้คําตอบว่าไม่ต่อสู้ หรือให้คําตอบว่าไม่
"  Travailler sans souci de gloire ou de fortune,",ทํางานโดยไม่สนใจความทรงจํา หรือความร่ํารวย
"  A tel voyage, auquel on pense, dans la lune !",ไปเที่ยวที่จันทร์ที่น่าคิดถึง
"  N'écrire jamais rien qui de soi ne sortît,",อย่าเขียนอะไรที่ไม่ได้มาจากตัวเอง
"  Et modeste d'ailleurs, se dire: mon petit,",และยังมีความจํานองอีกด้วย
"  Soit satisfait des fleurs, des fruits, même des feuilles,",หรือจะพอใจกับดอกไม้หรือผลไม้ หรือแม้แต่ใบ
  Si c'est dans ton jardin à toi que tu les cueilles !,ถ้ามันอยู่ในสวนของตัวเอง
"  Puis, s'il advient d'un peu triompher, par hasard,",แล้วถ้าเขาประสบความสําเร็จเล็กน้อย
"  Ne pas être obligé d'en rien rendre à César,","""เจ้าต้องไม่ให้เงินแก่คีซาร์"""
"  Vis-à-vis de soi-même en garder le mérite,",เพื่อที่จะเก็บคุณค่าของตัวเอง
"  Bref, dédaignant d'être le lierre parasite,",อย่างน้อยก็ไม่ยอมรับการเป็นตัวแร่ปรสิต
"  Lors même qu'on n'est pas le chêne ou le tilleul,",แม้แต่เราไม่ได้เป็นต้นไม้ไม้หรือต้นไม้
"  Ne pas monter bien haut, peut-être, mais tout seul !",ไม่สูงไปมากๆ บางที แต่ก็คนเดียว
LE BRET:,ผี:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",แต่ไม่ใช่กับทุกคน
  As-tu donc contracté la manie effroyable,แล้วเจ้าก็มีอาการบ้าอย่างน่ากลัว
"  De te faire toujours, partout, des ennemis ?",ทําให้ตัวเองเป็นศัตรูทุกที่
CYRANO:,ไซราโน่
"  A force de vous voir vous faire des amis,",เพราะคุณกําลังสร้างเพื่อนกัน
"  Et rire à ces amis dont vous avez des foules,",และหัวเราะกับเพื่อนที่พวกคุณมีหลายคน
  D'une bouche empruntée au derrière des poules !,- มีปากที่ใช้อยู่ข้างหลังไก่
"  J'aime raréfier sur mes pas les saluts,",ฉันชอบที่จะพูดคําทักทายที่ไม่ค่อยมี
  Et m'écrie avec joie: un ennemi de plus !,และร้องไห้ข้าด้วยความสุขว่า มีศัตรูอีก
LE BRET:,ผี:
  Quelle aberration !,มันดูแปลกจังเลย
CYRANO:,ไซราโน่
"  Eh bien, oui, c'est mon vice.",ก็ใช่ มันเป็นอาการของฉัน
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ฉันชอบการขี้ขัน ฉันชอบการถูกเกลียด
"  Mon cher, si tu savais comme l'on marche mieux",ลูกรัก ถ้าเจ้ารู้วิธีการเดินได้ดีขึ้น
  Sous la pistolétade excitante des yeux !,ในภาพที่น่าตื่นเต้นของตา
"  Comme, sur les pourpoints, font d'amusantes taches",ที่ทําจุดประสงค์ที่น่าสนุก
  Le fiel des envieux et la bave des lâches !,ความอิจฉาของคนอิจฉา และความอายของคนห่างกลัว
"  --Vous, la molle amitié dont vous vous entourez,",คุณเพื่อนที่รัก
"  Ressemble à ces grands cols d'Italie, ajourés",เหมือนกับอิตาลีที่ใหญ่ๆ ที่ถูกเลื่อน
"  Et flottants, dans lesquels votre cou s'effémine:",และน้ําพุ่งที่คอของคุณจะลมลง
"  On y est plus à l'aise. . .et de moins haute mine,",เรารู้สึกสบายขึ้นในนั้น และมีขนาดต่ํากว่า
"  Car le front n'ayant pas de maintien ni de loi,",เพราะหน้าตาไม่มีการรักษาและไม่มีกฎหมาย
"  S'abandonne à pencher dans tous les sens. Mais moi,",เขาจะยุ่งหน้าไปทางไหนก็ได้ แต่ฉัน
"  La Haine, chaque jour, me tuyaute et m'apprête",ความเกลียดชังทุกวัน ทําให้ฉันรู้สึกแย่
  La fraise dont l'empois force à lever la tête;,แฟรย์สเตอร์รี่ ที่มีมะเร็งที่ทําให้หัวขึ้น
  Chaque ennemi de plus est un nouveau godron,ทุกคนที่เป็นศัตรูเพิ่มเติม ก็คือกวางใหม่
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",พระองค์ทรงเพิ่มความลําบากแก่ข้าพระองค์ และทรงเพิ่มความอับอายแก่ข้าพระองค์
"  Car, pareille en tous points à la fraise espagnole,",เพราะในทุกๆด้าน เหมือนกับสเปนสเตรส
"  La Haine est un carcan, mais c'est une auréole !",ความเกลียดชังเป็นสัตว์ป่า แต่มันคืออารีโอล่า
"LE BRET (après un silence, passant son bras sous le sien):","ผู้นํา (หลังจากเงียบ, ผ่านแขนของเขาใต้ของเขา):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",ทําให้คนหยิ่งยะโสและอร่อย แต่ต่ําลง
  Dis-moi tout simplement qu'elle ne t'aime pas !,บอกฉันว่าเธอไม่รักเธอ
CYRANO (vivement):,ซีราน (มีชีวิตอยู่):
  Tais-toi !,- เงียบซะ
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(หลังจากนั้น คริสเตียนได้เข้ามา และเข้าร่วมกับเด็กๆ
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ไม่พูดกับเขา เขาได้นั่งคนเดียวกับ
