Scène 2.VIII.,Mahkrum madup 2.VIII.
"  Et rire à ces amis dont vous avez des foules,","Dai majaw, masha law law nga ai manang ni hpe mani nna,"
  D'une bouche empruntée au derrière des poules !,N-gup gaw kaji ni a hpang maga de hkawn ai.
"  J'aime raréfier sur mes pas les saluts,","Ngai gaw, ""Ndai hte maren, ngai gaw, ""Ndai hte maren, "" ngu nna shakram ai lam hpe, n chye nngai."
  Et m'écrie avec joie: un ennemi de plus !,"Dai hta kaga, hpyen wa langai mi naw rai nga ai, nga nna kabu gara ai hte ngai hpe jahtau nga u ga."
LE BRET:,Hkrung ai lam:
  Quelle aberration !,Dai gaw grai n kaja ai lam re.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Rai tim, dai gaw nye a n hkru ai lam re."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ngai gaw n-gun madun ai lam galaw ai.
"  Mon cher, si tu savais comme l'on marche mieux","Tsawra ai wa e, nang grau kaja ai lam chye yang"
  Sous la pistolétade excitante des yeux !,Matut nna myit lawm ai myi man hta!
"  Comme, sur les pourpoints, font d'amusantes taches","Dai majaw, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang, hpa majaw nga yang,"
  Le fiel des envieux et la bave des lâches !,"N hkru ai ni a n-gup hte, hkrit ai ni a n-gup hte,"
"  --Vous, la molle amitié dont vous vous entourez,","Nang hte rau nga ai manang ni gaw,"
"  Ressemble à ces grands cols d'Italie, ajourés",Italy mungdan na dai galu kaba ai hkawnu ni hte bung ai
"  Et flottants, dans lesquels votre cou s'effémine:","Na a du hta na, nang htu ai hka lawng ni mung,"
"  On y est plus à l'aise. . .et de moins haute mine,",Dai hta grau pyaw ai. . .
"  Car le front n'ayant pas de maintien ni de loi,","Kaning rai nme law, tinang a man e tara n rawng ai hte tara n rawng ai majaw,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","Dai majaw, shi gaw lam shagu hta myit mada ai lam hpe n galaw ai sha,"
"  La Haine, chaque jour, me tuyaute et m'apprête","Dai ni shagu, N dawng ai myit gaw ngai hpe shachyut nna, ngai hpe shachyut nga ai"
  La fraise dont l'empois force à lever la tête;,"Dai rai nna, shi a baw hpe sharawt na matu, shi a baw hpe n - gun jaw ai,"
  Chaque ennemi de plus est un nouveau godron,"Myen hpyen ni yawng gaw, masha ningnan langai sha rai nga ai"
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ngai hpe kaya kahpa hte jahkrit shama ai wa,"
"  Car, pareille en tous points à la fraise espagnole,","Hpa majaw nga yang, Spain mung na namlap hte maren,"
"  La Haine est un carcan, mais c'est une auréole !","Dai N dawng ai gaw, nbungli rai tim, dai gaw, nbungli rai nga ai."
"LE BRET (après un silence, passant son bras sous le sien):","N-Gun (n-gun n ja ai hpang, shi a lahpum npu e shi a lata hpe lai let):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Gumrawng gumtawng ai wa hpe tsaw nna, n-gun ja ai wa hpe, shagrit kau u;"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Shi nang hpe n ra ai ngu nna tsun dan rit!
CYRANO (vivement):,CYRANO (n-gun atsam rawng ai):
  Tais-toi !,Shut u!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Hpaji ladaw mi na hpang, Christian gaw shang wa nna, ma kaji ni hte kanawn mazum wa ai;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"n tsun ai sha, shi hkrai sha langai mi hte dung nga ai"
