Scène 2.VIII.,Thiet ke 2VIII
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",Ku ŋɔ̈ɔ̈thkë lɔn bï yen kɔc cï Nhialic lɔc bɛ̈n kony.
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Ku yïn abï puɔ̈u miɛt tɛ̈ cɔk yïn puɔ̈u bɛ̈n miɛt.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Acie tɛ̈de, yïn anhiaar, ye rot looi tɛ̈n ye yïn mïth thïn?"
  Avoir un ventre usé par la marche ? une peau,Ye ciɛ̈n kë ye looi ye yï guɔ̈p ye lac lac lac lac lac lac wei?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Yeŋa bï lac lac lac lac lac lac lac rɛɛc?
  Exécuter des tours de souplesse dorsale ?. . .,Ye kë bï rot looi bï kɔc röt kony? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Acie tɛ̈de, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn anhiaar, yïn an"
"  Cependant que, de l'autre, on arrose le chou,","Ku tɛ̈ cï kek ye cuat thïn,"
"  Et, donneur de séné par désir de rhubarbe,",Ku raan ë puɔ̈u bɛ̈n riɔp rin wïc yen nhiɛ̈r.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Yeŋö ye yïn ye tak lɔn bï yïn ye yök ke yïïn ë rot?
"  Non, merci ! Se pousser de giron en giron,","Acie tɛ̈de, yïn alui apath."
"  Devenir un petit grand homme dans un rond,",Ku jɔl rot looi bï ya raan dït yetök.
"  Et naviguer, avec des madrigaux pour rames,","Ku riäthkë riäth yiic, ku riäthkë riäth yiic."
  Et dans ses voiles des soupirs de vieilles dames ?,Ku ye käkken ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ke ye ke ye ke ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke ye ke
"  Non, merci ! Chez le bon éditeur de Sercy","Acie tɛ̈de, yïn anɔŋ raan puɔth ye cɔl Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Ye kë ye tak lɔn bï yen athöör ya gɔ̈t tɛ̈n wëëu ye kek wëu tääu thïn?
  S'aller faire nommer pape par les conciles,Ku bïk röt kuany ke ye bɛ̈ny akut kɔc cï gam
  Que dans des cabarets tiennent des imbéciles ?,Ye kë ye kɔc kɔ̈k cï nhïïm liääp looi?
"  Non, merci ! Travailler à se construire un nom","Acie tɛ̈de, yïn anhiaar!"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Ye këdäŋ tök yen bï looi tɛ̈n tɛ̈ bï yïn ye looi?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Yeŋö ye yïn ye tak lɔn ye yïn raan path apɛi?
"  Être terrorisé par de vagues gazettes,","Ku rin cï kek ɣa riɔ̈ɔ̈c,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ku yekë röt thiëëc ëlä, ""Na ɣɛn ë raan path,"
  Dans les petits papiers du Mercure François ?. . .,Në athöör de Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Acie tɛ̈de, yïn anhiam!"
"  Aimer mieux faire une visite qu'un poème,","Ku rin bï ɣɛn ye bɛ̈n tïŋ, ka ŋuɔt tɛ̈n bï ɣɛn ye tïŋ."
"  Rédiger des placets, se faire présenter ?",Ye kë ye looi? Ye kë ye looi?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Acie tɛ̈de, yïn a leec, ku yïn a waak,"
"  Rêver, rire, passer, être seul, être libre,","Ku ë yic, ku ë yic, ku ë yic, ku ë yic, ku ë yic, ku ë yic, ku ë yic, ku ë yic, ku ë yic."
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ku raan ye tïŋ apath, ku raan ye piŋ apath,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ku tɛ̈ wïc yïn ye, ke yï cɔl rot aloi wei."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Na ye wɛ̈t tök yen aye gam, na ye wɛ̈t tök yen aye gam, ka bï rot looi ke cïn kë ye tak."
"  Travailler sans souci de gloire ou de fortune,","Ku duɔ̈kkë ye wïc bï we cɔl aye kɔc path, ku duɔ̈kkë ye wïc bï we cɔl aye kɔc la riɛldun."
"  A tel voyage, auquel on pense, dans la lune !","Ku kën yen bï ɣɛn ye tak, ee kën bï ɣɛn ye tak lɔn bï ɣɛn la cath kal yic."
"  N'écrire jamais rien qui de soi ne sortît,",Duɔ̈kkë këdäŋ ye gɔ̈t ye lueel ke we këc röt kaŋ looi.
"  Et modeste d'ailleurs, se dire: mon petit,","Ku raan cï rot dhuɔ̈k piny ë rot ku lueel, ""Manhdiɛ̈,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ku jɔl aa yɔ̈ɔ̈k, 'Mën cï ɣɛn puɔ̈u miɛt, ɣɛn abï puɔ̈u miɛt tɛ̈ cï ɣɛn puɔ̈u miɛt tɛ̈ le ɣɛn ke puɔ̈u miɛt tɛ̈ le ɣɛn ke puɔ̈u miɛt tɛ̈ le ɣɛn ke puɔ̈u miɛt tɛ̈ le ɣɛn ke puɔ̈u miɛt tɛ̈ le ɣɛn ke puɔ̈u miɛt tɛ̈ le ɣɛn ke puɔ̈u miɛt tɛ̈ le ɣɛn ke puɔ̈u miɛt tɛ̈ le ɣɛn ke puɔ̈u miɛt tɛ̈ le ɣɛn ke puɔ̈u miɛt tɛ̈ le ɣɛn ke puɔ̈u.'"
  Si c'est dans ton jardin à toi que tu les cueilles !,Na ye yïïn guɔ̈p ye kek kuany tɛ̈n domdun yic!
"  Puis, s'il advient d'un peu triompher, par hasard,","Ku na ye raan cï Nhialic gam, ka bï la tueŋ ke ye Nhialic nhom,"
"  Ne pas être obligé d'en rien rendre à César,",Ku ëmën ɣɛn acïï ye wïc ba bɛ̈nyŋaknhom Roma luɔ̈ɔ̈i.
"  Vis-à-vis de soi-même en garder le mérite,","Ku rin bï yïn rot kony,"
"  Bref, dédaignant d'être le lierre parasite,","Ku rin cïï ɣɛn ye raan path,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Na cɔk alɔn cïï ɣok cït tim ye com,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Acie tɛ̈de, ku acie tɛ̈de ë rot."
LE BRET:,Aye raan cɔl:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Na cɔk alɔn ye yen raan tök, ka cie raan ëbën yen bï luɔm."
  As-tu donc contracté la manie effroyable,Yeŋö cï yïn puɔ̈u riääk apɛi këlä?
"  De te faire toujours, partout, des ennemis ?",Yeŋö bï yïn kɔc ater looi tɛ̈ le yïn kɔc kɔ̈k thïn?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ku rin cï wek ye tïŋ ke we ye kɔc määth kek kɔc kɔ̈k,"
"  Et rire à ces amis dont vous avez des foules,","Ku keek aa kɔc kɔ̈k cï gam,"
  D'une bouche empruntée au derrière des poules !,Ku jɔl thok kɔ̈u ya thɔn!
"  J'aime raréfier sur mes pas les saluts,",Ɣɛn ë puɔ̈u miɛt tɛ̈ ciɛth ɣɛn ke ɣa muɔ̈th kɔc kɔ̈k.
  Et m'écrie avec joie: un ennemi de plus !,"Ku jɔl ɣa cɔɔl ke mit puɔ̈u, ""Mëntui dɛ̈t!"""
LE BRET:,Aye raan cɔl:
  Quelle aberration !,Yeŋö ye kek rac apɛi?
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ku ee yic, ee këdiɛ̈."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ɣɛn acï puɔ̈u miɛt tɛ̈ cï ɣɛn kɔc kɔ̈k ɣa maan.
"  Mon cher, si tu savais comme l'on marche mieux",♪ Ku yïn ë rot ŋic tɛ̈ bï yïn luui thïn apath ♪
  Sous la pistolétade excitante des yeux !,Ye kë cï rot looi apɛi!
"  Comme, sur les pourpoints, font d'amusantes taches","Ku rin ye kek kɔc kɔ̈k jam ë wëlkä, ke keek aa kɔc kɔ̈k rac nhïïm."
  Le fiel des envieux et la bave des lâches !,Ku kɔc ë puɔ̈th lac lac dak tënë kɔc ë puɔ̈th lac dak tënë kɔc ë riɔ̈c.
"  --Vous, la molle amitié dont vous vous entourez,","Wek kɔc nhiar röt, wek aa kɔc path."
"  Ressemble à ces grands cols d'Italie, ajourés","Acie kë thöŋ kek kɔc ke dït apɛi ke Italy, cï kek puɔ̈l bïk kë cï looi cïï loi."
"  Et flottants, dans lesquels votre cou s'effémine:",Ku jɔl aa pïu ye wek puɔ̈th bɛ̈n riɔp wei.
"  On y est plus à l'aise. . .et de moins haute mine,",Ku ɣok aa puɔ̈th miɛt tɛ̈ looi ɣok käk cuk looi.
"  Car le front n'ayant pas de maintien ni de loi,","Rin raan cïï kɔc ye kony ë path, ka cïn kë ye looi."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ku ë ye raan cï puɔ̈u bɛ̈n miɛt tɛ̈ le yen tueŋ.
"  La Haine, chaque jour, me tuyaute et m'apprête",Ku rin rin ë wɛ̈t kënë yen aye ɣɛn lac puɔ̈u miɛt.
  La fraise dont l'empois force à lever la tête;,Ku jɔl raan dɛ̈t cɔl adït nhom ku jɔt nhom.
  Chaque ennemi de plus est un nouveau godron,Raan dɛ̈t man kɔc kɔ̈k ee raan dɛ̈t man kɔc kɔ̈k
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ku keek aa ɣa cɔl arem apɛi, ku keek aa cɔl arem apɛi."
"  Car, pareille en tous points à la fraise espagnole,","Rin cïmën ye tiim ye kek wiɛɛt ke ye cɔl Spanish strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","Ku rin cï yen kɔc man, ee raan cï puɔ̈u riääk apɛi."
"LE BRET (après un silence, passant son bras sous le sien):","Ku jɔl raan cï wɛ̈t Nhialic piŋ ke dhiau, ku lueel,"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Luɔ̈ɔ̈ikë nhiam ku yakë puɔ̈th riääk, ku yakë röt dhuɔ̈k piny."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Lɛ̈k ɣa lɔn cïï yen yï nhiaar!
CYRANO (vivement):,CYRANO (ku pïïr):
  Tais-toi !,Pälkë wɛ̈t!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Ku kaam awën, ke Raan cï lɔc ku dɔc la ɣöt, ku le rot mät kɔc wën koor,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"ku cïï kek ye jam tënë ye, ku jɔl rot nyuc ë rot tɛ̈n raan tök"
