Scène 2.VIII.,Fedde 2.VIII.
  Grimper par ruse au lieu de s'élever par force ?,"Ngam ɓe mbaɗa ko ɓe mbi'i, ɓe mbaɗa ko ɓe mbi'i."
"  Non, merci. Dédier, comme tous il le font,","Naa, miɗo yetta."
  Des vers aux financiers ? se changer en bouffon,Daga worm to financialer ?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ngam ɓe ngi'a ko'e maɓɓe, ngam ɓe ngi'a ko'e maɓɓe, ngam ɓe ngi'a ko'e maɓɓe."
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","To' on ɓeydaay ɓernde, ngam to' on ɗon ɓeydaay ɓernde?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Naa, miɗo yetta."
  Avoir un ventre usé par la marche ? une peau,To ɓeydaare ɓeydaare e laawol ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ko ɓurɗo ɓeydaade, to kolɗe maɓɓe, ɓe mbaɗi laaɓɗum?"
  Exécuter des tours de souplesse dorsale ?. . .,Waɗugo kuugal ɓaawo? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Na, miɗo yetta."
"  Cependant que, de l'autre, on arrose le chou,","Ammaa to ɓe njanngini ɓikkoy maɓɓe, ɓe njannginan ɓe."
"  Et, donneur de séné par désir de rhubarbe,",O ɗon ɓeyda ɓernde ngam o yiɗi ɓernde maako.
"  Avoir son encensoir, toujours, dans quelque barbe ?",To o ɗon mari ɓandu maako nder beeɗugo?
"  Non, merci ! Se pousser de giron en giron,","Naa, miɗo yetta! Ɗuum e ɓaawo,"
"  Devenir un petit grand homme dans un rond,","To warugo neɗɗo mawɗo e nder nder nder nder nder,"
"  Et naviguer, avec des madrigaux pour rames,","E ɓe njogii nder ndiyam, e ɓe njogii nder ndiyam."
  Et dans ses voiles des soupirs de vieilles dames ?,"E nder ɓaleeji maako boo, ɓe ɗon maaro nyawɓe mawɓe?"
"  Non, merci ! Chez le bon éditeur de Sercy","Naa, miɗo yetta!"
"  Faire éditer ses vers en payant ? Non, merci !",Honooɓe ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen
  S'aller faire nommer pape par les conciles,To'o waɗugo hoore mum Pope nder kawral
  Que dans des cabarets tiennent des imbéciles ?,Ko e nder cuuɗi cabareteeji ɓe njogiiɓe ɓerɗe ?
"  Non, merci ! Travailler à se construire un nom","Naa, miɗo yetta! Miɗo ɗaɓɓita anndal"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","To ɓooyi go'o, to ɓooyi go'o?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Maani, ko e nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder nder"
"  Être terrorisé par de vagues gazettes,","To yimɓe hulɓina ɓe bee bolle,"
"  Et se dire sans cesse: Oh, pourvu que je sois","E wi'ugo: ""Miɗo yiɗi mi waɗa ɗum""."
  Dans les petits papiers du Mercure François ?. . .,Nder kubaruuji ɗi Mercury Francis waɗi? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Na, miɗo yetta! Miɗo limta, miɗo hulna, miɗo ɓeyda,"
"  Aimer mieux faire une visite qu'un poème,",Ɓurɗo yiɗde yaajugo ko o wi'i
"  Rédiger des placets, se faire présenter ?","Waɗugo kuugal, anndingo hoore maa?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na,"
"  Rêver, rire, passer, être seul, être libre,","Yiɗde, yiɗde, yiɗde, yiɗde, yiɗde, yiɗde."
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ngam yi'ugo ngam yi'ugo, ngam yi'ugo ngam yi'ugo, ngam yi'ugo ngam yi'ugo ngam yi'ugo, ngam yi'ugo ngam yi'ugo ngam yi'ugo."
"  Mettre, quand il vous plaît, son feutre de travers,","To on ɗonno, to on ɗonno, on ɗonno."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ngam haa, ngam naa, ngam haɓugo, - malla ngam waɗugo ko'e mon!"
"  Travailler sans souci de gloire ou de fortune,",Kuugal ngal walaa ko nafata yimɓe ngam ɓe laato tedduŋgal e jawdi
"  A tel voyage, auquel on pense, dans la lune !","To laawol ngol, nde'e nder lewru."
"  N'écrire jamais rien qui de soi ne sortît,","Wanaa ko windiiɗum ɗum ɓernde maa,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ammaa to a ɗonno wi'a hoore ma: ""Ɓiɗɗo am,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","O ɗon hokkata ɓikkoy maako, o ɗon hokkata ɓikkoy maako."
  Si c'est dans ton jardin à toi que tu les cueilles !,To on ɗon njogii ɗi nder gese mon!
"  Puis, s'il advient d'un peu triompher, par hasard,","To o heɓii laamiiɗo mo'o, o heɓan laamiiɗo mo'o."
"  Ne pas être obligé d'en rien rendre à César,","To ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗii, to ɗum waɗ"
"  Vis-à-vis de soi-même en garder le mérite,","To hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to hoore maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to maaɗa, to"
"  Bref, dédaignant d'être le lierre parasite,","Ko ɗum waɗi, e nder ɓernde mum, o ɗon yi'a o woni ko'e mum."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","To on naa' on laamiiɗo, koo laamiiɗo,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","To' naa dow, koo to' naa dow, ammaa to' naa dow hoore ma."
LE BRET:,L'Oréal:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","To' on go'oto, ammaa naa' bee yimɓe fuu."
  As-tu donc contracté la manie effroyable,Onon boo on njogii ɓernde kalluɗum naa?
"  De te faire toujours, partout, des ennemis ?",Ngam waɗugo yimɓe fuu be'i?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ngam on ɗon ngi'a on ɗon mbaɗa bandiraaɓe,"
"  Et rire à ces amis dont vous avez des foules,",E ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓeen ɓe
  D'une bouche empruntée au derrière des poules !,E ɗemngal ngal ƴeewtaama e ɓaawo leɗɗe!
"  J'aime raréfier sur mes pas les saluts,","Mi yiɗi ɓe mbi'a: ""Ndaa, a jaɓan yam""."
  Et m'écrie avec joie: un ennemi de plus !,"O ɗon wi'a yam: ""Koo, goɗɗo ɓeydi mon!"
LE BRET:,L'Oréal:
  Quelle aberration !,Ko haani!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","- Ee, ɗum woni ko mi yiɗi."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Mi yiɗi yimɓe ɓe nganyii yam.
"  Mon cher, si tu savais comme l'on marche mieux","Maama am, to a anndi no ɓe njogori ɓurɗo"
  Sous la pistolétade excitante des yeux !,E nder gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite gite
"  Comme, sur les pourpoints, font d'amusantes taches","No, dow daliila, waɗugo jokkere jokkere"
  Le fiel des envieux et la bave des lâches !,"Ko'e maɓɓe ɗon nyaama, ɓe ɗon nyaama."
"  --Vous, la molle amitié dont vous vous entourez,","Onon boo, on ɗon njooɗana yimɓe,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ɗo nandi bee ɗii ko'e mawɗe Itali, ɓe ɗon ɓeyda"
"  Et flottants, dans lesquels votre cou s'effémine:","E nder ndiyam, ɓernde mon ɗon ɓilla."
"  On y est plus à l'aise. . .et de moins haute mine,",En ɗon ɓeyda ɓeydaago.
"  Car le front n'ayant pas de maintien ni de loi,","Ngam ɓernde walaa ko o waɗata, walaa ko o waɗata."
"  S'abandonne à pencher dans tous les sens. Mais moi,",O ɗon hokkata ko o yiɗi fuu.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ko'e nyalaande fuu, yiɗde e yiɗde e mi ɗon ɓilla"
  La fraise dont l'empois force à lever la tête;,Ɗuum woni ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓerɗe ɓer
  Chaque ennemi de plus est un nouveau godron,Kala mooliiɗo ɓeydiinde ko ɓeydiinde
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","O ɓeydi yam kaalal, o ɓeydi yam kaalal."
"  Car, pareille en tous points à la fraise espagnole,","Ngam, bana ko'e maɓɓe fuu, bana ko'e maɓɓe fuu, bana ko'e maɓɓe fuu, bana ko'e maɓɓe fuu, bana ko'e maɓɓe fuu, bana ko'e maɓɓe fuu."
"  La Haine est un carcan, mais c'est une auréole !","Ko'e mon woni ko'e mon, ammaa ɗum woni ko'e mon."
"LE BRET (après un silence, passant son bras sous le sien):","HINNAANKA (ɗaawo mo ɗon suuɗii, o ɗon ƴetti juuɗe maako dow maako):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Waɗu ko mawnani hoore ma, waɗu ko maayi, ammaa waɗu ko maayi."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Wondondimi tan o yiɗaa ma!
CYRANO (vivement):,CYRANO (jo ɗon wonde):
  Tais-toi !,- Wondondondondira!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Fedde ndeen, Christian natti, hawti e sukaaɓe ɓee;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"ɓe mbi'aay mo, o jooɗii tan e go'o"
