Scène 2.VIII.,Canolfan 2.VIII.
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Yn y gobaith llwyr i weld, ar y llaf o weinidog,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","I gael gwên, er hynny, sydd ddim yn ddrwg?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Nid oes, diolch."
  Avoir un ventre usé par la marche ? une peau,Mae'r tywysedd yn cael ei gwisgo ar ôl cerdded?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Pwy sy'n mynd yn ddilys yn gyflymach, yn lle'r genedl?"
  Exécuter des tours de souplesse dorsale ?. . .,Gweithredu'r troed o'r ystâd? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Na, diolch, gyda llaw un, cuddwch y goed i'w glyn"
"  Cependant que, de l'autre, on arrose le chou,","Ond os bydd y llall yn cael ei roi i'r llall,"
"  Et, donneur de séné par désir de rhubarbe,","Ac mae'n rhoi'r sŵn i'w fwynhau,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",A oes ei glawdwr yn cael ei glawd yn y barch?
"  Non, merci ! Se pousser de giron en giron,","Na, diolch! Gwynebu'r cyflwr o'r cyflwr i'r cyflwr,"
"  Devenir un petit grand homme dans un rond,","Yn dod yn ddyn bach mawr mewn cylch,"
"  Et naviguer, avec des madrigaux pour rames,","A llongau, gyda'r madrigiau i'w llongau,"
  Et dans ses voiles des soupirs de vieilles dames ?,A'i glawiau yn y cwynoedd o hen frenin?
"  Non, merci ! Chez le bon éditeur de Sercy","Na, diolch, yn y cyhoeddwr da o Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Mae'n rhaid i'r llyfrau gael eu golygu drwy dalu?
  S'aller faire nommer pape par les conciles,I gael ei benodi fel Papa gan y Cynghorwyr
  Que dans des cabarets tiennent des imbéciles ?,Y mae'r ffrychau yn cadw ffrychau?
"  Non, merci ! Travailler à se construire un nom","Nid, diolch! Gweithio i adeiladu enw"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Ar y sonnet yn hytrach na gwneud rhai eraill?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Diolch, ond yn y meysydd y mae'r unig beth sy'n dod o hyd i talant?"
"  Être terrorisé par de vagues gazettes,","I fod yn cael ei ofni gan y gofnodion rhyfeddol,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ac yn dweud wrthyf yn ddi-ddywydd, ""Oh, os ydw i'n"
  Dans les petits papiers du Mercure François ?. . .,Yn y papurau bach o'r Mercuri Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Nid, diolch! Cyfrifo, bod yn ofni, bod yn ddymun,"
"  Aimer mieux faire une visite qu'un poème,",Mae'n well i ymweld â'r byd na'r gerdd.
"  Rédiger des placets, se faire présenter ?","Gwrando petai, cyflwyno'ch hun?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nid, diolch, nid, diolch, nid, diolch, ond..."
"  Rêver, rire, passer, être seul, être libre,","Gobeithio, chwerthin, mynd ar draws, bod ar ei ben, bod yn rhydd,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Mae'r llygaid yn gweld yn dda, y llais yn traws,"
"  Mettre, quand il vous plaît, son feutre de travers,","Gwneud, pan fyddwch chi eisiau, ei deimlo'n anghywir,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Er mwyn dweud 'na, er mwyn dweud 'na, ymladd, - neu wneud worm!"
"  Travailler sans souci de gloire ou de fortune,","Gweithio heb ofalu am enwog neu arian,"
"  A tel voyage, auquel on pense, dans la lune !","Ar daith fel y mae'n cael ei feddwl, i'r lleuad!"
"  N'écrire jamais rien qui de soi ne sortît,","Peidiwch byth â ysgrifennu unrhyw beth nad yw'n dod o'ch hun,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ac yn fodlon hefyd, yn dweud wrthyf, 'My child,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Mae'n fodlon i blodeu, ffrwythau, hyd yn oed llwythau,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Os yw'n eich gardd eich hun y byddwch yn eu casglu!
"  Puis, s'il advient d'un peu triompher, par hasard,","Yna, os bydd yn ennill ychydig, yn digwydd,"
"  Ne pas être obligé d'en rien rendre à César,",Na ddylai fod yn rhaid i chi dalu unrhyw beth i'r Ceasar.
"  Vis-à-vis de soi-même en garder le mérite,","Yn erbyn ei hun, cadw'r dyled."
"  Bref, dédaignant d'être le lierre parasite,","Yn y cyfamser, yn gwrthod bod yn y Lyri parasit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Hyd yn oed pan nad ydym yn y oak neu'r cnawd,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Efallai na fydd yn mynd yn uchel iawn, ond ar eich pen eich hun!"
LE BRET:,Y GRAW:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Mae'n unig, ond nid yn erbyn pawb."
  As-tu donc contracté la manie effroyable,A ydych wedi cael y mania'r cryn
"  De te faire toujours, partout, des ennemis ?","I wneud eich hun bob amser, bob man, yn gelynwyr?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Yn cael eich gweld yn gwneud ffrindiau,"
"  Et rire à ces amis dont vous avez des foules,","A chwerthin am y ffrindiau sydd gennych gynifer o bobl,"
  D'une bouche empruntée au derrière des poules !,Mae'r llais wedi'i benthyci ar ôl y coed!
"  J'aime raréfier sur mes pas les saluts,",Rwy'n hoffi i'r rhai sy'n mynd i'r afael â'r rhai sy'n mynd i'r afael â'r afael.
  Et m'écrie avec joie: un ennemi de plus !,"A'm llawen nhw'n llawenhau: ""Mae'n gyfeillgar eto!"
LE BRET:,Y GRAW:
  Quelle aberration !,Mae'n wir!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Wel, yn wir, mae'n fy nghyd-drin."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Mae'n fy nghyfle i fynd i ffwrdd.
"  Mon cher, si tu savais comme l'on marche mieux",Gwelais sut i gerdded yn well
  Sous la pistolétade excitante des yeux !,Y mae'r llygaid yn cael eu harwain yn rhyfeddol!
"  Comme, sur les pourpoints, font d'amusantes taches",Fel y mae'r pwyntiau yn gwneud mannau hwyl
  Le fiel des envieux et la bave des lâches !,Mae'r cythrymus yn y cythrymus a'r cythrymus yn y cythrymus!
"  --Vous, la molle amitié dont vous vous entourez,","-Ti, y cyfeillgarwch ysgafn a'ch cwmpas,"
"  Ressemble à ces grands cols d'Italie, ajourés","Mae'n edrych fel y cols mawr o Eidal, wedi'i hwyrchu"
"  Et flottants, dans lesquels votre cou s'effémine:","A'r rhai sy'n fflogio, y mae'ch cwrn yn euogio:"
"  On y est plus à l'aise. . .et de moins haute mine,","Mae'n fwy cyfforddus i ni. . . ac yn llai uchel,"
"  Car le front n'ayant pas de maintien ni de loi,","Oherwydd bod gan y fron ddim cyfraith, na chyfraith,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Mae'n rhoi'r gorau i edrych yn y gwahanol ffyrdd.
"  La Haine, chaque jour, me tuyaute et m'apprête",Mae'r Heddwch yn fy nghoelio a'm priodi bob dydd
  La fraise dont l'empois force à lever la tête;,Y frasi a fydd ei poison yn ei gwneud yn uchel;
  Chaque ennemi de plus est un nouveau godron,Mae pob gelyn arall yn ddŵr newydd
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Mae'n ychwanegu cywilydd i mi, ac yn ychwanegu rhythr i mi."
"  Car, pareille en tous points à la fraise espagnole,","Oherwydd, fel y mae'r straws Sbaen yn ei wneud mewn pob ffordd,"
"  La Haine est un carcan, mais c'est une auréole !","Mae'r Hedd yn ffanc, ond mae'n aurreol!"
"LE BRET (après un silence, passant son bras sous le sien):","Y BRET (dros clir, yn mynd ei garreg o dan ei ei:"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Gwnewch y cyffrous yn uchel ac yn braster, ond yn isel"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Dywedwch wrthyf ei fod yn annwyl i chi!
CYRANO (vivement):,CYRANO (a oedd yn byw):
  Tais-toi !,Swch chi!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(O bryd i'w gilydd, daeth Christian i mewn, a chymerodd â'r bachgeniaid;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,nid oedd yn siarad â hi; yn y diwedd eisteddodd ar ei ben ei hun gyda
