Scène 2.VIII.,Scenen 2.VIII.
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nei, takk, takk, takk, takk, men..."
"  Rêver, rire, passer, être seul, être libre,","Drømme, le, gå forbi, være alene, være fri,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Å ha et øye som ser godt, en stemme som vibrerer,"
"  Mettre, quand il vous plaît, son feutre de travers,","Sett, når du vil, sin følelse av feil,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","For en ja, for et nei, slåss, - eller gjøre en orm!"
"  Travailler sans souci de gloire ou de fortune,","Arbeide uten å tenke på ære eller rikdom,"
"  A tel voyage, auquel on pense, dans la lune !","En reise som vi tenker på, til månen!"
"  N'écrire jamais rien qui de soi ne sortît,","Ikke skrive noe som ikke kommer fra deg selv,"
"  Et modeste d'ailleurs, se dire: mon petit,","Og beskedent, for å si: ""Min lille,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Eller blomster, frukt, til og med blader,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Hvis du tar dem i din egen hage!
"  Puis, s'il advient d'un peu triompher, par hasard,","Men hvis han lykkes litt,"
"  Ne pas être obligé d'en rien rendre à César,",Jeg må ikke være tvunget til å gi noe til keiseren.
"  Vis-à-vis de soi-même en garder le mérite,","Til å holde meritt for seg selv,"
"  Bref, dédaignant d'être le lierre parasite,","Kort sagt, forakter å være den parasittiske lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Selv om vi ikke er et ekke eller en tynnel,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ikke like høyt, kanskje, men alene!"
LE BRET:,- Det er ikke så bra.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Selv om det er ensom, men ikke mot alle."
  As-tu donc contracté la manie effroyable,Så har du fått den fryktelige mania
"  De te faire toujours, partout, des ennemis ?",Å gjøre seg alltid fiender overalt?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","På grunn av å se dere bli venner,"
"  Et rire à ces amis dont vous avez des foules,","Og ler av de vennene du har i en rekke grupper,"
  D'une bouche empruntée au derrière des poules !,Med en munn lånt bak kyllene!
"  J'aime raréfier sur mes pas les saluts,",Jeg liker å se på min fot.
  Et m'écrie avec joie: un ennemi de plus !,Og roper til meg med glede: En annen fiende!
LE BRET:,- Det er ikke så bra.
  Quelle aberration !,- Det er jo en aberrasjon.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Nå, ja, det er min vanære."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Jeg liker å bli hatet.
"  Mon cher, si tu savais comme l'on marche mieux","Kjære, om du visste hvordan man går bedre"
  Sous la pistolétade excitante des yeux !,Under de spennende øynene!
"  Comme, sur les pourpoints, font d'amusantes taches","Som, på poeng, gjør morsomme flekker"
  Le fiel des envieux et la bave des lâches !,Gals av misunnelige og kuker av kuker!
"  --Vous, la molle amitié dont vous vous entourez,","Du, den milde vennskapet du er rundt,"
"  Ressemble à ces grands cols d'Italie, ajourés","Likner disse store italienske hals, utsatt"
"  Et flottants, dans lesquels votre cou s'effémine:","Og fløyter, som halsen din sliter i:"
"  On y est plus à l'aise. . .et de moins haute mine,","Vi er mer komfortable i det. ...og mindre høye,"
"  Car le front n'ayant pas de maintien ni de loi,","For ansiden har ingen rett og lov,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Han gir seg over til å bøye seg i alle retninger.
"  La Haine, chaque jour, me tuyaute et m'apprête","Hasset, hver dag, pisser og pisser meg"
  La fraise dont l'empois force à lever la tête;,Fragen som giften tvinger til å løfte hodet;
  Chaque ennemi de plus est un nouveau godron,Hver eneste ennere er en ny gudren
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Han legger til for meg en skam, og legger til for meg et lys."
"  Car, pareille en tous points à la fraise espagnole,","For, på alle måter, som den spanske frajen,"
"  La Haine est un carcan, mais c'est une auréole !","Hat er en snik, men det er en auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (etter stillhet, passere armen under sin):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Gjør den stolte høyt og bitre, men lavt"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Bare si at hun ikke elsker deg!
CYRANO (vivement):,CYRANO (levende):
  Tais-toi !,- Hør på deg!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Etter et øyeblikk, Christian kom inn, blandet seg med de yngre; disse"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"De snakket ikke med ham, og han satt seg alene i en"
