Scène 2.VIII.,ⵜⵉⴼⵉⵏⴰⵖ 2.VIII.
"  Et, donneur de séné par désir de rhubarbe,","ⴷ ⵉⵙⴽⵔ ⵉⴹⵏ ⵏ ⵓⴹⴰⵕ ⵙ ⵓⵃⴱⴰⵙ ⵏ ⵓⵃⴱⴰⵙ,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",ⴰⴷ ⵜⵙⵙⵉⵍⵉ ⵜⵣⴳⵣⴰⵡⵜ ⵏⵏⵙ ⴳ ⴽⵔⴰ ⵏ ⵜⴰⴷⵔⴼⵜ?
"  Non, merci ! Se pousser de giron en giron,","ⵓⵔ ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏ"
"  Devenir un petit grand homme dans un rond,","ⴰⴷ ⵜⴳⵉ ⵢⴰⵏ ⵓⴼⴳⴰⵏ ⴰⵎⵇⵔⴰⵏ ⴷⴰⵔ ⵉⵎⵥⵢⴰⵏⵏ,"
"  Et naviguer, avec des madrigaux pour rames,",ⴷ ⵜⵓⴷⴷⵙⴰ ⵏ ⵓⴱⵔⵉⴷ ⴷ ⵜⵓⴷⴷⵙⴰ ⵏ ⵓⴱⵔⵉⴷ
  Et dans ses voiles des soupirs de vieilles dames ?,ⴷ ⴳ ⵜⴱⴰⵢⵢⵓⵍⵉⵏ ⵏⵏⵙ ⵜⵉⵙⴳⵓⵔⵉⵡⵉⵏ ⵏ ⵜⵎⵖⴰⵔⵉⵏ ⵜⵉⵇⴱⵓⵔⵉⵏ?
"  Non, merci ! Chez le bon éditeur de Sercy","ⵓⵔ, ⵙⴽⵍ, ⵙ ⵓⵙⵖⵓⵏ ⵏ ⵙⵉⵔⵙⵉ ⵉⵅⴰⵜⴰⵔⵏ."
"  Faire éditer ses vers en payant ? Non, merci !",ⴰⴷ ⵜⵙⵙⵏⴼⵍ ⵜⵉⴼⵉⵏⴰⵖ ⵏⵏⵙ ⵙ ⵓⴷⴼⵍ?
  S'aller faire nommer pape par les conciles,ⴰⴷ ⵜⵜⵓⵙⵜⴰⵢⵏ ⵙ ⵉⵙⴽⴽⵉⵍⵏ ⵏ ⴱⴰⴱ ⵏ ⵡⴰⴷⴷⵓⵔ
  Que dans des cabarets tiennent des imbéciles ?,ⵉⵙ ⴳ ⵜⵣⴷⵓⵖⵉⵏ ⵏ ⵓⵙⵏⵖⵎⵙ ⵉⵍⵍⴰ ⴽⵔⴰ ⵏ ⵉⵎⵖⵔⴰⴱⵉⵢⵏ?
"  Non, merci ! Travailler à se construire un nom","ⵓⵔ ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰⴽ, ⵏⴰ, ⵏⴰⴽ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ, ⵏⴰ,"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","ⴳ ⵢⴰⵜ ⵜⵓⵏⵓⵏⵉⵜ, ⵓⵍⴰ ⴰⴷ ⵏⵙⴽⵔ ⴽⵉⴳⴰⵏ ⵏ ⵜⵓⵏⵓⵏⵓⵏⵉⵏ?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,ⴷ ⴰⵙⵏⴼⵍ ⵏ ⵜⵥⵓⵕⵉ ⵖⴰⵙ ⴳ ⵜⵣⴳⵣⴰ?
"  Être terrorisé par de vagues gazettes,","ⴰⴷ ⵜⵜⵓⵣⴳⵓⵏ ⵙ ⵜⵙⵏⵓⵔⴰⵢⵉⵏ ⵏ ⵓⵖⴰⵡⵍ,"
"  Et se dire sans cesse: Oh, pourvu que je sois","ⴷ ⴰⵔ ⵜⵜⵉⵏⵉⵏⵉⵖ: ""ⵢⵢⵉ, ⵉⵖ ⵔⴰⴷ ⵙⵙⴽⵔⵖ"
  Dans les petits papiers du Mercure François ?. . .,ⴳ ⵉⴹⵕⵉⵚⵏ ⵉⵎⵥⵥⵢⴰⵏⵏ ⵏ ⴼⵔⴰⵏⵙⴰ ⵎⵓⵔⴽⵓⵔ . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ⵓⵔ, ⵙⴽⵔⵖ! ⴰⵙⵉⴳⴳⵍ, ⴰⴷ ⵏⵙⴳⵉ, ⴰⴷ ⵏⵙⴽⵔ,"
"  Aimer mieux faire une visite qu'un poème,","ⴰⴷ ⵜⵃⴱⵙ ⵜⵉⵔⵎⵜ ⵏⵉⵖ ⵓⴳⴳⴰⵔ ⵏ ⵜⵎⴷⵢⴰⵣⵜ,"
"  Rédiger des placets, se faire présenter ?","ⴰⴷ ⵏⵙⴽⵔ ⵉⵙⵍⴳⵏ, ⴰⴷ ⵏⵙⵙⵓⴼⵖ?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","ⵓⵔ, ⵙⴽⵔⵖ, ⵓⵔ, ⵙⴽⵔⵖ, ⵓⵔ, ⵙⴽⵔⵖ, ⵎⴰⵛⴰ..."
"  Rêver, rire, passer, être seul, être libre,","ⴰⴷ ⵏⴻⵎⵎⴻⵕ, ⴰⴷ ⵏⴻⵜⵔⴰⵔ, ⴰⴷ ⵏⴻⵙⵙⵉⵍⵉ, ⴰⴷ ⵏⴻⵙⵙⵉⵍⵉ, ⴰⴷ ⵏⴻⵙⵙⵉⵍⵉ,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",ⴰⴷ ⵜⵥⵕ ⵜⴰⵡⵉⵏⴳⵎⵜ ⴷ ⵜⴰⵡⵉⵏⴳⵎⵜ ⴷ ⵜⴰⵡⵉⵏⴳⵎⵜ
"  Mettre, quand il vous plaît, son feutre de travers,","ⴰⴷ ⵜⵙⵙⵉⵍⵉ, ⴽⵓⴷ ⵉⵔⴰ, ⵜⴰⵡⵏⴳⵉⵎⵜ ⵏⵏⵙ,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","ⵉ ⵢⴰⵏ ⵉ, ⵉ ⵢⴰⵏ ⵓⵔ, ⴰⴷ ⵏⴳⴰⵍ, - ⵏⵖ ⴰⴷ ⵏⴽⵛⵎ ⵢⴰⵏ ⵓⴷⵎ!"
"  Travailler sans souci de gloire ou de fortune,",ⴰⴷ ⵏⵡⵓⵔⵉ ⴱⵍⴰ ⵏⵜⵜⴰⵜ ⴰⴷ ⵏⵜⵜⴰⵜⵜ ⵉ ⵜⵉⴼⴰⵡⵜ ⵏⵖⴷ ⵉ ⵡⵓⵟⵟⵓⵏ ⵏ ⵓⵥⵕⴼ
"  A tel voyage, auquel on pense, dans la lune !","ⵙ ⵢⴰⵏ ⵓⵔⵣⴰⴼ ⴰⵎⵇⵔⴰⵏ, ⵏⵏⴰ ⵏⵙⴽⵜⵉ, ⴳ ⵡⴰⵢⵢⵓⵔ!"
"  N'écrire jamais rien qui de soi ne sortît,","ⵓⵔ ⵜⵔⵔⴰ ⴽⵔⴰ ⵢⴳⴰⵜⵜ ⵜⵖⴰⵡⵙⴰ ⵓⵔ ⵜⵍⵍⵉ ⴳⵉⵙ,"
"  Et modeste d'ailleurs, se dire: mon petit,","ⴷ ⵉⵎⵙⴰⵙⴰⵏ, ⵙⵓⵍ, ⴷⴰ ⵜⵜⵉⵏⵉⵏ: ""ⵢⵉⵔⵉ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",ⵃⴰⵎⴰ ⴰⴷ ⵜⵃⴰⵎⴰⴷ ⵙ ⵜⵉⴼⴰⵡⵉⵏ ⴷ ⵜⵉⴼⴰⵡⵉⵏ ⴷ ⵡⴰⴼⴼⵖⵏ
  Si c'est dans ton jardin à toi que tu les cueilles !,ⵎⴽ ⴳⵉⵙ ⵜⵍⵍⴰ ⴳ ⵓⵖⴰⵔⴰⵣ ⵏⵏⴽ ⴰⴷ ⵜⵙⵙⵓⵜⵍⴷ!
"  Puis, s'il advient d'un peu triompher, par hasard,","ⵎⴽ ⵜⵣⵔⵉ ⵜ ⵜⵔⴰⴱⴱⵓⵜ ⵏ ⵄⵉⵏ ⵍⵄⵓⵎⵔⴰⵏ,"
"  Ne pas être obligé d'en rien rendre à César,","ⵓⵔ ⵜⵍⵍⵉⵖ ⴰⴷ ⴽⴽⵓⵖ ⵉⵇⵉⵣⴰⵕ ⵉ ⵇⵉⵣⴰⵕ,"
"  Vis-à-vis de soi-même en garder le mérite,","ⵙ ⵜⵓⴷⵔⵜ ⵏⵏⴽ, ⵙⴽⵔ ⵏ ⵜⵓⴷⵔⵜ ⵏⵏⴽ,"
"  Bref, dédaignant d'être le lierre parasite,","ⵙ ⵓⵎⴰⵜⴰ, ⵙ ⵓⵙⵙⵏ ⵏⵙ ⴰⴷ ⵏⵉⵖ ⵜⴰⵍⵍⵉⵜ ⵜⴰⴱⴰⵢⵢⵓⵕⵜ,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","ⴰⵡⴷ ⵍⵍⵉⵖ ⵓⵔ ⵏⵙⴽⵔ ⵜⴰⵣⴳⵣⴰⵡⵜ ⴷ ⵓⴷⵔⴰⵔ,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","ⵓⵔ ⵢⴰⵡⵉ ⵓⴷⵔⴰⵔ ⵉⵖⵉⵖ, ⵎⴰⵛⴰ ⵙⵙⵍⴰⵎⵜ!"
LE BRET:,ⵜⴰⵥⵓⵕⵉ:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","ⵙⵙⵉⵏⵉⵖ, ⵎⴰⵛⴰ ⵓⵔ ⵏⵜⵜⴰⵛⴰⵍⵏ ⴰⴽⴽⵡ."
  As-tu donc contracté la manie effroyable,ⵎⴰⵏⵉ ⵜⵣⵔⵉⴷ ⵜⵓⵎⵍⵉⵍⵜ ⵏ ⵓⵃⵔⵉⵛ?
"  De te faire toujours, partout, des ennemis ?",ⴰⴷ ⵏⵙⴽⵔ ⵉⵃⵏⵏ ⴰⴽⴽⵡ ⴷ ⴰⴽⴽⵡ?
CYRANO:,ⴽⵉⵕⴰⵏⵓ:
"  A force de vous voir vous faire des amis,","ⵙ ⵜⵓⴷⵔⵜ ⵏ ⵓⵙⵎⵓⵜⵜⴳ ⵏ ⵉⵎⵢⴰⵙⵙⴰⵏ,"
"  Et rire à ces amis dont vous avez des foules,","ⴷ ⵜⵔⵔⴰⵜ ⵉ ⵡⵉⵏⵏⴰ ⵏⵙⵎⴷⵢⴰⵡⵏ ⵏⵏⴰ ⵖⵓⵔⵙⵏⵜ ⵎⵏⵏⴰⵡ ⵏ ⵎⴷⴷⵏ,"
  D'une bouche empruntée au derrière des poules !,ⵙ ⵢⴰⵏ ⵓⵢⴷⴰ ⵉⵜⵜⵓⵙⵍⴽⵎⵏ ⴳ ⵓⴷⴼⵍ ⵏ ⵜⵔⴳⵡⴰ!
"  J'aime raréfier sur mes pas les saluts,","ⵃⴰⵎⴰ ⴰⴷ ⵙⵙⴰⵍⵖ ⴳ ⵓⴽⵓⴷ ⵉⵏⵓ,"
  Et m'écrie avec joie: un ennemi de plus !,ⴷ ⵢⵉⵏⵉⵖ ⵙ ⵜⵓⴷⴷⵙⴰ: ⵢⵉⵡⵏ ⵏ ⵓⵎⴰⴹⴰⵍ ⵢⴰⴹⵏ!
LE BRET:,ⵜⴰⵥⵓⵕⵉ:
  Quelle aberration !,ⵎⴰⴷ ⵉⴳⴰⵏ ⴰⵙⵏⴼⴰⵔ!
CYRANO:,ⴽⵉⵕⴰⵏⵓ:
"  Eh bien, oui, c'est mon vice.","ⴷⵉⵖ, ⵉ, ⴷⵉⵖ, ⴷⵉⵖ."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"ⴰⵛⴽⵓ ⴷⴰⵔⵙ ⴰⵃⴰⵣⴰⵣⴰ, ⴰⵔ ⵙⵙⵃⴰⵣⴰⵣⵏ."
"  Mon cher, si tu savais comme l'on marche mieux",ⵎⵉⵏ ⵉⵅⵚⵚⴰ ⴰⴷ ⵜⵙⵙⵏⴷ ⵎⴰⴷ ⵏⵙⵙⴼⵍⴷ
  Sous la pistolétade excitante des yeux !,ⴷⴷⴰⵡ ⵏ ⵜⵥⵕⵉⴳⵜ ⵏ ⵉⵏⴰⵡⵏ ⵉⵏⵓ!
"  Comme, sur les pourpoints, font d'amusantes taches","ⵣⵓⵏⴷ, ⴳ ⵉⵙⴽⴽⵉⵍⵏ, ⴷⴰ ⵙⴽⵔⵏ ⵜⵉⵖⴰⵡⵙⵉⵡⵉⵏ ⵏ ⵓⵙⵏⴼⵍⵓⵍ"
  Le fiel des envieux et la bave des lâches !,ⵜⴰⵣⵖⴰ ⵏ ⵉⵃⴰⵣⴰⵏ ⴷ ⵜⴰⵣⵖⴰ ⵏ ⵉⵛⵏⴰⵏ!
"  --Vous, la molle amitié dont vous vous entourez,","-ⵏⵏⵉ, ⵜⴰⵢⵔⵉ ⵜⴰⵔⵔⵓⵙⵜ ⵏⵏⴰ ⵜⵙⵙⵏⴷ,"
"  Ressemble à ces grands cols d'Italie, ajourés","ⵉⵇⵇⵉⵎⵏ ⴷ ⵡⵉⵏ ⵉⵅⴰⵜⴰⵔⵏ ⵏ ⵍⵟⴰⵍⵢⴰ, ⵉⵜⵜⵓⵣⵣⵉⴳⵣⵏ"
"  Et flottants, dans lesquels votre cou s'effémine:",ⴷ ⵉⵙⵍⵍⴰⵍⵏ ⵍⵍⵉⵖ ⵜⵙⵙⵏ ⵜⵔⴽⵉ ⵏⵏⴽ
"  On y est plus à l'aise. . .et de moins haute mine,","ⵏⵙⵙⵏ ⴰⴷ ⵏⵙⵍⵉ ⴷⴰⵔⵙ. . . ⴷ ⵓⵔ ⵏⵙⵍⵉ ⴷⴰⵔⵙ,"
"  Car le front n'ayant pas de maintien ni de loi,","ⴰⵛⴽⵓ ⵓⵔ ⵉⵍⵍⵉ ⵓⵙⵍⴳⵏ ⴷ ⵓⵙⵍⴳⵏ ⵏ ⵓⵙⵏⵖⵎⵙ,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",ⴰⵔ ⵉⵙⵙⴼⵓⴳⵍⵓ ⵙ ⴽⵔⴰ ⵏ ⵓⴱⵔⵉⴷ.
"  La Haine, chaque jour, me tuyaute et m'apprête","ⴰⵢⵜ ⵜⴰⵢⵔⵉ, ⴽⵓ ⴰⵙⵙ, ⴰⵔ ⵜⵙⵙⵉⴼⵖ ⴷ ⵜⵙⵙⵉⴼⵖ"
  La fraise dont l'empois force à lever la tête;,ⵜⴰⵔⵔⴰⵣⵜ ⵏⵏⴰ ⵜⵙⵙⵉⵅⴼ ⵓⴱⴰⵢⵢⵓⵕ ⵏⵏⵙ ⴰⴼ ⴰⴷ ⵉⵙⵏⴼⵍ;
  Chaque ennemi de plus est un nouveau godron,ⴽⵓ ⵢⴰⴹⵏ ⵉⴳⵍⵍⵉⵏ ⵉⴳⴰ ⵢⴰⵏ ⵓⴽⵜⴰⵔ ⴰⵎⴰⵢⵏⵓ
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ⵉⵙⴽⵔ ⵉⵅⴼ ⵏⵏⵙ ⵢⴰⵏ ⵓⵛⵛⵓⵃ ⴷ ⵓⵛⵛⵓⵃ ⴷ ⵓⵛⵛⵓⵃ ⴷ ⵓⵛⵛⵓⵃ.
"  Car, pareille en tous points à la fraise espagnole,","ⴰⵛⴽⵓ, ⵙ ⴽⵓⵍⵍⵓ ⵜⵖⴰⵔⴰⵙⵉⵏ, ⵣⵓⵏⴷ ⵜⴰⵣⴳⵣⴰⵡⵜ ⵏ ⵙⴱⴰⵏⵢⴰ,"
"  La Haine est un carcan, mais c'est une auréole !","ⵜⴰⵣⵏⵉⵜ ⵜⴳⴰ ⵜⴰⵣⵏⵉⵜ, ⵎⴰⵛⴰ ⵜⴳⴰ ⵜⴰⵣⵏⵉⵜ!"
"LE BRET (après un silence, passant son bras sous le sien):","ⵟⴰⵛⵉⵔⴹⴰⵔⵜ (ⴼⴼⵉⵔ ⵏ ⵓⵛⵏⵏⵓ, ⴰⵙⵏⴼⵍ ⵏ ⵜⵙⴳⴰ ⵏⵏⵙ ⴷⴷⴰⵡ ⵏⵏⵙ):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","ⴰⴷ ⵜⵙⵙⵉⵅⴼ ⵜⵉⴱⴱⴰⵢⵜ ⴷ ⵜⵙⵙⵉⵅⴼ ⵜⵉⵖⵜⴰⵙⵉⵏ ⵏⵏⵙ, ⵎⴰⵛⴰ ⴰⴷ ⵜⵙⵙⵉⵅⴼ ⵜⵉⵖⵜⴰⵙⵉⵏ ⵏⵏⵙ"
  Dis-moi tout simplement qu'elle ne t'aime pas !,ⵜⵏⵏⴰ-ⵢⴰⵙ ⵎⴰⵙ ⵓⵔ ⵜ ⵉⵔⵉⵖ!
CYRANO (vivement):,CYRANO (ⵜⵓⴷⵔⵜ):
  Tais-toi !,ⴰⵛⵏⵓ!
