Scène 2.VIII.,Icyiciro cya 2.VIII.
"  Et naviguer, avec des madrigaux pour rames,","Kandi bagendera mu mazi, bafite imigozi y'ingando,"
  Et dans ses voiles des soupirs de vieilles dames ?,Kandi mu nkuge ze harimo amajwi y'abagore basaza?
"  Non, merci ! Chez le bon éditeur de Sercy","Oya, urakoze, ni ku muyobozi mwiza wa Sercy"
"  Faire éditer ses vers en payant ? Non, merci !",Gutanga amafaranga yo gusohora inyuguti ze?
  S'aller faire nommer pape par les conciles,Gushyiraho Igihembo cy'Itorero
  Que dans des cabarets tiennent des imbéciles ?,Ese mu nzu z'abapfapfa hari abapfapfa?
"  Non, merci ! Travailler à se construire un nom",Reka dushake izina
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Ku ijwi rimwe aho kurirema izindi?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Urakoze cyane, none se ubuhanga bwo mu byatsi ni bwo bwonyine bushobora kuboneka?"
"  Être terrorisé par de vagues gazettes,","Guterwa ubwoba n'ibinyamakuru by'impuha,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Kandi ukomeza kwibwira uti ""Oh, niba ndi"
  Dans les petits papiers du Mercure François ?. . .,Mu nyandiko za Mercure François? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Reka mbwire, reka mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwire, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mbwira, mb"
"  Aimer mieux faire une visite qu'un poème,","Gukunda gusura biruta gusoma igisigo,"
"  Rédiger des placets, se faire présenter ?","Gutegura ibitabo, kwitanga?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Oya, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, urakoze, ur"
"  Rêver, rire, passer, être seul, être libre,","Kurota, guseka, guhita, kuba wenyine, kuba umwere,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Kugira ijisho ribona neza, ijwi rirangurura,"
"  Mettre, quand il vous plaît, son feutre de travers,","Gushyira, igihe cyose ushaka, ibyiyumvo bye mu buryo butandukanye,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Kugira ngo ubeho, ugomba guhangana cyangwa se ugakora ikintu kibi."
"  Travailler sans souci de gloire ou de fortune,",Gukora nta cyo wifuza ku bw'icyubahiro cyangwa ubutunzi
"  A tel voyage, auquel on pense, dans la lune !","Urugendo nk'urwo, urwibuka, ku kwezi!"
"  N'écrire jamais rien qui de soi ne sortît,","Ntuzigere wandika ikintu kitaguhesha agaciro,"
"  Et modeste d'ailleurs, se dire: mon petit,","Kandi wicisha bugufi, wibwira uti: ""mwana wanjye,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Cyangwa se, yaba yishimye n'indabyo, imbuto, ndetse n'ibiti,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Niba ari mu busitani bwawe ubikoramo!
"  Puis, s'il advient d'un peu triompher, par hasard,","Hanyuma, iyo aza gutsinda gato,"
"  Ne pas être obligé d'en rien rendre à César,","Nta cyo uzatanga kuri Kayisari,"
"  Vis-à-vis de soi-même en garder le mérite,","Ku bw'ibyo, ni ngombwa ko umuntu akomeza kwifata."
"  Bref, dédaignant d'être le lierre parasite,","Muri make, ntukemere ko ari ikinyugunyugu cy'indwara,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Nubwo tutari igiti cy'umwelayo cyangwa igiti cy'umwelayo,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ushobora kuba utari kuzamuka cyane, ariko uri wenyine!"
LE BRET:,Umutoni:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ni we wenyine, ariko si bose!"
  As-tu donc contracté la manie effroyable,"Mbese, waba waragize uburwayi buteye ubwoba?"
"  De te faire toujours, partout, des ennemis ?",Gukomeza kwishakira abanzi ahantu hose?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Kubona uko mugirana ubucuti,"
"  Et rire à ces amis dont vous avez des foules,","Kandi useke abo nshuti ufite imbaga,"
  D'une bouche empruntée au derrière des poules !,Afite akanwa kafashe inyuma y'inkoko!
"  J'aime raréfier sur mes pas les saluts,","Nkunda gutukana mu birenge byanjye,"
  Et m'écrie avec joie: un ennemi de plus !,"Kandi unsubize ijwi ry'ibyishimo, undi mwanzi!"
LE BRET:,Umutoni:
  Quelle aberration !,Mbega ukuntu ari ibintu bitagira umumaro!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ni byo, ni byo, ni byo."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Nkunda gutandukana n'abandi, nkunda ko batwanga."
"  Mon cher, si tu savais comme l'on marche mieux","Mwana wanjye, iyo uza kumenya uko umuntu agenda neza"
  Sous la pistolétade excitante des yeux !,Mu maso y'abareba ibintu bishishikaje!
"  Comme, sur les pourpoints, font d'amusantes taches",Uko bakora ibintu bishimishije ku ntego
  Le fiel des envieux et la bave des lâches !,Ibirura by'abashakanyi n'ibishyitsi by'abacumbagira!
"  --Vous, la molle amitié dont vous vous entourez,","-Uwo musore mwiza ukunda cyane,"
"  Ressemble à ces grands cols d'Italie, ajourés","Mbese nk'izo nkoni nini zo mu Butaliyani, zisigaye"
"  Et flottants, dans lesquels votre cou s'effémine:","Kandi n'ibirenge byanyu bizaba bicucetse,"
"  On y est plus à l'aise. . .et de moins haute mine,",Ibyo bituma twumva twisanzuye.
"  Car le front n'ayant pas de maintien ni de loi,","Kuko imbere nta giterane cyangwa amategeko,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Yirengagiza gutembera mu mpande zose.
"  La Haine, chaque jour, me tuyaute et m'apprête","Urwango, buri munsi, runkoraho urw'amenyo kandi runkomeza"
  La fraise dont l'empois force à lever la tête;,"Igishyimbo cy'ibishyimbo cy'ibishyimbo cy'ibishyimbo cy'ibishyimbo cy'ibishyimbo cy'ibishyimbo cy'ibishyimbo cy'ibishyimbo cy'ibishyimbo,"
  Chaque ennemi de plus est un nouveau godron,Buri mwanzi urenze umwe ni umujura mushya
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Kandi untera ibyago byinshi, untera n'ibyago byinshi."
"  Car, pareille en tous points à la fraise espagnole,","Kuko nk'uko muri byose bimeze ku mbuto z'ibinyampeke zo muri Esipanye,"
"  La Haine est un carcan, mais c'est une auréole !","Urwango ni igishwi, ariko ni urumuri!"
"LE BRET (après un silence, passant son bras sous le sien):","UMUHANUZI (nyuma yo guceceka, amuramburira ukuboko kwe munsi ye):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Gira ubwibone kandi ubune, ariko wibuke ko uri bugufi"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Mubwire gusa ko atakurikunda!
CYRANO (vivement):,CYRANO (muzima):
  Tais-toi !,Genda uceceke!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Kuva igihe runaka, Christian yinjiye, yifatanya n'abato; abo"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ntibamuganiriza; amaherezo yicara wenyine ku
