Scène 2.VIII.,Sehemu ya 2.VIII.
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Hapana, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, asante, as"
"  Rêver, rire, passer, être seul, être libre,","Kuota, kucheka, kupita, kuwa peke yako, kuwa huru,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Kuwa na jicho linaloona vizuri, sauti inayotikisika,"
"  Mettre, quand il vous plaît, son feutre de travers,","Kuweka, wakati wowote unataka, hisia yake ya makosa,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Kwa ndiyo, kwa si, kupigana, - au kufanya mdudu!"
"  Travailler sans souci de gloire ou de fortune,",Kufanya kazi bila kuhangaikia utukufu au utajiri
"  A tel voyage, auquel on pense, dans la lune !","Safari ya aina hiyo, ambayo tunafikiria, ya kwenda kwenye mwezi!"
"  N'écrire jamais rien qui de soi ne sortît,","Usiandike chochote ambacho hakitokezi kutoka kwako mwenyewe,"
"  Et modeste d'ailleurs, se dire: mon petit,","Na kwa kiasi, kusema, ""mwanangu,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Je, unaridhika na maua, matunda, hata majani?"
  Si c'est dans ton jardin à toi que tu les cueilles !,Kama ni katika bustani yako mwenyewe wewe kuchukua yao!
"  Puis, s'il advient d'un peu triompher, par hasard,","Na ikiwa atafanikiwa kidogo, basi,"
"  Ne pas être obligé d'en rien rendre à César,","""Siwezi kumlipa Kaisari chochote."
"  Vis-à-vis de soi-même en garder le mérite,","Kwa upande wa nafsi yako kuweka sifa yake,"
"  Bref, dédaignant d'être le lierre parasite,","Kwa kifupi, kupuuza kuwa lierre parasite,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Hata kama wewe si mtende au mimea,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Si juu sana, labda, lakini peke yake!"
LE BRET:,Mchungaji:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ni peke yake, lakini si dhidi ya wote!"
  As-tu donc contracté la manie effroyable,Basi umepata shida ya kutisha?
"  De te faire toujours, partout, des ennemis ?","Je, ni kufanya kila mahali maadui?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Kwa sababu ya kuona mnapata marafiki,"
"  Et rire à ces amis dont vous avez des foules,","Na kucheka kwa marafiki hao ambao una makundi,"
  D'une bouche empruntée au derrière des poules !,Na kinywa kilichopigwa nyuma ya kuku!
"  J'aime raréfier sur mes pas les saluts,","Mimi hupenda kupokea salamu za ziada,"
  Et m'écrie avec joie: un ennemi de plus !,"Na uniite kwa shangwe: ""Adui mwingine!"""
LE BRET:,Mchungaji:
  Quelle aberration !,Ni jambo la kushangaza sana!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Naam, ndiyo, ni tabia yangu mbaya."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Mimi hupenda kuondoka, napenda kuchukiwa."
"  Mon cher, si tu savais comme l'on marche mieux","""Mpendwa wangu, kama ungejua jinsi ya kutembea vizuri zaidi"
  Sous la pistolétade excitante des yeux !,Chini ya macho ya kusisimua ya bunduki!
"  Comme, sur les pourpoints, font d'amusantes taches","Kama, juu ya pointi, kufanya matangazo ya furaha"
  Le fiel des envieux et la bave des lâches !,Ule wa wivu na ule wa woga!
"  --Vous, la molle amitié dont vous vous entourez,","-Wewe, urafiki wa upole unaozunguka,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ni kama kubwa cols Italia, kuahirishwa"
"  Et flottants, dans lesquels votre cou s'effémine:","Na mawimbi ya bahari, ambayo shingo yako huzimia."
"  On y est plus à l'aise. . .et de moins haute mine,","Ni vizuri zaidi. . . na chini ya ukubwa,"
"  Car le front n'ayant pas de maintien ni de loi,",Kwa sababu kipaji cha uso kina sheria na sheria.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Yeye hujitoa kwa kuelekeza katika kila njia.
"  La Haine, chaque jour, me tuyaute et m'apprête","Chuki, Kila Siku, Inanivuta na Kunitayarisha"
  La fraise dont l'empois force à lever la tête;,Mchanga ambao sumu yake huinua kichwa chake;
  Chaque ennemi de plus est un nouveau godron,Kila adui mwingine ni mbegu mpya
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Yeye huongeza taabu kwangu, na huongeza taabu yangu."
"  Car, pareille en tous points à la fraise espagnole,","Kwa sababu, kama katika kila njia ya Spanish strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","Chuki ni mnyama, lakini ni mnyama!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (baada ya kimya, kupita mkono wake chini yake):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Kufanya kiburi juu na uchungu, lakini chini kabisa"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Niambie tu kwamba yeye hatupendi!
CYRANO (vivement):,CYRANO (Akiwa Hai):
  Tais-toi !,Shut up!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Tangu wakati fulani, Christian aliingia, akajiingiza katika vijana;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,si kuzungumza naye; hatimaye yeye ameketi peke yake kwa
